V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T
USA_A01_02,49225.2074,8.146,62.3869,20.8347,17.9511,127270.2359,2518.3139,12050.4314,3005.2422,3.227,3855.1103,278.6824,1165.1045,1.3481,0.6952,1.4387,0.6376,0.1096,0.8936,0.5625,0.2246,545.96,2.5389,0.6471,1822.2331,1263.3465,20.5251,13.4683,0.063,1.7505,0.0746,316.9889,96.1532,3.8655,6.0506,13.8333,40.1135,328.3027,427.7313,2451.481,185.4665,7.0744,266.5876,29.1148,0.0
USA_A03,4.7662,29.2821,0.0719,0.0241,0.0485,1110.0245,0.005,0.006,0.0179,0.0725,3.7458,0.0111,0.0102,0.0085,0.0202,0.0138,0.014,0.0035,0.0092,0.0079,0.0041,0.008,0.1326,0.0054,0.0055,71.5346,0.07,0.2381,0.0014,0.0051,0.0073,525.6619,0.0049,0.0824,0.0012,0.1054,2.8684,6.2765,0.0092,66.4336,13.1505,0.0187,23.0649,14.9113,0.0
USA_B05_06,1069.1915,9.3189,21219.4371,360.9516,325.8472,2039.9414,231.2786,77.8476,1981.8909,126098.3243,6289.8665,174.0271,266.7093,2146.9922,6326.0209,84.7598,39.0058,54.8376,99.3822,69.3984,30.0631,57.6227,45607.5878,61.7682,1529.8867,281.0317,1288.627,225.0764,995.3384,64.0401,203.0212,414.8874,30.2776,24.9434,32.239,298.0361,264.1438,245.1843,298.6523,12995.6375,1042.193,256.9716,59.9185,130.788,0.0
USA_B07_08,614.908,0.0309,463.5994,2185.3706,87.3438,137.0772,37.2582,9.9261,233.884,18.727,3396.1437,24.8341,131.5277,4858.2799,8023.608,471.9357,99.245,141.0341,90.4442,90.7562,69.8183,726.2095,77.4771,50.4242,12471.8474,24.9767,52.5639,0.5567,2.022,1.7267,1.1543,43.2571,146.9031,66.8027,12.595,7.2936,166.3476,367.3259,137.0875,788.4307,93.2296,50.2896,302.5604,207.8483,0.0
USA_B09,6.5255,0.0606,4071.9034,670.2205,783.6965,20.5178,3.1535,5.2911,8.5279,335.3654,29.0222,2.2655,9.4557,17.4513,10.7738,35.8922,17.353,10.4831,22.3686,62.2301,9.3706,11.5143,106.9918,2.0693,1079.3458,14.6285,5.6324,1.8831,0.903,0.5133,1.3217,4.9254,4.3865,8.0319,2.5352,7.0784,95.1403,32.3554,5.4985,86.0855,6.3161,6.0506,1.2034,3.5246,0.0
USA_C10T12,14887.7269,0.2861,35.0285,12.4792,13.5831,96874.3674,937.7902,76.504,1510.0843,84.0605,2007.1369,1067.9321,425.6479,281.0066,80.678,118.8791,158.1438,60.422,124.7746,173.761,45.8682,131.0105,34.1032,9.9271,427.6622,3652.9878,28.3034,134.1563,217.9174,5.8772,8.752,29552.9843,138.7435,33.1771,15.2863,20.425,52.5221,622.4381,81.5891,20000.1609,11805.1385,10005.7381,3392.391,863.6703,0.0
USA_C13T15,394.92,17.8425,46.2438,15.7986,15.8857,368.7598,12196.8416,506.6852,1384.4416,39.8889,1531.1768,125.3261,1671.4153,220.5259,60.1738,195.4068,153.5513,64.2319,379.5385,2463.9805,491.1167,3001.8427,21.4925,75.6846,1670.6356,2369.0088,25.3621,93.5237,7.7423,9.9301,32.9641,1284.483,153.3243,256.5612,13.4746,19.9976,116.4813,233.9436,268.2648,2282.5418,422.3653,2181.9861,325.0698,848.3927,0.0
USA_C16,227.8146,14.3708,44.0831,6.2158,60.4445,221.7914,91.5063,20323.6333,3268.1468,4.0638,280.1618,30.6697,1571.2818,316.1199,234.828,555.2114,234.252,258.1961,917.6074,1888.3066,168.1047,7256.5663,5.3859,12.1662,43537.5971,1851.7687,828.9376,2.2952,2.3416,40.1085,37.8154,832.4848,648.808,384.7773,278.6514,80.7355,2614.9911,300.5879,495.8968,726.3731,1349.5136,901.046,87.2586,241.0663,0.0
USA_C17_18,332.3256,0.251,109.5126,115.8518,77.5167,15582.5434,1639.3736,613.2565,45739.7393,39.2246,4646.9299,2550.4348,3940.0603,1485.0298,1184.5881,1734.4646,1579.6133,1023.548,1842.3993,1922.2667,580.814,3386.8889,299.1586,215.8212,4138.0127,18638.7577,732.8863,99.9756,70.5237,1080.9008,727.2275,5358.6676,16202.6754,1670.2321,1895.0315,7868.1524,882.9234,12426.03,5904.9599,15079.1379,8711.9407,8447.4208,1807.2385,2290.7501,0.0
USA_C19,7130.9729,186.1003,2985.9779,1685.9111,1611.2949,2707.1933,1053.7182,1156.1202,4183.1054,4648.5382,23241.6614,1651.5113,2959.7129,3600.3439,3169.8092,1559.5472,931.6173,959.0642,1745.4025,744.6116,336.4571,1174.3168,15490.549,1121.6081,23501.0461,4456.2919,24374.6334,4497.4751,19891.6838,1233.7697,4052.6602,2384.8705,522.9207,357.6623,609.3124,5791.9115,2470.5859,2363.7024,5926.7482,49515.5451,17607.0735,3482.3722,801.2976,1917.6306,0.0
USA_C20,13392.1496,4.7822,2338.8823,785.9637,744.8246,3891.0542,10174.6529,1771.6159,10227.4579,2209.0504,96802.6912,6526.6573,36261.9863,3157.4443,1518.344,5355.5596,4878.0104,2365.3614,2871.4476,4492.0948,1145.01,6625.6643,803.4419,436.677,9632.7576,1737.596,838.0406,119.3029,497.9718,341.0346,208.9401,461.7168,878.8094,478.1954,167.8251,366.4218,4017.249,4941.798,2754.9506,13165.7104,3427.8165,5291.5674,199.746,2430.5361,0.0
USA_C21,419.9993,0.2692,25.2054,9.1297,10.4127,381.6595,77.2889,62.6545,108.0449,21.7539,402.5596,7989.4426,179.0712,43.5026,72.3013,105.6209,192.7413,53.218,119.3776,166.4329,48.2665,110.3698,81.5094,12.2026,433.9402,319.1871,23.4457,5.0102,13.8728,4.8799,8.6063,47.6061,45.0897,46.4416,31.9742,50.4176,33.9412,2160.6309,75.9848,1713.8718,57.0425,29571.8488,89.6575,35.7419,0.0
USA_C22,1106.1604,0.4053,373.4041,343.3827,335.9176,10046.2273,916.398,916.5113,2438.9866,84.0053,7097.6063,2076.049,11071.1805,1116.9983,1212.3767,3049.5069,3746.3402,1700.0062,5095.6819,16458.2814,2289.5153,7269.3393,21.3142,203.8239,24949.8189,10086.3103,572.3045,7.7485,8.6304,141.68,1939.3943,2532.242,1420.7556,1541.0988,317.2838,430.8256,736.0677,2762.9668,1615.9098,5640.0737,912.8572,6522.2336,133.1635,763.5636,0.0
USA_C23,75.3386,1.1396,469.3861,107.8655,334.4274,2837.5888,409.6924,821.5142,286.2459,10.521,973.4793,428.8738,1306.5983,11975.3133,1798.6124,900.6165,897.5235,1148.8352,1379.13,4339.9262,193.9727,964.9786,23.0405,141.291,65015.7436,847.4953,38.8604,2.6383,6.1099,25.2589,22.7894,1032.6384,160.343,943.6751,204.3512,64.8806,81.7485,1748.1216,571.406,2715.5954,308.3017,2335.8319,70.2488,480.3483,0.0
USA_C24,77.938,0.0,2275.8496,266.0957,302.5438,4363.932,154.0771,307.6413,456.0336,0.0,651.7962,0.0,1147.5069,601.6521,46871.2853,48536.9177,5110.6609,10286.124,22089.6313,20656.2261,5831.8745,7301.8687,1946.3836,262.4967,5490.5193,1135.8833,779.1964,0.0,0.3874,58.0818,4.4839,58.6356,931.6314,418.1246,53.0715,1.3717,600.7274,573.7305,226.1937,571.4935,78.7814,205.3736,117.3875,103.45,0.0
USA_C25,1293.2593,30.6375,917.9458,452.3467,672.8766,9701.9143,1254.9667,2691.0393,3746.0548,99.6495,5637.3261,464.7385,5001.6827,2091.7247,5374.0166,22244.178,9313.474,6291.5818,13404.8518,39760.0107,5461.2854,6392.5977,336.1096,1052.6071,54349.0134,4192.8334,1319.557,1098.3271,69.5001,153.0993,565.9252,1770.51,2097.0472,2918.8856,766.7043,526.0208,1011.0335,3599.3293,1553.501,6743.4801,654.2325,1438.9406,516.5718,751.911,0.0
USA_C26,201.5578,0.3042,70.3192,21.452,102.8187,1371.5859,782.9325,529.1448,1440.3629,47.8511,2358.8335,115.9656,1279.1678,635.242,1318.8762,2265.8872,44222.6388,2457.9106,3691.7385,7082.3421,4168.4746,2305.0704,126.4007,193.6417,3031.3121,3845.1803,147.1938,5.3658,14.7805,121.2669,13.1105,578.4653,2101.9755,6666.0636,1720.3911,759.7889,240.0388,6860.3478,1391.0615,6912.2859,783.5499,1827.2548,71.4741,988.0595,0.0
USA_C27,335.091,1.5334,59.6199,17.4109,69.9404,400.0224,91.3567,705.053,258.0532,9.9045,441.319,46.056,548.9514,109.7988,1384.1498,1217.5008,2804.5901,4262.366,4818.1455,2117.763,784.2505,636.5906,26.1845,230.4744,16398.0668,1039.6231,106.7383,14.1956,6.0237,82.5758,7.0229,346.3321,37.6211,1185.5379,352.7343,133.5263,214.7965,1463.6301,668.7223,2164.2245,543.0308,431.1026,66.2585,439.9261,0.0
USA_C28,2544.4769,0.698,3920.4218,1395.0053,2624.8411,1661.7357,136.4585,462.3694,1410.2578,25.2029,1692.9825,85.0774,1296.6589,221.4549,1242.4787,2189.9596,1189.6165,1402.8381,19144.2915,14829.9091,2308.2938,1671.2496,377.5159,1274.8256,20920.96,2045.4259,265.9018,22.5213,17.7495,183.3451,45.6528,402.0044,823.1195,690.062,514.4359,121.9459,217.2079,1455.2461,1054.3087,2232.816,1160.6589,604.3437,74.6837,616.8049,0.0
USA_C29,505.6541,18.3711,490.9751,354.2967,282.3079,1433.475,178.2911,649.0155,621.9625,8.0083,708.2244,92.1924,365.0305,451.903,526.7367,681.6976,1228.5381,321.6868,8680.7803,81621.4787,3222.6042,777.5306,43.4779,866.2318,1635.8877,14995.5794,2878.393,9.5791,1.6417,492.7718,592.9671,353.9857,1406.2191,263.3301,57.4094,73.6719,103.4982,1765.0849,2328.4888,3938.8198,1097.295,899.3501,121.1853,432.4239,0.0
