V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T
CHE_A01_02,894.0189,0.1605,2.4973,0.1607,0.0277,4179.4566,17.922,25.9264,51.3274,1.1559,13.0201,7.2668,6.3752,5.7654,10.8873,3.6135,1.6941,0.6502,0.8635,0.036,0.0078,9.6459,12.4696,7.8994,22.5518,34.6814,1.5941,4.1663,0.4876,12.9863,0.2503,261.5896,0.0627,0.4796,0.08,7.6402,40.8702,1.1271,19.0365,145.7346,10.5583,47.7855,16.7454,0.6818,0.0
CHE_A03,0.0,1.4056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE_B05_06,0.7712,0.0,5.3677,0.1512,0.0159,1.543,0.7795,0.1064,4.3681,200.1129,229.0412,0.2592,0.4794,31.763,15.4041,3.8311,1.9665,0.1375,0.0035,0.0,0.2715,0.1652,204.8246,2.7423,92.9572,5.6561,2.3868,1.9066,0.3819,0.508,0.1916,1.4714,0.0065,0.0637,0.0039,2.9232,0.0329,3.4069,0.5543,11.2894,0.6211,4.1931,1.3804,1.0368,0.0
CHE_B07_08,0.2123,0.0,0.1996,0.0529,0.0026,0.2318,0.1205,0.0186,0.8077,27.5368,160.8938,0.0773,0.1158,18.0123,3.6121,1.2311,0.5271,0.2287,0.0011,0.0,0.0751,0.0604,24.1948,0.8571,86.1234,1.3036,0.3615,0.4325,0.0492,0.107,0.0283,0.2797,0.0019,0.0104,0.0007,0.3632,0.0146,1.5672,0.1573,2.0815,0.0748,0.5127,0.2247,0.2021,0.0
CHE_B09,0.0508,0.0,0.1616,0.0054,0.0023,0.0334,0.0006,0.0057,0.1826,4.4114,16.9768,0.0435,0.0176,0.3314,0.0212,0.2056,0.0131,0.0007,0.0002,0.0,0.0076,0.0099,3.321,0.1397,3.8384,0.1304,0.1125,0.048,0.0151,0.0074,0.0061,0.0265,0.0,0.0,0.0,0.1263,0.0034,0.0336,0.0029,0.5754,0.0202,0.1863,0.0204,0.0288,0.0
CHE_C10T12,372.0174,0.0,0.0022,0.0002,0.0,2919.9209,12.0484,0.4884,10.1784,32.5148,164.6876,150.518,0.6351,0.1199,0.0017,0.0091,0.8009,0.3553,2.2722,0.1076,0.0242,0.1972,1.5045,0.0369,6.1575,214.5599,1.8015,5.2043,0.8662,0.0738,0.6115,2248.6455,0.9903,0.4187,19.0152,0.7505,0.1805,19.0031,4.075,163.7372,83.6199,622.4847,29.18,15.1135,0.0
CHE_C13T15,2.1756,0.0,0.3468,0.0158,0.0025,9.1409,146.0636,0.6171,6.4178,23.1824,136.2309,18.0678,8.2998,0.9956,2.3771,4.6319,23.4989,8.7577,17.7509,0.5249,3.8467,26.8069,0.5052,0.3126,68.9643,125.5445,0.4338,0.7038,0.1122,2.5887,4.4118,15.8223,3.3654,1.696,0.2406,2.7383,0.2212,8.1946,8.3842,9.7296,7.9257,20.1115,2.4672,2.632,0.0
CHE_C16,12.8201,0.0008,2.1653,0.134,0.0114,58.5484,1.3287,1447.682,180.0633,0.4596,2.5612,3.3153,2.8272,28.0734,5.6128,88.4375,81.4768,27.5947,38.7795,1.0932,46.2647,647.5616,4.9385,9.5541,2107.7613,99.5329,8.4199,10.9074,1.5735,12.7131,0.1595,6.3264,1.0325,0.891,1.4056,19.552,34.18,5.7768,10.042,97.5426,8.6196,15.4941,23.0492,1.0442,0.0
CHE_C17_18,4.9114,0.0014,4.9429,0.7366,0.0343,111.8998,11.0088,9.3337,437.4989,3.4338,42.0731,62.82,12.2383,22.3341,1.4478,29.7348,92.0223,44.9363,55.2719,0.8911,3.021,14.3832,18.481,4.2873,47.0836,2258.8973,18.2042,15.3042,4.3072,55.8254,22.817,27.3405,254.6387,61.3966,40.1218,108.3989,21.0623,683.9985,286.7574,121.3263,15.13,38.1937,12.7206,63.4827,0.0
CHE_C19,40.8073,0.0,3.4372,0.4425,0.0274,15.0605,15.3522,21.6536,48.3218,311.4054,611.0323,196.6005,175.7587,37.268,8.1451,50.6016,85.4745,78.1265,58.4801,1.9789,3.7416,12.0387,54.9669,2.731,277.5761,345.8824,77.3178,74.7958,22.5178,49.5401,19.4714,56.6932,22.484,6.5443,9.7857,5.7437,0.5082,58.0931,43.7527,59.4728,22.3985,95.8242,15.9037,10.6076,0.0
CHE_C20,96.6808,0.0,7.157,0.8796,0.0713,35.2636,36.1708,63.6682,286.3807,101.3712,2328.8137,1009.2166,1133.7473,55.0185,18.0822,160.6831,403.2106,356.2726,148.3138,6.6036,8.8807,27.9753,58.9009,7.3889,265.0088,169.9527,175.0473,212.3418,31.8194,46.1761,5.4416,71.4339,66.0979,3.3216,7.9192,10.4141,1.2143,128.7659,73.2588,31.4689,28.863,161.9784,31.3619,32.0403,0.0
CHE_C21,717.097,0.0006,119.3685,6.5822,0.4808,264.4392,267.5039,0.4077,140.1933,0.2819,1.2645,12269.3858,7.0372,0.3661,132.8835,0.8539,13.5554,2.48,4.6186,0.0572,65.8426,198.3016,317.3976,48.9379,3.6617,66.5252,1012.8879,1927.826,334.7729,199.3725,0.1109,8.6501,196.4477,2.1411,0.3058,72.8045,8.9998,1265.3445,471.831,469.902,2.8681,1585.2117,87.7072,347.8066,0.0
CHE_C22,9.3396,0.0014,0.8417,0.0689,0.0071,88.4592,9.246,15.1233,31.8967,5.8669,56.1471,110.5,43.6764,11.5589,3.0203,43.0445,209.1612,143.4125,291.8066,12.5471,11.2046,55.5314,6.8117,6.8903,215.0431,526.6529,7.0263,3.6571,0.8871,24.3425,9.7382,8.7547,15.1996,22.8498,17.8417,2.5283,0.7667,76.2714,43.9643,33.0115,4.7708,16.7543,3.7292,5.4641,0.0
CHE_C23,13.9394,0.0012,1.2242,0.148,0.0136,176.6837,4.2408,23.4308,2.1675,0.9935,5.9535,76.2952,2.6332,343.824,22.9683,75.5163,161.7548,123.6165,35.4119,4.5775,2.6946,28.573,12.5325,2.1469,1955.639,98.1092,59.7288,61.5184,12.9579,6.2007,1.7167,34.1436,1.3211,5.6593,0.7143,1.153,4.5604,19.9335,10.0735,22.1763,4.0161,14.0219,4.3599,1.2289,0.0
CHE_C24,0.3433,0.0,0.956,0.0634,0.0139,11.616,0.1515,10.616,1.5565,28.8327,188.3076,4.5048,12.7102,24.3792,338.4247,1041.1652,466.8618,361.6733,451.1957,9.1227,47.7911,90.1311,21.0376,1.3136,298.5106,11.8605,3.4089,7.3688,0.7135,2.2058,0.0943,0.001,0.0494,0.0524,0.9067,0.0162,0.0554,16.1041,1.9225,7.5975,1.8666,0.943,1.5898,0.0711,0.0
CHE_C25,40.088,0.0011,9.9334,0.8664,0.1163,116.2539,8.8358,65.8161,3.3542,25.1126,162.3848,218.3229,17.2914,32.5384,242.8145,967.3472,1753.248,789.2468,2121.9581,19.3151,154.8472,101.6816,43.6497,58.3171,1727.6314,600.1357,18.5044,24.2042,3.7001,101.1452,24.5416,64.8513,2.9909,55.9037,2.894,7.1322,11.053,147.2205,96.66,106.741,28.3095,28.3776,15.7259,13.6618,0.0
