V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T
FIN_A01_02,1297.0175,0.4249,0.5088,0.2049,0.0018,1756.9051,1.9531,1618.4537,1133.3037,0.3635,3.1497,0.884,46.7695,2.6111,1.2876,2.2646,3.2749,1.1932,3.0103,0.3822,2.4305,6.6763,40.8711,1.0288,34.2855,56.458,9.1399,54.2698,33.5704,1.4773,1.3571,145.3584,3.115,2.7432,4.6617,3.0796,21.688,13.8682,6.5526,54.9803,27.8546,37.9329,6.7407,3.7364,0.0
FIN_A03,0.281,19.1025,0.0127,0.052,0.0,6.8521,0.0782,0.3258,0.2945,0.071,0.3275,0.0275,0.1932,0.1603,0.2187,0.3292,1.9035,0.2371,1.1398,0.0279,0.0833,0.1516,0.1668,0.1828,0.567,1.7641,0.2724,0.5314,0.943,0.7461,0.0272,43.8563,0.2228,0.6952,0.6207,0.8193,0.6738,1.2073,0.9474,1.8319,0.7801,1.4936,0.3569,0.7025,0.0
FIN_B05_06,1.1908,0.0029,20.7524,0.0371,0.0009,0.7781,0.0535,3.35,11.4545,0.2605,4.7925,0.0161,0.0887,4.434,71.5201,0.1157,0.3571,0.0679,0.1997,0.0218,0.0544,0.715,156.7132,0.0254,8.9276,0.2502,0.0552,0.022,0.0252,0.0574,0.0037,0.1205,0.0526,0.0418,0.0259,0.04,0.1211,0.0829,0.046,0.1159,0.0709,0.1145,0.0296,0.0602,0.0
FIN_B07_08,10.9829,0.0059,6.3199,114.2428,0.0606,8.08,0.1916,0.4134,120.1473,0.4373,70.0397,0.0291,1.6059,96.2646,248.8325,0.557,1.8917,0.08,1.2117,0.0519,0.1403,2.3288,7.2633,0.5759,198.5679,0.6256,0.2294,0.0342,0.0401,0.2637,0.0392,0.1721,0.0823,0.2668,0.2132,0.2468,0.7242,0.1773,0.1213,0.5395,0.3022,0.2687,0.0844,0.1477,0.0
FIN_B09,0.0182,0.0031,0.0551,0.1819,0.001,0.0133,0.0003,0.0084,0.1493,0.4464,0.0816,0.0018,0.005,0.1004,0.0934,0.0279,0.0004,0.0002,0.0057,0.0001,0.0001,0.0003,0.2996,0.0064,0.891,0.0079,0.0425,0.0035,0.0001,0.0414,0.0,0.0023,0.0001,0.0,0.0005,0.0003,0.0352,0.0059,0.0034,0.0087,0.0021,0.0057,0.0038,0.0032,0.0
FIN_C10T12,342.676,0.1258,0.0004,0.095,0.0007,1302.3714,2.6026,0.7874,59.3627,10.8956,25.7413,0.2922,0.6916,0.7066,0.0077,0.1187,0.0516,0.0066,0.1182,0.0006,0.0024,0.9836,20.3321,7.568,32.4738,67.1065,11.0479,76.4191,19.8322,26.2358,1.207,1000.4428,0.8017,32.5339,27.4117,38.0262,20.7627,54.651,41.8868,192.9676,87.3673,148.2641,29.4035,38.8962,0.0
FIN_C13T15,1.7842,0.0407,0.0616,0.2996,0.0003,3.9032,108.5308,2.9287,14.2807,0.9727,3.3665,1.8817,8.9978,8.4495,1.0125,4.6502,5.3022,0.8764,8.2113,0.5746,3.0416,13.2863,1.3454,3.572,26.1018,48.7129,1.2575,10.5936,0.8984,2.1118,0.0967,5.6659,0.839,1.6105,3.2964,4.5931,2.7165,14.0383,9.1224,15.4239,0.8588,13.8994,0.6282,6.3412,0.0
FIN_C16,4.3349,0.0554,4.9808,1.4898,0.0328,14.584,1.2058,899.5473,289.626,2.1719,11.7054,1.5232,9.5066,16.5413,14.2269,13.4385,20.6127,8.5167,14.6992,1.8009,4.8924,184.3471,109.9801,2.2852,2299.0097,28.5106,3.2888,1.0498,3.9142,3.6968,0.6718,3.5525,2.5131,7.0932,4.4569,4.6761,8.6941,13.2138,5.586,8.1267,6.9963,4.1511,1.8838,6.4582,0.0
FIN_C17_18,29.8424,0.4704,0.6987,4.0486,0.0105,145.7461,12.1219,43.6232,2462.6615,12.7083,79.1306,4.1594,52.9024,29.5401,24.1197,20.8349,115.6337,14.3389,52.7916,2.57,6.0752,23.1405,49.4847,16.7033,146.5753,754.1798,22.2542,3.9106,24.8539,52.6738,7.3905,35.3204,928.6406,207.0191,42.9502,46.6119,79.7799,196.3648,83.4331,184.5859,129.4369,143.0231,65.4532,61.7819,0.0
FIN_C19,211.4704,6.8064,0.9391,15.6028,0.0311,18.9138,5.6917,14.7889,85.2119,671.6635,212.2817,0.6397,11.9749,27.2718,108.9572,10.1259,12.4627,3.8078,10.801,1.9061,2.545,7.6706,156.5287,24.9813,296.7874,136.9579,522.2904,117.3206,183.6068,302.4436,14.6206,5.1276,4.0171,29.3756,2.3736,23.1535,179.8212,21.5295,23.1123,80.6401,25.55,41.5955,36.3317,31.5355,0.0
FIN_C20,179.6244,0.1389,1.0835,16.122,0.0223,83.1114,65.9691,67.9299,612.9356,95.539,763.1284,9.8174,315.6303,59.5107,97.9381,50.3126,97.9789,33.3324,29.0875,4.9958,9.3512,38.8265,13.7677,10.7164,150.7768,36.8655,9.0863,3.5817,4.6992,10.6459,0.6782,4.8171,5.5464,6.2221,4.6642,6.1053,7.9786,30.4755,25.5103,23.5179,14.3536,209.486,8.1389,20.6624,0.0
FIN_C21,3.1778,0.0128,0.1025,0.9481,0.0016,5.2967,3.6668,1.2333,4.4565,0.5222,82.6748,34.3223,0.7949,0.6382,5.3888,1.0885,5.9478,0.5727,2.7832,0.1084,0.8351,1.0034,0.8717,0.7855,7.0453,7.7479,1.3015,2.0973,1.4963,0.5578,0.2661,1.3926,1.0012,2.4492,1.4284,1.3235,1.8361,6.1607,1.137,8.2529,5.7218,136.7653,0.484,0.7844,0.0
FIN_C22,4.1238,0.0548,1.4632,1.1825,0.0061,86.8331,4.243,24.1221,53.6804,7.5562,27.1026,6.4532,105.6198,24.2682,6.5588,25.7811,78.3419,17.3459,123.5495,17.5112,19.8409,46.273,6.5915,2.0366,563.2688,219.691,34.0891,0.9592,2.3923,23.0945,0.6393,3.7597,4.0929,7.0479,4.332,7.4323,5.6334,12.9578,37.0253,35.9802,18.5999,7.0255,6.1424,23.4675,0.0
FIN_C23,10.5829,0.0564,0.4787,45.3205,0.0093,38.0224,1.7867,56.6339,44.1799,1.7503,45.8606,1.0956,10.9292,279.6576,35.3761,38.9572,25.081,9.7831,25.9506,12.6452,19.2461,23.8226,5.935,3.2519,1475.7929,55.4496,3.3092,1.0868,1.5964,1.8696,0.6597,3.3524,2.9867,7.0273,6.0225,6.0783,6.893,18.5268,6.5892,8.9461,2.467,29.3237,1.7129,5.3139,0.0
