V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T
BGD_J62_63,0.6139,0.1428,0.2191,0.0101,0.0074,3.6322,12.665,0.303,1.2327,2.9771,1.9587,0.8725,0.845,1.5152,1.1597,0.864,2.5865,1.3569,1.1112,1.4615,0.5219,1.7925,1.7286,0.6099,9.3111,7.4676,2.3743,0.3743,1.0567,1.2512,0.7275,1.3546,3.636,11.2574,7.4569,9.0066,1.218,4.5048,1.821,10.6967,2.1031,3.1765,1.0658,6.0695,0
BGD_K,33.3574,5.15,3.6531,0.2094,0.1517,43.0998,145.9203,3.9372,12.7797,44.7626,23.6029,5.8681,11.1601,19.6411,16.3741,9.5688,10.8935,11.0622,10.859,13.1276,4.2215,19.1755,16.0509,4.5547,140.2433,56.5114,32.5344,5.4589,7.3935,9.2351,2.2153,19.1025,9.2375,25.0935,3.7955,160.4777,78.1727,18.3172,12.7352,40.4643,9.211,19.2449,5.983,30.3183,0
BGD_L,4.2691,0.7369,0.5967,0.0573,0.0285,16.9652,89.2441,1.765,4.8469,8.0863,6.657,2.0419,4.9463,6.8608,3.4614,5.2072,4.8643,4.6117,4.1738,5.4148,1.743,10.5765,3.9021,2.3724,60.7945,72.7148,12.0841,1.6042,2.7389,8.6786,1.8095,40.3934,9.5187,22.2804,4.0255,18.8723,30.0852,17.7584,9.5495,28.1038,12.494,20.1844,9.1559,36.0993,0
BGD_M,13.4563,1.7571,4.0327,0.1778,0.28,61.2492,151.203,2.8528,12.3848,34.0312,29.9198,15.6057,12.8746,18.9915,11.1658,9.5947,18.5889,14.4586,12.0757,15.1825,5.5297,17.7336,11.5912,6.1436,225.5839,72.1406,17.0136,3.337,5.0345,8.3229,2.081,18.2487,24.657,41.5682,7.6487,32.1018,20.4181,63.5619,17.5063,40.6238,10.7596,21.0857,10.1878,40.4763,0
BGD_N,9.5004,1.6542,2.8814,0.1642,0.2898,42.6801,120.1905,2.6818,11.0564,25.2197,19.8023,8.6172,10.4093,15.7847,9.6968,9.1838,14.2075,10.588,9.0961,10.871,3.9442,16.3617,9.0869,4.4086,127.639,51.9926,25.6424,6.5485,11.7847,12.5006,3.8828,18.88,16.0592,39.576,6.1272,23.6395,17.0417,30.4146,28.89,35.3162,12.8704,28.7137,10.2782,35.6895,0
BGD_O,7.6697,1.5187,0.9571,0.0674,0.0597,14.4189,43.356,1.394,4.3522,13.0822,8.579,2.5804,3.6402,6.6195,8.7651,4.0954,3.3053,3.3362,3.013,4.6361,1.2866,6.9213,5.3617,4.0657,56.4582,14.2857,18.3017,2.1082,2.7823,3.7711,1.1048,5.2614,5.5015,8.4459,1.1884,6.6814,8.7443,9.314,3.9585,51.3232,6.5742,12.2413,3.7172,14.1544,0
BGD_P,1.0933,0.1987,0.2767,0.0117,0.0075,3.0418,8.4524,0.3065,0.9576,3.46,1.8718,1.4814,0.9712,1.5468,1.3711,0.9108,1.7703,1.2463,0.9428,1.5212,0.4713,1.4012,1.1589,0.5115,8.4592,4.3637,2.2234,0.3065,1.1245,0.9181,0.302,1.2775,1.4805,4.0857,1.1767,3.7828,0.9401,4.0461,1.7561,17.0024,19.2468,6.7854,1.0967,6.2253,0
BGD_Q,9.3751,0.344,0.1121,0.0088,0.0103,3.3146,7.6508,0.2264,0.4964,1.9732,1.1802,1.6904,0.7218,0.9678,0.6941,0.5127,0.6442,0.6743,0.6239,0.568,0.2274,1.1771,0.5358,0.4648,5.5859,2.3716,1.4621,0.1925,0.287,0.4768,0.1552,1.3404,0.7203,1.0748,0.2992,1.5382,0.4856,1.1774,0.7779,12.4172,2.0837,122.1493,0.9244,3.2296,0
BGD_R,0.4622,0.0948,0.0785,0.0065,0.0047,2.9711,4.3959,0.1559,0.5822,1.0344,0.7119,0.3298,0.3834,0.5588,0.3398,0.2875,0.3038,0.3379,0.2837,0.6573,0.1531,0.6336,0.2776,0.2206,3.6619,2.8615,0.7944,0.3204,0.2959,0.4963,0.171,3.3257,15.7202,2.7499,0.2578,1.293,0.7682,3.9323,1.4884,5.1328,2.7193,1.3381,35.2736,6.598,0
BGD_S,3.8875,1.0621,0.399,0.0371,0.032,8.676,28.7003,0.7056,2.0236,5.6279,3.6697,1.1312,1.8644,3.6328,2.1256,1.5979,2.0077,1.6044,1.6376,2.0902,0.5928,4.1197,1.8103,1.3045,19.5919,9.8698,5.4317,0.7967,1.0948,1.9749,0.5635,8.1505,3.3822,5.6524,1.0229,4.1685,2.2154,5.2194,2.6873,6.0881,3.562,12.509,3.1902,38.2228,0
BGD_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
