V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T
CHL_C23,11.871,1.7512,0.1497,39.0181,0.1346,76.0808,1.2436,2.957,3.5376,1.3184,22.067,2.5635,8.1233,310.0681,13.2074,8.5453,1.2828,29.3054,5.5735,1.5644,1.2295,5.6047,2.4069,0.0454,1238.4985,53.3863,8.4567,2.2424,0.3262,0.3033,0.033,7.9984,0.7063,6.4397,0.5695,1.2998,2.7699,25.6657,2.8959,2.8123,2.7203,2.4914,0.6986,2.4005,0
CHL_C24,24.2774,2.4239,0.9867,446.7914,0.0552,29.2925,2.6416,4.0398,10.7504,17.7404,33.7899,1.3652,30.1663,17.7175,478.7005,322.5694,1.3008,35.2788,90.9809,45.9239,15.8307,47.8612,2.4967,0.2034,646.9111,27.052,5.4675,2.2202,0.7127,1.2179,0.1921,2.0488,2.3974,3.4075,4.881,4.018,3.9652,36.642,37.953,6.7514,1.8556,6.1977,1.2033,3.2054,0
CHL_C25,19.4677,9.6712,1.7961,198.7813,0.1907,77.8357,5.6329,7.7434,19.5884,6.2047,19.532,1.6165,9.2999,14.753,21.5026,47.9239,0.3666,7.8457,17.9533,6.7231,3.5868,15.2502,10.7389,0.2806,844.6982,108.1962,21.833,6.1176,4.9176,4.1201,0.3245,8.0003,3.8135,11.7708,3.09,16.4358,6.656,14.145,26.9895,13.2298,5.4524,9.0337,1.8995,7.4753,0
CHL_C26,0.1448,0.0861,0.0148,0.8088,0.0033,0.221,0.0185,0.0343,0.0819,0.0173,0.05,0.0159,0.0426,0.0426,0.0991,0.0858,0.0077,0.0355,0.0386,0.0137,0.0082,0.038,0.1134,0.0042,0.5077,2.5913,0.2539,0.0611,0.0514,0.0762,0.0285,0.0843,0.0759,0.447,0.7498,0.4446,0.104,0.3597,0.511,0.7851,0.1242,0.2912,0.0406,0.0951,0
CHL_C27,2.4049,3.2622,0.0453,6.3122,0.0023,1.5855,0.1254,0.4242,0.7109,0.7325,1.754,0.3975,0.4566,1.1075,1.2201,0.7503,0.3104,10.3738,6.9355,3.4258,0.6877,2.1812,2.481,0.0934,46.2286,98.0942,2.1216,1.0097,0.2172,0.5557,0.0019,0.2729,1.9396,5.9683,3.6667,0.5368,2.7019,7.0849,9.662,4.8395,0.7097,13.2869,1.3109,2.8566,0
CHL_C28,16.9107,8.3338,2.3326,126.0715,0.3315,28.7468,1.876,5.5319,14.2837,4.1001,8.3777,1.8824,7.0205,7.7554,3.7555,4.6503,0.1581,2.4891,11.1682,2.1129,1.625,7.4778,18.5698,0.4719,45.2561,96.164,30.6299,10.559,10.3261,5.7135,0.3234,6.1875,4.6753,24.884,7.7224,25.6222,3.9369,18.9238,37.889,23.7771,6.2328,11.6846,2.5836,2.3061,0
CHL_C29,0.0007,0.0001,0.0,0.6979,0.0,0.0007,0.0001,0.0,0.0028,0.0,0.0024,0.0,0.0002,0.0039,0.0048,0.0003,0.0053,0.2092,0.0001,0.0,0.0775,0.0001,0.0001,0.0001,0.0009,0.0091,0.0009,0.0004,0.0,0.001,0.0064,0.0,0.0013,0.0,0.0006,0.0073,0.0,0.0263,0.113,2.5419,0.0014,0.0,0.001,0.0037,0
CHL_C30,1.0709,0.0035,0.1509,2.9281,0.0,0.0028,0.0,0.0007,0.0116,0.0002,0.0011,0.0,0.0013,0.0,0.0,0.064,0.2182,4.0746,0.2356,2.5611,2.4175,0.6035,0.0007,0.0686,0.4978,22.9656,5.739,16.5411,22.3143,0.7417,0.0077,0.0551,0.0,0.0218,0.0726,0.0027,0.059,1.6907,5.965,6.5212,0.0009,0.0162,0.0346,0.1474,0
CHL_C31T33,21.0244,10.0382,3.7003,178.727,0.552,38.9099,5.6717,9.6224,18.8797,1.1614,5.8744,3.187,7.3035,9.4712,1.741,3.7569,0.1296,1.527,3.3711,0.6053,0.469,5.8572,32.4617,0.6854,44.0066,46.8137,49.361,15.2806,11.3201,9.2111,0.6716,11.3395,9.2033,50.906,4.8252,56.0109,5.0222,22.0634,50.3793,26.2591,11.9878,20.0414,3.2452,4.8954,0
CHL_D,78.7247,9.8136,1.2069,772.522,1.0666,138.1115,9.8298,54.0288,173.5527,190.2907,83.9101,3.3309,40.7277,66.2651,50.3541,25.4533,0.3297,5.1686,9.8455,9.5765,1.6894,12.3985,1520.2422,9.6223,55.7068,207.1458,36.0755,1.2565,1.7323,20.2582,1.3132,54.9913,11.1937,48.3931,12.48,71.4341,85.3324,47.8263,53.7416,139.1794,54.1406,61.531,8.1456,20.4979,0
CHL_E,1.4081,0.4479,0.0319,12.2207,0.1644,11.8756,0.8151,0.6724,8.4353,6.2907,5.1814,0.3552,5.2415,5.9936,29.4852,1.5351,0.0506,0.86,1.6929,0.4049,0.1467,3.2771,0.4276,4.6318,13.3792,11.7945,2.5388,0.0638,0.0716,1.4747,0.1404,4.9111,0.9404,0.6926,1.2861,5.5639,11.768,5.4351,2.4323,90.2066,23.9315,9.3691,4.5813,4.7516,0
CHL_F,13.9973,2.9213,0.337,11.7768,0.162,17.3071,1.4526,2.8792,5.1719,5.8839,7.5197,1.1229,2.9688,8.1791,5.6076,2.4203,0.1337,1.8758,1.9406,1.0665,0.4281,1.1321,9.7738,7.5759,5.398,145.1945,15.6976,0.3504,2.824,22.8122,0.4083,35.2179,7.5548,13.6346,4.1197,45.7943,1236.7829,28.3926,34.1227,178.386,71.5308,20.0813,8.1662,35.6433,0
CHL_G,626.5621,186.6693,9.8781,709.9683,1.8835,1446.007,139.9179,73.4606,162.2495,81.7862,274.276,87.8787,127.2652,94.5207,109.7591,76.8743,1.6041,30.1034,48.1523,32.5799,14.1925,60.3353,153.5029,5.2736,729.6326,788.6867,544.1475,189.6851,104.8902,49.4727,6.0674,261.5009,45.6682,130.0884,71.6482,208.736,48.8451,194.3005,286.755,172.7553,58.0299,150.5838,29.1029,58.4713,0
CHL_H49,267.0658,53.5593,3.2832,338.9653,2.9209,648.6388,26.7787,96.7175,124.2435,115.6363,114.6746,17.7549,54.2928,89.4569,77.4331,51.654,0.7043,13.9809,22.54,9.958,4.5705,31.0719,79.9176,1.1736,340.3212,918.9757,255.3048,85.5117,27.4672,26.8962,10.9899,59.5076,13.4153,11.1315,12.098,38.0985,8.8408,52.7778,108.298,46.5797,23.2525,39.9547,7.3816,31.6567,0
CHL_H50,5.0712,0.0887,0.0227,1.5106,0.0027,4.3867,1.1095,0.7185,0.9915,6.6241,0.6614,0.3245,0.9465,0.5668,2.612,0.6998,0.0345,0.7307,1.4078,0.0332,0.044,0.9569,2.0332,0.05,10.7185,9.1015,4.8089,0.3716,3.2799,0.2461,0.0158,1.5236,0.5353,0.6328,1.1346,0.7374,0.8659,2.0982,1.7716,1.144,0.339,1.4943,0.2144,0.6212,0
CHL_H51,12.9226,5.7736,1.0445,30.9762,0.1132,27.366,2.1265,2.2335,5.0566,22.1024,9.5029,2.0333,4.1802,4.3612,4.693,3.409,0.0903,1.2841,2.2449,1.0073,0.4192,2.3703,6.0771,0.3682,47.5227,45.0323,21.1874,10.8574,35.1257,4.818,6.6243,7.8843,2.534,9.5688,7.8355,16.7876,3.0161,21.7138,21.702,33.3384,2.6642,4.878,3.6882,1.9376,0
CHL_H52,43.8045,17.1537,0.3729,63.898,0.5028,130.0805,6.9416,21.0742,26.8329,15.5332,24.0274,7.9267,9.6752,10.7202,17.6044,9.6161,0.1269,2.6199,4.4984,1.9512,0.914,5.8181,9.3116,0.5992,55.0802,315.8444,158.3412,219.9642,75.4704,56.2486,2.8611,13.7482,2.4216,4.0482,4.0188,7.8746,3.808,13.9652,13.5887,7.3334,3.9219,6.4432,1.5055,5.7975,0
CHL_H53,1.9375,0.5265,0.009,0.7705,0.0057,4.2628,0.4122,0.5658,0.7368,0.5955,1.6289,0.2065,0.6872,1.0336,0.4352,0.7029,0.0183,0.2324,0.4699,0.2406,0.0489,0.5548,0.8525,0.6521,2.063,24.3411,4.4695,0.6696,0.1373,1.6966,58.7831,1.0622,0.6216,22.2734,2.6978,59.4347,1.2986,7.4708,9.6551,5.1535,1.3894,1.1009,0.2876,0.811,0
CHL_I,21.1402,9.2636,0.44,37.2835,0.0263,17.3402,1.9213,1.1384,2.8804,2.8934,9.1619,1.4895,2.3754,3.1046,1.6191,1.536,0.0777,1.2247,1.7957,0.4167,0.2429,1.1896,1.7998,0.4307,26.4176,115.2805,82.6816,4.5212,26.6018,3.1683,0.5126,10.3711,4.8258,3.9452,13.1083,37.6817,7.1792,43.7599,25.8251,58.9769,47.692,31.7366,12.4834,33.5535,0
CHL_J58T60,1.9899,1.2151,0.102,3.8424,0.0033,10.219,0.6367,0.7205,3.2179,0.6587,3.3388,0.5163,1.862,1.4931,0.4686,0.817,0.0238,0.3264,0.9283,0.4336,0.1188,0.4695,0.9612,0.4158,6.155,87.687,7.2842,4.6976,2.4472,11.6501,3.3777,6.528,28.9684,62.389,31.8942,54.1005,19.113,179.7156,91.0129,16.6151,18.089,7.3362,3.1805,11.8405,0
CHL_J61,14.9468,6.1315,0.9376,25.2585,0.0627,36.3023,3.7284,3.7306,6.363,3.7624,14.5457,1.8114,5.124,7.5523,2.8617,5.2892,0.2391,4.2854,3.2347,1.066,0.5267,6.8731,6.9617,0.622,28.4805,193.2436,23.5931,8.1919,8.049,19.6484,4.8944,26.3506,74.9066,1434.031,93.7883,153.2035,24.7763,130.2866,175.2636,78.7193,31.7386,37.4548,4.4591,18.3488,0
CHL_J62_63,7.1423,2.5513,0.5743,65.924,0.0483,84.2839,7.1189,8.6358,12.8254,19.3681,42.5236,8.9957,2.8145,11.5812,6.3345,15.1805,0.2105,1.8298,6.8932,5.4966,1.3102,7.1128,9.9191,2.1312,15.4767,178.7364,28.4019,6.2405,7.8767,18.9425,1.5364,13.1927,11.8083,78.7394,135.7678,216.2605,24.7971,118.8509,96.2607,87.0689,9.3842,18.813,12.8253,5.3217,0
CHL_K,208.9487,56.6684,9.0118,269.4441,0.9171,244.2949,20.5701,36.6722,67.5154,170.8495,86.7127,4.9849,37.9085,45.3462,40.6625,30.5514,0.8259,13.658,17.9977,6.6282,3.7526,30.9313,114.5023,13.8975,421.8566,747.1624,180.5704,22.8984,19.8657,92.3341,3.6908,81.3796,26.4483,113.0176,61.4957,1391.2832,450.0171,269.6578,382.3542,146.0201,149.9454,109.4534,33.8445,39.4063,0
CHL_L,30.5538,13.4082,0.5795,26.5593,0.0926,107.2914,16.0355,10.6273,16.7592,12.2098,20.9649,2.6638,11.9402,10.4349,5.2596,10.4705,0.2838,4.7785,7.8808,2.4443,1.1305,31.053,12.732,1.3631,335.8672,905.8568,52.2816,2.6173,29.937,49.003,5.2581,234.9312,32.3086,76.3338,62.1791,235.2329,163.5399,295.6029,231.8331,51.5002,144.3921,73.8642,24.3753,54.1578,0
CHL_M,50.4064,15.2996,36.3031,1199.6071,6.2529,701.3158,44.5539,40.6926,59.91,74.1428,338.6796,98.8293,42.1326,61.2531,87.9982,50.5458,0.8572,12.1893,47.567,18.7781,5.6245,33.6106,56.1073,16.0559,819.4164,1566.7501,64.0949,10.6115,39.9201,41.4679,18.9035,104.8794,59.2021,322.8049,256.483,609.6189,231.2896,790.2689,333.3144,90.6317,83.4524,79.3941,52.0389,48.0119,0
CHL_N,227.0312,92.4698,3.9759,358.0942,0.7681,198.6461,7.1137,40.95,61.4628,56.7866,58.097,1.5009,15.6239,37.7036,12.9697,12.5444,0.4467,7.553,7.8838,23.7618,6.2523,26.2984,38.6582,13.2873,382.6901,848.2708,169.0433,50.0061,62.6047,91.8872,7.994,79.5521,57.4093,463.808,44.579,663.3001,116.3507,316.141,353.0482,327.5754,95.9283,78.2025,32.1901,20.22,0
CHL_O,7.3837,3.4315,0.2273,14.5349,0.121,23.2887,1.2085,2.8458,9.4283,5.26,4.5214,1.1323,3.8322,3.6197,18.4135,1.7772,0.0444,0.6008,3.0197,0.8517,0.2397,1.5239,1.6849,1.9617,19.7435,71.6579,20.2362,25.4662,9.3967,8.8047,0.5292,6.4186,2.7382,4.4767,3.3291,5.5691,4.3469,25.9917,11.2205,38.2142,3.253,3.5736,5.2708,2.7736,0
CHL_P,1.3639,5.9986,0.1209,17.0527,0.0194,8.9685,0.4987,1.2423,2.3172,6.3682,4.6981,0.2048,1.1947,1.8815,1.3089,0.5785,0.0339,0.2769,0.2807,0.9024,0.3911,0.4025,1.5073,0.1719,10.9098,25.0864,1.5081,0.355,2.0339,1.0759,0.1553,2.6125,3.6678,4.1725,4.6343,10.3508,2.2088,31.6355,13.2057,7.8891,12.0823,4.8875,7.0785,9.6426,0
CHL_Q,17.769,3.9171,0.0125,0.8241,0.0016,2.1999,0.2328,0.2804,0.3289,0.4155,0.75,0.1159,0.1647,0.3148,0.1673,0.2712,0.0062,0.072,0.1617,0.1431,0.0358,0.3024,0.2849,0.0268,2.3828,8.1682,2.2522,0.4727,0.3883,0.649,0.2331,2.5479,0.7772,7.7651,1.8486,17.9635,1.5205,11.718,18.6245,19.2671,2.3461,352.6056,0.8514,18.3638,0
CHL_R,0.0013,0.0001,0.0008,0.0009,0.0,0.0027,0.0,0.0,0.3393,6.5204,0.0168,0.0009,0.0014,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.1852,0.9668,0.0,0.0,0.0,0.0545,0.0,0.3679,43.7364,0.0092,11.1729,4.3191,0.0719,75.7152,1.4968,42.1349,0.4356,0.3465,83.1507,2.5878,0
CHL_S,5.107,1.8477,0.3862,24.4173,0.0938,19.1681,1.6116,3.3117,5.6662,0.3782,6.0603,0.7439,1.2507,1.985,0.8629,1.6801,0.0793,1.1544,0.7104,0.3785,0.332,0.8586,3.5467,0.1816,7.3743,47.2096,7.0606,2.1873,2.9289,1.1078,0.0872,29.621,7.4848,6.1516,6.6408,8.8931,5.4204,24.025,19.5079,3.5725,1.3701,15.3356,11.455,28.7843,0
CHL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
