V1,SGP_A01_02,SGP_A03,SGP_B05_06,SGP_B07_08,SGP_B09,SGP_C10T12,SGP_C13T15,SGP_C16,SGP_C17_18,SGP_C19,SGP_C20,SGP_C21,SGP_C22,SGP_C23,SGP_C24,SGP_C25,SGP_C26,SGP_C27,SGP_C28,SGP_C29,SGP_C30,SGP_C31T33,SGP_D,SGP_E,SGP_F,SGP_G,SGP_H49,SGP_H50,SGP_H51,SGP_H52,SGP_H53,SGP_I,SGP_J58T60,SGP_J61,SGP_J62_63,SGP_K,SGP_L,SGP_M,SGP_N,SGP_O,SGP_P,SGP_Q,SGP_R,SGP_S,SGP_T
SGP_A01_02,0.2123,0.0373,0,0,0,12.1114,0.8933,0.0021,0.0266,0.0001,0.1115,0.0358,0.0261,0.0,0.0,0.0208,0.0396,0.009,0.0158,0.0019,0.014,0.0294,0.043,0.0,0.4414,0.0056,0.0028,0.1266,0.0,0.0061,0.0004,17.3172,0.1531,0.0,0.0072,0.1031,0.1375,0.1782,0.115,0.9449,0.019,0.0922,0.0583,0.0484,0.0
SGP_A03,0.0,5.1687,0,0,0,7.4331,0.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.236,0.0,0.0,0.0,0.0,0.1294,0.0,0.0136,0.0,10.045,0.0,0.0,0.001,0.0,0.0,0.0095,0.026,1.0004,0.0,0.0108,0.2368,0.1015,0.0
SGP_B05_06,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B07_08,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B09,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_C10T12,5.7352,2.2119,0,0,0,404.7349,2.5881,0.0385,0.8357,0.2819,24.1146,4.0668,0.0704,0.0582,0.1579,0.2819,2.4723,0.0916,0.8542,0.0744,0.2233,0.2467,0.1264,0.5508,0.8076,4.345,0.1931,14.9984,0.1477,1.7532,1.0224,414.2085,1.9482,0.0015,0.2009,5.1802,1.1243,2.2556,2.7698,27.6748,0.2147,1.8729,2.6523,7.1248,0.0
SGP_C13T15,0.01,0.0451,0,0,0,0.1743,83.4385,0.0316,1.4195,0.3622,4.3164,0.0792,1.0289,0.0626,0.0989,0.9736,7.8529,0.3623,4.3118,0.1498,4.6783,2.5944,0.2062,0.1157,2.436,32.1233,3.3295,0.5405,0.4434,0.4679,0.0706,3.4414,0.5383,0.9463,0.0355,0.1252,1.8342,5.1743,0.9956,4.5534,0.3369,2.0639,1.0902,2.1295,0.0
SGP_C16,0.0087,0.0168,0,0,0,0.2673,0.0696,7.105,0.0709,0.023,0.8739,0.1092,0.2154,0.4673,0.0388,0.5756,4.1122,0.1215,3.006,0.1699,0.7196,13.9247,0.0496,0.1325,41.9488,0.2478,0.0299,0.5863,0.0,0.4589,0.0127,0.0366,0.4441,0.0199,0.0264,0.035,0.232,0.6267,0.0574,1.043,0.8002,0.3848,0.0043,0.4233,0.0
SGP_C17_18,0.0595,0.0479,0,0,0,16.0333,4.1768,0.2039,131.2185,1.8597,32.0194,1.6536,6.1093,2.0209,2.5767,7.2279,46.6689,10.5321,14.1627,1.5011,1.8942,4.698,0.6472,0.7607,2.0332,205.1782,3.3295,5.478,4.1451,14.2938,3.3746,12.7983,151.3447,13.1701,3.8264,57.8079,14.8675,84.9186,15.9064,40.8087,18.1156,5.8034,12.1904,7.5157,0.0
SGP_C19,0.1132,0.23,0,0,0,4.2238,1.1771,0.1582,1.6484,1509.5908,1563.5631,30.4158,4.3479,4.696,2.5614,7.0611,134.8603,2.7993,17.2581,0.7564,4.7231,5.6819,75.1532,7.1765,36.4932,77.4913,95.2674,550.6625,268.8676,28.6853,0.1611,2.9847,2.638,0.9198,1.1936,6.1229,2.5068,6.1659,20.56,24.8183,1.9013,0.2748,1.2703,2.6014,0.0
