V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T
PHL_A01_02,1449.6568,128.1986,1.4505,5.2973,0.5459,8511.9702,38.9381,94.37,25.4041,19.0321,30.2404,58.344,81.7144,5.9805,21.416,11.8421,14.5806,7.7305,1.938,17.9944,16.4358,19.1299,17.7421,3.7613,94.0768,593.6765,24.0694,3.3814,9.4017,5.5489,0.5129,229.879,2.5174,9.2269,3.5445,65.8736,93.2062,13.6827,34.2154,17.1341,7.3695,38.0017,2.557,5.561,0
PHL_A03,7.4443,67.9422,0.436,2.7637,0.1331,613.0526,18.1911,52.9856,17.7265,1.8424,20.3006,0.8366,16.7467,0.9321,2.6092,2.7774,5.0448,2.2474,1.3527,4.7101,2.2854,70.9357,3.1726,2.0392,10.0138,138.0031,2.327,0.7036,1.5117,0.7122,0.182,58.9982,0.6997,1.3131,0.6248,9.7998,4.1686,6.5319,8.3324,3.2947,1.1858,5.2162,3.069,4.2074,0
PHL_B05_06,0.355,0.1922,0.3394,0.6853,0.1115,0.9834,0.1933,0.0646,0.1135,245.5952,0.325,0.111,0.1595,14.2204,7.0301,0.1324,0.1866,0.1636,0.0784,0.0496,0.0392,0.1008,10.2974,0.0697,4.6338,16.3884,0.6341,0.2386,0.3351,0.0655,0.0033,0.1335,0.054,0.0894,0.0242,0.3375,0.2881,0.1011,0.1938,0.1502,0.0792,0.0901,0.0627,0.1035,0
PHL_B07_08,0.777,0.2783,4.8843,17.833,0.4661,78.9835,0.5752,0.1528,0.2827,1.1802,2.4858,0.0953,0.6904,58.9609,455.4055,0.6119,3.9573,4.771,0.2002,0.5929,0.2728,26.7182,3.8751,0.7373,112.6466,148.2544,0.9557,0.1333,0.1921,0.1917,0.0114,1.0461,0.1535,0.2717,0.0873,0.9688,2.16,0.7723,0.7317,0.5029,0.5755,0.4913,0.1864,0.2753,0
PHL_B09,2.0478,2.2541,3.3646,8.538,1.1934,1.6375,0.0322,0.0657,0.6077,31.4933,2.0406,0.0387,0.1044,2.9355,1.1554,0.2181,0.0157,0.0185,0.0138,0.01,0.0133,0.0141,10.9186,0.2467,13.3739,0.6656,1.0272,0.0979,0.0218,0.2394,0.0003,0.0818,0.0077,0.0081,0.005,0.0724,0.4943,0.0471,0.1426,0.1846,0.0329,0.0486,0.0668,0.0286,0
PHL_C10T12,1030.3889,53.4245,0.9807,6.2198,0.3695,4417.4793,53.9777,37.854,8.3653,9.3841,74.2915,17.6421,5.1235,7.2666,16.2166,3.2374,75.4746,90.6614,1.9505,246.7438,70.5444,12.7395,8.793,5.126,124.2667,914.0513,47.1882,17.1342,36.6653,4.5196,3.0484,1719.1859,3.787,6.5001,5.2347,18.891,65.1888,17.438,42.6172,55.8804,22.4254,164.1671,9.1944,5.1713,0
PHL_C13T15,10.205,33.6877,0.3042,0.5393,0.1635,60.2341,760.7081,18.9949,22.9804,11.2568,10.3637,0.8561,18.9821,9.6552,2.6594,1.9026,8.1724,2.5646,0.8003,1.6254,1.2442,81.3485,2.4168,0.8152,21.8253,112.967,8.6676,2.0184,4.7284,15.2217,0.177,17.2919,25.0491,4.6884,1.1513,5.8434,3.4587,1.6563,8.8577,8.3093,13.5299,16.3811,44.9533,23.5591,0
PHL_C16,4.133,4.0794,1.3732,1.588,0.0769,9.5883,2.5313,42.3953,10.1771,3.5685,3.155,5.1527,1.0652,12.4293,0.5596,2.6425,1.2718,2.0042,1.4043,0.3105,1.1699,155.6985,0.4284,0.1221,295.5427,15.9093,8.5868,4.0509,0.325,0.947,0.0294,1.0125,0.22,1.04,0.1534,1.2418,9.0208,0.3718,0.6554,2.2766,0.3509,0.5362,0.5204,5.6988,0
PHL_C17_18,7.0873,2.1501,1.3497,1.2484,0.0794,118.9236,14.5802,7.3501,194.2112,10.467,48.8287,4.4274,5.7534,12.0446,3.3431,3.9679,4.8475,8.1324,4.2696,2.1263,1.0653,13.5679,8.0302,4.3305,17.5268,49.3856,5.4168,1.1647,3.0942,9.7312,0.0909,5.8785,35.0227,2.3857,5.4885,91.5934,8.3488,23.5254,39.3165,23.2857,54.476,7.7019,11.7814,15.6118,0
PHL_C19,97.3111,47.0249,8.2576,45.3362,1.5745,191.195,111.4248,38.5942,33.749,800.2652,185.9777,105.6404,133.3764,166.4244,203.021,82.3541,21.1302,43.9243,45.148,19.439,14.4967,26.8392,152.2978,14.7195,205.1875,315.5305,530.1485,213.3339,278.909,25.7112,1.7222,9.1062,10.8459,10.7828,5.9814,91.87,51.9095,11.8534,40.2033,29.4148,30.36,6.8815,7.4812,33.8661,0
