V1,KOR_A01_02,KOR_A03,KOR_B05_06,KOR_B07_08,KOR_B09,KOR_C10T12,KOR_C13T15,KOR_C16,KOR_C17_18,KOR_C19,KOR_C20,KOR_C21,KOR_C22,KOR_C23,KOR_C24,KOR_C25,KOR_C26,KOR_C27,KOR_C28,KOR_C29,KOR_C30,KOR_C31T33,KOR_D,KOR_E,KOR_F,KOR_G,KOR_H49,KOR_H50,KOR_H51,KOR_H52,KOR_H53,KOR_I,KOR_J58T60,KOR_J61,KOR_J62_63,KOR_K,KOR_L,KOR_M,KOR_N,KOR_O,KOR_P,KOR_Q,KOR_R,KOR_S,KOR_T
KOR_D,300.3244,31.8489,3.7914,86.4142,0.3155,508.1388,1014.383,107.2427,628.9496,708.9655,1692.8465,79.0192,385.1568,754.1002,2634.3883,773.5483,1723.1846,402.8102,532.2813,760.8259,229.8123,101.7542,4456.8559,430.7845,455.5057,817.0517,446.9957,2.9743,13.644,357.8066,15.7688,1689.5917,202.3662,333.0702,95.7093,343.6396,2051.3345,652.9981,202.9794,776.2992,1944.3919,921.9767,697.0042,616.7098,0.0
KOR_E,30.7006,4.0013,0.4612,12.1734,0.0492,136.2806,194.1209,5.4359,31.1618,34.4621,247.6167,18.7197,52.8715,45.5898,92.5474,141.2137,130.0988,18.4031,65.848,89.6521,21.6089,18.7891,76.5777,766.659,235.2027,74.3784,205.819,3.2564,1.7966,89.3232,5.6156,698.5348,28.8236,37.607,7.8881,73.1045,411.7028,103.6652,37.2313,191.2589,398.7875,620.538,88.2093,221.1362,0.0
KOR_F,22.0031,6.0873,0.3936,4.4115,0.2064,31.2137,30.522,2.0007,8.5512,5.9346,34.3712,7.0894,16.2097,12.4738,39.6481,28.6659,64.8858,24.5492,35.5189,19.5629,6.6924,4.4883,380.8936,21.72,42.4338,90.314,39.5702,3.9746,9.2283,37.4697,9.9485,199.2992,8.1593,72.9046,20.2074,35.7514,2868.7461,121.9434,22.5131,780.9831,291.1769,153.6949,92.8267,88.72,0.0
KOR_G,1424.7338,200.9565,2.8141,48.7287,0.2716,5330.2676,2757.8015,325.7911,1001.0846,554.8485,2429.4083,344.3901,1825.8377,649.0625,1577.4693,1572.9241,5372.7448,1914.8028,2244.4359,3608.956,1058.6307,826.2021,356.2751,138.2557,4770.6057,1163.3133,743.459,133.3472,249.2095,228.309,54.0826,4870.8258,352.0741,111.7512,261.118,216.0225,159.9436,1858.3986,277.2005,622.1049,769.8095,1783.9866,240.9352,746.7104,0.0
KOR_H49,127.3511,25.7879,4.9333,281.083,0.5178,1410.1564,517.5371,106.0963,432.4353,287.3817,1167.3764,198.7592,459.6388,1455.4709,1291.0938,573.2865,828.5988,311.0432,655.8592,641.6101,164.8792,142.4642,106.6309,208.2493,1165.5734,2153.9156,274.6378,28.1219,54.5175,209.2147,126.8424,338.3835,128.4268,38.0412,65.3241,368.6238,123.3154,1379.414,269.0791,497.3539,274.297,310.7558,56.3285,244.257,0.0
KOR_H50,53.1419,98.8781,0.3756,19.3071,2.1675,402.7876,177.9435,45.6671,77.1034,642.8947,650.6135,22.6547,273.6786,778.0177,683.2838,310.0973,418.398,118.0534,546.1611,433.8837,282.3706,42.1738,318.9659,76.0841,463.5438,695.0618,181.6192,12599.2402,143.2099,143.0362,4.0734,85.7977,9.2461,7.0759,15.8585,9.1344,4.7289,60.4412,44.402,122.0731,59.8131,58.9244,15.7624,32.7514,0.0
KOR_H51,13.3615,11.4486,0.1524,3.6473,0.0693,76.8812,86.2664,8.0393,25.9214,101.2973,97.1919,50.1757,56.586,69.3006,101.9678,72.4798,357.8562,81.923,171.071,73.0014,24.6008,15.5677,56.5981,5.809,153.1123,872.0708,96.6435,4.8404,43.637,66.7399,308.0409,32.7862,62.2993,30.5114,77.1318,125.881,8.3334,455.6265,110.113,294.2546,53.2714,36.6695,16.7632,82.8605,0.0
KOR_H52,101.5757,186.2024,0.3461,103.1768,1.456,733.3271,250.3045,43.4645,157.7636,207.7864,478.6068,43.517,161.3178,402.1829,502.3203,259.8346,812.1227,193.0356,319.718,351.1257,112.7326,62.8293,57.8042,76.5687,456.1493,1060.6892,2913.0453,744.5059,1734.9473,845.3101,84.5035,165.1076,34.1605,14.8499,76.0935,73.8919,31.9786,555.5578,68.838,71.812,68.7046,79.7446,43.0648,111.0758,0.0
KOR_H53,27.0405,4.2387,0.2883,6.0754,0.0364,53.1508,102.5316,3.9284,30.5488,9.2052,47.8548,32.0465,21.4188,34.9849,35.5239,43.9941,87.23,36.0599,48.5294,28.9531,17.415,11.69,8.8063,16.0514,94.4044,509.9377,34.3475,3.2601,4.1497,73.5865,1455.0264,59.4075,35.598,145.2572,62.6974,411.3804,21.0804,856.6483,102.449,224.1146,125.4611,173.2257,23.0592,128.8756,0.0
KOR_I,1.1091,0.163,0.0052,0.2053,0.0006,3.2898,2.6282,0.146,1.2253,0.5234,1.7194,0.5418,1.0071,1.1409,1.3464,1.2241,2.3118,1.293,1.4121,1.2678,0.4999,0.5241,0.448,0.4328,4.534,16.8636,1.7933,0.1715,0.7871,4.3579,0.27,20.9772,2.9418,0.7989,4.2177,7.0067,3.6504,36.1197,5.9937,2.1109,5.9907,9.568,7.6675,19.9292,0.0
KOR_J58T60,17.842,5.1427,0.0896,3.3895,0.0386,48.391,53.6786,3.7965,63.8078,17.6337,40.0494,37.0947,24.4992,21.3972,27.299,48.9068,166.7347,61.0589,71.968,37.9351,24.2797,13.3399,7.3376,8.923,131.6343,334.3243,36.1762,10.0528,137.9524,60.7259,20.6275,128.8084,2339.4159,58.6718,220.1675,156.983,59.0526,4644.2262,251.2253,204.8387,703.331,182.0477,264.8259,348.2089,0.0
KOR_J61,115.3302,10.6517,0.7805,5.4894,0.0735,105.7101,116.0095,10.2809,82.3601,37.498,127.0563,38.7067,80.3711,122.2242,102.7831,82.8985,424.2723,130.7861,135.638,174.3634,59.0725,28.8659,61.85,39.8141,360.6988,2262.7413,162.5423,10.5767,41.6473,395.4113,53.4547,255.4387,252.6584,2768.1195,391.1529,678.7209,197.5932,2708.4054,701.6898,533.0149,423.3472,220.067,277.8814,291.6336,0.0
KOR_J62_63,12.4536,3.8645,0.7986,5.5007,0.0374,71.6219,117.7021,4.023,50.8497,32.2217,106.1207,25.2511,71.068,28.5353,82.5679,58.3008,740.2105,86.0109,212.4988,98.6359,39.0312,17.8299,52.3343,36.5697,221.4875,255.2621,115.0309,8.4532,101.797,71.7233,83.5944,61.305,109.6227,505.4878,1989.3745,601.9731,96.1938,532.7006,49.645,249.5996,475.5213,96.3369,111.463,95.1045,0.0
KOR_K,556.4396,120.9599,7.0567,72.5215,0.5144,726.4232,761.6706,71.7815,258.4614,262.4576,801.3484,146.7358,338.1468,354.8925,809.1568,626.4698,1547.9898,554.4613,930.9392,909.7791,294.4322,153.1321,289.0592,293.7227,2423.1701,1646.7615,1603.0907,217.4132,359.3554,547.3806,141.418,899.5286,283.8205,300.4526,197.2207,14755.605,5866.8806,1395.2691,421.4988,1580.5086,1328.6412,1790.429,499.5792,745.0657,0.0
KOR_L,69.1148,12.7856,0.1858,12.5182,0.0604,143.5845,230.0785,9.786,104.9824,35.8434,90.6933,59.4297,67.4564,71.412,80.792,125.175,171.3928,121.5376,125.3459,88.7938,42.3669,41.2803,35.097,37.2053,549.5736,2366.4565,243.4532,27.6586,121.3625,619.9836,26.1384,2843.5493,91.6622,66.1749,547.0255,950.7034,533.2878,5244.4033,845.9916,206.5903,741.3106,1372.2678,909.1475,3020.3112,0.0
KOR_M,176.1211,100.1388,7.4116,43.7021,1.3642,2401.1686,1467.4442,58.1473,455.3352,399.0327,1397.1964,1351.9603,483.7095,449.5567,1169.1084,959.7404,8264.3328,1377.3224,2067.3088,2263.692,748.225,269.4043,538.9444,202.3102,6247.4935,2005.688,646.6952,68.0302,294.9478,857.648,45.0338,595.4174,1945.689,1280.9739,2041.4121,2308.5987,681.7136,5370.8206,613.1992,879.7406,648.7755,940.8287,646.4071,410.6373,0.0
KOR_N,33.5821,78.7732,0.4649,65.2145,1.3239,386.4468,583.8297,19.1633,215.9867,131.012,463.6995,105.4854,96.344,185.326,607.1802,375.3141,465.5747,227.6101,147.2121,81.2121,397.2982,47.5177,402.0391,149.4527,1155.2016,1677.9619,672.7026,385.5641,775.1105,917.5695,375.6103,192.3858,496.4381,1257.8064,2325.7254,1317.71,380.3078,1310.6348,1088.8435,1185.0493,695.5338,677.3149,1252.5512,420.221,0.0
KOR_O,14.0087,21.145,0.0591,3.1901,0.0452,60.0031,33.1627,3.3142,17.8593,12.2579,34.233,13.3262,16.8318,17.2394,27.4381,23.0246,62.8315,23.0287,27.9582,25.7729,10.65,12.7733,11.5897,17.8571,65.7256,157.6797,288.5121,18.5498,95.1192,52.6497,3.5253,181.296,21.6798,15.5964,32.7606,82.1886,37.4702,286.4142,49.6909,200.4747,49.6748,89.9075,54.9422,155.6807,0.0
KOR_P,4.6815,0.6161,0.0559,1.0791,0.0116,34.2157,27.8428,1.4619,14.2781,21.0267,37.8235,16.104,14.5,15.8001,60.2077,27.6337,73.8677,34.6139,48.2016,29.1217,11.9784,5.1852,13.2497,9.1153,67.0479,149.7461,13.951,1.8453,14.3097,30.7332,3.9388,46.7389,15.2427,25.6418,48.249,69.0004,37.6988,272.7179,27.7261,113.2376,59.699,31.6367,24.5426,79.2787,0.0
KOR_Q,77.7236,18.6225,0.13,1.5069,0.0059,25.478,18.0579,2.4453,7.7352,6.5808,16.4267,12.7334,15.9585,13.4572,19.1051,33.0498,25.6701,17.1341,38.3521,18.6393,24.1882,6.1354,9.879,19.3564,122.2008,89.3546,41.0747,0.563,4.7285,25.178,1.9634,40.9399,9.4757,10.2082,16.031,38.5106,18.4524,158.422,28.4483,57.2338,52.6793,533.5171,22.4718,40.3018,0.0
KOR_R,2.532,1.0582,0.0906,1.0301,0.0022,7.4486,7.6669,0.7608,11.357,2.6794,9.6633,1.5819,4.0352,4.0457,10.1216,7.3003,5.757,5.0859,11.1795,6.9623,2.7857,2.173,1.8564,4.0898,11.7253,31.5775,4.7867,1.0795,1.6184,13.3578,0.4282,21.7781,151.1449,12.2849,21.9522,32.3495,6.4598,95.9999,18.5142,20.536,28.3187,15.2251,109.4705,20.642,0.0
KOR_S,11.6315,5.3059,0.1583,5.2183,0.1318,48.551,50.5689,6.2181,26.2872,12.7238,49.8409,12.1494,19.5888,32.6708,47.0124,56.5062,38.9213,37.157,59.3545,19.2407,19.6258,13.0377,7.3206,4.5816,109.0728,91.3187,57.9387,1.6748,10.0471,43.4752,17.4605,49.3414,18.353,38.7835,26.5563,35.1315,61.8552,205.6528,32.5638,48.7205,221.0222,88.9392,44.9951,156.013,0.0
KOR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
