V1,GRC_A01_02,GRC_A03,GRC_B05_06,GRC_B07_08,GRC_B09,GRC_C10T12,GRC_C13T15,GRC_C16,GRC_C17_18,GRC_C19,GRC_C20,GRC_C21,GRC_C22,GRC_C23,GRC_C24,GRC_C25,GRC_C26,GRC_C27,GRC_C28,GRC_C29,GRC_C30,GRC_C31T33,GRC_D,GRC_E,GRC_F,GRC_G,GRC_H49,GRC_H50,GRC_H51,GRC_H52,GRC_H53,GRC_I,GRC_J58T60,GRC_J61,GRC_J62_63,GRC_K,GRC_L,GRC_M,GRC_N,GRC_O,GRC_P,GRC_Q,GRC_R,GRC_S,GRC_T
GRC_E,101.8635,0.129,1.6039,2.0043,0.1654,3.9119,1.4255,0.2769,15.5241,0.312,0.3972,18.1105,13.6607,0.7491,107.0594,1.7503,0.083,0.0937,15.0511,0.034,0.2155,0.5979,2.0203,24.5042,38.8319,504.5141,65.8999,24.8065,2.1071,138.3221,0.1361,42.5135,9.1327,8.7983,2.1849,98.617,2.2978,83.2075,63.1532,368.6798,230.7825,91.7485,5.4617,14.8582,0.0
GRC_F,27.8373,0.0506,33.5144,36.0786,1.0409,134.6996,46.5874,20.5013,16.5283,84.0313,56.753,56.2772,24.0438,70.4756,45.7666,29.3055,0.5594,2.7202,1.2862,1.4318,2.9593,12.4044,56.4279,6.0293,9.3726,404.4177,0.5006,1024.9689,14.6031,49.0973,0.0225,223.1729,48.1149,54.0362,0.8762,98.862,2788.6451,227.1199,90.6356,684.446,51.2851,190.0541,127.6299,129.26,0.0
GRC_G,1000.4621,44.3943,11.7324,56.583,1.1304,2008.4449,551.3467,250.2605,317.8659,641.2562,227.6343,179.6432,131.1075,221.8511,181.9167,315.8879,53.7276,77.2994,51.2488,18.2166,25.7553,199.6386,187.9383,121.5274,3637.3866,2011.9502,307.5773,613.4327,102.5091,81.3288,18.4683,2121.0555,159.8269,282.4373,32.983,99.4995,24.1138,491.4397,168.0935,930.7603,130.5216,1137.8797,147.0981,206.0893,0.0
GRC_H49,102.8165,3.9535,2.6169,16.6974,0.3824,191.3809,35.0418,29.9022,27.5638,95.7664,27.3161,14.6229,11.8153,37.6952,28.5043,37.2354,4.5889,9.2968,5.8938,1.9228,3.2098,21.2652,29.8032,9.8131,478.3451,830.1529,20.0706,64.2856,7.9433,17.5785,1.2335,153.2606,13.6464,17.6228,2.5405,15.6411,15.5679,40.0791,42.9443,84.0091,13.9129,67.8816,14.9039,58.2355,0.0
GRC_H50,11.5014,5.0779,0.2016,0.9344,0.4248,61.2534,31.2656,8.1096,17.7593,72.0566,29.6149,25.1342,8.6084,26.1157,20.1039,32.7473,9.6525,7.4755,16.1354,2.5226,13.5382,19.9312,4.0747,3.2536,57.7609,913.0114,296.8823,447.6852,109.698,40.0312,0.4376,22.0151,18.6628,8.0502,2.5478,14.7945,0.1398,73.0245,111.8169,102.0961,2.1762,24.6387,2.7725,21.2775,0.0
GRC_H51,3.0147,0.4891,0.0564,1.0517,0.0541,11.2065,5.1135,1.6957,1.8567,8.501,1.8878,3.8381,1.7392,3.0929,1.8064,5.2228,0.8453,0.884,0.8954,0.1673,0.4797,2.0071,4.2888,1.8985,27.161,102.864,3.7127,21.191,5.0826,3.6637,0.3218,11.3059,5.5232,20.147,1.8284,7.0512,1.484,40.0847,35.629,114.0277,0.5912,3.6973,6.6547,12.3271,0.0
GRC_H52,16.5525,19.3063,0.1425,1.2061,0.1795,40.1852,6.0523,5.59,5.255,20.6721,3.8097,2.6757,2.0337,6.6482,4.8037,6.6015,0.6563,1.5759,1.0216,0.3302,0.4586,3.7425,4.5073,1.7323,92.7746,294.1358,90.9973,1219.6577,109.2871,93.4213,0.4897,38.2772,2.9775,51.8831,13.7104,2.4137,0.5627,13.2286,31.8302,12.6782,2.1317,11.8778,2.1644,4.1062,0.0
GRC_H53,0.5483,0.0377,0.0484,0.9558,0.0286,9.3773,5.8542,0.1453,0.1552,0.4259,0.1209,1.5466,0.069,0.1761,0.7949,0.2129,0.0241,0.045,0.0312,0.008,0.3368,0.1119,1.3622,0.3601,2.295,553.0268,4.7139,1.4091,0.3272,0.1998,0.0115,57.8531,12.7479,115.8076,30.6825,63.6292,0.0982,94.5694,35.7577,54.6981,0.0658,5.1678,14.6571,18.1495,0.0
GRC_I,0.0023,0.0,0.0635,0.1384,0.1417,9.7117,6.2933,1.1659,0.8762,1.5644,2.7853,3.5953,1.9875,3.1668,1.6311,5.7763,1.7888,0.9707,1.3186,0.1833,0.8409,2.5767,1.2858,0.133,1.8331,22.4497,1.7936,45.2679,102.3316,1.5521,0.0,0.0,66.084,0.0225,9.3218,12.3927,1.1706,126.6528,122.5555,47.4702,0.1895,11.6782,7.1684,233.7662,0.0
GRC_J58T60,0.267,0.142,3.901,4.8682,0.0322,19.5277,7.1551,1.2575,1.3429,1.1247,2.4462,6.1405,1.3643,5.1265,1.5811,7.1586,0.7589,1.3879,1.9305,0.3189,0.6264,3.7616,6.7926,0.685,43.8949,132.048,2.3709,8.4289,4.2684,3.5692,1.2422,52.9862,184.6756,22.4304,10.7025,18.8631,2.7434,653.2208,68.9798,28.8533,29.8422,10.3264,35.853,9.9498,0.0
