V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T
EST_A01_02,288.363,0.0317,0.4681,0.4178,0.0042,278.3547,2.5905,404.2692,26.4159,0.0941,0.3006,0.0252,0.2439,0.3854,0.023,0.822,0.528,0.2689,0.2503,0.1719,0.0834,18.3358,1.4752,1.5748,4.2239,11.0681,1.2412,1.0422,0.1163,2.5193,0.1727,17.632,0.2694,0.1656,0.3956,0.5804,2.7069,5.919,3.274,2.615,1.9925,0.9853,1.7771,0.5179,0.0
EST_A03,0.1218,0.145,0.0106,0.0074,0.0001,23.1186,0.0315,0.0856,0.0139,0.0114,0.0329,0.0026,0.0158,0.0291,0.0016,0.1432,0.0546,0.0488,0.0156,0.0076,0.0022,0.1034,0.11,0.054,0.4657,0.8189,0.3255,1.1177,0.1061,0.4054,0.0113,4.3648,0.0329,0.0196,0.1059,0.0865,0.2174,0.2983,0.343,0.1176,0.1763,0.1265,0.1231,0.0472,0.0
EST_B05_06,5.5729,0.0051,1.0503,0.238,0.0052,0.1001,0.004,0.0004,0.007,60.2272,1.1491,1.4476,0.0002,0.6532,0.0187,0.001,0.0012,0.0,0.0198,0.0015,0.0038,0.0389,168.0206,0.1907,0.0187,0.0598,0.0972,3.348,0.0034,0.1323,0.0,0.0047,0.005,0.002,0.0,0.0,1.7667,0.2349,0.4941,0.0372,0.1505,0.0256,0.1476,0.0053,0.0
EST_B07_08,1.8607,0.056,2.2938,3.1923,0.0202,0.402,0.0401,0.3546,0.4221,0.0593,2.2488,0.008,0.1229,16.8924,0.0455,0.2465,0.0694,0.1174,0.1779,0.0302,0.0265,0.2095,9.7841,0.5578,86.3051,0.7366,1.3635,2.0725,0.0095,0.7139,0.0092,0.0633,0.0125,0.0236,0.0964,0.0217,3.7923,0.4756,0.9683,1.1563,0.2116,0.0918,0.3261,0.4252,0.0
EST_B09,0.0016,0.0002,0.0657,0.0223,0.0007,0.001,0.0001,0.0006,0.0011,0.033,0.0023,0.0,0.0003,0.0112,0.0016,0.0025,0.0001,0.0002,0.0003,0.0,0.0,0.0003,0.0323,0.0006,0.0485,0.0005,0.0022,0.0002,0.0001,0.0038,0.0,0.0001,0.0,0.0,0.0,0.0,0.0014,0.0012,0.0008,0.0012,0.0,0.0002,0.0001,0.0001,0.0
EST_C10T12,51.5753,0.6855,0.0367,0.0198,0.0005,142.6002,1.5553,0.0389,0.1426,0.0,5.78,0.3313,0.0051,0.0269,0.0014,0.0104,0.0013,0.0001,0.0963,0.0054,0.001,3.8213,0.1085,0.0375,0.2638,4.2888,0.2378,0.0436,0.111,0.2123,0.0,90.0592,0.6624,0.005,0.1773,0.1676,0.4113,4.0263,1.8885,2.9482,8.1282,4.8734,2.1504,0.3244,0.0
EST_C13T15,1.3414,0.9807,0.3692,0.2342,0.0032,1.5996,54.4876,1.6187,0.9244,0.2279,0.2141,0.032,2.216,0.7664,0.0265,1.7398,1.0832,2.3491,0.7591,4.3578,0.1959,19.2648,0.3707,0.16,4.0707,4.9088,0.595,0.1728,0.0823,1.2817,0.0804,3.1303,0.5467,0.0688,0.3025,0.2087,1.0788,4.8645,6.2976,1.6203,0.5833,2.1523,2.3199,1.5681,0.0
EST_C16,10.9005,0.0763,0.9072,0.7228,0.0115,3.7728,1.9917,339.0697,2.3604,0.3284,0.9837,0.0784,2.6142,5.9182,0.2214,2.7071,2.3994,2.0358,1.2784,1.8634,1.2212,70.1553,29.2712,1.5325,128.9757,13.7948,2.9746,0.5739,0.17,9.149,0.0588,1.0115,0.2535,0.296,0.6344,0.5111,9.0211,4.7026,1.5899,1.1381,0.466,1.0378,0.688,0.6963,0.0
EST_C17_18,3.3535,0.1305,0.7064,0.2973,0.0011,18.1859,4.4899,9.3893,47.0003,0.0876,1.1616,0.4819,1.0594,1.346,0.1326,1.2566,2.2881,1.0065,1.0842,0.3027,0.1058,2.8598,0.5387,1.472,1.0646,30.5226,0.3368,0.1983,0.0777,1.8396,1.4057,2.3685,34.6204,5.1193,13.4721,6.661,0.7179,41.7785,8.6457,0.8944,5.8244,1.9103,2.8553,12.5923,0.0
EST_C19,15.0472,1.611,3.5566,2.2082,0.0281,2.4299,0.5176,2.3906,0.4999,1.4869,1.6281,0.0385,0.5583,1.1385,0.0712,1.101,0.1223,0.2579,0.3494,0.186,0.0776,2.3246,6.9777,1.2675,16.782,8.2213,48.3915,15.3367,7.2349,4.0503,0.3364,0.4554,0.1532,0.2408,0.4899,0.2619,1.0348,1.9282,2.2389,2.7826,1.1856,0.7207,0.8536,0.4684,0.0
