V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T
NZL_A01_02,3184.3566,23.4675,0.5197,1.1873,0.3228,8904.6002,173.3633,652.1178,318.1625,0.2464,0.9607,2.1835,13.3433,1.0769,0.3179,1.1626,0.5394,0.3189,8.773,0.1596,0.1983,1.1482,1.6365,0.8125,49.388,92.4683,9.086,3.5787,2.3623,5.6879,0.4014,126.3175,4.0917,0.9815,1.9399,16.2498,16.518,50.7582,67.7049,133.7981,4.4545,88.7231,79.7092,11.8866,0.0
NZL_A03,191.6939,307.424,2.8949,1.5569,1.9124,349.8836,2.2294,0.9529,4.4236,0.9365,1.1681,1.5663,1.025,1.0908,0.38,2.4654,0.0103,1.043,0.9534,0.1047,0.2238,1.6324,2.2317,1.1194,11.0936,87.5254,5.7645,1.1503,8.0368,4.6959,0.9672,90.0765,18.3567,2.6446,3.3765,63.4935,35.0939,20.44,22.9384,14.4368,3.3464,16.6182,5.1838,4.588,0.0
NZL_B05_06,15.1241,6.2144,183.8263,11.7215,12.3632,48.6019,4.1941,2.1713,4.3334,446.2188,65.1792,0.4843,1.7854,16.7742,49.3622,6.3677,0.0768,0.2026,1.747,0.1794,0.1312,1.036,147.2161,3.6963,152.2368,175.2406,9.4728,2.0162,8.9934,2.0879,0.1717,4.6383,1.7467,1.465,0.2973,2.5652,27.2972,11.436,6.0252,10.4787,14.4361,34.1485,1.2728,2.2033,0.0
NZL_B07_08,36.1088,0.3365,9.8592,5.8171,1.6438,27.8963,8.1368,1.0539,0.9403,0.591,18.0784,0.3653,4.5771,28.1074,24.1815,2.101,2.0638,1.9215,0.6933,0.0439,0.1582,4.3138,0.1976,4.5809,89.6674,3.9279,1.9101,0.2248,0.0486,0.3119,0.0398,4.0645,0.3896,0.16,0.092,2.6485,4.3227,1.8686,2.4585,1.1183,1.0667,1.3142,0.2792,0.8961,0.0
NZL_B09,1.7226,0.5392,185.3994,13.193,14.8102,12.8081,3.1224,0.4352,0.4629,5.5552,2.0266,0.3048,0.6358,0.8562,12.9851,5.3415,0.0714,0.0996,1.3986,0.2556,0.0568,0.7081,1.0642,0.3597,16.0665,23.378,0.5279,0.0731,0.6209,0.3824,0.072,1.1345,1.1416,0.2957,0.3122,1.513,4.1908,6.7478,4.518,5.1932,3.3853,1.6059,0.7275,0.7983,0.0
NZL_C10T12,442.9835,251.7681,15.7676,7.5712,2.4642,1900.6135,41.1725,21.7302,62.06,11.5886,56.5813,26.3953,50.1929,17.5451,18.6403,18.9435,15.067,15.1155,9.4966,3.0986,8.7627,5.3806,10.4131,14.3348,85.2084,289.7145,9.2673,9.7372,17.1227,10.1496,4.575,1032.5359,61.4265,4.933,4.9962,21.5798,71.8616,54.3407,44.6932,33.7172,17.2781,204.8891,43.8986,10.8685,0.0
NZL_C13T15,15.0461,5.4446,0.9905,0.8781,0.7271,10.4979,103.7967,1.2402,4.1014,0.5132,0.4917,2.6915,2.727,0.9203,2.1794,1.5783,9.5985,0.6672,0.8361,0.1924,0.5583,8.5969,1.5823,0.6117,61.9977,76.8869,1.9868,0.227,1.5331,1.0566,0.0975,3.069,2.0965,0.4887,0.3817,1.4384,41.239,5.1048,5.811,11.1091,7.5349,8.8498,1.9985,13.972,0.0
NZL_C16,133.1251,0.9209,1.5552,1.1206,0.1723,33.8299,0.7309,542.2249,103.166,1.2217,1.2405,0.6331,9.1028,30.3521,3.6272,9.5186,0.365,2.5147,5.7013,0.3135,3.5941,63.6341,1.6824,0.2728,1012.8378,268.0099,1.4837,0.6797,1.1269,3.7903,0.0904,1.4491,1.9434,0.4974,0.1544,0.842,70.0964,21.599,9.0393,4.6702,12.8237,5.9848,3.7031,19.2958,0.0
NZL_C17_18,159.3871,27.8348,1.9502,8.0258,0.3619,171.173,15.3654,42.1708,248.8116,5.0872,68.7119,19.5297,71.6022,19.7403,6.1679,7.8889,23.1663,9.0193,2.9295,1.5244,5.4135,9.8348,2.7912,5.2698,88.8224,87.6103,5.5304,1.9549,13.2815,10.6919,6.9562,35.9048,94.0861,4.3743,6.2819,26.4837,103.1037,193.6946,40.0304,31.7815,41.7901,50.5996,25.6768,17.3703,0.0
NZL_C19,183.4097,154.094,73.1623,27.5095,5.6517,103.6614,8.8672,14.1851,15.5504,26.1649,8.9667,1.9859,6.3111,29.3722,28.9161,17.0706,3.2363,2.8809,6.6857,0.8451,5.0468,9.8572,32.0787,16.3732,608.6029,107.0226,413.167,52.254,432.1682,43.2855,0.5456,14.8498,7.3694,3.1676,1.7035,3.892,51.7029,21.7033,40.5992,38.2218,19.0853,33.8356,16.6639,16.8817,0.0
NZL_C20,282.8092,5.5007,16.0229,14.5755,1.6157,71.6604,26.3955,45.1329,81.2252,3.0064,153.8103,23.2329,146.513,35.0665,13.733,6.9877,28.0782,19.9167,3.5619,2.8082,8.1535,5.3722,3.1513,8.3603,109.075,63.3335,12.5897,1.2229,8.8754,6.1893,2.3619,19.2602,29.5265,1.14,1.3279,2.5191,44.7928,19.7289,27.5102,26.5287,13.1083,52.5801,7.6718,8.3729,0.0
NZL_C21,70.7322,0.4621,2.7797,2.0225,0.2545,17.9071,3.8013,6.5854,11.7363,0.4046,22.3987,10.1056,22.2787,5.0334,1.7951,1.3398,12.5969,2.864,0.5594,0.41,1.3512,0.7185,0.6111,1.1957,16.222,18.8891,0.8372,0.1106,0.5911,0.8084,0.3057,2.7825,4.1966,0.2295,0.2809,1.0269,6.5966,4.1671,4.0943,4.0777,2.1282,57.7948,1.1719,1.3501,0.0
NZL_C22,191.4841,8.5158,15.8265,10.9854,1.5845,306.1916,15.4022,28.2329,37.7077,30.4013,51.5343,18.4221,105.1737,15.4358,9.7526,8.0316,12.1752,21.5112,27.2704,9.0084,6.0745,20.5182,2.5932,8.8508,260.6438,120.7943,78.4555,0.5581,6.8164,13.1938,15.4245,20.5699,11.6771,1.2642,0.8271,3.2634,37.6805,22.6437,20.8124,11.5484,9.1395,32.1009,6.0979,10.5108,0.0
NZL_C23,50.8297,0.5947,5.0521,10.7359,2.4504,129.7974,2.7375,13.948,7.9218,4.4434,20.9665,2.7505,15.189,173.058,12.9226,39.2396,14.1394,4.1058,1.9989,1.2478,6.6068,4.2936,0.9573,10.3885,1110.5714,13.3898,5.5519,0.1352,1.0467,0.9118,0.3831,4.299,2.7402,0.6646,0.1703,1.6913,48.0989,28.9123,20.2309,2.8699,9.0955,7.0417,0.9335,4.3541,0.0
NZL_C24,44.3694,0.0,8.0547,2.8046,1.5865,28.2745,0.8806,6.0343,6.9436,65.7774,13.1534,0.9713,4.6573,24.2976,262.622,722.75,10.9827,60.8396,407.6461,3.5563,22.6741,21.8378,0.0,2.4407,204.9275,2.2636,1.3213,0.3329,0.0,0.2315,0.0,6.9083,4.0081,0.0,0.0,0.7634,14.4923,3.667,0.0,4.739,6.8752,2.1106,0.0,2.4225,0.0
NZL_C25,81.5702,2.0498,51.8213,21.0154,7.4227,224.0646,8.092,41.0393,25.9875,20.0056,4.4614,2.1845,41.9386,56.8832,78.5884,412.2406,4.1099,18.737,96.9131,5.12,9.9651,64.9033,9.2871,12.2221,1392.4959,124.43,6.3335,0.3716,5.4278,4.4454,0.198,38.2257,2.486,1.5249,0.4867,10.1012,278.9779,14.3485,24.5797,58.1416,19.6699,13.096,2.991,36.5513,0.0
NZL_C26,0.1485,0.0,0.7424,0.0,0.5472,7.7587,0.902,1.0495,2.4303,0.0,3.1389,0.3921,1.2059,0.4645,0.1562,0.2062,18.9553,7.2226,0.8289,0.0762,0.9546,1.6471,2.1372,1.1405,23.3231,22.508,0.3405,0.0,0.405,0.4526,1.6985,0.0,24.4119,73.9268,7.1545,3.5388,1.6867,43.0777,5.5612,12.3722,15.0403,69.2461,5.5709,8.6014,0.0
NZL_C27,4.0216,0.2273,0.2651,0.4852,0.0681,9.0052,0.5383,1.2513,4.8073,0.3104,1.3469,0.4134,2.1282,0.8614,1.3131,2.6771,28.375,47.3755,23.5117,4.7201,0.6962,0.8532,2.3333,0.1123,202.1914,10.4525,2.1556,0.0604,2.7916,1.9335,8.5126,6.4117,4.8822,16.7059,0.5104,1.3688,7.5433,3.787,6.6658,5.5107,1.8748,5.9469,0.4238,2.5671,0.0
NZL_C28,40.8253,2.0771,29.4923,6.7725,5.6954,30.7144,4.2526,7.839,22.6231,4.1214,2.33,0.8057,5.6153,7.637,11.3146,30.1347,5.0288,8.6016,56.1453,52.7402,42.2489,10.5544,5.7452,2.0229,246.2054,56.0642,6.0935,0.7441,13.0249,3.8118,2.3501,14.5777,3.1529,4.1427,0.6761,3.4965,21.7027,15.7489,22.1134,10.2662,24.6461,6.2958,2.7759,6.932,0.0
NZL_C29,1.4257,0.7646,0.0532,0.0123,0.0012,0.5113,0.0833,0.2555,0.2337,0.0242,0.2441,0.0442,0.2043,0.3311,0.3593,0.1855,0.0082,0.076,0.5109,1.9972,0.0929,1.1547,0.012,0.4924,4.3079,10.9146,9.8689,0.1381,0.6711,2.5215,3.5009,0.4735,0.0597,0.0362,0.2151,1.1012,3.3265,2.6704,8.3992,0.6328,0.0146,0.1365,0.0148,4.4169,0.0
NZL_C30,3.3507,3.41,1.0102,0.2825,0.1647,6.0747,0.3084,0.733,1.3742,0.7636,0.4684,0.1457,0.947,0.7502,0.7458,2.7067,4.7581,8.0283,4.9786,4.2986,245.0491,0.6516,2.9758,0.4673,50.6367,5.6069,40.4791,4.2328,11.0267,4.7626,1.57,2.0123,1.6659,3.0405,0.5417,0.845,5.7094,17.8073,4.7191,67.6361,1.0939,1.608,20.117,3.8126,0.0
NZL_C31T33,20.7281,9.3172,11.2678,3.1354,1.4984,27.6045,11.1979,9.3308,9.3898,3.3499,3.699,1.0394,3.6029,4.643,32.7588,8.1745,2.6453,2.3089,5.847,2.8682,7.8706,6.0159,9.2788,2.0711,49.9209,30.28,3.4265,0.5739,2.6167,2.4041,0.3925,4.7781,3.3751,4.4605,1.3187,1.2863,50.305,9.6418,7.6837,6.9152,20.8771,36.8131,5.6993,4.761,0.0
NZL_D,284.4167,6.953,119.1021,41.0235,0.9651,359.7579,16.6589,67.3805,181.7985,10.8114,136.9368,10.817,31.4102,60.0787,508.4357,24.4198,7.2686,7.4185,12.1041,1.2665,2.5907,12.0781,4716.6855,72.7865,153.8975,354.0382,21.733,2.1342,14.3494,23.4024,5.3861,102.6108,35.6758,45.754,22.0896,49.9424,191.7713,85.1139,36.6717,75.7264,154.3027,215.587,36.6898,32.9112,0.0
NZL_E,79.9508,14.3971,7.3943,6.7724,0.8548,125.8808,3.2021,27.3315,27.4229,12.9891,10.9074,2.016,2.6089,2.6627,84.9823,1.9554,0.392,1.2087,0.2518,0.1052,7.6906,1.4237,86.6471,536.5473,188.0652,68.0505,19.7835,0.3056,0.8264,4.9647,0.2676,15.8277,2.3165,0.9752,0.2464,19.9361,358.3024,26.162,40.8136,37.5726,23.0459,109.8579,17.4558,62.3841,0.0
NZL_F,333.8113,18.2212,26.4976,21.0622,5.1887,136.4039,19.9987,41.9146,39.9605,15.1086,11.8343,3.4865,8.5531,38.4161,31.48,44.2018,5.7947,9.8169,44.0415,2.6832,9.736,26.0749,122.9908,47.078,11379.0988,297.2992,25.3098,3.498,18.9622,38.7074,6.6876,108.6115,24.804,97.8793,18.5529,198.488,2120.3946,254.8359,181.5483,132.5566,254.6293,126.7986,72.8981,139.7075,0.0
NZL_G,1188.7727,194.0313,179.3239,75.4509,25.1034,1924.3796,216.9202,290.9319,279.6299,106.4688,201.509,73.296,217.8942,154.4748,233.4516,253.372,128.5074,93.8192,124.2305,32.2943,157.8807,81.2865,288.5802,92.0296,1522.2717,1010.6215,438.5283,53.3671,262.1841,123.7827,54.8149,548.9848,184.8484,130.312,45.3022,114.2147,484.0263,358.32,296.0645,274.6789,215.1811,596.0639,143.5073,167.4231,0.0
NZL_H49,457.7974,27.6507,88.5082,50.8066,12.0509,992.8785,43.5687,108.9228,90.8423,44.3916,58.6908,13.4673,76.762,91.0834,37.3449,63.5401,16.4554,15.7398,19.6138,3.893,16.8833,25.2237,21.3122,33.2747,213.7986,822.8219,509.6995,18.6604,51.9675,64.7257,43.669,41.6807,74.399,6.3255,11.8809,15.5897,45.5629,87.7662,80.6121,55.5908,50.8265,38.6141,22.9266,70.348,0.0
NZL_H50,28.0012,11.4353,47.2567,1.929,0.8563,32.2293,3.0767,4.0317,7.7677,9.3474,3.5823,0.6085,2.0555,11.1291,39.0619,14.8145,0.7616,1.1226,1.4086,0.617,0.4689,0.6409,1.4239,0.9934,5.9286,36.59,50.7344,42.1011,7.7284,18.6716,1.0414,1.5136,3.2053,4.6075,1.5051,3.3319,3.3985,4.2649,12.0759,4.1516,2.1755,2.5804,1.0826,1.9,0.0
NZL_H51,50.256,14.0736,13.0298,2.7917,3.1262,112.2239,8.2174,12.2507,10.7577,21.9088,11.2546,2.3876,12.0226,9.9699,7.1538,14.2499,7.89,6.332,10.6773,3.0582,7.2386,5.2155,12.4659,4.058,85.9225,110.1012,40.4552,5.9014,90.9479,36.6163,27.2896,17.7148,15.269,6.5659,14.2962,25.5258,26.4961,59.0978,41.2167,46.5173,25.8835,31.1692,16.2731,21.8397,0.0
NZL_H52,121.6179,126.1789,69.9632,8.2383,3.1215,519.2793,14.7124,64.9556,33.1434,9.6442,5.0538,1.768,18.0044,31.9841,15.8621,13.1438,6.7337,3.7115,5.5219,3.0048,5.5236,7.1682,7.9356,3.564,62.4741,375.3246,293.0053,97.7903,323.8953,208.5274,9.6036,23.9036,17.1989,6.7936,5.4083,16.0922,43.1897,43.3641,59.189,56.0521,13.6449,17.8441,9.6203,51.6355,0.0
NZL_H53,31.9475,3.8308,2.7028,2.533,0.4649,38.7906,4.846,6.0447,32.3551,0.8188,1.999,1.7577,6.646,9.0507,1.9476,3.749,1.1243,0.8044,3.232,0.2544,0.7497,4.2211,10.2115,7.5109,70.3189,221.5249,7.2424,0.7365,1.7751,7.9229,353.3951,27.3479,25.8274,6.498,5.4403,177.7206,21.3068,141.903,61.9386,88.78,39.1662,58.5392,23.0939,51.455,0.0
NZL_I,45.4313,11.1563,6.101,2.5669,5.388,93.7625,8.9371,6.8021,8.7405,1.7118,7.4669,3.184,6.0183,3.2976,6.7709,6.5423,5.7123,6.2549,5.7961,0.7039,3.7632,2.332,15.4214,4.3401,56.5255,49.041,14.6135,3.1255,74.8787,7.706,1.2961,37.8334,16.1603,4.8338,15.2089,8.6609,27.6475,32.1323,18.7401,86.459,73.5569,155.8745,13.7185,12.5693,0.0
NZL_J58T60,20.3301,1.6344,14.166,1.6647,0.5452,235.8999,11.4624,7.2981,11.8518,10.4741,5.7063,5.8124,13.8732,13.8031,3.1624,14.127,12.4909,12.2348,6.5382,1.0517,2.2711,10.3249,20.2574,4.9678,50.8232,255.3406,8.0821,5.2943,22.3233,15.8315,11.3356,72.055,310.6174,74.0193,15.517,86.6684,50.3544,110.6713,71.4051,48.6321,41.7411,30.8759,118.9997,75.7909,0.0
NZL_J61,69.2058,4.3196,2.4928,1.809,1.4828,27.9622,3.1118,3.8648,5.3242,1.6903,2.1964,1.0325,3.6975,4.6202,1.6397,5.8895,4.0056,2.4903,3.9784,0.3524,0.8591,3.6039,15.8642,5.3812,67.9811,100.0585,21.6794,1.0538,9.1055,13.2748,7.4683,16.8456,37.5317,338.0629,39.3265,77.3806,19.0898,89.6384,41.9757,101.0172,40.2639,52.687,39.8399,33.5598,0.0
NZL_J62_63,21.1973,3.4684,4.9687,2.7552,2.8692,49.6121,4.1708,5.0359,7.5492,4.4305,3.1691,1.0384,3.7916,6.0566,3.3663,7.3589,4.4442,4.0599,4.4592,0.7219,1.6096,2.1314,17.069,2.4788,27.2992,77.8413,9.0109,1.0031,22.1968,9.096,5.3954,15.0074,46.2987,135.7821,113.0286,127.8764,37.4787,101.5502,59.1812,116.4017,16.8151,41.4015,30.5769,15.3,0.0
NZL_K,713.956,28.0228,65.3199,10.0047,10.0,260.729,29.2173,34.3013,40.4031,28.0508,22.2157,4.5834,35.3275,45.2418,58.0822,40.7846,21.6539,11.755,22.0993,3.4216,7.3797,39.4313,85.0092,41.9701,394.7434,1256.4603,105.4235,9.5736,42.47,70.0973,24.295,210.9563,109.4566,47.0421,54.4192,3564.8897,2563.8753,567.7812,371.0074,316.3606,167.4084,261.0789,171.3627,244.1757,0.0
NZL_L,286.3366,24.3205,16.5342,7.4354,7.6311,206.2454,25.9919,18.6292,38.2289,7.7374,10.3958,8.7443,25.8623,22.4934,8.6813,76.6482,27.5358,15.1651,29.7777,4.1624,9.4037,32.132,28.8604,10.9892,311.048,1223.6837,144.9347,7.7208,43.7529,211.9017,30.0656,391.6675,112.0281,119.5821,79.0883,550.4457,2478.2986,567.8707,376.3018,388.4368,137.5968,203.9257,119.7213,223.5638,0.0
NZL_M,715.144,102.5165,122.202,35.6361,53.1222,1021.4238,72.5666,53.9437,65.0928,64.0333,36.9461,23.0609,61.8074,116.4728,60.853,166.4793,104.7703,64.2905,110.1063,4.9569,16.8304,40.1803,464.7253,154.5413,1608.8377,2324.8242,166.3324,22.3036,105.0446,137.996,62.3818,339.7682,206.0254,85.4769,296.1267,1317.447,741.42,3270.877,1248.0522,939.041,459.6784,754.791,368.1606,496.544,0.0
NZL_N,379.9597,61.5599,61.6939,21.7387,21.0443,890.924,37.8687,52.6897,39.7384,11.106,12.6673,6.6977,22.3917,26.5388,17.884,35.8864,10.2197,13.3201,21.1668,4.3215,4.2681,20.4851,51.9007,33.0374,354.6186,1052.6008,92.8575,14.2165,106.2291,68.9715,18.5887,227.6042,151.4278,75.0145,71.3992,306.2389,431.5552,681.9747,343.0446,440.0307,253.3488,315.6228,138.332,152.364,0.0
NZL_O,47.7095,6.4241,17.858,10.7602,2.9226,52.3827,4.5816,14.743,11.0003,2.1962,1.7088,0.9124,8.046,3.1339,5.6129,8.4936,2.4223,1.6934,2.131,0.7104,0.6254,4.9109,34.3462,20.8897,151.078,174.3607,14.4115,1.6848,10.0472,10.9667,14.8028,75.3142,24.2541,14.2419,13.6303,50.9819,132.8503,139.4204,123.1811,164.3999,93.0712,88.1965,42.6883,54.0333,0.0
NZL_P,33.1252,5.113,14.0965,3.6409,6.7786,57.9889,1.8436,26.7041,6.0138,2.7944,5.0296,1.2846,4.4808,2.7579,4.4444,8.9519,1.8918,4.0704,8.3691,0.7318,1.5812,1.2008,20.3011,4.0396,49.7359,46.471,11.0663,1.3343,14.2415,3.8796,1.7542,7.737,20.5477,10.7696,30.4389,32.9807,24.7992,343.7819,48.9304,371.4428,305.1033,145.8838,19.1709,94.5311,0.0
NZL_Q,5.3262,0.9107,0.7295,0.2771,0.2767,8.0356,0.6198,1.0924,2.295,0.3073,1.2486,0.5249,1.0622,0.7277,0.7135,1.0403,0.8856,0.4967,0.5211,0.0903,0.2047,0.4667,0.9865,0.4965,7.7818,15.889,2.5474,0.4568,3.7617,2.614,0.5099,3.636,4.5717,3.6733,2.2748,8.7454,17.3577,15.5991,6.978,41.8846,18.0307,1160.3419,3.2109,3.7285,0.0
NZL_R,15.7154,1.4394,2.0188,0.6562,0.6657,39.9097,2.0803,1.9664,2.848,1.9377,1.4092,0.8126,2.1629,2.1285,1.3169,3.975,1.9422,1.5999,2.0697,0.4605,1.1009,1.4374,3.9887,6.8813,17.8523,41.0893,4.3828,1.7637,9.5208,5.3462,1.6615,12.3473,50.4156,25.6943,13.8618,24.4045,35.0759,70.0112,19.8362,25.1728,103.7461,17.9,239.5378,14.5086,0.0
NZL_S,42.4258,141.7992,2.3082,6.3409,3.0983,393.1777,11.0262,12.288,6.0286,1.0317,4.9208,2.3147,5.8858,3.0846,0.5189,5.3685,0.0414,6.1443,1.7568,0.8864,1.3218,4.0283,27.0151,4.5959,93.0165,36.447,19.7327,0.9721,15.3413,9.0636,2.7936,8.3196,21.2406,5.4103,11.2054,27.8811,58.425,528.1786,182.652,153.4511,62.4115,92.4443,179.5851,244.8567,0.0
NZL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
