V1,PAK_A01_02,PAK_A03,PAK_B05_06,PAK_B07_08,PAK_B09,PAK_C10T12,PAK_C13T15,PAK_C16,PAK_C17_18,PAK_C19,PAK_C20,PAK_C21,PAK_C22,PAK_C23,PAK_C24,PAK_C25,PAK_C26,PAK_C27,PAK_C28,PAK_C29,PAK_C30,PAK_C31T33,PAK_D,PAK_E,PAK_F,PAK_G,PAK_H49,PAK_H50,PAK_H51,PAK_H52,PAK_H53,PAK_I,PAK_J58T60,PAK_J61,PAK_J62_63,PAK_K,PAK_L,PAK_M,PAK_N,PAK_O,PAK_P,PAK_Q,PAK_R,PAK_S,PAK_T
PAK_A01_02,21714.9827,139.7354,54.2605,5.5773,3.6283,13445.11,1644.837,507.3359,232.2302,13.8772,201.7836,69.2611,97.4355,21.999,13.1513,9.613,12.3317,6.9996,11.4631,15.1452,4.6862,95.8936,153.8145,19.791,131.8591,757.3866,57.5615,25.3388,22.4133,30.8233,3.7925,1589.5872,26.0253,38.9256,12.5399,41.6151,52.5186,71.4923,88.3024,356.6026,136.8538,234.63,71.4734,111.465,0.0
PAK_A03,35.1489,410.3272,2.5162,0.2123,0.168,285.3409,7.139,0.5782,0.8464,0.6957,1.834,0.7431,0.5195,0.659,0.5241,0.3145,0.5776,0.3157,0.526,0.5677,0.1662,2.0379,2.6084,0.4685,2.403,15.1702,2.3557,2.0457,1.2573,0.9109,0.1319,122.6589,1.2706,1.5833,0.5933,1.2539,0.9185,2.3507,1.5235,7.5809,3.7323,6.3613,2.2531,2.2937,0.0
PAK_B05_06,46.0803,3.7521,570.9536,15.8064,12.8373,34.2254,34.1798,1.8373,16.1867,3693.1467,165.989,4.0032,6.7387,69.6107,88.1117,5.2676,3.3096,2.4811,5.2517,3.9304,1.7125,4.9857,3187.2724,6.5495,33.1125,60.1618,48.9996,7.5778,8.2495,11.2557,1.5573,16.3471,1.9326,4.4437,0.8348,4.9434,10.3039,10.9367,7.2556,27.9761,13.4916,15.7874,6.6662,12.1416,0.0
PAK_B07_08,11.9437,0.8004,14.3346,27.9809,3.8797,4.3779,3.0851,0.1916,2.4731,8.6013,40.2752,1.1119,0.7967,147.1792,224.2951,4.4204,0.9845,1.5406,1.2098,0.8626,0.3631,4.697,32.6758,2.1257,94.5296,3.3971,1.9263,0.1611,0.1133,1.0596,0.034,0.7854,0.1327,0.2504,0.0665,0.2123,2.1011,1.2035,0.9113,4.3037,0.5808,0.7304,0.5442,0.94,0.0
PAK_B09,2.7792,0.6477,176.1715,8.6998,11.5022,0.645,0.4444,0.0449,0.9306,31.2935,1.744,0.0597,0.1738,6.9511,7.7337,0.428,0.0555,0.0621,0.1829,0.0675,0.0359,0.1379,32.8379,0.4327,13.6775,0.8048,1.2474,0.1548,0.1863,0.5758,0.0158,0.1362,0.0489,0.0884,0.0301,0.092,0.7211,0.8918,0.5128,1.3018,0.0976,0.338,0.0922,0.2055,0.0
PAK_C10T12,2815.613,198.8056,7.83,1.3204,0.5614,1936.6518,152.0622,2.4006,16.9864,5.4786,112.2896,28.8565,11.2093,7.0181,4.9954,3.1852,4.855,3.141,4.1941,4.4766,1.218,11.3503,23.9387,6.3967,17.5948,253.0342,16.656,20.217,10.9182,11.6004,1.0283,1873.2364,13.7706,12.7749,5.2209,15.9708,11.6857,29.8678,23.1631,157.7918,106.7328,211.5725,52.875,56.2919,0.0
PAK_C13T15,67.8243,15.5971,15.7193,1.5932,0.9463,34.2352,4312.0034,5.1964,20.5118,5.0201,16.885,5.1286,20.5073,10.3277,6.81,7.5002,10.427,6.4364,10.1497,27.3904,4.3945,60.8577,24.4531,7.6613,35.7333,117.0057,18.8307,5.9042,6.8825,7.2937,2.37,24.8369,10.1298,11.2975,3.6773,11.4131,6.6846,21.6332,18.5063,96.6141,17.4546,61.3019,18.9818,55.954,0.0
PAK_C16,66.2552,6.6862,7.5956,2.1672,0.4028,23.5064,37.7978,367.2039,64.7101,0.7505,12.8261,1.6927,9.5505,23.406,6.4172,11.1632,6.099,6.8605,8.1103,23.7224,11.0716,398.8175,45.2483,3.2799,395.1223,73.1848,8.3215,1.3724,0.8854,7.8461,0.4732,7.21,6.1562,3.2255,1.0727,2.6052,35.519,14.3636,9.5008,14.118,7.9832,9.3402,6.5676,34.8399,0.0
PAK_C17_18,66.2442,10.3937,8.0242,1.6814,0.5232,212.6519,185.8152,16.8863,1076.1704,2.8789,50.0636,32.9781,33.2316,44.8231,8.1828,9.4903,24.5911,17.3497,12.9746,14.7496,2.5612,52.0953,26.2789,9.9434,25.0154,345.1271,21.3044,4.2092,4.921,18.7282,10.8791,41.9359,322.748,41.658,20.9206,103.534,19.3827,135.2202,61.4659,167.6181,111.3331,73.5023,34.7478,68.553,0.0
PAK_C19,668.2342,150.2067,134.107,28.1239,11.2321,60.8756,122.0427,12.0798,28.519,265.3706,204.3239,13.2211,31.458,100.044,63.0866,16.0299,12.9009,12.1705,14.3763,18.9433,6.3264,34.1791,481.4611,44.7676,171.7109,453.2014,1100.0715,268.2787,441.5681,75.737,20.5044,39.3161,15.6128,33.6521,8.3835,43.5712,25.6452,62.9659,62.2072,241.992,47.1683,92.1381,25.8281,74.4314,0.0
