V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T
CHL_A01_02,1886.9281,1.6831,0.0506,0.6762,0.0026,4718.4998,15.963,863.8565,633.5253,0.1458,7.3338,3.5901,29.1739,0.4253,0.162,0.4402,0.0366,0.1299,2.6231,0,0.2227,1.8027,64.8137,0.036,8.5845,41.0878,1.4939,6.0474,0.7425,11.0561,0.0067,391.4237,1.2544,0.4388,1.6661,3.6124,0.7892,2.887,23.3771,54.3222,6.8292,35.7131,0.5292,28.7856,0
CHL_A03,0.0675,343.0815,0.0004,0.1071,0.0,3336.8299,0.0231,0.0234,0.038,0.0226,0.5781,0.0434,0.0022,0.0208,0.0057,0.0445,0.0022,0.0074,0.0017,0,0.0042,0.0976,0.0177,0.0063,0.0126,19.0311,0.0092,3.1617,0.0365,0.0324,0.0011,18.8159,0.0108,0.075,0.2823,0.3277,0.0072,0.1677,0.1463,0.8433,0.1288,2.2235,0.0189,0.5242,0
CHL_B05_06,0.1868,0.016,0.7883,2.4504,0.3699,3.0072,0.0889,0.0449,0.7098,109.4273,0.3456,0.8013,0.1738,2.8716,7.0099,0.0561,0.0019,0.0106,0.0304,0,0.0087,0.0242,73.7115,0.0283,3.4443,0.5272,0.8825,0.0041,0.0238,0.1227,0.0057,0.2805,0.0374,0.0683,0.1833,0.3417,0.058,0.8934,0.2736,0.0809,0.0932,0.0634,0.0172,0.0725,0
CHL_B07_08,140.2496,2.8737,6.4456,1944.4542,3.5432,68.6616,10.3312,16.3856,42.8971,18.9672,743.5613,11.2072,70.7881,479.8025,420.3699,27.5011,2.0304,14.2094,14.4533,0,4.0772,16.0843,23.2438,5.6614,197.0621,57.2969,5.5137,0.8917,1.8553,4.8262,0.109,15.4109,3.6077,7.6596,15.5252,38.6384,8.0031,53.9699,44.1385,11.8985,16.9689,21.7075,9.632,3.9114,0
CHL_B09,4.8151,0.0223,0.2369,1.3449,0.1364,0.6195,0.0564,0.0581,0.427,0.1048,23.9182,0.1286,0.4749,24.2754,0.4166,0.3804,0.0046,0.0387,0.361,0,0.0187,0.1132,0.492,0.0235,7.5899,0.088,0.0084,0.0014,0.0023,0.003,0.0,0.5015,0.0045,0.0014,0.0507,0.079,0.0087,0.5675,0.5176,0.052,0.0331,0.0847,0.4403,0.0503,0
CHL_C10T12,968.1066,1115.222,2.4312,45.1426,0.1411,3140.8095,25.1803,9.2416,30.0898,7.9199,79.7534,17.0829,22.599,9.8678,5.5047,9.0391,0.3785,2.5884,5.1474,0,2.7489,7.9371,17.7814,1.8471,58.906,456.1884,13.8254,11.303,11.2991,5.5131,0.133,1723.8308,5.501,4.6335,8.183,21.8954,12.308,32.015,35.4177,99.5911,36.9151,108.2779,7.1004,40.4844,0
CHL_C13T15,13.1949,4.3642,0.104,14.4969,0.0275,24.7889,96.8548,2.5788,11.4407,1.098,6.6306,2.412,9.4372,3.1399,2.5775,3.2761,0.2646,1.646,2.189,0,1.4566,6.6214,7.648,1.2714,80.6955,15.6723,6.1623,0.3593,1.4062,0.8506,0.0729,8.1963,1.9871,1.4565,2.0986,9.3943,0.7846,8.4074,8.022,13.8709,5.9276,12.1894,0.9428,3.0627,0
CHL_C16,52.8005,1.6523,0.5765,30.7874,0.042,62.3018,6.7791,534.9296,32.5567,1.2632,4.7986,0.6879,3.9014,11.2729,6.227,18.9456,0.3081,2.269,3.8438,0,1.7795,42.6191,18.9832,1.0533,1140.772,33.1539,1.9571,1.2373,0.7928,1.0709,0.1201,2.4775,0.3558,0.9854,2.3781,8.4381,0.6973,4.3259,12.1446,5.8411,1.2231,4.646,1.0437,7.871,0
CHL_C17_18,29.8612,8.3332,0.6306,147.0903,0.2134,472.3389,17.5678,31.1183,874.0376,14.3102,46.7367,42.8905,22.2811,47.8054,8.6558,13.1206,2.3693,12.9229,15.8625,0,0.7751,10.7349,283.2033,8.3868,53.0244,535.965,19.3296,0.1478,1.6668,9.1459,0.7813,29.4202,98.7353,46.7617,8.7196,90.6961,10.2879,318.4121,85.3032,60.2697,100.083,89.5316,12.3098,43.9306,0
CHL_C19,221.9943,39.8326,4.0852,335.4411,1.1836,74.2834,4.7846,8.3621,29.1649,85.4924,68.9768,2.1561,9.2435,37.6219,11.0205,8.2126,0.2863,2.3308,7.3897,0,1.5881,13.4926,110.1007,15.864,164.1383,101.664,1182.9329,60.7969,228.1287,19.8193,0.0484,17.0104,1.0588,1.8416,1.0629,2.9712,3.7811,27.4148,55.7683,56.8409,9.1504,46.5417,2.6146,24.5535,0
CHL_C20,328.7134,17.453,2.669,448.7457,0.9626,237.1151,40.8282,49.2763,169.7878,89.594,614.7453,38.1352,399.4333,101.2985,29.9447,59.8816,1.5977,12.6912,26.891,0,11.9037,33.9203,19.8184,12.9221,268.9946,80.7184,16.5829,1.3857,2.6935,3.484,0.0653,29.8237,5.7323,3.548,6.5145,30.5856,8.9711,39.586,47.6049,31.7728,35.9444,84.6012,3.6638,16.6792,0
