V1,CIV_A01_02,CIV_A03,CIV_B05_06,CIV_B07_08,CIV_B09,CIV_C10T12,CIV_C13T15,CIV_C16,CIV_C17_18,CIV_C19,CIV_C20,CIV_C21,CIV_C22,CIV_C23,CIV_C24,CIV_C25,CIV_C26,CIV_C27,CIV_C28,CIV_C29,CIV_C30,CIV_C31T33,CIV_D,CIV_E,CIV_F,CIV_G,CIV_H49,CIV_H50,CIV_H51,CIV_H52,CIV_H53,CIV_I,CIV_J58T60,CIV_J61,CIV_J62_63,CIV_K,CIV_L,CIV_M,CIV_N,CIV_O,CIV_P,CIV_Q,CIV_R,CIV_S,CIV_T
CIV_A01_02,430.7452,0.1418,0.0,0.0,0.0,1121.5563,0.4513,4.3923,0.7349,0.0,7.5962,2.5466,17.8631,0.0007,0.6263,2.2478,0.0,0.0,0.0,0.0,0.0,0.9863,0.0,0.0,0.4244,0.0,0.0,0.0,0.0,0.0,0.0,228.7885,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0452,0.0,1.0879,0.0,0.0784,0.0
CIV_A03,0.1345,6.148,0.0,0.0,0.0,30.7323,0.0,0.0,0.0,0.0,0.0706,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_B05_06,0.0067,0.0,0.1667,1.0101,0.0552,1.2147,0.0,0.0,0.0,259.7957,0.1223,0.0027,0.0,1.4325,1.4559,2.2151,0.0,0.0913,0.0,0.0,0.0,0.5517,0.1903,0.0,0.4111,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571,0.0,0.0,0.0
CIV_B07_08,0.337,0.0,2.9692,59.8195,2.0234,25.6083,0.0,0.0,0.0,0.0,4.5592,0.5495,0.0,44.2997,284.0032,284.1173,0.0,8.3977,0.0,0.0,0.0,50.9659,0.5741,0.0,44.5951,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6415,0.0,0.0,0.0
CIV_B09,0.0346,0.0,2.38,8.8706,1.1488,2.8644,0.0,0.0,0.0,46.7147,0.2919,0.0088,0.0,1.6789,8.5324,15.4814,0.0,0.0991,0.0,0.0,0.0,0.0,0.0815,0.0,1.8151,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0026,0.0,0.0,0.0
CIV_C10T12,43.8543,2.3239,0.0042,0.0158,0.0053,606.2714,0.5116,0.0651,3.0379,0.0177,36.9099,7.9967,0.8704,0.1964,0.0714,0.2559,0.0282,0.0028,0.0043,0.0001,0.0,0.071,0.1269,0.0046,0.6005,1.4641,0.802,0.0651,0.1014,0.5458,0.155,879.5866,0.009,0.0065,0.0073,0.0126,0.0017,0.0075,0.0027,10.9701,2.9618,0.7025,0.0003,0.0461,0.0
CIV_C13T15,5.2188,0.5223,0.0,0.0003,0.0,0.6487,26.5262,0.0056,2.4285,0.0028,0.0999,0.0258,0.4725,16.6233,0.0007,0.005,0.0,0.0004,0.0,0.0,0.0,8.9632,0.0056,0.0,0.0973,0.3283,0.1281,0.0103,0.016,0.0865,0.0247,0.0007,0.0004,0.0003,0.0003,0.0,0.0,0.0005,0.0002,0.5356,0.0,0.0441,0.0,29.7166,0.0
CIV_C16,0.7937,0.0001,0.0307,0.1041,0.0393,16.8454,0.1494,17.4924,0.128,0.0018,0.3763,0.0497,0.1275,0.0096,0.0632,0.3179,0.2158,0.0003,0.0328,0.0007,0.0001,25.4402,0.7045,0.0027,0.4869,0.2827,0.0206,0.0057,0.0109,0.046,0.0091,0.7767,0.0501,0.0355,0.0417,0.0966,0.0117,0.0264,0.0128,0.0739,0.0381,0.035,0.0014,0.1804,0.0
CIV_C17_18,6.2212,0.033,0.0721,0.6389,0.0404,17.7037,0.3025,0.1286,33.0735,1.7387,5.3076,1.8181,0.6044,1.0185,0.0512,0.3122,0.2181,0.0431,1.1949,0.6454,0.1242,0.1946,0.6593,0.0921,2.3437,91.8674,0.3301,0.0791,0.164,0.7463,0.349,25.4328,0.9275,0.2516,0.2321,3.2353,0.3874,0.9303,0.6874,7.0767,9.6413,5.8145,0.0473,0.0893,0.0
CIV_C19,75.4873,8.4116,1.2128,11.0735,0.5245,81.7531,0.3162,6.6956,1.1155,66.332,9.0945,0.6185,3.946,1.4356,4.0673,8.9837,1.1256,0.0219,1.0543,0.5521,0.1106,4.3526,2.4425,6.8368,42.2316,53.4043,223.7228,72.7404,145.7761,64.6072,28.1575,41.164,0.1136,0.182,0.1306,2.1621,2.8011,0.3427,6.7851,14.1909,1.2891,1.1152,0.021,0.8857,0.0
