V1,NGA_A01_02,NGA_A03,NGA_B05_06,NGA_B07_08,NGA_B09,NGA_C10T12,NGA_C13T15,NGA_C16,NGA_C17_18,NGA_C19,NGA_C20,NGA_C21,NGA_C22,NGA_C23,NGA_C24,NGA_C25,NGA_C26,NGA_C27,NGA_C28,NGA_C29,NGA_C30,NGA_C31T33,NGA_D,NGA_E,NGA_F,NGA_G,NGA_H49,NGA_H50,NGA_H51,NGA_H52,NGA_H53,NGA_I,NGA_J58T60,NGA_J61,NGA_J62_63,NGA_K,NGA_L,NGA_M,NGA_N,NGA_O,NGA_P,NGA_Q,NGA_R,NGA_S,NGA_T
NGA_A01_02,33257.6586,95.2406,2917.7396,0.0001,0.0228,19612.5078,302.3914,165.1943,2.7385,441.9644,121.9957,33.482,4.9741,0.0948,0.0667,0.057,0.0001,0.0012,0.0044,0.0181,0.0012,8.3763,0.0749,0.023,3514.2032,26333.0166,0.0192,0.0006,0.0341,0.0026,0.0,1886.912,0.05,0.0344,0.0325,0.0009,0.0762,38.7018,0.0074,0.0231,0.6222,0.08,0.0072,0.1583,0.0
NGA_A03,0.0184,422.7922,0.0,0.0,0.0,5.5194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0005,0.0003,0.0013,41.4184,0.0002,0.0005,0.0005,0.001,0.0,23.1615,0.0002,0.0,0.0,0.0004,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA_B05_06,13.3014,0.411,2237.8747,0.5094,0.5447,14.12,13.4827,2.1449,1.2523,1875.0361,0.1699,0.0336,935.3448,944.8893,18.3693,7.9944,0.0097,0.069,0.6991,0.8189,0.0739,3.8292,3.804,0.8792,100.2491,1752.9925,4.4183,0.0495,0.5125,0.1973,0.1073,1.8804,1.4106,6.0162,3.7867,0.2288,0.1807,0.5957,0.1319,1.3654,8.0028,1.4348,0.1192,2.6575,0.0
NGA_B07_08,0.0,0.0,0.1126,2.2622,0.2246,0.5392,0.7813,0.0012,1.4615,0.0014,2.6691,0.1223,0.0161,67.2942,8.0561,3.0938,0.0066,0.0753,0.2321,39.2853,3.7315,0.3973,30.4714,0.0511,375.6431,0.5821,0.0189,0.0004,0.0006,0.0016,0.0,0.0,0.0013,0.0583,0.0428,0.0001,0.0012,0.0002,0.0001,1.3373,0.0005,0.0072,0.0001,0.0003,0.0
NGA_B09,0.0196,0.0049,61.8607,0.0084,0.0069,0.0051,0.0044,0.0006,0.0012,1.4675,0.0003,0.0,0.0005,0.0664,0.0184,0.0012,0.0,0.0,0.0001,0.0,0.0,0.0003,0.0978,0.0009,0.5434,0.0028,0.0076,0.0,0.0002,0.0002,0.0,0.0001,0.0002,0.0,0.0001,0.0,0.0228,0.0055,0.0001,0.0012,0.0003,0.0004,0.0,0.003,0.0
NGA_C10T12,4.0576,114.6351,463.4483,0.0588,0.0253,5717.9794,1.0291,13.6156,46.8174,0.0,71.2866,16.1197,0.4753,56.2463,0.1623,0.1408,0.0252,0.0575,0.1773,57.8058,4.6279,5.2739,32.7607,3.8158,42.2668,7997.2929,2.2196,19.2597,6.1191,10.7921,0.3201,1087.2211,160.9411,26.5496,12.5354,16.4319,18.6828,17.222,15.9603,145.7428,79.3476,290.2135,12.2504,628.8736,0.0
NGA_C13T15,0.0098,0.0382,10.0062,0.2211,0.0103,0.2376,1911.9329,3.7665,0.3726,0.0935,0.0394,0.0089,0.3409,1.6546,2.8268,3.5751,0.0033,0.0375,0.5795,1.9411,0.1711,4.726,0.5524,1.8152,4.655,52.229,7.8765,0.0877,0.0466,0.2172,0.0025,0.4583,0.1313,0.1067,0.0753,0.1807,0.0969,0.7901,0.3031,0.4249,0.1062,4.1918,0.0211,1.5759,0.0
NGA_C16,0.097,0.0005,12.3806,0.1111,0.0078,0.2014,1.653,34.0551,4.2324,0.1138,0.1638,0.0174,1.4446,3.7137,3.5801,4.7409,0.0215,0.2468,1.3548,2.923,0.2052,17.3389,7.8627,0.3132,1183.2409,4.4924,0.0203,0.0023,0.0417,0.0496,0.0015,0.0024,0.189,0.1591,0.1205,0.0702,1.7497,0.8693,0.402,15.6391,2.5438,0.0747,0.0814,1.9535,0.0
NGA_C17_18,0.0153,0.977,21.607,0.0066,0.0038,2.0727,1.0555,1.0519,3.4841,1.7423,0.3061,0.0839,0.2246,8.0129,4.6628,6.7829,0.0215,0.1543,0.5973,2.3834,0.1474,0.7803,4.6837,0.9353,3.7729,17.5896,1.6837,0.0413,0.18,0.6835,1.1328,0.0986,28.9759,10.6669,7.6287,1.2034,0.8708,3.3222,0.9491,8.4421,4.1105,9.294,0.6106,12.6185,0.0
NGA_C19,0.0039,0.0688,115.115,0.6957,0.162,1.8317,56.5138,2.9981,2.6241,12.1567,0.0536,0.0028,0.457,6.4962,28.7942,14.1849,0.1454,0.1816,0.6661,0.2093,0.013,3.4154,72.4857,23.293,47.9627,72.4805,167.5201,3.2763,5.1526,0.1681,0.2241,0.2656,11.8356,170.4199,99.4963,1.1607,10.4753,1.6414,0.5904,2.0303,4.3802,6.1057,0.4858,2.794,0.0
