V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T
SWE_A01_02,3479.2095,0.3644,0.7221,2.2479,0.1059,2551.6439,63.6469,4578.9798,2537.9869,1.0406,65.1751,17.7274,17.3886,4.6658,23.63,9.0715,1.2508,3.6402,7.7944,9.31,0.9545,17.7166,70.7751,9.3313,161.9756,36.6285,8.3127,12.7398,2.262,35.7404,1.083,246.9391,156.1019,4.6369,10.3297,7.9499,148.376,47.8826,25.8087,45.8683,45.4299,189.7401,120.7326,39.046,0.0
SWE_A03,0.6323,2.4116,0.0001,0.0008,0.0,21.7246,0.0016,0.0008,0.0046,0.0011,8.886,2.0145,0.0015,0.0014,0.0036,0.0027,0.002,0.0023,0.0037,0.0057,0.0008,0.0334,0.0027,0.0025,0.0794,3.7926,0.0073,1.5481,0.0044,0.1118,0.0008,42.2545,0.008,0.0033,0.0065,0.0015,0.0018,0.0171,0.1155,0.4413,0.3648,1.694,1.5722,0.0026,0.0
SWE_B05_06,89.0659,0.0019,5.7231,1.4817,0.0548,0.1181,0.0079,0.1228,4.3646,48.7409,1.9812,0.0451,0.1658,24.8169,31.8899,0.092,0.0083,0.0115,0.0336,2.1151,0.0146,1.0815,0.7138,1.5413,14.8398,0.4113,0.9143,0.0132,0.0161,6.1713,0.459,0.0471,0.0405,0.0179,0.033,0.0224,2.3459,0.179,0.2621,0.0889,0.0668,0.1209,0.1981,0.0352,0.0
SWE_B07_08,2.9523,0.1225,3.8648,271.8544,5.0654,3.0016,0.1152,0.1121,12.168,1.6284,75.452,0.0976,1.2815,27.909,1379.5761,3.0392,1.6629,0.5831,0.0422,0.2258,0.0449,0.2033,55.0232,39.6865,259.9948,0.0583,36.4894,0.0269,0.0,201.6769,1.0571,0.0573,0.0,0.0,0.1105,0.0,39.9386,6.1886,8.9677,0.4657,0.0247,0.1469,6.0713,0.78,0.0
SWE_B09,0.0064,0.0005,0.0013,0.0425,0.0025,0.0005,0.0,0.0004,0.0423,0.0033,0.0126,0.0,0.0039,0.0458,0.2231,0.0035,0.0001,0.0001,0.0001,0.0003,0.0,0.0,0.1724,0.0116,0.3814,0.0001,0.006,0.0001,0.0,0.0893,0.0,0.0,0.0,0.0,0.0003,0.0,0.0066,0.0085,0.0027,0.0018,0.0001,0.0006,0.001,0.0012,0.0
SWE_C10T12,449.4893,6.4762,0.0,0.0,0.0,1626.6569,11.9205,0.0,39.2683,5.1763,289.9057,21.3813,1.7722,1.2333,0.0859,0.0505,0.0511,0.8981,0.0563,0.974,0.0797,0.2569,5.0045,1.7123,0.5254,140.7921,5.5072,30.0609,3.9323,1.4169,0.1576,1738.5623,4.4101,0.0,1.776,7.798,1.4211,79.0216,19.1199,81.6696,147.2307,547.3661,99.1899,1.872,0.0
SWE_C13T15,3.714,2.3114,0.4055,0.8633,0.0246,5.0222,50.8037,0.4278,33.1029,1.3426,1.2192,0.8558,0.9022,6.3358,2.5351,5.6178,2.6693,1.0789,6.3991,50.444,2.8061,19.4882,1.6205,1.3936,21.3143,16.6142,5.7276,1.416,0.5747,6.7658,1.0429,11.2558,5.8075,4.7219,12.3749,0.9463,0.5502,10.8081,4.5382,14.7007,2.9367,46.7441,7.9924,4.892,0.0
SWE_C16,170.889,13.9427,1.8836,2.6694,0.118,17.462,1.6163,745.9622,360.0125,3.8216,16.7635,2.9781,25.3695,31.0598,51.4786,70.8794,3.857,29.0001,39.8597,14.5019,20.9918,298.3359,437.6201,9.3164,3418.7421,129.2695,12.9043,7.1959,1.3623,34.0639,2.7533,6.8822,17.7218,2.7564,11.4558,4.2702,325.364,51.5596,25.0453,18.458,16.4443,17.6878,40.2801,33.0846,0.0
SWE_C17_18,129.874,2.7409,0.7042,6.8895,0.2271,257.6081,8.6906,247.1671,1690.7398,8.2793,62.0649,80.1845,55.1936,34.0985,50.4485,42.5265,21.5533,44.4685,69.7729,37.7799,5.6531,58.9401,44.3957,49.4912,101.3607,327.2383,38.0754,9.1654,10.7735,76.6222,87.3437,24.3119,753.1055,81.7938,263.6423,80.4803,108.9674,580.9539,162.4696,116.4588,146.1612,215.7286,96.3777,66.5542,0.0
SWE_C19,411.2634,6.7896,4.3378,39.6585,1.2935,38.5738,4.0023,24.3561,57.1302,287.5104,173.0273,11.7852,13.1377,106.3484,89.6372,25.4469,2.4864,9.7324,33.8414,36.8434,3.4423,17.5126,163.4679,118.0875,671.8398,360.5403,1046.0318,107.3543,326.8721,107.7193,27.0919,10.6938,11.2756,21.6296,15.069,13.139,80.3101,51.4348,51.4395,64.2368,11.967,33.8389,16.5894,19.859,0.0
