V1,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T
CHN_A01_02,255831.2616,3589.5699,458.8654,268.6829,26.4189,608611.8379,159053.8329,43423.2198,31761.201,36.1598,37639.9194,67970.1396,14476.266,631.299,289.8821,468.3935,6.65,45.8429,363.8233,28.7841,11.4199,7575.5917,152.228,343.9919,34927.3986,1056.5479,4469.0057,173.2566,1684.746,7276.8894,196.6983,29077.7179,133.8665,1664.0206,4.8452,7.265,273.456,11102.5028,1038.2516,13.5356,2646.8645,2188.6228,3170.5667,197.3382,0
CHN_A03,6755.7574,59634.8012,0.0,6.9983,2.4794,33596.7475,791.2082,319.5106,1085.7867,1.0389,3801.6838,115.4728,48.1312,26.6141,44.9151,0.0,0.0,0.0,55.4194,5.3882,1.5152,421.1099,18.4331,862.3052,0.0,136.1439,0.0,2418.0654,0.0,0.0,297.1145,28232.0902,11.3071,104.1428,0.0,0.8922,33.4321,2782.2225,147.0593,1.6623,617.0887,145.1353,271.0812,24.2818,0
CHN_B05_06,150.84,9.7227,67946.1097,2136.7116,323.735,1578.6496,1619.744,389.2665,3163.1724,201916.3527,42317.3798,279.6549,1544.2622,28431.0992,41498.9131,1763.1745,599.3076,416.6992,1470.152,311.7321,132.7617,302.2831,159362.2609,853.126,804.0231,143.3107,2334.5187,214.5599,108.7478,75.8804,121.3956,387.4906,38.6362,0.0,1503.4857,733.6638,49.4917,461.7412,40.5092,498.5157,308.743,458.5956,34.7452,121.5546,0
CHN_B07_08,7.292,1.0458,34957.3787,26019.9721,64.0702,603.6225,10.1681,28.809,422.2285,93.4915,16114.0707,812.897,1313.711,60484.3166,168333.595,2840.3872,161.9132,1397.8872,561.9887,130.0613,26.5396,228.8715,729.5635,250.5005,18039.7427,223.2291,15.5335,1.3391,1.6248,5.3004,1.077,3.1513,1.421,0.0,0.0301,135.2837,224.0114,260.6829,43.8081,0.0176,0.1562,0.8661,0.7692,18.3342,0
CHN_B09,0.0,0.0,21439.7658,992.3892,135.4031,408.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0,0.0,0.0,0.0,0.0,162.938,0.0,1949.5596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CHN_C10T12,240443.2784,11645.5446,3556.8845,4682.4215,21.5928,383444.0596,26247.9107,1514.2443,3119.493,5814.8527,72943.9546,7285.5259,1576.0412,7673.8197,14152.1144,4995.3883,9219.8763,6161.0962,9279.3121,1609.7268,547.4651,2235.796,5125.5323,2888.3016,12414.5613,16202.9585,5444.7731,1950.2265,8925.391,5969.0106,1001.2229,132701.5198,4334.2584,3318.1905,2749.1882,2654.6534,4540.3635,18514.2669,1824.5973,11418.3887,11705.2346,10820.2495,1816.298,5223.4415,0
CHN_C13T15,1064.322,10.9853,3210.5345,2771.3809,420.5871,2816.9973,569687.6362,2020.0326,11997.5888,759.8067,12442.3998,9168.5664,23762.2657,14758.823,4780.8852,5080.5789,2111.1231,4891.0112,8748.035,13160.5119,1939.2083,25999.7073,1355.6655,3199.1631,23089.3259,5992.9315,4285.0043,159.7306,809.5556,1815.267,662.0333,4896.3441,5352.9389,842.2874,83.3823,4006.3889,2928.8713,11552.8696,2320.2926,24398.2901,1082.841,10953.7873,1115.9015,1351.9161,0
CHN_C16,62.4333,6.9105,10187.5578,803.7525,8.8899,420.7062,1037.3883,76136.203,5391.1819,94.7198,1496.831,45.6781,943.2374,4978.5544,1535.1717,5595.5548,698.4909,1386.2412,4600.3919,233.3019,36.5788,35587.1086,27.5978,231.439,71010.8326,478.3925,103.8912,9.0254,3.2019,27.9931,25.6971,41.7473,2.8934,0.2571,0.271,10.45,543.4772,227.9156,20.6837,21.8665,0.325,3.2377,30.4858,187.8276,0
CHN_C17_18,127.538,13.6295,222.8824,718.1788,21.8611,13157.5061,4866.8834,1506.9628,108046.9977,160.8968,6955.9136,2597.4085,2839.3447,14681.5242,931.2711,2856.4428,8042.5202,8683.8911,6001.8188,940.6152,141.4639,6595.7047,1309.8331,585.8163,3627.7821,36427.9109,1153.3704,39.0344,172.8258,493.199,2437.7698,889.4457,6553.8353,1493.1362,18584.1374,12088.4601,4667.1142,59435.1573,3284.1747,10220.0901,5183.0545,387.5042,206.8614,1857.1917,0
CHN_C19,13602.397,1693.4171,24049.9662,12844.9325,1450.4156,746.5107,623.8045,530.8039,580.0456,41490.2187,97336.9278,236.0001,2775.2415,22163.2163,66905.0382,2546.7489,1290.287,1351.8289,3398.9634,1228.4742,478.2664,630.1256,26514.7696,1498.051,27384.4013,6493.8509,66039.1397,20052.5161,11639.6608,16278.5825,1265.0291,618.5321,218.2102,429.4461,176.4897,1194.2223,817.7295,24387.9036,7025.7498,5701.3895,1301.2809,441.1493,221.0014,346.2419,0
CHN_C20,132863.4307,392.9279,12183.8155,21389.1147,2231.462,8774.3021,57179.7518,13234.6524,34139.7373,14349.4872,437537.5701,7442.9817,133108.3174,65555.1363,23964.3562,25177.4547,28698.5971,39418.5381,16278.7659,5854.79,1344.8762,11715.5706,1200.0937,6506.0989,88630.4728,1710.9165,2186.0934,216.9988,801.918,2001.148,368.7271,1616.3534,1985.7959,36.064,1824.2074,273.5289,743.579,37137.45,859.0509,4262.3672,5427.1795,46503.1849,1296.4322,4537.0887,0
CHN_C21,20891.7504,883.9694,60.9244,26.1423,7.5128,264.2958,42.0578,0.2766,224.3468,5.6507,5731.4124,103074.7223,336.9254,361.7574,140.3682,119.9151,276.7237,42.0784,260.1203,2.8217,1.5579,34.2973,68.3877,68.1834,1114.3022,140.2336,194.0043,42.767,47.734,65.7323,112.2175,52.8955,9.1434,476.1641,104.5839,47.0962,67.184,2277.1919,253.0458,80.3932,135.1432,112564.4187,2.0906,410.7551,0
CHN_C22,9143.5907,65.0887,1970.7348,3855.7831,1164.5223,11845.8578,12004.0501,2482.953,11005.9245,1169.0506,41844.5831,1160.936,110238.0526,16495.7979,2482.5114,11036.4933,35805.4109,40610.058,32455.311,22700.5585,2423.3054,12188.58,428.2326,5671.4753,42154.8738,5525.048,8301.8707,32.3502,43.4094,997.9276,685.2807,1129.6446,215.0737,1457.0561,493.8866,61.7192,261.4837,5446.1775,646.2451,362.9317,30.1431,2122.3412,407.8349,1335.2762,0
CHN_C23,380.9969,72.5855,1939.5533,4968.5629,1083.6711,5671.5107,644.4033,568.5219,684.8017,2996.2178,8290.0706,2206.0817,2934.8049,188407.3234,31404.5073,7780.8413,16734.3404,27233.3055,8231.1677,13866.3387,552.4141,2286.0823,709.3618,1195.1992,560735.5861,224.4675,836.0582,83.1654,247.3974,417.6752,212.6523,125.9321,461.5975,248.7901,67.8123,51.1453,96.152,2864.5253,69.43,1747.1893,746.309,244.7499,333.0508,7.8789,0
CHN_C24,21.5706,2.5877,18213.098,5166.5274,2071.5595,154.0538,305.1912,282.9407,10418.8452,75.6715,9289.9524,70.8005,3723.2743,20736.4033,511537.188,179129.6051,33665.9209,197090.1457,166991.1331,46933.4308,7885.0625,17882.4757,547.1635,4177.1291,341905.6361,174.2334,1316.5343,262.4737,232.2354,242.0726,70.9045,1.5009,24.0677,0.0851,0.0728,25.4,1.9063,879.8747,29.0898,0.0444,41.0211,0.0162,20.7602,158.2107,0
CHN_C25,733.1734,27.6971,10949.4844,12423.9162,945.2021,3108.3679,1105.3137,4344.8734,1686.3874,343.9745,6270.0713,614.2547,7321.7686,29276.4952,10461.6188,84722.3655,19012.0931,35067.0274,54060.6599,19833.328,6363.3046,8808.0265,416.7272,2130.0129,137656.8499,847.6981,560.8046,371.8749,67.3951,2804.4832,129.3886,219.3993,46.7268,56.7225,42.0061,47.1942,1270.5781,39237.1208,1498.2148,1075.231,612.0685,92.9448,76.994,959.3361,0
