V1,GBR_A01_02,GBR_A03,GBR_B05_06,GBR_B07_08,GBR_B09,GBR_C10T12,GBR_C13T15,GBR_C16,GBR_C17_18,GBR_C19,GBR_C20,GBR_C21,GBR_C22,GBR_C23,GBR_C24,GBR_C25,GBR_C26,GBR_C27,GBR_C28,GBR_C29,GBR_C30,GBR_C31T33,GBR_D,GBR_E,GBR_F,GBR_G,GBR_H49,GBR_H50,GBR_H51,GBR_H52,GBR_H53,GBR_I,GBR_J58T60,GBR_J61,GBR_J62_63,GBR_K,GBR_L,GBR_M,GBR_N,GBR_O,GBR_P,GBR_Q,GBR_R,GBR_S,GBR_T
GBR_A01_02,5218.0484,0.2646,6.127,4.4999,3.0543,10832.0036,37.7545,382.8741,152.5728,1.2107,43.616,151.1796,33.4291,6.017,3.7395,11.2157,2.8032,2.8814,7.3472,6.6007,7.2723,13.0755,670.5533,11.5013,253.4667,315.1803,36.5999,2.9168,19.0268,14.3237,3.3943,70.296,13.3623,9.9837,23.1848,111.4353,89.7966,143.2601,73.2323,67.4975,34.5116,118.4883,37.6026,10.3734,0.0
GBR_A03,0.1648,296.4324,0.1361,0.0306,0.0736,1107.2506,0.0726,0.0299,0.1283,0.0257,0.155,0.0673,0.084,0.0637,0.0702,0.1043,0.0762,0.0571,0.0829,0.1328,0.0789,0.1088,0.2324,0.1502,1.9541,3.5416,0.4288,0.7835,0.4852,0.6822,0.0577,227.452,0.4407,0.1267,0.2333,1.1518,13.7011,1.1951,1.3277,0.7874,0.7525,1.0257,0.645,0.1253,0.0
GBR_B05_06,39.2485,0.0001,660.7894,30.3769,1.3113,4.3068,0.0011,0.0014,1.5291,8528.8609,207.6078,3.2471,0.4767,13.694,479.9062,0.0085,0.0028,0.9139,0.0014,0.0067,0.995,5.4346,5212.8801,0.0201,4.3343,4.2663,6.9181,1.0074,0.0119,5.9309,1.8642,0.0464,1.0254,2.6691,1.0425,7.6294,91.6099,60.7172,9.2231,8.806,11.0904,9.5802,16.0474,17.4664,0.0
GBR_B07_08,20.2509,0.2319,2.1171,646.7091,11.9881,53.6572,4.4647,6.7974,11.6331,1.6496,139.5851,8.1061,45.831,1381.4237,35.9602,434.0332,8.1298,16.6132,7.1551,52.5976,15.7913,109.113,7.1971,9.3365,2673.6564,91.047,26.1529,2.181,6.2994,13.2762,2.4472,15.2257,7.2841,3.8343,9.8799,27.7758,38.3246,40.6996,342.4936,28.9879,31.681,32.5874,15.0924,17.2049,0.0
GBR_B09,6.2371,0.2649,5167.0702,361.5437,1827.4182,36.8402,3.044,3.3783,9.9381,2.1409,10.7325,3.8396,7.4406,12.0576,5.9938,10.0192,3.6068,4.0297,9.7352,11.4694,10.8044,8.32,12.5616,10.1278,476.8372,154.7946,74.3217,2.309,4.1631,12.1261,5.8989,11.6445,9.8002,6.1737,18.9399,71.1015,18.3451,125.6918,39.6448,32.5582,25.2536,58.356,8.8578,5.0924,0.0
GBR_C10T12,1537.4791,372.8584,34.0694,16.9212,26.1825,19147.1845,81.9569,30.366,116.0729,21.9092,351.2031,66.0357,151.2599,47.6037,53.5066,72.37,261.4254,217.0174,513.8971,213.3198,63.6933,65.409,91.8783,59.9739,268.8644,1913.2047,1128.3019,79.1396,52.4521,959.2282,82.2761,13605.2038,688.9228,67.3922,249.6885,580.7904,224.1034,278.2129,560.1494,206.6664,1745.963,2224.9739,876.3758,283.1367,0.0
GBR_C13T15,17.9112,1.5813,5.776,3.8172,4.8665,56.6874,945.9372,7.9835,94.5699,2.0673,41.932,12.8075,75.2976,18.1605,8.2784,22.5598,13.9981,10.8229,22.4461,210.7567,22.058,167.7487,17.887,10.4947,340.8759,621.2904,21.7847,1.9714,14.8644,14.3363,3.926,31.0281,30.5958,8.1809,13.717,70.5602,26.0889,135.2507,30.7751,102.1447,55.0174,161.9291,33.4405,61.4618,0.0
GBR_C16,4.5143,0.2937,14.8879,5.4122,2.3313,26.7701,5.4566,1764.2241,320.3054,0.726,13.0914,7.742,11.456,55.081,7.4387,155.9624,5.4495,18.2782,13.547,115.0363,118.558,1156.0559,6.2195,8.1614,4530.492,93.9395,9.6778,1.0773,3.6315,8.7642,2.5704,10.271,12.6771,3.4598,9.8557,44.3474,42.3344,25.6153,251.6915,23.3933,79.7514,38.2611,28.4002,105.3663,0.0
GBR_C17_18,133.7584,2.2878,19.5276,8.4443,4.842,1024.1343,64.8489,39.7787,4391.5083,3.6915,330.7601,109.8785,334.9831,86.9722,21.42,93.4809,73.4332,63.0193,99.3975,106.3349,44.1074,180.3807,58.1959,92.6065,411.4071,2391.7179,104.973,6.2458,15.0169,245.073,88.5877,178.2049,2175.9048,181.4362,221.6792,2882.4373,150.3952,1025.2028,499.5233,1564.6862,2346.7224,2103.3889,788.6748,213.3082,0.0
GBR_C19,443.3767,17.7011,90.4795,109.6503,3.3368,158.7794,10.2078,29.5228,41.9243,528.5374,323.1778,3.5987,30.137,179.7764,18.0333,93.0747,4.8076,15.1658,35.8467,35.0141,8.5793,197.6638,6.0704,137.2205,1413.8295,3255.1665,2974.3805,620.4287,3201.9329,729.69,178.6995,85.0565,45.5375,72.2752,35.5672,601.0968,103.3251,378.522,724.735,383.8797,192.3105,264.5273,72.3023,67.8045,0.0
