V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T
UKR_A01_02,5858.6047,1.8169,5.6517,0.8348,0.3416,3195.5183,13.1227,91.7012,88.196,0.7091,63.7316,4.3277,0.1748,1.6359,1.6605,0.6297,0.0444,0.1077,0.4401,0.0961,1.2918,10.989,4.0226,0.5318,9.6842,670.2066,22.2096,16.648,6.3616,16.5049,0.2354,37.0727,0.0874,22.6444,3.9486,0.712,10.9011,1.3037,12.8398,87.2602,128.2285,28.0829,2.0801,0.5194,0.0
UKR_A03,61.9924,18.1306,0.008,0.0012,0.0005,4.7705,0.0205,0.1265,0.1225,0.001,0.0897,0.0062,0.0002,0.0023,0.0024,0.0009,0.0001,0.0002,0.0006,0.0001,0.0018,0.0155,0.0057,0.0024,0.0319,0.9593,0.0232,0.0296,0.0162,0.0159,0.0003,0.0528,0.0001,0.0321,0.0056,0.0,0.0155,0.0018,0.0181,0.1228,1.0186,0.0395,0.0029,0.0007,0.0
UKR_B05_06,54.8582,0.0101,56.9401,28.4687,14.1914,127.8096,2.3028,8.7256,19.4528,681.0722,352.0948,2.6253,1.7333,84.2671,523.2156,4.0528,1.1618,3.9863,10.6451,1.3078,5.3079,3.0053,1168.8736,1.5403,4.5736,95.8849,182.8585,39.9853,32.483,58.9183,1.7566,2.9848,0.3105,1.2739,1.4053,0.6982,22.5163,5.9628,4.7276,23.383,52.7125,14.5784,5.802,2.2275,0.0
UKR_B07_08,2.1243,0.0004,6.3774,42.3255,7.4282,9.1738,0.1811,0.0408,0.1121,0.2268,26.4678,0.2734,0.259,109.1097,852.9086,0.8299,0.032,0.5627,0.5135,0.0322,0.0902,0.7613,0.7988,0.5486,89.1909,10.4392,9.8486,1.185,1.5824,5.6633,2.2373,3.0809,0.2607,0.0759,0.1727,0.5445,0.354,3.7628,2.3272,0.0,0.0534,0.0478,0.1152,0.2208,0.0
UKR_B09,6.7205,0.0012,33.2823,147.6246,95.9755,16.8624,0.1101,0.1868,0.3419,0.6356,7.5543,0.5956,0.6138,70.5719,103.0955,1.6221,0.0109,0.3574,1.1983,0.0679,0.0693,0.7656,2.8226,1.0954,78.9694,23.9963,30.6261,3.9882,5.8096,15.2082,0.0,7.6114,0.0231,0.0,0.3456,0.1756,1.0326,8.0066,4.32,0.0,0.1516,0.2081,0.1078,0.4982,0.0
UKR_C10T12,152.3208,0.1433,1.8121,2.2753,0.5506,3372.8144,0.3559,0.4897,1.0528,0.4105,8.4059,3.3801,0.1945,0.4764,0.8981,0.438,0.1092,0.2504,0.8532,0.3746,0.9617,0.6493,2.5843,0.2792,7.3475,268.0165,9.1734,6.6939,6.4815,6.1773,0.1648,146.143,0.757,0.3641,20.9868,0.3818,5.3244,13.5958,4.1977,76.7044,113.5087,31.5661,2.2618,1.758,0.0
UKR_C13T15,2.1562,0.002,0.9659,1.1471,0.3534,5.4183,75.107,0.4214,1.2288,0.7106,1.4413,0.8352,0.7603,0.9544,2.4591,0.5314,0.0785,0.2706,0.6799,0.4526,1.1641,14.293,1.5589,0.2881,2.1355,27.4335,2.1196,0.7967,0.8382,1.3722,0.2895,1.2563,0.1177,0.1548,0.5294,0.0431,1.4568,1.2827,1.7939,10.9489,1.6499,0.6347,3.6226,1.6722,0.0
UKR_C16,19.6978,0.0183,5.8098,0.5724,0.176,108.4909,0.9956,278.0511,34.6233,0.3258,10.2162,4.2899,7.8549,13.6496,2.023,4.822,0.3884,1.6703,2.0272,0.7091,0.6609,29.213,1.9752,2.6545,22.4398,48.5134,2.2451,0.7895,0.4189,2.8614,0.1138,2.6979,5.2627,0.6152,10.6472,1.1055,3.9496,4.9203,1.4393,33.1806,8.5066,1.2107,1.1546,2.7357,0.0
UKR_C17_18,16.9926,0.0157,6.4282,0.6145,0.2064,293.2462,2.3479,17.5207,236.0872,0.5901,20.4575,24.9661,10.6929,13.0281,2.6885,3.2569,0.9042,2.8107,1.9377,0.625,0.5504,11.2595,2.2689,5.688,1.4376,148.428,6.034,1.1518,1.7218,5.9212,0.8813,7.7511,50.8987,3.8688,96.5845,11.5767,4.5238,31.7284,5.4004,124.56,34.5404,6.7003,5.8343,4.4906,0.0
UKR_C19,349.3891,0.3281,17.1727,45.2437,12.7316,64.1685,0.8632,6.8206,7.2616,19.5784,21.2729,3.2708,2.8308,19.3903,448.3306,3.4386,0.5992,12.1472,3.5174,1.0675,5.2874,6.6634,21.0886,17.5845,81.2209,208.0551,294.0514,67.3054,123.4288,39.0436,6.4327,1.5885,0.6034,3.7148,9.736,3.0888,10.5307,28.7966,17.1193,15.9494,11.9396,6.0125,2.2032,3.297,0.0
UKR_C20,830.0335,0.7881,45.1385,26.4408,7.5565,136.9817,20.0175,47.1481,113.1126,38.9298,381.0533,17.5396,190.6384,52.7662,26.975,13.3852,1.6886,10.778,7.6312,1.9537,2.1248,24.9341,5.806,6.1604,44.0516,355.9765,5.7475,1.5996,1.582,4.5702,0.0441,2.2385,1.8088,0.1271,2.6687,0.3852,3.4383,9.7484,5.6171,21.6619,2.1481,14.7995,2.1404,4.9636,0.0
UKR_C21,47.2644,0.0447,0.0215,0.0625,0.01,19.6874,0.0096,0.0416,0.0734,0.0608,1.4956,117.2157,0.4083,0.1809,0.077,0.3211,0.0133,0.0104,0.0267,0.0278,0.0547,0.83,0.1245,0.0654,0.2436,43.3658,0.1466,0.0962,0.0654,0.1394,0.0945,0.3946,0.7072,0.024,2.0178,2.5615,0.4531,3.2893,0.2373,5.6577,1.2189,228.3376,0.6826,0.2475,0.0
UKR_C22,60.5672,0.0569,6.7734,21.4173,8.2422,362.3028,10.734,20.5195,40.3703,3.8333,43.5838,17.7039,363.1739,20.8932,14.8087,26.4573,2.5085,36.9474,20.4852,15.9727,3.8078,19.1157,8.6557,7.0021,177.683,171.8414,45.4356,3.8647,4.2371,13.5203,1.646,1.1462,2.7072,1.1313,4.748,3.0483,14.561,11.346,10.0037,0.0,5.3404,4.3743,1.2162,2.2473,0.0
UKR_C23,38.9325,0.0364,5.1014,7.6528,2.8514,218.8084,0.9144,9.8347,4.6669,2.1488,14.4696,10.8984,30.3934,335.4837,322.1873,10.5413,2.536,8.0089,10.268,2.5195,2.1838,18.1273,12.603,3.2837,664.8412,82.5227,23.5322,6.7523,8.1272,20.0499,0.3219,1.6954,0.1003,0.8234,0.7379,0.3744,27.816,16.2102,10.0321,95.3822,6.4902,3.4806,1.1382,1.6541,0.0
UKR_C24,31.4463,0.0293,46.0431,60.694,32.6631,33.3511,2.9423,5.1295,6.8028,11.5456,8.6705,2.3666,18.0345,79.2483,1558.4856,503.7603,10.8472,208.8191,442.1406,73.245,132.1733,128.1168,428.6136,161.6701,758.933,103.614,22.6038,11.6558,3.9894,14.8974,0.061,0.3041,0.135,3.4236,0.7882,0.3622,7.4295,27.9874,5.3026,0.0,1.3433,1.1037,0.3331,1.8458,0.0
UKR_C25,21.8824,0.0204,70.0659,26.846,10.5359,56.6572,2.3385,12.7714,6.312,1.8419,8.9528,1.9479,21.6345,15.8366,81.8207,89.8542,5.2896,10.1643,43.5129,22.151,8.58,42.7181,11.588,37.0073,276.7515,82.3361,25.2369,7.0667,5.0427,21.7267,0.0368,2.6951,0.6964,1.0392,1.2462,1.4513,8.8882,27.3993,4.8311,62.1221,4.2258,1.6608,0.9289,1.7157,0.0
UKR_C26,4.0675,0.0037,0.8749,0.1917,0.134,3.7738,0.078,0.153,0.4532,0.139,0.4013,0.2129,0.982,1.3083,0.8803,0.5244,14.5689,5.8688,1.6774,0.5044,1.6431,3.11,1.6798,0.11,4.827,15.2607,0.961,0.2962,0.403,0.9083,0.05,0.1006,0.4706,2.4326,20.5559,0.7292,0.5694,5.7797,2.1618,3.3708,1.2324,0.5577,0.5793,4.0136,0.0
UKR_C27,5.4426,0.005,1.3805,7.4465,2.9424,6.2326,1.2282,1.2402,1.8712,0.9961,2.8632,0.343,1.2716,3.8083,8.8632,3.8829,6.8778,24.4431,5.8842,1.658,3.5821,20.078,10.746,0.6786,82.8089,37.9264,6.2036,1.1899,1.0253,3.6636,0.0827,0.7843,0.7475,3.8684,8.5716,2.1113,4.1252,23.3941,5.2229,7.9717,4.6782,4.0313,1.4094,1.987,0.0
UKR_C28,89.5445,0.0834,39.4642,21.3059,8.4404,35.5244,0.8304,5.0213,7.2824,3.3892,5.1334,2.8983,1.7897,9.5969,30.6597,8.0659,4.8678,23.8982,60.1366,25.3299,45.2484,26.786,12.3807,1.1857,13.524,46.8345,5.5668,2.1399,2.0605,4.5578,0.0267,0.5144,0.0412,0.0733,2.1992,0.2626,8.3132,8.2273,1.817,6.0317,0.8296,0.4474,0.325,1.0393,0.0
UKR_C29,67.2014,0.0618,0.9301,5.6782,1.6486,8.2195,0.1236,0.8966,0.8218,0.2166,0.728,0.0836,0.1548,1.814,0.8608,0.3169,0.1317,0.2152,0.7541,14.0679,0.6143,1.3356,1.5531,2.1611,8.4322,61.9455,29.4808,1.056,1.8348,6.4473,0.3213,0.0887,0.1266,0.2585,0.2588,0.1914,2.6447,0.8533,4.7431,4.7331,3.3546,0.807,0.2579,0.3392,0.0
UKR_C30,15.6501,0.0303,0.584,2.1466,0.8251,3.7399,0.0754,0.0485,0.0869,0.1139,0.3946,0.0534,0.0476,0.5869,6.3801,4.7111,0.1376,0.3956,0.4382,8.6033,38.8315,12.8266,1.7787,0.5304,9.9198,9.77,23.6349,29.2858,35.2134,11.0864,0.0,0.0386,0.0896,0.6847,1.2423,235.0146,0.7912,21.323,3.361,0.0,1.4764,0.0519,0.083,0.1081,0.0
UKR_C31T33,9.8176,0.0091,32.0961,16.2378,8.4818,25.3703,1.0906,2.9141,3.4259,2.9843,4.2922,1.7143,1.0525,10.7848,24.4866,3.4323,1.6041,1.5366,3.8897,0.8693,2.3676,67.9675,28.916,2.06,25.7144,50.1025,42.7975,12.0368,20.3945,30.3487,0.4719,3.3086,2.7074,27.9308,24.9591,21.2978,21.6869,15.8583,8.7675,129.9448,9.9454,7.6026,1.7019,3.9294,0.0
UKR_D,284.7032,0.572,268.5815,405.2978,82.9338,407.3487,20.0497,43.8266,84.3485,91.2103,296.3339,12.4584,56.1048,154.2217,849.1072,44.2726,11.8166,30.0945,68.412,11.4367,22.0851,42.9616,460.3601,152.116,60.3103,238.43,357.5425,33.0587,49.2814,291.6929,4.5584,42.9485,3.6893,76.8609,3.5593,1.3851,520.0411,45.7513,57.0639,171.0563,370.1536,163.5845,38.3388,22.5983,0.0
