V1,GRC_A01_02,GRC_A03,GRC_B05_06,GRC_B07_08,GRC_B09,GRC_C10T12,GRC_C13T15,GRC_C16,GRC_C17_18,GRC_C19,GRC_C20,GRC_C21,GRC_C22,GRC_C23,GRC_C24,GRC_C25,GRC_C26,GRC_C27,GRC_C28,GRC_C29,GRC_C30,GRC_C31T33,GRC_D,GRC_E,GRC_F,GRC_G,GRC_H49,GRC_H50,GRC_H51,GRC_H52,GRC_H53,GRC_I,GRC_J58T60,GRC_J61,GRC_J62_63,GRC_K,GRC_L,GRC_M,GRC_N,GRC_O,GRC_P,GRC_Q,GRC_R,GRC_S,GRC_T
GRC_A01_02,1615.3732,1.203,19.0188,3.7462,0.0116,3860.4037,43.4895,55.8119,5.1655,3.7148,39.1209,6.8576,6.6061,8.1015,14.0399,15.0078,0.8364,2.6811,3.5575,0.6834,1.5581,12.575,20.8199,28.5528,0.0,0.0,0.0,20.8848,0.0,0.0013,0.0,751.4109,0.013,0.0,0.0013,0.0,0.0,1.1211,0.0036,50.37,0.1771,2.8135,0.0009,22.6046,0.0
GRC_A03,0.0,44.6895,0.0,0.0,0.0,38.8574,0.6418,0.0,0.0,0.0,0.0,0.0068,1.0646,0.7451,0.0,0.822,0.0,0.0,0.0,0.0,0.0,0.3449,0.0,0.0074,0.0,0.0,0.0,0.712,0.0,0.0,0.0,106.4823,0.0007,0.0,0.0002,0.0,0.0,0.1367,0.0003,0.1492,0.0217,0.1388,0.0,2.4643,0.0
GRC_B05_06,0.0103,0.0,0.0013,0.0033,0.0079,0.0293,0.0035,0.0223,0.0509,160.7549,0.0303,0.0089,0.0086,0.2336,0.1102,0.0,0.0359,0.0013,0.2526,0.0002,0.4836,0.0618,151.2054,0.084,0.4713,0.202,0.1442,0.0316,0.0008,0.0112,0.0002,0.1364,0.0036,0.0492,0.0127,0.054,0.2692,0.0429,0.0177,0.0587,0.0365,0.0487,0.0151,0.0414,0.0
GRC_B07_08,1.5879,0.02,0.0367,279.5296,0.3301,7.155,0.1514,1.876,0.5578,340.3968,36.5436,3.2781,0.4472,57.801,89.4567,0.1257,0.9297,0.0592,0.1273,0.0054,0.0542,0.2466,26.6986,1.8821,30.7889,3.5865,1.5981,1.0538,0.3036,0.2029,0.0833,6.9469,0.108,1.1493,0.2701,0.6972,2.2198,1.2065,0.6288,1.5323,0.5205,1.0192,0.3901,0.5,0.0
GRC_B09,0.2677,0.0308,0.7551,1.7321,0.1871,0.1671,0.0038,0.0011,0.077,32.8245,0.1935,0.0073,0.0179,0.844,2.1222,0.1543,0.0005,0.0048,0.0102,0.0001,0.0014,0.0133,5.2728,0.0838,3.2994,0.0581,0.1067,0.0885,0.0132,0.1023,0.0005,0.0342,0.0005,0.0,0.0003,0.0005,0.6201,0.0799,0.0244,0.2634,0.0101,0.0434,0.0127,0.0249,0.0
GRC_C10T12,461.7068,3.323,0.0076,0.0211,0.0086,1041.6996,3.576,4.2825,2.1065,0.602,5.28,4.0537,0.2092,0.0768,10.328,17.3753,3.3233,11.9543,7.4617,0.0725,0.5683,1.3045,0.1933,0.2723,0.4289,7.8893,0.4275,227.6443,0.0597,0.0373,0.0174,3015.1087,8.0053,0.0492,0.0093,0.999,0.0305,5.6248,7.3358,39.5447,14.4364,101.1286,0.1783,33.4707,0.0
GRC_C13T15,5.2684,6.566,0.0448,0.2082,0.0164,26.059,192.1306,0.1831,4.3865,3.5524,2.7608,3.2089,4.0691,1.7971,2.6479,4.2478,0.3674,0.7132,0.6689,0.2211,0.6573,8.1105,4.9226,3.8889,3.4507,102.6485,1.089,3.5777,0.5101,0.2389,0.1453,31.449,1.9843,8.1861,3.0786,38.4372,0.303,10.9519,1.2009,7.3292,3.7687,8.7528,3.3775,5.23,0.0
GRC_C16,4.2382,1.5276,0.006,0.9428,0.0086,43.4963,2.0392,47.0979,1.958,0.9654,6.2039,4.9552,2.0973,2.6028,3.3444,6.8291,0.5833,1.5276,1.6479,0.5636,0.9067,70.0494,9.6583,0.7326,33.2264,0.6847,0.5847,1.2762,0.2895,0.2719,0.0788,4.3105,3.5974,0.1368,0.1181,0.1977,0.8161,2.3116,0.2557,1.1356,0.0567,0.6554,0.1286,5.4195,0.0
GRC_C17_18,4.0108,1.4871,0.4097,0.2184,0.0233,60.39,4.2493,1.2453,407.5711,2.1547,7.0778,11.1962,13.867,3.9019,2.744,3.3903,0.3487,3.4049,0.5993,0.5961,1.279,1.8357,12.9181,1.9933,19.1783,102.0422,9.8304,4.9697,2.7166,1.6214,0.7421,249.5042,17.8553,9.7479,6.9623,51.8644,1.5393,95.935,65.0957,86.4149,11.3938,11.5088,21.2655,38.0293,0.0
GRC_C19,452.1918,32.3272,9.1693,13.2499,0.5419,148.1037,9.889,2.9619,12.7236,1210.0509,222.9708,13.0384,20.2683,46.3632,67.4489,49.4119,1.964,5.132,8.4374,1.684,2.0934,17.4978,1006.2225,38.9547,80.2188,363.3118,186.8662,786.6879,137.5253,211.0428,51.178,168.3034,3.1346,15.0625,7.7506,8.9931,1.0175,53.8789,43.5378,140.6511,21.7054,55.7255,22.9379,30.5429,0.0
