V1,BGR_A01_02,BGR_A03,BGR_B05_06,BGR_B07_08,BGR_B09,BGR_C10T12,BGR_C13T15,BGR_C16,BGR_C17_18,BGR_C19,BGR_C20,BGR_C21,BGR_C22,BGR_C23,BGR_C24,BGR_C25,BGR_C26,BGR_C27,BGR_C28,BGR_C29,BGR_C30,BGR_C31T33,BGR_D,BGR_E,BGR_F,BGR_G,BGR_H49,BGR_H50,BGR_H51,BGR_H52,BGR_H53,BGR_I,BGR_J58T60,BGR_J61,BGR_J62_63,BGR_K,BGR_L,BGR_M,BGR_N,BGR_O,BGR_P,BGR_Q,BGR_R,BGR_S,BGR_T
BGR_H49,61.6559,0.558,1.0505,23.7979,0.6617,106.8456,13.7558,12.7027,8.7068,59.7569,14.9303,20.3973,10.974,23.8565,111.7326,36.1599,8.9377,29.9021,46.5762,26.8787,6.3283,18.864,159.7961,12.9393,625.1828,314.6636,177.4675,1.2514,8.59,191.7247,5.2027,15.8331,8.2892,12.7708,12.6306,10.8638,11.1893,33.9002,76.4735,29.5175,9.0133,22.9297,15.9797,8.1752,0.0
BGR_H50,2.4682,1.5738,0.0563,0.419,0.0118,5.8845,1.2473,0.2233,0.521,9.3562,1.2095,0.4815,1.0024,1.4731,6.6662,1.4091,0.2357,1.1074,1.1946,0.607,0.3213,0.8076,5.3337,0.4312,12.6309,13.3562,12.1429,1.7385,0.2992,2.6308,0.5089,0.8183,0.1634,0.8496,0.4196,0.1699,0.2375,1.091,1.4368,0.5852,0.1436,0.2555,0.4056,0.2041,0.0
BGR_H51,1.198,0.0118,0.0308,0.2394,0.0429,1.9417,0.6211,0.162,0.3295,4.0428,1.1026,0.133,0.581,0.8158,1.9256,0.7693,0.0865,0.4449,0.6262,0.3622,0.2296,0.4058,2.231,0.1052,3.4075,2.5043,1.5193,0.0125,0.6543,0.7493,0.0441,1.0386,0.1439,0.1784,0.1953,0.2429,0.1418,0.2533,2.776,1.3549,0.0733,0.2316,0.1439,0.1631,0.0
BGR_H52,27.645,0.9531,2.7096,15.2274,0.3636,28.9081,3.4034,1.9666,1.9668,13.9057,3.7544,2.1286,2.4085,7.6173,29.0026,6.3948,0.92,4.0595,5.6862,2.7034,0.9621,3.5988,35.0244,5.1708,112.7486,198.8666,279.4251,10.3717,20.536,121.1558,40.3933,6.715,4.8571,14.7095,2.9026,3.3834,1.4206,7.5504,10.0656,4.9105,1.4647,3.7545,6.831,3.1839,0.0
BGR_H53,1.5298,0.0274,0.0556,0.5044,0.0412,1.7691,0.4061,0.2361,0.4562,2.9586,0.1979,0.3924,0.1724,0.4391,2.0805,1.1643,0.2307,0.5312,1.0534,0.4143,0.3469,0.9065,3.7742,0.5073,29.4905,36.326,11.3168,0.2338,3.008,13.7225,21.4915,3.6299,5.0347,12.7849,2.2119,14.6244,0.7413,7.5398,7.0872,14.016,2.8922,1.275,8.9021,1.2147,0.0
BGR_I,0.7257,0.0317,0.0347,0.3862,0.1228,3.2548,0.276,0.1098,0.1899,0.4397,0.1175,0.2305,0.0707,0.2554,1.4284,0.7405,0.3263,0.6937,0.9584,0.4188,0.2721,1.6569,4.6733,0.1955,3.5803,16.4992,8.7355,0.0798,3.9189,8.0234,0.0336,5.1585,0.8278,0.265,1.2074,1.0192,4.0091,6.0438,16.2268,5.1643,3.2816,1.4787,2.272,1.5561,0.0
BGR_J58T60,1.5687,0.0198,0.0094,0.1424,0.0256,2.7946,0.6659,0.3207,2.864,0.4069,0.1896,0.3979,0.179,0.5556,0.6644,0.4982,0.8374,1.3451,0.915,0.725,0.1267,1.8705,3.6991,0.7969,29.8965,35.8566,1.2815,0.0691,2.7578,17.7118,4.021,8.893,67.3639,25.0302,14.4404,10.3542,0.9955,51.3645,11.2146,2.5301,20.1333,4.5714,17.1979,6.2534,0.0
BGR_J61,5.0823,0.0525,0.0626,1.0154,0.1322,8.3187,2.3612,0.8688,1.2511,2.2679,0.995,1.5485,1.1021,1.6815,7.4982,4.8522,4.2127,2.5666,4.6601,1.5479,0.2789,4.8999,17.6955,1.8924,62.0734,56.7468,16.3282,0.16,6.2014,32.3088,8.6235,11.0339,28.9364,182.7023,31.584,26.323,6.5668,28.0357,24.3125,7.3084,10.3057,10.9489,25.3381,10.5577,0.0
BGR_J62_63,10.5675,0.0519,0.0265,0.7583,0.15,5.2517,1.191,0.2496,0.857,2.2086,1.2529,2.3514,0.9432,3.2219,3.8204,7.6527,16.4429,11.0289,21.1726,7.2689,1.1067,20.7507,20.7683,3.8481,36.3433,124.9093,9.2569,0.0777,11.4274,82.8373,33.7569,11.5267,24.202,99.5248,183.0878,78.4536,7.5713,175.5404,43.0396,31.3523,22.2794,20.5211,28.4672,7.9012,0.0
BGR_K,124.5874,1.9657,1.9556,32.6246,0.6992,82.5979,42.1571,8.0818,14.7701,36.6028,21.3541,11.5893,20.7002,22.8877,82.3011,36.3057,8.5337,25.0045,29.8747,24.853,5.7981,31.2482,84.0054,13.0712,505.8254,387.121,187.1171,6.6062,27.2233,105.509,9.3796,48.3359,17.2525,41.6329,49.3662,455.837,351.4305,84.3266,64.4616,37.4895,38.8849,43.0031,38.2023,17.8482,0.0
BGR_L,15.6132,0.0466,0.0367,4.0064,0.4197,6.9426,8.4199,0.6556,0.515,1.1232,0.4797,0.8588,0.5286,1.5892,10.2703,3.812,0.6111,1.8312,3.4611,1.1827,0.4943,4.6039,14.4258,7.9346,161.236,260.3119,18.9441,1.1394,5.3183,85.3503,5.0851,27.9437,13.633,94.7261,168.255,29.4593,68.7913,85.1293,88.7269,27.6674,13.0486,21.1159,54.4249,35.0419,0.0
BGR_M,119.017,0.0967,0.0917,4.0989,1.5255,76.7687,13.2522,1.7329,7.2725,4.3731,3.794,20.4655,1.8307,3.7963,22.4943,12.274,5.1963,15.4012,15.9529,9.171,2.1784,13.0936,11.5614,8.1515,352.947,214.5019,30.1869,0.5577,10.7906,45.0083,9.5867,24.9862,22.9693,34.7332,132.3787,59.0471,31.026,616.1655,81.2319,34.4691,36.1824,111.2247,80.3506,25.4783,0.0
BGR_N,43.2043,0.7005,0.0602,1.3022,1.0211,12.6493,3.2997,0.8562,1.8766,3.773,1.6376,2.3098,0.9277,2.8147,10.5244,5.5776,3.2695,5.1318,7.7491,4.2668,1.1193,5.1409,7.1423,5.8051,196.301,154.4436,37.6655,0.4941,10.1178,40.6493,3.4694,19.5416,13.2288,17.278,39.8509,32.2217,37.5338,96.6044,203.8613,31.732,8.7026,25.0561,32.911,11.8595,0.0
BGR_O,4.0096,0.0238,0.0117,0.202,0.0567,2.1279,0.0799,0.0972,0.3666,0.2603,0.1536,1.2899,0.0757,0.1668,0.9516,0.3369,0.1364,0.1653,0.3489,0.0938,0.0201,0.3505,2.1573,0.711,79.8473,84.4932,6.2189,0.2502,6.9361,14.39,0.376,0.6387,2.9731,3.1632,3.6452,12.4543,4.3704,9.5535,15.6142,55.1432,23.5467,23.0628,13.2122,3.9983,0.0
BGR_P,1.4718,0.0038,0.002,0.0436,0.0325,2.3258,0.1196,0.0383,0.9164,0.6641,0.0597,0.5074,0.0459,0.1532,0.9383,0.2223,0.2311,0.251,0.3254,0.303,0.0588,0.5341,0.8104,0.3304,9.1329,7.3315,24.1484,0.0106,4.7843,2.6718,0.465,3.9441,17.1356,3.4349,8.4419,13.311,10.4584,13.9312,20.4566,46.655,92.0507,46.2045,26.8195,2.3027,0.0
BGR_Q,1.7788,0.0007,0.0162,0.333,0.0215,10.2865,0.5473,0.0366,0.7419,1.0297,1.0123,15.1403,0.6377,0.7274,1.3396,0.9368,0.194,0.2297,0.3763,0.0481,0.0183,2.6397,9.0155,0.1518,1.375,6.1324,13.1468,0.0039,25.4681,9.5629,0.0358,1.2376,1.8349,0.2806,2.3366,42.0097,3.5816,8.7071,13.0662,140.0634,15.6244,80.8957,37.1499,1.0131,0.0
BGR_R,0.9151,0.0118,0.0089,0.2295,0.0211,6.849,1.3352,0.1129,0.8145,0.5502,0.2014,0.8552,0.1274,0.3397,1.2872,0.88,0.8037,0.7271,0.7735,0.4004,0.1231,1.3553,1.7054,0.3961,6.8386,6.8027,1.9977,0.0319,1.172,3.2332,0.9845,37.36,21.0666,4.8647,10.2989,2.9152,15.8483,24.3148,5.813,5.7899,18.8954,50.5733,527.8819,50.6786,0.0
BGR_S,4.942,0.0154,0.1485,2.9788,0.095,5.3532,2.5385,0.3857,0.4138,1.5725,1.0775,1.2191,0.3258,2.2356,10.4508,1.9264,1.7236,1.7292,2.0423,0.517,0.3709,1.7111,2.0278,3.1058,10.2486,45.8746,23.6843,0.0311,8.0973,20.6445,2.2882,57.2347,0.9838,9.5519,11.5098,19.7303,8.76,13.8731,12.6841,3.5157,12.4618,79.6299,55.0084,97.4713,0.0
BGR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
