V1,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T
DEU_F,900.3003,5.7271,109.3357,143.3474,7.2653,1285.6019,264.0283,237.9436,627.99,293.7127,1273.4832,891.4264,533.8953,647.0453,1036.1658,835.6843,495.7638,574.0828,1195.9312,1720.8723,100.2842,435.8564,4633.3173,3468.9585,22020.4465,3996.4835,1162.9445,35.3827,63.8695,3695.2415,708.3385,1637.1355,917.6965,1352.7572,651.5007,2293.0243,32183.1043,3967.7732,2818.0275,7744.2232,2526.5018,4612.2039,774.907,1113.4183,0.0
DEU_G,3550.9654,25.8256,206.4249,270.3613,16.519,20998.2648,2887.376,1893.4342,3029.2179,6233.7064,7421.0243,2641.0985,4088.8989,2234.4216,4034.7115,4537.1494,3712.9005,4290.8847,9202.827,16539.5915,1477.4923,5270.5222,4608.9585,1040.3967,11000.1645,11556.9179,2943.5526,754.1995,1146.2412,4407.6201,3733.3107,6088.1826,1324.2004,1022.4568,789.9947,1174.9153,490.0799,3373.2474,2992.1133,4270.1338,1286.524,10228.5579,857.6667,1073.1422,0.0
DEU_H49,517.5312,3.4468,72.9794,141.2743,6.4488,3445.2869,272.67,466.628,739.05,3178.7621,1728.0558,345.4139,814.0074,1097.4876,1965.0811,985.4103,640.8603,788.414,1912.0589,3512.9486,259.5418,918.1329,1597.3907,124.0126,2211.8562,7625.2774,2847.3584,543.8291,331.7399,7977.7785,724.9238,615.4492,266.2773,75.8396,70.7277,158.3953,129.5331,386.0176,2060.3137,1082.9952,1740.9533,978.5511,85.0126,382.0458,0.0
DEU_H50,41.2157,0.1592,4.9541,2.2635,0.2407,193.1798,20.8111,22.8389,36.0043,178.898,95.8726,24.7644,50.8541,38.5699,113.4196,76.3868,46.564,60.0371,149.3234,148.9392,35.0922,51.9653,68.7131,9.6856,181.1524,262.2376,106.8064,65.6729,60.6067,213.3089,51.7436,47.3729,10.7033,13.3551,7.6172,21.0987,23.2347,45.6422,31.5751,47.2788,13.1246,76.8063,7.3788,14.3565,0.0
DEU_H51,43.799,0.369,7.7509,9.7517,0.4198,245.6199,28.6528,26.5215,52.8241,238.0244,151.2109,36.1914,70.9495,55.6049,174.6142,104.7536,91.6993,93.7343,215.3576,329.9774,45.5439,86.2865,122.8009,13.3993,186.6865,145.5064,42.0645,26.6035,153.2877,70.7279,19.8002,51.7989,26.9001,20.1609,93.016,28.8288,12.4856,72.198,261.8429,33.0,15.0437,92.7541,6.5019,13.3403,0.0
DEU_H52,226.3076,3.8185,17.591,60.9925,5.7428,5210.9959,163.6138,228.5588,274.2886,1002.1226,1009.2488,203.0289,731.3111,651.7039,606.6812,673.086,851.2918,718.3343,2617.1932,4050.5828,98.4121,640.8634,493.675,85.1256,1132.6582,29646.3624,14012.7984,9257.3557,3805.9041,31858.7188,7504.5986,350.8795,96.8386,130.8653,90.1029,188.0355,92.6961,467.9995,497.3154,372.1753,148.2034,293.5343,32.2697,76.2093,0.0
DEU_H53,9.333,0.255,18.1055,22.4839,0.489,328.3064,144.0134,8.4074,210.8064,107.0385,1160.0466,994.0257,249.5587,60.2525,71.2869,455.5558,1017.8873,1100.6179,2156.0263,1138.6716,23.7573,659.9806,407.0439,36.6196,137.0334,15067.742,1719.5573,12.1492,122.1747,625.2264,2181.7624,861.2337,496.4039,2058.4686,133.085,1942.6719,69.7696,1547.2716,1110.8517,1487.8873,11.2919,661.5974,400.8275,186.4952,0.0
DEU_I,1.4237,0.6421,4.0873,1.0265,2.7787,63.6731,15.9127,4.6026,21.4802,28.9176,292.1894,44.6954,68.5492,17.6417,32.3232,245.1411,147.7514,147.4166,484.7092,282.8353,15.4155,96.5057,65.858,20.1084,715.4685,1504.9886,844.6827,66.1655,765.5108,1040.4781,22.1505,62.9964,552.5362,181.3365,160.5709,769.8686,59.082,366.7597,11582.8353,761.0685,46.415,183.2664,450.5879,477.4906,0.0
DEU_J58T60,23.7045,0.063,1.6447,9.5189,0.3425,371.8085,34.2654,6.2403,97.7715,63.2546,238.0555,220.1407,66.5584,57.7791,77.3326,117.6655,220.2573,145.9486,221.0579,454.8592,78.4184,96.3289,136.81,254.8907,145.8468,1305.9716,218.3195,26.8986,30.7589,167.9446,90.653,601.39,6591.5749,245.6831,1053.5331,991.426,177.5386,6838.492,1249.4578,2056.706,1611.6966,1349.5159,1144.0344,549.0755,0.0
DEU_J61,99.1063,0.4926,52.1555,64.9881,2.1179,242.7804,23.3808,43.3221,139.0794,52.2741,318.8781,158.2759,209.9865,194.134,138.4651,337.7497,504.0165,390.4514,685.4269,863.3112,109.1708,242.9786,257.5809,218.5638,469.2046,2683.279,304.127,29.9721,61.8983,394.7895,1893.3442,964.8096,2625.6236,17243.6416,1268.5446,2287.2045,529.5554,3001.3015,2739.5518,1777.2048,165.7714,726.8555,664.2272,408.3807,0.0
DEU_J62_63,46.1733,0.7535,26.7873,39.3217,1.8239,630.7946,115.1616,76.0544,430.4829,165.273,1366.7843,929.4443,372.3417,281.9156,453.3163,998.2885,1145.762,1083.2703,2333.2566,2305.7374,290.8454,706.7944,737.2758,1262.5471,688.8086,5390.7749,1111.0949,34.1561,370.1745,2061.0283,1163.6954,411.0349,3219.5005,2666.2634,26168.2385,6869.1489,437.4533,9308.4017,2857.31,4398.9753,2282.8299,3189.7891,699.1311,580.1052,0.0
DEU_K,1318.4378,4.9025,53.7887,171.2152,11.8321,2131.3149,217.9661,407.1158,863.0825,576.8026,1776.116,774.5216,951.6103,646.2382,776.9273,1241.8552,917.1991,1045.2407,2438.2813,3899.3262,350.3514,1019.8065,2427.1797,1118.8467,5290.8774,9590.2772,4695.4016,258.5142,328.2849,3464.6207,525.6693,1752.2107,899.1914,976.858,1372.3373,56777.6599,23154.8853,5448.6185,4424.8813,5925.6882,1735.2713,4301.3884,617.5399,2373.8395,0.0
DEU_L,485.5135,0.8142,28.1936,46.8039,3.5432,2946.4983,361.17,417.8495,1044.9477,231.0196,1366.2274,743.5812,1020.3851,784.7072,620.2806,1883.8544,970.5599,1190.3945,3094.7073,5020.2399,319.9254,1320.6683,2447.3706,953.0292,18229.092,28349.2858,960.0004,51.149,81.6192,2592.8929,624.4237,5552.168,1495.5726,5049.0962,1135.4134,13011.9604,13813.6077,14748.3874,6433.8123,6373.8012,775.2544,5826.5777,767.1278,1609.2386,0.0
DEU_M,872.341,1.8597,129.241,383.6896,26.5455,7159.2084,574.1675,407.2159,1363.559,1313.6557,5559.163,3690.3808,2448.472,1962.0219,1537.7653,2237.7556,2869.8452,4298.9755,8991.1044,10211.6769,984.0036,2699.0704,3757.8913,4096.0068,4374.8482,13746.171,2854.1367,95.4263,272.4484,2484.898,498.1793,597.7531,2528.2384,1273.093,3694.804,19173.6353,12062.7679,65270.9375,13564.1808,4558.2878,1408.4601,2606.2699,813.0393,1032.9546,0.0
DEU_N,5075.3951,4.8729,89.9376,278.8105,23.0982,5112.2187,552.4118,796.7651,2059.1087,598.4192,4421.7859,3052.5998,2464.1047,1735.358,1400.3591,3758.497,2269.2318,3164.9029,7024.8931,10086.1179,2010.8103,3040.8146,3767.9238,2779.0878,9281.0188,20816.1133,4231.9577,1285.1158,1159.3929,6944.9692,1018.4501,2464.897,3760.0089,2291.3429,2519.9241,10663.4236,2419.3529,7854.8771,17214.7855,6468.6887,1973.7419,7292.3995,1745.3675,2139.2694,0.0
DEU_O,370.359,1.8553,76.9169,102.6267,0.7895,1325.6213,130.9271,169.928,435.9204,226.6297,1125.5685,527.1854,455.3429,485.9927,430.1758,473.824,431.7781,540.9142,689.1406,1308.1559,88.7619,358.4381,9360.8933,816.6492,3492.9827,1597.4294,567.5178,35.9563,48.1928,484.0962,98.2017,526.6399,297.971,173.9575,568.6591,705.9017,1861.2827,6575.3636,2026.7776,6327.3139,376.7309,859.18,194.7339,626.7949,0.0
DEU_P,28.7875,0.8151,0.591,0.7638,0.2747,153.553,24.2933,37.7547,3.5431,44.5909,203.2354,149.5057,23.1517,3.3765,3.3905,118.1751,105.0765,248.3957,347.1973,1436.4999,76.0898,82.175,52.4721,32.8591,20.019,68.5177,116.791,17.2343,65.365,36.4183,116.5746,2.4574,164.8848,247.1403,874.8268,1889.8709,573.9245,2249.5154,168.7992,3986.7042,12344.9409,773.0921,144.6581,342.3268,0.0
DEU_Q,60.6842,0.0037,0.8227,1.4957,0.2878,14.6875,0.9301,0.9278,2.7244,3.8533,47.9714,21.1401,11.3894,2.5601,13.546,10.9049,13.5693,11.8212,38.852,65.9645,2.9383,16.2483,20.6253,18.4367,4.8405,74.1616,5.3685,2.134,4.0295,4.6512,2.5566,46.1863,9.8439,7.5322,54.7594,23.6923,1.7938,96.4132,25.3044,208.6857,354.8177,10300.231,149.5577,302.1687,0.0
DEU_R,18.0776,0.1158,1.1223,2.8604,0.0979,343.8486,14.5138,7.3023,44.5049,5.731,37.3745,25.3591,13.243,5.5527,11.5264,9.6538,12.0038,13.938,33.7081,84.5052,7.292,19.3655,201.1572,19.8005,75.1051,43.1736,8.5801,3.3681,6.123,16.2637,18.7509,417.38,4067.1542,108.6697,20.0118,619.2737,77.1687,511.7285,98.1406,5150.0859,1131.9181,189.4263,7141.2959,944.0764,0.0
DEU_S,124.7003,2.9256,28.3804,45.6695,0.9015,573.7708,101.8341,35.0288,194.5447,119.2439,380.7473,299.5509,131.0324,103.022,151.9713,149.3023,268.2325,230.8125,321.45,388.852,35.1407,168.7558,345.2187,405.0541,801.4345,2386.4265,237.0424,24.6816,50.8041,578.9005,9.5189,743.1914,283.4395,175.0075,383.919,1009.6239,138.1482,3666.8928,670.6936,415.0806,257.9095,2434.7013,764.3711,6359.8667,0.0
DEU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
