V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T
BRN_A01_02,3.3462,0.0,1.1878,0.4645,0.145,1.3661,0.0648,0.0052,0.003,0.2287,0.0009,0.0,0.0142,0.0002,0.0,0.3545,1.0016,0.0001,0.6371,0,0.5127,0.5279,0.0003,0.1618,5.7874,0.5646,0.0638,0.0055,0.0422,0.0001,0.0002,4.7209,0.0026,0.096,0.0355,0.0886,0.0146,0.1363,0.146,55.8525,8.9512,4.8494,0.0062,0.0072,0.0
BRN_A03,0.0398,0.0,0.019,0.0107,0.0025,0.0304,0.0021,0.0,0.0001,0.0062,0.0,0.0,0.0004,0.0,0.0,0.0096,0.0,0.0015,0.0173,0,0.015,0.0137,0.0008,0.004,0.0,0.006,0.0017,0.0001,0.0011,0.0,0.0,0.2018,0.0002,0.0026,0.001,0.0024,0.0004,0.0032,0.0028,2.5465,0.2429,0.1316,0.0002,0.0002,0.0
BRN_B05_06,0.0001,0.2137,526.4535,71.2584,19.4744,0.1726,0.7821,0.0259,0.0,1013.7087,22.3969,0.0138,0.2756,0.0037,0.0,0.0,0.5187,0.0515,0.7361,0,0.7925,0.5126,6.4841,0.3498,11.9068,5.6063,0.1052,0.0,1.0327,0.5429,0.0472,0.2154,0.0441,0.7917,0.2252,0.048,0.6295,0.8468,0.2576,0.0,0.0,0.7612,0.0515,0.0562,0.0
BRN_B07_08,0.6152,0.0,300.9542,237.4169,30.269,0.3304,1.8777,1.5161,11.1921,0.0339,21.6704,0.1022,0.6103,43.7087,18.8705,16.7569,0.0,11.8252,1.6295,0,1.2582,1.2731,7.1717,1.264,466.5497,69.6207,6.3661,126.0295,5.7123,0.2101,0.0017,20.9395,1.0313,92.123,6.5853,133.261,36.9144,27.6416,8.4286,233.661,46.4433,6.5558,0.34,0.4249,0.0
BRN_B09,0.0062,0.0033,18.6159,2.249,1.0344,0.0091,0.0199,0.0233,0.0124,16.0346,0.3705,0.0003,0.0056,0.0001,0.0,0.2491,0.008,0.0014,0.0158,0,0.0166,0.0136,0.1042,0.0134,1.3455,1.2714,0.1022,0.0016,0.0658,0.0091,0.001,0.024,0.0054,0.0372,0.0373,1.289,0.5621,0.1557,0.0465,3.6653,0.7312,0.0321,0.0189,0.0036,0.0
BRN_C10T12,2.6534,0.0949,1.2026,0.5698,0.088,2.8644,0.1652,0.007,0.0083,0.8522,0.0037,0.0,0.033,0.0004,0.0,0.0708,0.0,0.0194,0.1103,0,0.0993,0.0746,0.9565,0.0881,2.6281,3.1789,0.0172,0.0637,0.2825,0.4106,0.0003,5.9281,0.0599,0.1411,0.2142,0.5315,0.2843,0.6751,0.2274,9.9162,3.2502,1.0641,0.0495,0.0575,0.0
BRN_C13T15,0.0252,0.0,1.3821,0.5464,0.1062,0.1381,3.5161,0.0005,0.0004,0.7133,0.0031,0.0,0.0056,0.0001,0.0,0.2267,0.0,0.0608,0.342,0,0.3642,0.277,0.0241,0.0633,13.5397,2.1026,0.0009,0.0989,0.5239,0.0,0.4742,0.0947,0.0074,0.1472,0.1258,0.4601,0.0022,0.3206,0.2049,1.3247,1.9856,0.5033,0.0037,0.0068,0.0
BRN_C16,0.0012,0.0,0.1699,0.1241,0.0241,0.0027,0.0095,0.0031,0.0038,0.0075,0.0001,0.0,0.0009,0.0,0.0,0.0,0.0,0.0005,0.0026,0,0.0029,0.0023,0.011,0.0055,0.2103,0.1963,0.001,0.0003,0.0074,0.0192,0.0254,0.0026,0.0042,0.0,0.0164,0.0628,0.0035,0.0769,0.0341,0.1193,0.1222,0.0134,0.0034,0.0059,0.0
BRN_C17_18,0.0048,0.0006,1.2899,0.5345,0.088,0.0092,0.048,0.0113,0.0229,0.0336,0.0001,0.0,0.0037,0.0,0.0,0.0071,0.0064,0.001,0.0106,0,0.0111,0.0069,0.0205,0.0295,0.7745,0.7989,0.0038,0.0012,0.0271,0.0139,0.0009,0.0179,0.0271,0.1386,0.0948,0.2142,0.0127,0.2927,0.1293,0.4812,0.4893,0.0458,0.0142,0.0162,0.0
BRN_C19,17.081,0.9309,820.737,452.9384,53.9758,3.7402,6.1535,0.5897,0.627,274.5599,3.4627,0.011,1.516,0.0213,0.0,1.6065,4.4658,0.0,3.0568,0,5.8729,2.2557,93.4202,3.9281,153.0564,132.0151,26.4597,21.6471,149.4252,16.9578,0.0876,6.537,1.4634,4.6821,9.6673,14.5628,2.8116,32.0736,29.1263,284.4445,22.7298,14.9767,0.8369,1.1903,0.0
BRN_C20,0.2573,0.0022,14.3572,6.265,0.9305,0.0501,0.3023,0.0071,0.1027,3.4132,0.0295,0.0001,0.0213,0.0003,0.0,0.0143,0.0547,0.0,0.0364,0,0.0269,0.0227,0.0,0.7869,3.0801,1.5878,0.3108,0.2434,1.6588,0.0004,0.0719,0.1967,0.0821,0.0,0.1451,0.3734,0.1996,0.7709,0.7829,4.0346,0.3161,4.2066,0.0379,0.1833,0.0
BRN_C21,0.0003,0.0,0.0043,0.0024,0.0002,0.0001,0.0002,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0004,0.001,0.0016,0.0002,0.0003,0.0026,0.0,0.0001,0.0002,0.0,0.0,0.0002,0.0005,0.0001,0.0008,0.0005,0.0148,0.0007,0.0672,0.0001,0.0001,0.0
BRN_C22,0.125,0.0011,0.6781,0.4753,0.1136,0.0578,0.0932,0.0029,0.0018,0.0994,0.0007,0.0,0.5002,0.007,0.0,0.0424,0.1052,0.0,0.0719,0,0.1524,0.0582,0.0,0.1125,2.5892,1.8411,0.0031,0.0031,0.0447,0.0002,0.7683,0.0653,0.0214,0.5495,0.0274,0.6148,0.0065,0.1058,0.25,2.204,0.3851,0.2508,0.0085,0.0487,0.0
BRN_C23,0.3359,0.0001,2.3569,1.5085,0.2992,0.1142,0.1031,0.0081,0.0096,0.306,0.0012,0.0,1.3945,0.0196,0.0,0.2232,0.2942,0.0,0.2012,0,0.2878,0.18,0.0011,0.305,7.4879,5.2366,0.0067,0.0087,0.1256,0.0012,0.0078,0.2059,0.0361,3.3986,0.0724,1.7159,0.0303,0.378,0.6897,6.1252,1.0783,0.6924,0.0291,0.0636,0.0
BRN_C24,0.0039,0.0,1.3167,0.3911,0.0952,0.0051,0.0223,0.0024,0.0025,0.0,0.0002,0.0,0.0023,0.0001,0.0,0.0192,0.0124,0.0032,0.0071,0,0.0031,0.0036,0.0,0.0321,0.7043,0.3632,0.0005,0.0006,0.0154,0.013,0.0001,0.0106,0.0022,0.065,0.0046,0.0264,0.0043,0.0204,0.0038,0.0465,0.0772,0.0287,0.0012,0.0129,0.0
BRN_C25,0.0524,0.0,9.6541,4.3692,1.1555,0.0723,0.2645,0.0214,0.0285,0.4375,0.0014,0.0,0.0254,0.0001,0.0,0.0179,0.0627,0.0,0.0716,0,0.0612,0.0718,0.0027,0.1588,3.7417,4.3409,0.0076,0.0067,0.1695,0.3654,0.0015,0.0497,0.0234,0.6681,0.0834,0.2866,0.0461,0.3164,0.1145,3.5209,0.322,0.3092,0.0165,0.0316,0.0
BRN_C26,0.0125,0.0,0.6687,0.2493,0.0777,0.0092,0.0206,0.0025,0.0014,0.0832,0.0003,0.0,0.0025,0.0,0.0,0.0075,0.0064,0.0004,0.0049,0,0.0058,0.0038,0.0233,0.0102,0.3217,0.435,0.0211,0.001,0.0112,0.017,0.0001,0.0172,0.0037,0.0361,0.012,0.0171,0.0044,0.0191,0.013,0.318,0.0199,0.0271,0.0014,0.002,0.0
BRN_C27,0.0201,0.0,2.6589,1.0713,0.198,0.0303,0.1141,0.0006,0.0113,0.0007,0.0005,0.0,0.0102,0.0001,0.0,0.0068,0.0267,0.0401,0.0286,0,0.0261,0.0215,0.1449,0.0182,2.1019,0.5852,0.0021,0.0026,0.0655,0.0576,0.0006,0.0124,0.0171,0.2628,0.0263,0.1158,0.0198,0.0707,0.0219,0.1556,0.361,0.1306,0.0055,0.0072,0.0
BRN_C28,0.0076,0.0,1.6006,0.596,0.1239,0.0122,0.0422,0.0037,0.0047,0.0312,0.0002,0.0,0.0042,0.0001,0.0,0.0185,0.0,0.0021,0.0117,0,0.0191,0.0088,0.0,0.0398,0.8844,0.6775,0.0008,0.0011,0.0265,0.0387,0.0002,0.0108,0.0044,0.1066,0.01,0.0472,0.0075,0.0372,0.0161,0.3235,0.0924,0.05,0.0026,0.0032,0.0
BRN_C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN_C30,0.0194,0.0,1.4512,1.655,0.3408,0.0222,0.1437,0.0066,0.0118,0.0645,0.0005,0.0,0.0087,0.0001,0.0,0.0116,0.0596,0.0,0.0291,0,0.0796,0.0125,0.1227,0.0202,1.9912,1.4422,0.002,0.0014,0.0627,0.1013,0.0006,0.0449,0.0126,0.2859,0.0167,0.1139,0.0171,0.0713,0.0457,1.0149,0.0923,0.1307,0.0073,0.0143,0.0
BRN_C31T33,0.0095,0.0001,1.1823,0.6169,0.1809,0.009,0.0378,0.0026,0.0021,0.0421,0.014,0.0,0.0026,0.0,0.0,0.0038,0.0003,0.0016,0.0085,0,0.0045,0.0071,0.1288,0.0068,0.8653,0.4875,0.0021,0.0017,0.0258,0.0012,0.0004,0.0217,0.0026,0.0748,0.0067,0.0341,0.0147,0.0413,0.0449,0.2857,0.0975,0.0559,0.0042,0.0101,0.0
BRN_D,0.4646,0.0038,12.9533,7.2508,0.5613,0.5889,1.9587,0.0202,0.0372,65.8789,0.5366,0.003,0.167,0.0024,0.0,0.0388,0.0,0.0264,0.1506,0,0.1404,0.1189,0.607,0.4079,1.8398,11.9747,0.319,0.0068,0.3552,0.012,0.0092,1.8869,0.3371,1.4386,0.5281,1.3629,1.252,1.3786,1.1559,18.3327,2.4327,1.9198,0.2401,0.1997,0.0
BRN_E,0.0895,0.0003,3.4685,1.5571,0.1165,0.0531,0.149,0.005,0.0086,1.3407,0.0201,0.0002,0.0133,0.0002,0.0,0.0119,0.0,0.0034,0.0247,0,0.019,0.0125,0.2195,0.2136,1.1598,1.2288,0.0595,0.003,0.1044,0.0019,0.0071,0.154,0.0242,0.1809,0.0974,0.2464,0.1204,0.3048,0.2002,13.0574,0.6209,0.1394,0.022,0.0324,0.0
BRN_F,0.569,0.0042,16.9258,7.8165,1.5867,0.447,0.4443,0.0225,0.0417,5.2566,0.0836,0.0003,1.1891,0.0167,0.0,0.249,0.2514,0.0358,0.2398,0,0.3389,0.2007,0.4171,0.6256,21.2952,8.274,0.1563,0.3333,0.8015,0.2529,0.0478,0.9502,0.1046,3.6268,0.9969,3.2952,5.0361,3.4471,1.4786,14.8124,3.8093,2.8071,0.0759,0.1304,0.0
BRN_G,5.9378,0.1884,115.1592,86.2834,8.5444,3.0217,3.4566,0.1343,0.1638,64.5406,3.606,0.0024,0.8473,0.1028,0.0394,0.7246,0.642,0.123,1.1039,0,1.402,0.8506,24.5792,1.616,79.0334,31.1368,3.6951,1.9459,12.7195,2.1608,0.4755,10.424,0.3785,3.5642,1.698,4.3787,2.7129,7.4757,4.8757,55.1107,15.4339,8.5104,0.3689,1.6347,0.0
BRN_H49,0.2751,0.0254,0.0852,0.0635,0.0063,0.1718,0.0867,0.0009,0.0129,0.0464,0.018,0.0,0.0268,0.0036,0.0017,0.0357,0.0638,0.032,0.0387,0,0.065,0.0621,0.0006,0.0853,0.0469,0.127,0.0049,0.0544,0.1549,0.2155,0.068,0.6208,0.0016,0.0405,0.0362,0.3664,0.007,0.1784,0.1467,0.028,0.0416,0.1376,0.0037,0.0481,0.0
BRN_H50,2.772,0.0062,48.5912,17.2427,2.8191,1.4986,1.5621,0.064,0.0537,13.9022,0.1006,0.0007,0.385,0.0066,0.0006,0.7123,0.0157,0.0877,0.4616,0,0.8894,0.3439,1.7071,0.4276,18.2118,10.5843,0.2968,1.3795,1.6022,0.113,0.0266,3.2659,0.178,2.3306,1.0455,1.1032,0.3603,3.4027,3.6358,22.2683,4.4742,2.5752,0.1647,0.1723,0.0
BRN_H51,2.0143,0.004,53.6933,13.7876,3.4599,1.4829,3.3527,0.0507,0.0428,5.9333,0.0544,0.0003,0.1843,0.0082,0.0024,0.5604,0.0132,0.0642,0.3616,0,0.7759,0.3041,0.7149,0.4852,11.7031,39.9004,0.7779,0.1226,1.7026,0.054,0.0212,1.8915,0.7203,2.9172,6.0896,2.7219,0.4593,16.0933,18.4465,46.0449,2.5038,1.1648,0.4172,0.4857,0.0
BRN_H52,0.1026,0.0002,1.7944,0.7796,0.0853,0.0497,0.0531,0.0027,0.0022,0.5335,0.005,0.0,0.0149,0.0006,0.0002,0.0268,0.0006,0.003,0.0174,0,0.0334,0.0122,0.079,0.0272,0.7544,1.0184,0.018,0.0112,0.1072,0.4315,0.0018,0.1217,0.0133,0.1115,0.075,0.0553,0.0186,0.1689,1.1112,0.8375,0.1958,0.1114,0.0059,0.0087,0.0
BRN_H53,0.0798,0.0002,0.844,0.3195,0.0679,0.0035,0.0028,0.004,0.0025,0.6179,0.0003,0.0,0.0006,0.0,0.0,0.0053,0.0,0.0005,0.0025,0,0.0024,0.0014,0.0,0.0059,0.4697,0.1597,0.0062,0.0223,0.0957,0.0,0.0287,0.0132,0.0049,0.4389,0.0224,0.0332,0.0484,0.0566,0.0262,0.0499,0.046,0.0443,0.0026,0.004,0.0
