V1,HKG_A01_02,HKG_A03,HKG_B05_06,HKG_B07_08,HKG_B09,HKG_C10T12,HKG_C13T15,HKG_C16,HKG_C17_18,HKG_C19,HKG_C20,HKG_C21,HKG_C22,HKG_C23,HKG_C24,HKG_C25,HKG_C26,HKG_C27,HKG_C28,HKG_C29,HKG_C30,HKG_C31T33,HKG_D,HKG_E,HKG_F,HKG_G,HKG_H49,HKG_H50,HKG_H51,HKG_H52,HKG_H53,HKG_I,HKG_J58T60,HKG_J61,HKG_J62_63,HKG_K,HKG_L,HKG_M,HKG_N,HKG_O,HKG_P,HKG_Q,HKG_R,HKG_S,HKG_T
HKG_A01_02,0.0571,0.0036,0,0,0.0149,5.1524,0.2378,0.0554,0.0222,0.0062,0.0572,0.0246,0,0.0092,0.0046,0.0053,0.0391,0.0097,0.0369,0.0136,0.0064,0.0036,2.3249,0.8354,0.8709,5.2678,2.2794,8.7976,12.7416,0.0113,0.3446,25.9367,0.0897,0.7133,0.0348,0.7207,0.5473,0.172,0.5355,0.5515,0.7323,0.7201,0.7449,1.3811,0.0
HKG_A03,0.0054,0.009,0,0,0.0025,0.1572,0.0367,0.0048,0.0047,0.0011,0.0067,0.0037,0,0.0014,0.0009,0.001,0.0078,0.0018,0.0066,0.0028,0.0014,0.0004,0.2626,0.1154,0.0966,0.537,0.2639,1.9716,2.8363,0.0018,0.0838,4.4586,0.0279,0.1425,0.007,0.1252,0.064,0.0284,0.07,0.0529,0.0961,0.1358,0.1367,0.216,0.0
HKG_B05_06,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B07_08,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B09,13.9825,5.0983,0,0,32.7527,95.267,28.721,9.5858,5.2268,5.21,0.2491,0.0158,0,0.6763,2.4287,1.7087,3.7567,1.6545,32.2601,2.1413,1.0065,0.0758,10.0471,6.6221,2.4611,11.3394,55.0246,0.7835,29.5419,7.3558,15.8607,2.1007,3.6781,0.2143,0.8249,35.4649,15.1242,32.0777,41.0446,7.7015,28.6517,9.998,4.1421,9.8294,0.0
HKG_C10T12,2.0544,0.239,0,0,0.0163,230.0456,84.727,9.2805,9.8594,1.4163,15.0027,5.8633,0,1.0481,0.337,0.4753,5.5187,1.1609,3.0317,0.7895,0.4316,0.107,44.4832,23.3957,132.4236,336.5531,64.5123,214.8205,187.9691,0.9752,39.6643,357.282,9.1883,56.0487,4.0166,113.6878,66.4949,17.4126,39.0017,19.3445,24.1011,70.3225,30.7526,68.1084,0.0
HKG_C13T15,0.0552,0.0159,0,0,0.0076,3.8188,97.7014,0.3574,0.4193,0.0553,0.4293,0.1611,0,0.1676,0.0757,0.1144,0.9567,0.2507,0.517,0.5881,0.2079,0.0647,1.2449,2.3377,2.379,64.8364,10.9304,14.1682,9.0185,0.181,8.1808,1.8666,1.296,9.053,0.7224,23.5917,12.8081,2.5982,9.3497,4.205,3.0432,3.0426,3.1723,12.6987,0.0
HKG_C16,0.7124,0.0941,0,0,0.0058,19.994,0.2443,0.0295,0.0429,0.0193,0.1053,0.0378,0,0.0907,0.0328,0.0513,0.2906,0.0824,0.1768,0.1401,0.0508,0.02,0.9035,1.2466,54.3715,8.418,10.1931,43.3332,6.1053,0.2222,2.0024,1.0288,0.3518,3.3846,0.0563,2.8743,1.8967,0.5582,0.8937,0.5506,0.5523,13.9607,1.3666,2.7775,0.0
HKG_C17_18,0.4912,0.1059,0,0,0.0018,118.9098,17.7291,0.4366,7.1061,0.0569,0.9141,0.4927,0,0.8634,0.0423,0.0901,2.8448,0.7445,1.072,0.282,0.1038,0.2198,1.1913,2.2954,25.172,73.8813,8.0713,13.2892,5.9473,0.166,5.0422,0.7402,2.058,7.811,0.4805,29.4751,9.1651,2.8831,3.7667,2.2943,4.9215,25.0594,2.9455,6.1485,0.0
HKG_C19,0.0251,0.0053,0,0,0.0495,0.489,0.2079,0.0535,0.0438,2.7375,6.1946,0.7942,0,1.0381,1.3039,0.7863,0.7387,0.2702,0.6711,0.3516,0.1606,0.0456,1.0389,1.1759,0.1891,131.4749,4.2599,10.0004,7.5545,0.1523,0.8558,0.4216,0.2222,0.9646,0.144,7.7118,2.9685,0.5158,2.3805,5.2575,2.4589,0.4003,0.6056,1.5851,0.0
HKG_C20,0.1429,0.0081,0,0,0.0665,3.7717,1.948,0.8698,0.9032,3.5983,57.3873,9.9778,0,5.8562,0.9254,1.411,17.5459,6.0976,6.6912,2.4965,0.9402,0.5037,0.8168,12.4998,1.0698,94.8866,1.4798,2.7997,2.3666,0.1189,1.1428,2.0774,2.4664,2.0752,0.2824,8.5636,5.8079,1.7572,5.7948,6.6553,15.8938,5.6069,5.6562,22.1767,0.0
HKG_C21,0.0203,0.0025,0,0,0.0034,0.8334,0.3035,0.0739,0.0645,0.2257,2.6097,13.5337,0,0.253,0.0637,0.0839,1.2943,0.2431,0.4632,0.1389,0.0708,0.0263,0.1685,0.7711,0.3794,12.7322,0.332,0.647,0.7184,0.0119,0.2392,0.4971,0.1994,0.5941,0.0746,2.0595,0.8564,0.5591,0.5427,2.2042,3.1176,6.8033,1.2807,1.98,0.0
HKG_C22,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_C23,0.0766,0.0151,0,0,0.0861,15.0552,0.8095,0.2513,0.144,4.4877,5.0225,2.6934,0,64.8769,5.5686,6.0281,37.0216,12.0218,10.4658,12.8083,4.2669,0.5567,0.9215,4.8347,7.2017,52.8803,1.0924,0.8382,1.2641,0.1498,2.1543,0.824,0.6713,6.5741,0.171,6.3039,3.8594,0.8168,2.2546,16.5133,11.2396,0.7199,2.4908,6.683,0.0
HKG_C24,0.0095,0.0021,0,0,0.0345,0.5468,0.0828,0.1164,0.0574,0.4943,1.254,0.2238,0,2.4088,23.308,25.0177,23.4423,14.16,37.3883,5.6611,1.5476,0.6537,0.3003,3.269,0.7132,308.5391,0.3079,0.4991,0.2414,0.0497,0.1749,0.097,0.2072,0.4137,0.1087,2.2626,2.4636,0.5864,0.9665,0.7559,0.9443,0.1013,0.5614,1.7563,0.0
HKG_C25,0.0211,0.004,0,0,0.0249,1.261,0.3901,0.1105,0.0813,0.2559,0.606,0.1914,0,0.7958,1.2938,3.8157,7.1818,2.8273,8.5733,2.4425,0.9504,0.1539,0.4181,1.1608,1.8929,140.7477,0.9392,1.9081,2.3239,0.0375,0.3281,0.5761,0.2309,1.3055,0.1154,3.3208,3.154,0.4219,1.3691,1.3577,0.9709,0.5943,0.7208,1.2801,0.0
HKG_C26,0.0589,0.0103,0,0,0.0386,4.1934,1.63,0.2638,0.3369,0.3923,1.1542,0.4999,0,0.4767,0.2423,0.4868,155.1154,8.9834,12.3594,3.2452,1.5871,0.178,3.178,5.7776,3.9867,1206.5492,3.541,6.6316,8.5615,0.0695,6.7257,2.8149,4.8274,81.8785,2.1933,23.2922,10.3086,3.4818,6.694,8.86,9.1717,3.076,7.2045,20.0381,0.0
HKG_C27,0.0254,0.0043,0,0,0.0161,1.7064,0.5982,0.1055,0.125,0.2824,0.634,0.2313,0,0.5459,0.3617,0.619,38.9744,21.4441,15.8766,4.4084,1.5827,0.1387,2.5693,3.7126,2.0388,613.428,1.407,2.8505,3.5238,0.0311,2.6443,1.0522,2.0016,27.7652,0.4888,6.0974,6.0651,1.3912,3.6337,3.0009,2.9613,1.0254,3.3607,9.52,0.0
HKG_C28,0.0605,0.0123,0,0,0.0774,3.2364,0.9557,0.2572,0.2545,0.6448,1.5309,0.613,0,1.7597,1.2659,2.3871,9.4032,3.3658,38.3083,9.8809,4.1554,0.1831,1.5842,2.4383,3.7352,91.6497,3.3246,9.1246,12.0687,0.1253,1.4571,1.7844,0.584,5.5092,0.2339,13.6799,6.6391,0.8175,2.8551,3.0676,2.0486,2.8132,1.6349,2.6675,0.0
HKG_C29,0.0614,0.0053,0,0,0.3692,1.2844,0.5957,0.0767,0.0834,0.0878,0.3259,0.1174,0,0.386,0.32,0.6332,2.3571,0.8772,5.1104,45.4681,2.7837,0.195,0.2508,5.2105,0.6068,143.8742,4.5563,4.3618,3.0245,0.0305,3.1673,0.5333,1.0601,3.618,0.1908,5.5578,1.5987,0.6316,3.1056,6.7968,0.5821,0.5253,3.5949,5.7974,0.0
HKG_C30,0.0017,0.0004,0,0,0.0005,0.1028,0.0393,0.0081,0.0093,0.0148,0.044,0.0162,0,0.0627,0.0125,0.0277,0.3484,0.0922,0.7786,12.1952,11.6777,0.0297,0.0396,0.8923,0.0975,40.1547,0.9361,4.4636,3.8845,0.0047,0.5739,0.0939,0.5359,0.5812,0.0374,1.5539,0.3817,0.2113,0.7669,3.9743,0.1135,0.0932,1.6712,1.778,0.0
