V1,TUN_A01_02,TUN_A03,TUN_B05_06,TUN_B07_08,TUN_B09,TUN_C10T12,TUN_C13T15,TUN_C16,TUN_C17_18,TUN_C19,TUN_C20,TUN_C21,TUN_C22,TUN_C23,TUN_C24,TUN_C25,TUN_C26,TUN_C27,TUN_C28,TUN_C29,TUN_C30,TUN_C31T33,TUN_D,TUN_E,TUN_F,TUN_G,TUN_H49,TUN_H50,TUN_H51,TUN_H52,TUN_H53,TUN_I,TUN_J58T60,TUN_J61,TUN_J62_63,TUN_K,TUN_L,TUN_M,TUN_N,TUN_O,TUN_P,TUN_Q,TUN_R,TUN_S,TUN_T
TUN_A01_02,166.0598,9.4156,0.0,2.3771,0.0346,2315.6489,24.4719,24.9324,9.6022,0.5977,20.5958,7.4999,3.2566,0.0516,0.0031,0.0173,0.0125,0.0053,0.0137,0.0097,0.0101,11.2055,0.0,0.0,0.8631,99.4305,0.7835,0.0857,0.1509,0.4349,0.0,97.2201,0.4858,0.0,2.2741,0.0,1.932,7.358,5.1168,28.0567,0.6295,1.5317,2.0934,4.4342,0.0
TUN_A03,18.3049,37.486,0.0,0.3135,0.0001,353.3392,2.9347,0.6713,0.5386,0.1225,2.894,1.9894,0.3619,0.0037,0.0005,0.002,0.0015,0.0017,0.0019,0.0012,0.001,0.9455,0.0,0.0,0.0999,6.7853,0.1844,0.0419,0.0911,0.1026,0.0,74.9736,0.7846,0.0,0.5297,0.0,0.482,1.7211,1.1877,7.0938,0.2385,0.6631,1.0078,1.6432,0.0
TUN_B05_06,2.1495,0.3462,99.1989,25.861,3.1669,53.9593,22.5203,3.1792,10.6164,340.0826,13.8538,0.396,4.6423,12.3702,12.6153,8.738,5.3767,3.7145,5.8118,4.7022,2.7165,4.2399,338.166,3.5697,18.6338,13.5013,0.2707,0.0313,0.0453,0.076,4.4546,64.9114,2.015,22.1955,3.0804,32.6069,2.9459,8.4412,5.968,7.2012,0.22,0.2754,0.1874,0.6779,0.0
TUN_B07_08,0.0,0.0,0.5564,12.5981,2.2648,5.479,3.2539,0.0061,0.0361,22.8068,228.0995,18.5321,0.0142,41.3339,0.2564,0.2199,0.0905,0.1569,0.1413,0.0788,0.0221,0.0187,0.0,0.0,88.8977,0.1778,0.0125,0.0007,0.0014,0.0056,0.0,2.5891,0.0008,0.0,0.041,0.0058,0.0418,0.103,0.0368,0.0,0.0,0.0,0.0,0.0,0.0
TUN_B09,1.7477,0.5438,157.8006,13.0777,36.1714,1.4412,0.1831,0.0358,0.4805,17.7948,2.4633,0.0909,0.1066,8.3034,4.9665,1.1316,0.0263,0.0744,0.286,0.0224,0.0134,0.0587,5.5197,0.4292,21.876,0.093,0.7419,0.0266,0.0588,0.4507,0.006,0.1191,0.0002,0.0,0.0021,0.0014,0.3009,0.3476,0.1991,0.9742,0.0009,0.006,0.0056,0.0089,0.0
TUN_C10T12,283.0761,26.0999,0.654,1.1516,0.3115,567.5165,6.4155,0.1127,0.1562,1.5582,41.956,14.0159,0.1343,1.5117,0.3241,0.3812,0.2885,0.2243,0.3482,0.2536,0.0719,0.165,0.5148,4.0574,6.4941,33.7321,3.8712,0.4495,1.3178,0.407,0.4711,509.294,0.248,0.5906,4.3507,3.1272,4.0406,13.0701,7.908,27.4777,0.6931,1.8431,1.2696,1.6226,0.0
TUN_C13T15,0.2499,0.091,5.8132,1.7107,0.1873,4.6567,1024.0222,0.857,3.7793,0.6049,0.579,0.2248,3.3171,0.9495,0.0262,0.1303,0.1675,0.0859,0.1355,0.2561,0.0479,10.0679,0.3107,4.3315,3.3953,12.7455,1.2657,0.2266,0.4327,0.6281,1.4303,1.5395,1.2904,1.4427,5.2887,0.0315,4.2357,14.5644,12.918,44.3771,0.8652,2.6279,2.6391,5.6207,0.0
TUN_C16,0.8708,0.1024,0.771,0.8952,0.1908,10.5893,7.7677,98.9918,15.6093,0.007,1.1981,0.1895,5.2638,3.006,0.7147,4.2994,2.5635,1.6964,2.8334,1.8985,1.4088,55.5524,0.0511,0.5234,128.4722,3.4021,0.5051,0.0893,0.0762,0.5007,0.0938,0.1627,0.784,0.1368,0.7985,0.7118,1.4926,2.0818,1.8676,3.3496,0.104,0.1088,0.3558,0.7385,0.0
TUN_C17_18,0.5695,0.1112,0.6662,0.7832,0.2323,44.9073,22.4084,7.4166,121.7365,0.0112,3.932,2.0736,4.0304,3.3743,0.7566,3.3823,4.8859,3.175,3.1511,1.6943,0.567,6.1353,0.0483,1.2376,5.7403,17.8274,1.2201,0.1171,0.2808,0.9348,1.2063,0.6348,48.8834,1.937,3.8116,11.4784,2.0119,13.2393,4.3416,13.0804,0.5262,0.5131,1.0868,0.9904,0.0
TUN_C19,54.971,10.7626,6.4872,11.0211,3.1101,14.7444,10.9341,1.5332,2.0552,0.0232,6.1197,0.6044,1.7826,18.5799,3.9819,4.2346,2.9197,2.4673,3.7179,1.669,0.5132,1.7564,7.0936,1.9203,56.6391,12.5764,53.1792,6.1234,18.0397,5.4924,3.9983,2.3237,0.6925,3.4339,1.2263,0.4452,1.8098,3.4834,4.7147,12.7054,0.1585,0.4173,0.4231,0.4638,0.0
