V1,NLD_A01_02,NLD_A03,NLD_B05_06,NLD_B07_08,NLD_B09,NLD_C10T12,NLD_C13T15,NLD_C16,NLD_C17_18,NLD_C19,NLD_C20,NLD_C21,NLD_C22,NLD_C23,NLD_C24,NLD_C25,NLD_C26,NLD_C27,NLD_C28,NLD_C29,NLD_C30,NLD_C31T33,NLD_D,NLD_E,NLD_F,NLD_G,NLD_H49,NLD_H50,NLD_H51,NLD_H52,NLD_H53,NLD_I,NLD_J58T60,NLD_J61,NLD_J62_63,NLD_K,NLD_L,NLD_M,NLD_N,NLD_O,NLD_P,NLD_Q,NLD_R,NLD_S,NLD_T
NLD_A01_02,3408.0213,0.7617,9.6616,0.7141,3.2944,10587.4131,151.98,27.8402,20.0561,18.3038,59.9089,14.5573,56.1736,7.6036,13.262,19.1087,56.8881,8.8805,19.5967,5.1153,13.825,76.5553,81.6431,10.5513,157.474,275.2753,44.0186,8.3822,16.4234,44.3923,1.8834,317.6036,6.538,11.3308,15.7863,23.2495,59.395,73.7968,189.4063,101.2268,16.3501,236.2236,18.9866,35.908,0.0
NLD_A03,11.0069,9.1142,0.0027,0.0003,0.0012,114.8393,0.176,0.0034,0.1138,1.097,3.3175,1.2534,0.0771,0.0078,0.0104,0.0228,0.0214,0.0092,0.0246,0.0088,0.0116,0.5226,0.4797,1.4775,0.1112,2.6237,0.0546,0.2258,0.0114,0.085,0.0051,22.1867,0.0188,0.0162,0.0614,0.1067,0.1278,0.2524,0.1473,1.8746,0.1655,14.555,0.7241,0.6826,0.0
NLD_B05_06,109.2463,0.0379,241.5642,52.1475,298.9999,86.4839,14.3708,1.1684,25.2185,3907.6939,412.0977,5.114,10.581,12.4021,199.307,16.0558,1.7717,1.3314,1.6734,2.0471,21.7886,6.5254,443.5806,6.2945,238.6831,58.8521,5.0025,0.5424,0.3004,11.013,0.9626,39.1191,0.9259,2.7934,2.7314,8.2549,12.1578,28.6485,10.2443,13.2236,23.3338,46.2801,19.0716,21.6272,0.0
NLD_B07_08,28.2025,0.3986,2.6912,22.8241,51.8207,4.03,4.2129,0.0,1.3862,0.0,191.0895,0.9325,4.5229,167.0539,59.48,4.513,0.0,0.0,2.3168,0.0,7.5087,1.1967,0.0,1.8288,243.6027,7.3647,0.0,0.0,0.0572,0.0,0.0,0.0,0.0,0.0,0.4902,0.0,3.1015,2.0667,1.7028,29.58,0.5608,0.0,0.0,0.0,0.0
NLD_B09,0.0,0.0,776.9411,175.6965,937.1751,0.0,9.3938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.906,0.0,0.0,0.0,0.0,0.0,6.6207,3.2362,0.0,0.0,863.7485,0.0,0.0,0.0,0.1548,0.0,0.0,0.0,0.0,0.0,1.3256,0.0,8.3869,5.5886,4.6048,0.0,0.0,0.0,0.0,0.0,0.0
NLD_C10T12,2570.5104,13.116,2.2107,7.4436,17.6244,10557.7577,89.2126,2.7506,43.3871,251.7002,519.5005,293.4967,46.2576,57.9939,23.3628,40.511,80.0594,13.6793,30.815,7.8863,15.2212,269.9215,112.7061,337.8409,166.2676,824.4024,34.566,14.0027,12.2319,25.9077,14.6353,3011.2555,20.0831,12.9845,61.3931,102.0219,53.1509,360.7456,131.4135,167.352,70.5025,841.9726,502.8109,75.6274,0.0
NLD_C13T15,3.9621,4.0059,0.088,0.0105,0.0591,2.79,300.2659,1.1532,15.4959,0.5634,2.943,0.3524,17.3264,1.4966,0.5072,3.6515,10.8278,8.0909,15.4389,1.5812,1.309,22.412,0.4648,1.9008,14.5098,11.5267,1.1458,0.5019,0.3903,1.0966,1.886,3.9,0.4981,3.5213,0.4476,1.6086,1.3778,16.7851,33.0626,30.8065,1.473,65.0887,2.4601,11.23,0.0
NLD_C16,31.6366,0.0248,0.5061,0.1694,0.6164,65.5882,20.0312,291.5927,15.9404,3.0694,29.2002,18.361,32.6731,16.9279,16.8602,35.5303,12.4967,4.6836,26.6707,5.7459,13.2015,141.1435,3.9138,10.6801,715.4913,92.7497,9.7199,1.5731,1.3746,33.4829,0.8559,15.7881,6.992,7.0359,5.7702,8.4989,208.1845,26.3242,140.2475,13.0321,9.4245,11.5456,3.3412,36.0399,0.0
NLD_C17_18,21.5151,4.9213,2.8749,3.0273,15.212,589.6671,16.8817,7.3402,1731.3302,6.5081,88.7945,95.2579,76.4075,20.3357,30.3645,43.5582,41.3363,12.9352,80.2844,20.6287,11.8435,65.7244,17.0547,27.2342,94.1186,412.3783,37.5908,18.2244,11.7831,39.4203,6.0887,65.0786,733.6091,52.1277,102.6321,115.9372,55.722,268.5087,243.3976,132.809,118.0432,279.0236,40.8147,35.9689,0.0
NLD_C19,311.1825,31.4463,5.2459,5.6437,19.2161,61.6897,11.2079,5.0438,13.4168,1564.2616,1418.9649,9.2952,26.2009,21.8692,15.8204,42.525,20.5287,79.703,44.6724,4.7419,13.659,98.78,79.5097,46.0148,371.5097,399.2449,1193.4172,518.4088,1827.7022,145.0963,16.429,24.7301,5.6533,3.7455,46.0949,106.1954,70.4562,162.8491,216.4299,93.5819,60.0474,50.8039,65.6262,52.4071,0.0
