V1,ZAF_A01_02,ZAF_A03,ZAF_B05_06,ZAF_B07_08,ZAF_B09,ZAF_C10T12,ZAF_C13T15,ZAF_C16,ZAF_C17_18,ZAF_C19,ZAF_C20,ZAF_C21,ZAF_C22,ZAF_C23,ZAF_C24,ZAF_C25,ZAF_C26,ZAF_C27,ZAF_C28,ZAF_C29,ZAF_C30,ZAF_C31T33,ZAF_D,ZAF_E,ZAF_F,ZAF_G,ZAF_H49,ZAF_H50,ZAF_H51,ZAF_H52,ZAF_H53,ZAF_I,ZAF_J58T60,ZAF_J61,ZAF_J62_63,ZAF_K,ZAF_L,ZAF_M,ZAF_N,ZAF_O,ZAF_P,ZAF_Q,ZAF_R,ZAF_S,ZAF_T
ZAF_A01_02,1140.3958,21.081,2.4594,1.6312,0.0233,8924.1201,720.6364,331.5874,382.0726,121.9757,68.8437,17.2332,157.7442,15.2265,24.9472,9.8584,10.8077,10.0534,24.9248,15.9625,9.0332,183.9276,7.1974,8.641,3.342,18.2497,1.8377,0.0147,0.1888,2.3704,0.3838,52.4788,10.0124,2.6702,6.0167,3.0419,11.3094,9.427,12.2387,24.2568,11.2286,24.2458,5.9685,21.3519,0.0
ZAF_A03,0.0175,181.4671,0.0085,0.0339,0.0012,541.0459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3016,3.3134,0.9107,0.0048,0.0107,0.6863,0.0378,0.2968,0.7443,0.0016,52.3904,0.7941,0.022,1.8134,0.0,2.6928,1.5572,2.9146,16.8457,3.2788,6.3402,1.8381,6.5837,0.0
ZAF_B05_06,6.6912,0.7184,16.004,79.7378,1.3002,12.3042,4.3057,3.7495,53.4931,2067.8996,34.0552,2.246,2.4707,63.0159,459.5202,32.6999,7.8202,19.8337,32.2868,32.3574,3.3319,6.6152,1487.3116,19.9114,14.5945,0.3837,1.6798,0.0921,0.7761,1.8353,0.0102,1.1226,0.4838,0.1413,0.0103,0.067,0.8754,0.0577,0.074,10.0471,1.1188,2.82,0.6425,0.4943,0.0
ZAF_B07_08,14.203,0.1519,9.1119,68.3091,0.9821,15.2096,3.8386,7.9958,4.8357,25.4297,287.2342,29.8268,9.0278,222.4685,6069.6091,450.3581,110.9181,362.182,453.1746,466.6811,46.6226,242.9527,1.6476,12.3107,184.4379,26.5491,20.9651,0.4523,11.6552,12.2591,1.0744,1.0799,3.044,14.9911,1.7295,11.1851,51.9297,9.7193,12.4822,106.8626,12.4562,13.1597,2.5053,2.3896,0.0
ZAF_B09,0.0,0.0,606.7793,1.2304,101.1153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2919,0.0,0.0,124.3038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF_C10T12,996.4994,19.9384,40.3092,14.0777,0.2159,4785.6025,2.4573,0.3634,18.3716,41.7343,193.8965,36.2255,4.8137,1.3859,3.9936,56.9523,0.1354,0.2754,1.9649,2.8394,0.0254,44.5809,43.8563,35.1432,5.7637,102.1728,105.905,6.4988,43.5679,122.2855,0.9519,1997.5789,24.0773,13.9923,124.441,0.1403,182.3559,116.784,180.7544,222.2951,69.4409,161.4352,42.4579,108.6411,0.0
ZAF_C13T15,168.2717,3.1987,39.4109,89.1519,1.9492,21.8752,728.2655,3.2746,41.676,12.6843,24.9396,5.1276,52.5967,1.3832,2.2377,1.8737,4.5482,1.8173,7.8385,160.6463,1.1443,35.1048,11.5574,9.1693,111.2402,116.4697,21.9789,1.3314,9.62,25.0889,0.149,5.7991,14.9214,1.2548,4.4202,0.7982,6.2095,3.9354,6.5654,57.9303,17.0473,40.7462,9.853,9.9847,0.0
ZAF_C16,52.2475,0.404,21.5663,51.895,3.9758,187.8137,8.0966,313.6513,52.3259,230.7841,72.4911,6.7282,5.9466,33.5632,11.7388,23.9858,5.4674,2.0021,10.6036,34.9186,5.7116,96.9665,24.9118,5.4301,148.9174,76.2343,22.8869,0.8031,6.2207,25.674,0.9723,5.0885,4.9998,0.4574,0.709,0.1581,27.1407,3.5378,3.7467,21.2798,14.4703,24.4269,5.2437,3.4473,0.0
ZAF_C17_18,19.284,1.5237,20.9236,62.6471,0.1332,365.8062,27.7354,30.9215,1511.6782,94.4802,163.289,43.0879,47.6485,44.9574,12.0205,13.0063,14.922,17.4304,38.6388,99.4476,0.9505,49.6498,22.5161,21.9495,108.4048,1231.3992,72.1609,3.5895,29.5048,87.5538,3.6217,8.5979,315.9506,49.7679,236.4612,38.7422,320.1498,398.4032,310.8638,108.2319,94.8689,188.3312,35.7386,25.3125,0.0
ZAF_C19,2251.4157,41.9926,202.6533,909.0782,48.9637,127.0695,61.4187,12.1853,99.3956,1018.4362,922.8268,64.775,207.5152,54.5681,1031.2271,13.0078,24.4065,110.9546,21.1309,33.8219,6.1218,94.0274,748.8733,38.584,1406.5875,1275.6883,1482.1454,84.4434,618.5216,1811.1675,82.046,30.8502,32.15,63.6796,495.1427,79.3791,678.1931,556.5009,693.9475,401.5567,75.9782,178.1207,46.9427,29.5437,0.0
