V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T
FIN_C29,2.9782,0.0068,0.0734,0.2266,0.0111,1.4838,0.1061,0.5867,1.4879,0.687,1.684,0.2495,1.9488,0.7471,1.4617,6.2979,8.0655,3.1199,71.4278,59.0162,2.8791,3.0224,1.0139,1.1014,17.4817,85.2201,19.9401,0.3418,0.4527,12.5857,0.1712,0.418,0.9649,1.319,1.5555,0.6795,0.4562,3.0297,3.284,9.1829,0.5514,1.164,0.3297,0.5326,0.0
FIN_C30,0.0,1.4829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8115,0.0004,0.0,0.1002,0.0393,0.8143,0.1011,1.1777,57.4628,97.027,0.0,0.0,0.0,0.5571,1.8705,4.744,0.9919,1.3419,0.0,0.0,0.0014,0.0,0.0,0.0,0.0094,0.0816,5.9671,87.4871,0.0582,0.0088,0.0031,0.0,0.0
FIN_C31T33,53.9895,2.0263,18.3493,43.0322,1.951,124.9879,9.365,32.6081,286.6764,104.5041,41.3912,5.6285,20.7377,60.0276,76.9391,72.4876,59.3753,25.1696,160.2893,5.668,16.0431,198.1895,324.1268,342.0669,232.1951,180.0567,108.3623,80.0389,178.634,20.3392,10.8723,28.2905,17.9432,35.8029,16.0992,27.2971,4.3243,60.1129,47.317,84.6481,23.3054,196.033,22.1469,18.2451,0.0
FIN_D,136.3933,5.7785,11.3378,42.9823,0.7393,159.1989,13.7223,194.2981,818.7484,67.9608,276.2897,11.0897,69.5687,85.0406,231.5069,63.315,50.8133,24.2004,82.1931,12.7219,13.5943,34.3921,312.5764,92.6825,170.0619,855.9522,103.4742,19.9825,40.668,98.451,11.4478,174.8918,23.6278,59.4897,41.3312,114.6616,880.7047,110.5371,97.7682,533.9099,217.321,346.4469,238.6412,312.0302,0.0
FIN_E,2.7633,0.0988,3.5391,7.6051,0.3647,33.2614,2.6525,40.8382,125.6428,8.9481,21.8988,2.6252,20.776,14.126,846.6891,23.1793,28.1486,10.6235,75.9026,3.0839,9.3636,18.0872,98.3422,474.4338,151.7159,180.7112,13.5376,9.65,5.0805,5.3685,2.4005,58.164,17.9262,9.8783,32.3372,36.6667,474.7615,77.3556,178.1839,161.7741,58.5412,85.511,19.8361,28.952,0.0
FIN_F,306.1147,0.0584,2.2991,6.5272,0.268,51.7007,2.1226,37.9336,54.5102,152.9466,75.6179,5.3142,15.9056,19.6069,39.0028,18.195,29.8956,13.5919,20.6679,5.8045,5.7292,18.3457,626.3902,46.5743,3704.9717,232.381,266.6542,31.5078,95.41,66.9282,32.7301,46.5766,5.7044,35.8632,9.0676,34.448,2111.9946,28.5473,84.1199,919.4458,102.9499,84.1138,71.1224,8.8249,0.0
FIN_G,771.4479,12.1232,8.384,31.0276,1.1714,1334.8438,146.7332,471.0018,827.9172,383.2097,486.3596,41.6657,164.6258,148.0227,138.4655,193.8679,225.7527,173.1351,475.8659,84.4389,70.3841,254.4049,173.4907,116.1773,1465.9674,1088.0146,1364.0322,84.1579,109.9183,234.2775,26.4533,629.4601,384.2026,79.9773,153.8693,212.4754,266.0523,495.4167,345.6425,444.0207,213.247,811.1311,247.4645,317.3324,0.0
FIN_H49,63.8297,1.9478,8.0135,29.5645,0.8423,307.1368,22.2066,214.8942,700.9556,185.2915,174.9016,14.1647,53.3398,80.4145,107.8522,56.697,70.0414,35.1527,171.6671,53.7174,10.3749,43.2775,48.6476,15.5469,348.6706,704.6907,806.2112,84.4951,13.1325,301.2571,123.2374,65.4205,97.4731,19.5472,23.1483,107.3706,29.7899,115.7116,61.1186,638.4928,206.1368,440.8994,100.0669,185.6001,0.0
FIN_H50,9.9025,0.2409,0.5417,2.2737,0.0864,21.2335,2.6112,20.9626,27.872,19.2123,15.3995,1.4522,6.0571,15.8397,24.7923,20.9509,24.6905,10.5358,37.1439,2.058,2.8054,7.8871,6.266,2.4781,42.1741,107.0762,10.3077,112.7182,7.5972,9.8509,1.4057,29.384,13.8598,5.9999,8.162,8.9386,6.4101,32.0441,39.8378,40.5539,26.5573,49.3192,9.3401,7.3111,0.0
FIN_H51,14.8637,0.5805,1.0587,3.8665,0.1349,16.7979,1.8125,5.8609,13.0635,29.4631,15.7351,0.9485,4.3582,3.3857,14.1801,6.3544,7.0353,5.7828,15.2022,2.4107,2.0569,5.3154,8.0824,3.1016,39.4741,81.0366,37.4151,5.4105,35.2294,37.3549,11.7087,16.4557,11.4237,6.1488,14.6453,24.9438,10.5667,42.1044,85.6922,49.1828,32.1224,63.9026,19.67,25.1687,0.0
FIN_H52,9.9036,0.2152,8.3996,21.0749,0.4483,228.1715,15.7806,192.0361,651.9229,60.3547,137.3655,11.8315,41.2733,79.108,90.8897,51.9906,75.767,26.0713,150.9646,46.8721,4.5768,27.8366,7.017,72.4962,38.4479,802.0155,15.2702,333.978,182.3673,1773.8208,10.7731,23.8776,69.3987,1.4972,22.5338,4.1381,9.8186,46.9415,22.6766,13.3354,53.2799,30.023,12.1975,3.5924,0.0
FIN_H53,8.9163,0.6819,2.5707,8.1627,0.383,31.0552,4.8082,20.3836,31.5485,14.5731,23.0422,2.3781,19.4932,15.3804,22.1701,36.5143,50.375,28.45,145.2479,11.2484,6.1332,34.5453,34.5579,3.7423,18.2339,110.2823,14.6404,17.0415,10.2832,2.6241,4.621,14.6493,20.0282,12.4901,10.6667,53.6186,36.4175,50.6308,25.9839,115.631,43.0824,90.2143,34.2816,53.6925,0.0
FIN_I,9.3415,0.567,0.789,0.6936,0.0185,4.0177,0.0941,1.7738,4.7203,0.4716,1.5654,3.5487,2.692,2.08,0.5914,3.3139,3.0404,4.1818,8.6583,0.4826,0.607,3.5041,1.7955,3.1216,36.4348,267.0263,73.709,27.3101,82.3581,31.6985,3.7422,32.7623,42.8835,18.6341,25.3257,153.4098,22.9999,96.7952,77.8812,233.7903,293.4227,680.8973,109.6284,79.6435,0.0
FIN_J58T60,8.1832,0.1847,3.393,8.1552,0.1747,123.7489,8.8683,15.6924,73.6382,15.2367,23.551,30.9182,15.2272,22.4288,15.1577,19.3073,192.4134,26.9846,69.1777,3.8074,4.3075,27.0389,47.5969,26.7406,29.9386,493.8834,19.1613,18.6779,25.2955,43.641,8.0042,88.5024,540.2047,14.2128,161.0203,206.5238,27.9613,216.2105,98.6546,203.395,121.0437,124.6754,290.6465,86.0244,0.0
FIN_J61,7.7482,0.3582,1.3328,4.1179,0.2289,24.7112,1.8745,10.152,18.6911,9.9848,9.9197,1.413,8.9964,7.1457,15.3155,18.9043,24.5752,12.9356,67.3526,4.0747,2.5047,19.2924,63.2943,7.2151,35.2084,118.8458,32.2173,11.1057,15.3762,7.966,1.1218,54.5062,89.6267,745.6623,71.3787,215.9107,59.9797,97.9799,95.7825,293.1887,121.6888,225.5562,89.4482,119.9388,0.0
