V1,KOR_A01_02,KOR_A03,KOR_B05_06,KOR_B07_08,KOR_B09,KOR_C10T12,KOR_C13T15,KOR_C16,KOR_C17_18,KOR_C19,KOR_C20,KOR_C21,KOR_C22,KOR_C23,KOR_C24,KOR_C25,KOR_C26,KOR_C27,KOR_C28,KOR_C29,KOR_C30,KOR_C31T33,KOR_D,KOR_E,KOR_F,KOR_G,KOR_H49,KOR_H50,KOR_H51,KOR_H52,KOR_H53,KOR_I,KOR_J58T60,KOR_J61,KOR_J62_63,KOR_K,KOR_L,KOR_M,KOR_N,KOR_O,KOR_P,KOR_Q,KOR_R,KOR_S,KOR_T
KOR_A01_02,2165.7552,59.4657,0.7147,3.5854,0.0031,22796.765,544.6749,745.889,12.9811,7.064,99.9167,274.1011,483.0213,11.9086,34.6977,39.1964,112.9399,18.4159,46.6256,36.4612,48.5681,25.8455,5.2694,4.7779,414.3262,78.4314,4.7411,0.9912,8.8533,12.2461,0.6575,5128.3059,13.4844,8.8707,8.465,38.4322,4.9369,97.6689,15.9212,178.8594,334.0284,928.3645,115.9317,67.3433,0.0
KOR_A03,4.0681,116.4698,0.0179,0.1821,0.0,1843.2157,7.9167,0.451,1.1601,0.4077,5.8831,2.0626,3.8949,1.1546,4.0625,4.4386,14.911,2.3321,5.6076,4.3574,6.8151,8.9315,0.4423,0.5154,2.2568,5.5419,0.5486,0.1024,0.2337,0.3566,0.0812,1691.236,1.0357,1.0026,0.8756,1.6776,1.0331,15.2202,1.1795,59.952,110.2434,104.5853,13.8903,4.7268,0.0
KOR_B05_06,0.0344,0.0194,0.0072,0.0733,0.0011,0.8905,4.5365,0.124,0.3098,56.8227,5.8304,0.1617,0.8639,4.2396,82.152,1.2133,2.7001,0.7485,1.4894,0.9549,2.1415,0.3208,208.6301,0.5854,0.1538,0.3139,0.0171,0.0007,0.0007,0.0121,0.0069,0.0093,0.0106,0.0361,0.0195,0.0361,0.0355,0.3016,0.0831,0.0497,0.1047,0.5338,0.0208,0.0175,0.0
KOR_B07_08,1.0659,0.2999,0.0141,3.6378,0.1351,22.5628,13.148,0.4382,20.8127,11.5729,425.5607,3.7515,24.6228,2045.9211,191.2749,20.5873,29.5231,6.1489,15.0422,10.8978,6.0651,4.7958,1.0326,9.1947,197.7076,5.03,0.2464,1.5097,0.1198,0.195,0.03,5.105,0.2698,1.3759,0.1467,0.326,0.2239,5.1437,3.7967,4.182,0.7759,5.6173,0.9587,2.097,0.0
KOR_B09,0.0275,0.0072,0.0155,0.1671,0.0041,0.0255,0.0045,0.001,0.0455,4.1501,0.2516,0.0019,0.0245,0.3751,1.4366,0.0837,0.0066,0.0081,0.0306,0.0044,0.0018,0.0028,0.8289,0.008,1.2173,0.0093,0.0247,0.0026,0.0026,0.016,0.0002,0.0054,0.0002,0.0,0.0002,0.0002,0.0334,0.0468,0.0194,0.026,0.0016,0.01,0.0023,0.004,0.0
KOR_C10T12,5436.2146,232.8078,0.868,7.631,0.0192,14334.1616,995.5394,20.2872,81.9281,63.2329,663.454,184.6743,147.7423,55.5978,163.5499,192.23,445.7753,113.7428,233.6817,176.0601,262.2535,55.1861,30.6121,21.8955,103.9299,644.6206,27.3356,26.6952,33.9177,81.9349,3.6667,24390.9665,69.1311,47.9429,65.7739,193.6736,19.2261,791.389,193.5155,622.9379,1232.604,1352.7008,1199.8492,302.9749,0.0
KOR_C13T15,119.754,306.6868,2.8083,14.3911,0.0591,455.9816,16933.7764,61.7297,381.3055,97.2896,293.7254,82.2305,1296.0492,192.1459,549.1112,776.4482,1477.1226,406.7645,710.6426,1119.2622,1032.6935,949.583,87.2827,112.5998,342.1099,1368.8612,301.3066,27.7611,5.2073,469.3977,69.2852,668.7256,121.6697,86.3561,31.9457,382.1095,68.2404,433.8677,570.6401,758.2868,303.7944,964.7107,430.7262,923.1443,0.0
KOR_C16,36.0657,156.6173,1.2753,2.3998,0.0128,81.6115,85.6396,1184.9046,39.8166,12.7165,42.6123,4.5183,38.9856,83.815,119.2926,184.417,86.899,64.381,125.9652,92.2153,65.9799,889.3483,134.8084,5.6578,2909.9261,111.7083,4.8361,1.3324,0.1246,272.146,0.2471,150.861,3.4314,2.9312,2.7554,1.8507,0.9281,6.0972,27.7259,3.9674,38.8645,41.4955,24.3955,25.2032,0.0
KOR_C17_18,250.142,11.7964,0.4738,6.3774,0.0205,1609.6539,740.2739,79.9582,8169.565,91.8184,559.3289,255.3395,427.7247,227.0716,175.9929,442.0657,653.611,476.5386,254.3244,205.1709,140.622,238.0409,19.1502,26.229,272.6478,1454.5769,95.126,11.3453,3.5884,200.4763,256.5027,530.7707,2390.3167,124.3643,216.8381,1071.7103,62.6543,2461.6686,268.3215,446.1672,587.2871,441.0394,301.0177,434.798,0.0
KOR_C19,473.7026,396.4168,0.6729,54.4023,0.5511,245.9685,468.0189,40.0323,196.6014,5539.7879,12288.0194,132.5556,1136.7032,910.717,504.2214,545.7449,845.0653,302.5404,313.5948,443.6243,381.873,99.1222,1859.6235,147.5086,1017.4067,2293.7595,5378.3891,1275.8507,2070.5872,232.789,129.5127,885.3705,116.9159,84.6598,65.4667,180.7036,239.2702,1489.186,295.0736,709.1277,1091.968,1064.9331,218.5583,556.9533,0.0
KOR_C20,2388.8492,32.4893,2.0932,49.9027,0.2945,528.0812,3275.1325,300.555,1038.3332,1507.7745,24381.5971,1013.2403,11049.5486,787.7892,885.9826,1947.0198,6198.6893,1580.3319,912.0031,1624.4535,1020.0455,538.5214,979.1601,208.9801,1394.1521,745.4499,331.9333,60.7682,82.3872,80.9028,11.8422,518.5938,354.8573,40.2857,49.7258,98.4153,48.6217,1677.291,678.4002,226.3124,296.7509,1277.3633,283.6139,1717.467,0.0
KOR_C21,46.4992,8.7291,0.1527,0.4957,0.004,100.3398,79.5893,3.1244,8.5628,6.6995,35.9967,701.252,22.1264,6.0266,20.0645,25.4469,68.0882,17.6491,30.8277,26.9168,39.5657,10.9449,3.9472,10.194,11.8417,38.3376,2.2104,0.6454,2.1266,2.3034,0.7105,61.6195,2.3953,6.9067,2.5237,6.9863,3.636,238.597,8.1239,91.6871,48.1142,9755.6855,8.5991,13.9198,0.0
KOR_C22,456.7362,124.5286,3.7621,22.5832,0.1332,1986.2516,1619.2235,99.8162,410.7664,128.3593,1199.7491,258.252,6383.7152,398.7375,494.2208,1589.9254,8562.5516,3348.3705,2675.9101,10076.3042,1261.8927,1422.9308,213.483,80.6786,5723.8591,2294.2515,619.818,17.4244,19.2181,283.9012,3.713,972.0211,83.1845,34.9265,41.566,92.5246,45.0058,1779.2352,311.8596,100.0497,200.7083,357.0179,89.7077,402.868,0.0
KOR_C23,16.0359,2.3137,0.2442,10.5492,0.1048,482.8999,172.3201,19.7977,102.0382,58.7504,460.6466,215.1414,238.0391,4946.5123,1931.581,419.0233,3739.9388,829.9935,347.5416,1049.6572,351.0896,147.924,39.8019,52.1014,15084.883,138.1606,29.0102,6.7011,3.5913,31.7216,0.6877,291.8093,5.5024,13.1962,4.8162,12.8927,45.6739,150.5038,61.7904,73.5426,59.7213,83.9293,101.798,23.1381,0.0
KOR_C24,55.8477,9.4764,2.0234,6.8038,0.2239,178.3642,168.8047,36.6099,69.889,237.3168,757.1673,54.3927,659.9555,433.4479,24183.1639,10765.3389,3259.7636,4367.0861,6309.7667,7554.5372,5978.2691,790.0305,407.3474,104.8559,9008.5697,198.4487,63.8816,10.4039,31.5814,54.2295,4.0995,135.2933,19.6436,43.6861,13.712,47.6539,35.0361,438.9529,40.887,74.9294,131.2086,197.6483,45.8289,113.304,0.0
KOR_C25,52.2913,12.9995,8.2617,37.034,0.3238,1498.2379,1045.2199,209.6148,144.4672,921.8486,906.8123,142.161,844.172,455.4633,1356.3545,11120.3616,3234.7844,2648.7019,9398.5348,8832.2407,9657.9926,1208.6459,472.2854,86.2551,13565.6659,780.9562,187.6779,34.1113,31.1762,255.7187,16.2974,682.4039,51.1188,46.9777,57.1459,188.4991,64.0357,585.6403,257.8169,455.0657,248.2794,241.7737,168.7159,578.0025,0.0
KOR_C26,137.9312,27.853,3.9861,16.611,0.119,991.0054,2624.8667,97.8654,296.4311,354.0405,755.4754,181.7075,832.2047,239.6079,877.5143,1167.4683,41376.9494,3865.8469,3367.7559,4786.2287,3014.9961,537.2733,483.2881,101.9912,1390.7278,1703.3597,182.3994,27.6603,36.7011,188.4117,66.2993,557.0385,295.0342,1044.7058,1623.9026,518.4095,173.9149,4148.073,365.9795,475.435,894.4177,2501.3022,168.7128,3156.7898,0.0
KOR_C27,23.3508,44.3024,2.5492,10.0969,0.0519,128.2773,435.816,21.5232,59.1873,106.0446,146.3777,28.3972,246.1387,109.5483,437.8243,598.561,5283.8724,8434.7259,3145.709,7089.6117,2112.6577,424.6706,780.7837,75.5771,5502.7811,594.0107,296.137,15.2917,15.8011,182.9664,18.4619,454.4898,119.0671,602.8525,109.0613,158.5619,128.3277,1185.6977,275.6776,193.2985,255.2436,213.7483,146.0719,1112.0217,0.0
KOR_C28,100.0497,46.9267,4.1034,56.1756,0.4144,363.0571,1111.8816,43.5902,122.7735,571.5144,381.2348,60.7114,1683.207,279.6069,961.0495,2090.2901,1991.2876,1548.1197,14130.5965,3242.856,5016.3278,585.5834,250.7659,243.0724,3502.2367,329.4629,70.1845,16.5024,45.1476,87.8904,5.8961,103.483,27.7871,39.3192,29.6385,75.759,67.7594,571.6226,100.9484,146.539,176.5488,206.4158,39.0283,189.7321,0.0
KOR_C29,46.1772,16.2498,2.4128,23.5966,0.0637,254.436,876.6948,39.3723,101.4638,115.3911,235.327,55.0602,388.8853,211.6678,419.925,611.9877,1544.6596,1590.3427,1889.8433,56418.7082,946.4996,160.0428,154.8954,123.6235,1036.7583,3184.7231,2837.5187,8.8339,9.9201,594.2189,51.4985,124.3347,80.3074,128.9263,47.7054,89.3367,33.7687,543.6912,206.4778,337.7321,127.2663,263.6301,95.0423,256.4281,0.0
KOR_C30,17.0985,152.7835,7.8103,30.0458,0.0554,174.573,406.3316,26.1025,36.1512,112.5284,118.158,23.1087,194.5595,68.1285,193.9415,963.602,603.6754,389.7601,1430.6684,899.372,5176.7427,167.6216,60.9705,23.6087,1132.1008,110.652,364.571,321.4302,1925.0864,61.2098,70.5803,73.8316,7.9372,23.2816,11.8428,25.5269,10.4199,251.8519,58.3526,431.2469,48.4867,77.6203,21.8998,120.1379,0.0
KOR_C31T33,18.1476,10.6038,2.6874,9.2863,0.072,515.8157,1996.8882,55.0321,133.704,39.745,233.8139,66.1939,352.0714,104.8457,353.4871,487.7333,1141.2031,312.181,610.1699,401.3995,883.9652,844.7121,35.0886,38.276,1354.1983,364.6122,41.0096,4.744,1.8754,63.5171,39.36,627.2058,121.2628,53.6739,69.7517,264.141,259.075,765.6673,263.4794,279.0964,1531.2843,485.5919,479.7586,290.208,0.0
KOR_D,549.1677,92.2476,5.9416,71.3485,0.3482,1022.3397,1023.8266,139.3917,1100.4765,1667.7831,3640.8115,155.4666,1357.7881,1383.4799,6227.7324,1668.6081,3550.9616,790.3237,1066.5479,1310.5194,518.8557,239.7336,10913.2652,647.1663,736.0988,2221.8163,800.5304,17.5797,17.444,546.0252,60.4134,1810.7483,330.4102,675.669,211.1109,881.9857,787.1499,6435.0206,349.7403,1023.4331,3096.0419,2609.0419,838.9046,645.8761,0.0
KOR_E,44.1938,15.1512,0.1934,9.2364,0.0557,247.195,171.4573,14.6363,300.3617,60.0215,459.2927,19.5752,628.8151,213.6003,1943.1327,299.936,103.5183,76.4958,344.4668,103.9474,46.5911,32.2818,78.7207,351.9414,107.6658,131.4606,99.5711,2.8692,0.43,67.8286,7.6207,891.2694,68.0719,71.6466,19.4221,177.37,223.4108,404.9386,139.976,262.5189,411.1194,863.4331,122.5585,216.959,0.0
KOR_F,70.6525,12.7255,0.4843,13.7585,0.2905,98.1877,77.9863,10.7353,37.0825,66.4695,121.6203,15.9172,122.756,46.8566,206.2321,155.4578,218.8087,127.2212,128.1013,121.8532,96.8611,29.8908,415.1506,35.2469,287.4514,490.7934,95.3061,23.8412,9.655,96.9394,46.8919,338.0662,97.681,191.2737,100.1819,230.3365,7683.0772,654.3086,133.1189,656.8845,257.2111,158.7636,112.3286,98.6691,0.0
KOR_G,2154.3833,235.9072,3.9062,48.8454,0.3818,10830.7723,6105.5456,455.9924,1594.0919,1935.7455,5622.218,1270.7149,3455.4701,1061.6131,3094.8905,2909.7475,11869.7671,3225.7813,3911.9836,7908.9791,2632.8785,1529.722,959.9956,210.1883,5291.5721,12638.4695,1078.1624,321.6823,318.7791,579.1136,103.3075,9088.9782,980.4765,3247.9921,390.1107,1029.5862,401.6946,3345.1914,738.6924,1010.9948,1645.2701,4622.3005,862.172,1359.2525,0.0
KOR_H49,167.3027,36.1669,15.6089,274.1429,0.3957,1980.1467,1174.7346,187.6264,911.7238,832.9058,2214.0889,314.6697,1146.9456,2116.7917,1652.439,1196.1934,2272.6521,790.5159,1345.8911,1883.3583,635.5894,302.4672,314.2731,513.398,1088.0277,4158.4598,481.2142,85.003,52.7795,255.4507,72.019,316.1692,371.9902,61.5367,271.7564,453.5601,181.2197,1462.9151,645.4189,1161.8175,293.56,241.9143,105.5187,299.2349,0.0
KOR_H50,46.2008,42.6751,2.2103,19.015,0.0447,291.3853,117.0649,21.5819,73.4467,684.8454,337.7222,13.8273,125.2045,322.2418,636.9057,138.6004,319.2584,150.3196,170.2049,232.1201,185.6057,43.6228,254.6052,30.174,134.17,288.1548,55.4641,6723.1839,15.5184,39.6289,1.684,74.0015,8.9319,4.726,5.9348,8.652,4.1739,45.0287,15.7401,25.2691,19.4462,54.3988,9.4506,24.0812,0.0
KOR_H51,22.3043,6.7213,0.0613,1.0915,0.0384,138.1938,130.8814,10.5537,21.2546,177.8308,163.9128,221.5395,101.2153,75.6686,171.3309,112.3593,730.7144,329.553,324.5241,196.0005,116.4001,41.7965,132.6997,3.4783,99.3427,1087.0755,132.8941,4.7655,24.2316,84.1435,32.4538,129.356,192.473,67.9204,301.2736,94.0017,18.3062,389.9348,65.3774,156.2773,33.2316,66.9518,36.5332,91.958,0.0
KOR_H52,192.9701,218.2105,2.6473,114.8355,0.2097,1342.0993,470.1726,59.4702,214.4606,193.5021,1144.3367,157.2833,512.8606,744.8946,1063.4241,525.5669,1150.1702,367.5777,610.694,743.6489,239.2576,137.3851,30.1206,191.5355,361.9649,4809.9285,2916.8661,3023.645,1080.1331,1221.1545,37.5192,124.8208,124.8913,12.1494,28.7249,72.6396,33.8693,549.7355,258.6512,30.3966,40.079,49.4978,34.7108,72.6031,0.0
KOR_H53,81.672,9.5597,0.274,0.8406,0.0491,47.3889,34.0755,8.5448,12.1512,19.4849,60.3968,46.4431,38.2508,40.2155,75.6021,51.8118,66.3603,20.6356,43.1418,105.5283,25.1116,16.396,16.024,85.5736,434.41,720.0108,22.0468,2.2192,0.1816,829.9236,1134.0142,260.9754,27.2101,16.6725,20.4005,56.5981,7.5841,355.0079,236.9851,821.1938,130.8469,328.3266,75.3018,16.8484,0.0
KOR_I,264.3043,111.4714,2.641,60.4405,0.0954,426.856,592.9615,83.552,314.2223,277.4841,734.2521,124.9613,493.5375,297.4288,784.027,814.1814,1404.1803,430.4359,827.9107,766.6963,303.8866,245.582,222.6235,220.6432,698.6765,6286.9148,305.8078,72.2709,155.1476,598.6502,77.3317,832.5959,759.0593,466.2063,608.6525,2712.0269,530.898,5500.9364,1802.0156,1520.2017,5361.4634,3113.3653,947.7101,2417.444,0.0
KOR_J58T60,56.4495,12.9265,0.2236,9.1652,0.0761,89.3164,96.081,10.156,57.6094,105.0725,127.1058,18.8723,99.3186,48.717,153.4803,168.3299,417.4417,133.9494,135.7697,100.1563,80.9098,51.7487,37.2651,100.3161,218.572,3374.2867,123.6849,56.2264,66.0853,347.8258,129.0623,527.8766,4427.0116,245.2925,612.9059,1121.6053,165.8262,5413.8521,579.2834,871.2041,2178.546,448.956,1150.8114,873.7287,0.0
KOR_J61,93.5935,19.6707,0.5256,7.9014,0.076,115.174,124.569,35.2717,85.4011,134.7632,154.3113,29.0959,123.7038,141.5156,153.7775,229.4434,432.8048,177.3507,150.5436,174.3684,65.9779,64.6222,55.6317,79.3067,224.6077,4704.1701,161.0969,44.3283,9.3839,438.0269,197.0325,519.2711,740.9023,3655.952,698.9508,2760.1599,227.3105,3391.7205,1252.6433,766.1165,847.4286,215.3453,177.0178,415.6336,0.0
