V1,POL_A01_02,POL_A03,POL_B05_06,POL_B07_08,POL_B09,POL_C10T12,POL_C13T15,POL_C16,POL_C17_18,POL_C19,POL_C20,POL_C21,POL_C22,POL_C23,POL_C24,POL_C25,POL_C26,POL_C27,POL_C28,POL_C29,POL_C30,POL_C31T33,POL_D,POL_E,POL_F,POL_G,POL_H49,POL_H50,POL_H51,POL_H52,POL_H53,POL_I,POL_J58T60,POL_J61,POL_J62_63,POL_K,POL_L,POL_M,POL_N,POL_O,POL_P,POL_Q,POL_R,POL_S,POL_T
POL_A01_02,4538.8975,2.6081,8.0632,7.9637,0.0154,9874.4015,33.1039,1122.2082,240.1312,3.5544,67.4231,25.678,129.7894,13.0723,5.4058,13.4689,1.6017,7.7159,21.5158,11.8819,4.1346,119.406,253.5599,4.9255,77.7785,743.4375,36.7745,0.2797,0.7722,2.5129,0.3721,65.1702,2.0391,2.0264,2.9045,5.477,21.2536,12.7199,219.5148,34.8596,9.0544,44.5232,3.4739,51.6804,0.0
POL_A03,0.8801,1.4924,0.0163,0.0626,0.0008,102.4869,0.1983,0.0892,0.105,0.0421,0.2053,0.0318,0.1477,0.0702,0.0411,0.0758,0.0659,0.0878,0.0536,0.1219,0.0265,0.1814,0.0788,0.0324,0.3415,7.8115,0.6302,0.0036,0.0145,0.0307,0.0048,4.2857,0.0297,0.0363,0.0248,0.0573,0.0552,0.2432,0.1297,0.061,0.1035,0.4631,0.0565,0.1734,0.0
POL_B05_06,116.274,0.0736,6.6236,8.103,0.8852,78.8273,4.9093,7.0423,45.2212,526.2733,124.7215,3.5549,20.94,72.0606,574.2724,13.7917,5.6953,5.9315,6.2871,7.5025,3.5606,9.3517,2096.1931,31.3527,102.7756,51.819,18.8724,0.1018,0.3665,14.1658,1.639,8.6566,3.1078,15.7509,11.5825,12.5927,65.6948,24.1498,27.4185,11.7092,8.0655,11.5156,6.18,7.5569,0.0
POL_B07_08,31.1171,0.0033,310.0136,216.1795,0.0,3.47,0.706,0.4111,2.2322,1467.1686,389.8317,0.8678,20.1769,565.3789,387.0863,45.3967,38.6853,43.0741,16.7253,9.8575,1.7597,7.4014,578.1549,19.166,814.0076,23.7867,28.1513,0.0,0.0,2.5758,0.4663,0.4971,0.0199,0.0,0.0909,7.8879,5.4523,17.6635,43.6235,20.2421,4.31,0.8918,1.0509,8.0943,0.0
POL_B09,0.0,0.0,80.8558,34.8156,58.6992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.3051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL_C10T12,2846.7881,4.7843,10.6698,13.5981,1.1447,8736.3473,48.8139,43.7393,70.2003,69.1912,214.5948,18.1688,131.8512,49.229,46.898,76.8144,26.6419,55.9892,50.053,63.5244,15.4562,155.5963,59.381,30.5869,239.8237,2294.3395,116.9503,3.0474,9.1411,28.3247,3.7207,2112.3391,10.6349,20.5087,22.0703,79.7141,67.0887,58.4366,91.3894,72.9406,116.4038,195.1079,22.7607,167.7163,0.0
POL_C13T15,13.6025,0.1007,4.2594,2.994,0.0432,35.4485,682.8841,7.3029,14.0256,3.8877,12.606,2.24,131.1511,11.2888,6.5847,14.3125,3.8358,11.693,12.2885,218.2441,8.8405,255.9284,7.6699,4.8075,58.2836,135.6153,30.8816,0.2085,0.6517,12.3272,2.7116,11.8014,1.7673,1.8272,1.4049,7.2232,6.1663,7.1236,13.0387,35.2908,4.4354,18.3088,10.6836,14.1876,0.0
POL_C16,110.8144,0.0534,16.1049,6.558,0.0576,56.8142,14.363,1769.4876,97.0774,6.8499,30.9517,2.902,59.2851,86.658,14.7873,123.188,21.0673,70.447,34.8296,65.0278,40.6672,1526.2458,20.7561,15.7963,1345.1799,310.3674,111.0878,0.493,0.9832,25.0471,2.9334,9.779,4.9052,4.0452,2.6291,10.7962,128.0263,14.2681,23.0312,28.9357,9.9789,19.4563,8.585,80.5477,0.0
POL_C17_18,35.8597,0.0986,4.1349,6.4135,0.0795,770.547,53.8231,170.4394,2679.5507,16.1553,131.1379,62.3826,184.5011,161.7386,23.8741,67.2687,12.93,71.7615,38.5414,74.5329,13.9139,235.0479,25.4663,39.4127,154.388,1064.5064,100.7722,0.8639,2.6685,71.231,18.3401,41.4217,506.391,31.1055,37.1887,617.6568,74.2611,335.7418,224.0023,144.0106,254.8401,58.0739,93.9225,120.2546,0.0
POL_C19,588.6952,4.8835,13.5412,47.3417,2.9163,254.7214,37.9865,78.4439,75.3389,509.6641,371.9063,28.9238,266.8962,175.8906,235.6724,96.0461,21.7633,67.2225,49.1452,66.4014,18.4253,131.0225,111.1701,130.566,995.2877,938.9831,3921.9332,10.7248,54.2766,137.3277,20.9225,58.0591,13.5275,24.6417,20.3218,260.7815,76.9595,74.5945,125.5872,73.1025,26.6899,71.7467,16.7948,48.0877,0.0
POL_C20,837.5636,0.305,16.9497,24.497,0.5035,281.3854,116.9817,138.7185,240.0438,178.9643,1473.1451,31.8129,1255.4902,211.8849,73.6881,184.6441,51.08,169.4903,76.6451,230.8934,38.5492,217.1036,37.1923,44.7836,509.9895,369.9458,109.6432,1.0318,3.3333,18.9186,2.2391,40.0218,20.1882,9.8649,6.8058,31.72,115.9945,67.9158,82.0584,26.1461,21.1542,204.4349,12.5927,56.0151,0.0
POL_C21,28.5205,0.0636,1.1761,1.3382,0.0611,55.6729,6.7121,6.5055,6.905,8.1178,22.927,196.4367,21.9155,6.9598,5.4595,10.2481,4.1858,7.1143,4.9296,16.3307,2.4132,16.611,6.8383,2.1072,31.9602,33.4254,10.1405,0.1684,0.47,2.5564,0.4305,6.8554,3.2816,4.8354,12.0081,8.652,5.2739,31.174,4.3612,14.8293,5.7828,234.4663,2.4021,3.8225,0.0
