V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T
MAR_A01_02,2547.2642,1.2106,0.1113,7.9383,0.0025,7312.7665,78.3487,104.1997,72.9709,0.0,151.1307,37.2949,6.5064,2.9268,0.442,0.3109,0.0,0.0,0.0,0.7919,4.3531,7.2247,0.0,0.0,5.4638,193.7275,2.5651,1.437,1.1754,1.5346,0.0,143.4101,1.6138,0.0,1.0637,0.0,0.8669,4.2274,14.2894,11.4019,4.3754,8.095,4.1377,12.9873,0.0
MAR_A03,0.0,181.2473,0.0,0.0,0.0,437.6582,0.8799,0.0,0.0,0.0,5.3093,2.2072,0.0,0.0,0.0,0.0,0.0,2.3218,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,6.5599,0.0233,0.0231,0.0262,0.0134,0.0,27.9416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4184,0.4663,0.8458,0.0,0.0,0.0
MAR_B05_06,0.0,0.0,0.0009,0.0646,0.0008,0.0,0.0032,0.0008,0.0052,22.4721,0.0358,0.0006,0.0,0.0021,0.0067,0.002,0.0006,0.012,0.0,0.0,0.0,0.0011,5.9396,0.684,0.001,0.0,0.0003,0.0001,0.0001,0.0001,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1571,0.0004,0.0003,0.0,0.0,0.0
MAR_B07_08,0.2418,0.1621,0.0064,3.4391,0.1418,4.7711,0.2139,3.2284,0.2618,6.5337,1280.9126,59.2786,0.4943,84.0245,90.0211,122.4606,0.1643,178.1373,0.397,1.3869,0.1728,0.7991,0.1695,0.025,290.0391,6.1952,0.1209,0.0134,0.0317,0.0747,0.0033,0.1413,0.1614,0.0402,0.0442,0.2774,0.086,0.1413,0.1382,18.6198,0.1049,0.1206,0.0436,0.1929,0.0
MAR_B09,0.6231,0.1175,1.2281,11.6141,0.1691,0.3095,0.0158,0.0074,0.1125,17.6099,1.0845,0.0081,0.0202,3.3421,2.1818,0.1244,0.0012,0.0324,0.0054,0.0072,0.003,0.0135,2.5046,0.0921,10.2578,0.0422,0.1341,0.0057,0.0232,0.0538,0.0002,0.0107,0.0003,0.0,0.0003,0.0005,0.1884,0.0741,0.1154,0.1434,0.012,0.0207,0.0027,0.0106,0.0
MAR_C10T12,1669.4878,8.6572,0.0,0.0,0.0075,2314.3087,8.5724,0.2864,0.6993,0.0,7.0409,1.3866,0.2583,0.4569,0.0,0.0917,0.1374,0.0,0.0,0.0,0.0,0.3905,0.0,0.0,0.0,108.7442,1.7751,1.0868,2.4281,1.5034,0.0,639.2073,3.265,0.0,0.2201,0.0,0.1605,0.7573,1.4641,55.0479,9.2361,12.7988,4.4863,12.188,0.0
MAR_C13T15,13.5751,1.0161,0.0253,2.4332,0.0144,5.8468,663.2896,2.3057,3.3841,3.728,2.909,0.6711,5.8629,0.9889,0.0325,1.0154,0.6471,3.1663,1.1231,3.0607,0.1,30.5762,0.2623,0.0484,6.2395,11.6261,1.5599,0.3177,1.1441,0.7222,0.029,2.729,1.7832,0.1916,0.9706,0.0217,0.5896,3.2568,6.637,37.894,2.2158,3.0775,0.8132,3.4847,0.0
MAR_C16,2.5581,0.0631,0.001,0.4354,0.0048,4.0359,2.8105,86.0463,5.0236,0.3583,0.3325,0.0541,0.9323,4.2653,0.3019,9.045,0.054,3.3187,0.3301,3.5882,8.2973,36.7982,0.0819,0.0161,310.3546,12.9926,0.0994,0.02,0.0278,0.0774,0.0199,0.2031,0.6364,0.1265,0.4308,0.0376,0.8894,1.5343,3.8362,0.1054,0.0271,0.0416,0.6706,2.4892,0.0
MAR_C17_18,3.2504,0.5504,0.0335,9.9446,0.0105,160.8154,29.8256,0.9739,198.5701,1.6124,29.347,9.1079,5.4393,38.4742,2.882,4.2407,3.1136,14.8715,1.9588,8.9658,0.2688,6.2754,4.3035,0.7411,14.6695,78.9521,3.6286,0.5117,1.5494,2.877,0.9717,5.3079,44.312,6.5933,3.3316,30.7513,1.4704,13.4135,17.9164,34.5737,23.7745,22.8883,9.0636,26.3355,0.0
MAR_C19,76.6154,30.5936,0.263,60.0209,0.0911,41.1698,3.7117,0.3868,2.6453,1.139,24.4169,1.3377,0.9049,76.9627,9.5872,4.6416,0.4575,2.1368,0.5049,13.0052,0.0161,3.3713,45.1091,4.9567,119.0846,73.2068,147.6079,28.6263,100.1281,16.4713,2.5041,5.7873,1.6135,9.5453,0.8012,0.0,0.9847,2.5137,7.9316,53.9829,5.7199,9.5175,1.5578,5.4922,0.0
