V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T
SVK_H53,1.6883,0.0792,0.0803,0.2752,0.0511,5.5001,1.2026,0.5855,2.0079,1.1707,1.3234,0.1764,1.6801,1.6041,2.1902,5.8493,1.1419,1.6513,1.8838,5.3208,0.1203,2.3389,3.8202,2.7969,4.5596,47.9684,7.8311,0.0639,0.0251,11.1309,142.6638,2.0689,4.7546,18.9523,3.9792,35.1202,2.7961,14.8268,29.4821,36.1769,3.9861,2.0908,1.2017,3.0818,0.0
SVK_I,0.4313,0.0419,0.0094,0.0191,0.1404,1.9212,0.0848,0.2411,0.2417,0.055,0.4917,0.3608,0.6521,0.5494,0.2368,2.4029,0.601,1.7798,2.5968,2.754,0.0626,3.0663,0.1416,0.5292,9.3234,12.3135,16.2203,0.1241,0.1276,3.4312,0.2314,24.0429,0.426,0.4292,3.2677,2.6646,0.5333,7.103,85.3869,46.9653,15.7353,17.5013,7.1056,9.8,0.0
SVK_J58T60,0.8862,0.0167,0.0141,0.0593,0.0366,10.3677,0.513,0.3516,4.0618,0.6202,0.4563,0.3662,1.39,0.7273,0.7774,1.6269,1.1078,0.9017,1.0873,3.6281,0.1095,2.6046,2.1354,0.4631,4.0831,51.4653,2.0046,0.032,0.0818,3.1009,1.852,1.6849,43.8531,10.9677,16.7701,8.8777,3.4754,69.7844,18.4533,29.0865,34.8105,3.78,14.0396,4.5157,0.0
SVK_J61,2.9142,0.0968,0.0843,0.2511,0.1562,4.8787,1.6251,0.8621,1.8196,0.3643,1.057,0.4417,2.2416,1.0692,1.5597,2.9284,2.8046,2.1989,1.9597,7.6572,0.1726,2.7635,4.5362,2.1422,6.4261,41.6904,5.3511,0.2018,0.1213,4.767,2.3922,5.5428,41.8708,249.0269,48.5435,27.5849,5.5421,11.7351,6.1967,77.7136,10.7509,18.8514,4.5627,7.3182,0.0
SVK_J62_63,6.104,0.5488,0.1105,0.3491,0.1741,17.451,4.4399,1.8796,16.1546,2.5821,3.9192,1.7406,12.1428,5.0139,10.288,13.2869,7.4605,12.9164,10.8095,148.0191,0.7408,10.2839,27.4491,9.599,17.5928,241.2656,25.8215,0.2041,0.3181,10.9461,11.1259,9.4624,73.5305,101.2205,667.3874,148.0491,37.8446,72.5178,66.6525,76.589,28.7663,20.8272,11.9721,6.6856,0.0
SVK_K,25.2968,0.3264,0.4465,1.4008,0.9639,21.7447,4.55,8.6085,8.3659,10.2103,6.4789,1.386,36.4753,7.4533,11.5301,36.1134,4.8275,6.0162,13.3119,36.3071,2.841,20.4046,93.5533,24.5686,48.3792,241.3126,29.4646,0.9143,1.6719,26.6879,1.912,18.0638,4.0589,4.6069,31.6298,1284.9624,733.387,52.7865,99.7602,56.4206,18.547,28.465,6.483,15.8468,0.0
SVK_L,82.6095,0.3599,0.3405,1.8811,0.3871,35.1197,10.4016,4.0134,6.2455,2.5242,8.1779,3.0929,22.6496,5.7726,4.2231,31.9425,6.2143,15.4085,25.5481,38.4042,0.9818,22.0913,28.778,36.9269,35.0975,757.0256,79.6044,2.3185,0.0358,69.3651,4.9167,131.2837,26.4336,84.3262,77.1318,79.7814,295.0024,174.8921,80.6343,86.4133,65.1668,117.2742,23.4121,45.3677,0.0
SVK_M,53.6242,0.771,1.5405,5.6946,2.1818,180.0511,21.5124,11.3497,57.1102,14.5113,47.8572,20.1037,148.495,47.5615,76.5922,89.5706,47.5666,97.5057,89.3747,803.5974,5.999,56.1062,522.7976,47.4122,361.8579,988.4273,75.8411,1.2183,4.8203,53.8529,22.9362,55.4129,89.5226,140.4579,166.5192,185.9743,206.9751,1708.2811,248.7498,113.6703,58.5172,90.2584,40.9018,47.168,0.0
SVK_N,54.3965,0.2676,0.8861,3.8966,1.1022,83.4355,12.833,12.1563,45.119,12.6347,18.8948,6.1062,64.4816,20.0825,37.7951,65.931,37.0661,45.1425,54.4214,289.1146,2.3549,35.2529,221.076,22.7353,140.3767,319.1274,103.6389,1.8262,15.1597,109.8288,23.2551,31.4301,30.3253,52.0741,71.0546,77.5236,117.5428,218.0843,830.9369,77.7786,84.8877,61.5241,19.2403,22.3325,0.0
SVK_O,3.561,0.0883,0.2598,0.6422,0.099,21.5706,5.7415,1.5906,4.5935,4.7979,3.1605,0.3964,2.9771,1.2618,1.1082,3.4748,0.8112,1.9928,3.2554,6.7342,0.3641,1.7732,6.5154,14.4761,8.0341,34.3781,8.8936,1.9025,0.5009,4.7431,0.1532,3.4171,3.0226,0.8797,9.2801,116.6763,7.4411,50.759,14.4105,364.8895,30.367,96.6726,15.947,3.5274,0.0
SVK_P,1.3111,0.0718,0.034,0.0892,0.0406,2.1637,0.8047,1.209,0.8848,0.1992,0.8117,0.2295,2.0489,0.8272,0.9924,1.6145,2.3607,1.9473,1.2378,7.4676,0.341,1.4314,1.5818,0.9375,7.0349,16.8845,1.7486,0.0411,0.2566,1.6801,0.2783,24.9323,1.974,3.4323,15.5535,15.6947,3.6096,24.226,16.3469,29.0204,76.59,18.0592,10.3519,15.841,0.0
SVK_Q,23.7103,0.0685,0.0258,0.0777,0.0303,1.531,0.3821,0.2161,0.4954,0.3085,0.6357,0.1576,1.2899,0.3135,0.3669,0.6164,1.1269,0.8338,0.6805,3.081,0.0488,9.2927,0.9406,0.3634,2.0981,4.3111,1.8016,0.0474,0.3617,0.7538,0.0929,9.9352,0.3225,0.4737,0.753,1.8619,0.9717,5.734,4.8945,21.0902,5.5577,195.6466,9.4227,11.1457,0.0
SVK_R,1.7722,0.533,0.0451,0.161,0.0204,8.7396,0.8121,0.4735,2.2483,0.6152,0.8044,0.283,1.527,1.1342,1.2567,1.7462,1.3617,0.9932,1.2374,6.1687,0.0992,1.5894,2.4352,0.9718,7.1696,50.7396,4.0338,0.0376,0.0516,6.7236,1.6337,2.6807,14.853,4.8605,2.2896,5.8085,187.4359,51.2524,12.5711,16.7515,6.1187,4.2687,552.5748,20.1901,0.0
SVK_S,7.827,0.2856,0.6329,1.6375,0.0953,7.8112,1.9483,2.6536,9.2832,1.1247,1.8546,0.3902,4.6613,2.137,4.1701,6.5665,2.6838,2.3597,21.8039,8.1109,0.4179,3.5471,4.2754,3.2482,15.4194,38.576,17.0597,0.777,0.3278,3.524,5.1552,6.0577,2.8067,2.5188,4.1555,10.156,7.2059,14.8331,15.557,27.2825,6.3716,30.8769,5.8919,41.7542,0.0
SVK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
