V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T
ITA_A01_02,4388.1745,2.0489,8.6087,0.2861,0.2668,19557.7466,476.351,325.3059,225.3876,15.2724,118.5116,49.9868,406.3915,76.4286,132.8212,71.2841,16.251,19.6105,73.9449,29.8571,17.0845,110.662,1086.3628,102.6473,114.0863,2364.2961,85.1214,24.7528,15.5318,165.6206,21.9193,1718.5979,18.972,17.6257,25.2401,41.6116,33.1191,143.0488,756.9788,249.735,56.4511,149.3915,86.4449,142.8738,0.0
ITA_A03,0.9015,10.0149,0.003,0.0002,0.0001,43.1712,0.2012,0.0003,0.004,0.0018,14.8429,0.6981,0.0035,0.0039,0.0035,0.0676,0.0065,0.0102,0.0647,0.0081,0.0034,2.9063,0.0307,2.0906,0.1325,7.3785,0.2472,37.9924,0.0004,7.4438,0.0078,166.2504,2.57,0.0017,0.2741,0.0392,1.728,0.3855,1.3185,4.42,2.5419,6.3285,7.1887,1.2682,0.0
ITA_B05_06,3.7619,0.0588,118.0533,3.6295,0.939,143.8473,10.1352,1.0932,14.426,4086.745,155.6592,39.7628,3.9773,7.3168,462.4495,7.6928,5.0997,4.4592,69.0438,54.9351,17.0126,9.693,1288.0177,9.98,106.4926,48.1117,5.1073,2.1692,1.982,95.3071,4.7209,84.1921,5.7387,2.818,6.7567,21.8234,27.9604,45.5415,26.012,121.8912,3.3691,53.1809,17.769,6.1574,0.0
ITA_B07_08,4.5574,0.0529,0.1248,0.1172,0.1184,10.1228,2.9598,2.2081,15.4501,0.669,5.3992,1.3687,7.1154,112.1759,4.6928,8.4078,2.0229,6.3429,10.0532,12.2563,1.6573,5.8915,1.1902,5.3234,94.5583,39.5807,22.4419,0.4873,0.1842,1.067,0.0335,2.6437,0.3506,0.2335,1.3045,0.8939,3.9336,2.328,2.2216,0.8747,0.5731,0.865,0.6674,2.5637,0.0
ITA_B09,2.5494,0.1403,109.9536,0.8731,4.5629,2.8497,0.4746,0.1602,3.8209,114.8716,7.8674,0.2632,1.144,30.6042,52.8484,6.1119,0.0435,0.3368,2.5445,0.1181,0.1462,0.5607,65.3423,2.1438,101.9791,1.5145,4.1549,0.152,0.2012,3.4714,0.0095,0.3768,0.0149,0.0,0.0175,0.0211,5.7552,3.7881,2.0849,3.7564,0.1189,1.0378,0.257,0.2597,0.0
ITA_C10T12,3174.5909,63.149,0.0045,0.6834,0.1116,26725.48,902.2558,2.9165,58.3255,60.5998,1009.4969,165.3661,7.6501,8.5767,6.0967,3.633,1.3028,1.5898,8.4205,1.3483,0.7134,21.1475,31.8698,33.1253,12.9329,3369.6476,6.5606,433.8843,40.2557,100.5359,2.2279,12482.0806,19.3652,0.485,4.9203,0.7805,104.9849,89.4603,99.1355,44.5173,28.1481,419.1626,167.3819,33.0076,0.0
ITA_C13T15,126.4904,38.9397,6.1695,0.043,0.2635,42.4133,20220.0842,80.3813,272.4746,19.7051,126.4365,46.9661,340.9501,47.2605,63.3992,171.6798,33.4383,51.765,148.8204,668.4223,110.1343,698.873,18.4163,65.1442,197.2404,1143.7488,105.6763,16.2114,13.3826,74.8594,13.1642,101.4435,26.2363,13.8051,23.6746,19.8717,135.5968,175.6991,279.0304,68.3622,31.632,130.1834,231.212,177.3003,0.0
ITA_C16,63.0844,4.3469,3.0085,0.2209,0.2063,374.1631,86.3136,3026.5591,61.0157,9.1338,36.1924,15.3852,101.3864,61.2492,57.6552,342.0037,14.9863,64.4076,194.0703,142.9078,171.903,2724.6142,20.7524,31.3575,1451.1076,406.4696,83.6341,13.7247,12.1047,57.4159,1.8426,57.5333,15.0787,9.3916,18.1935,21.4828,100.9002,154.7973,132.8913,18.0375,4.7001,123.9617,31.5932,148.6936,0.0
ITA_C17_18,70.9776,6.3286,13.3738,0.2783,0.293,869.8075,131.9406,67.7862,7835.8214,35.0017,352.6371,102.5709,275.7668,110.6874,281.5049,315.1353,28.7221,265.4223,358.5952,294.2308,74.9003,272.889,101.129,200.1677,386.3705,1362.0212,443.0268,36.4865,36.5971,582.7992,47.4467,617.6111,1452.5056,540.8159,334.3537,1355.0875,218.696,1956.4468,3119.1317,306.6139,119.6626,304.3222,508.7649,305.4864,0.0
ITA_C19,1016.9526,52.0174,67.3628,12.5877,6.4955,231.3588,146.9177,118.365,82.9359,2886.5124,1798.7294,30.1668,131.5316,774.7988,534.8236,255.6287,60.3392,57.9608,459.7905,86.3484,22.561,294.9021,1336.7446,922.8042,1827.6798,1034.4964,5616.691,1040.5036,1132.36,601.7839,103.5165,54.4033,10.0947,7.4066,29.4351,55.2054,11.5086,111.8024,390.1764,348.645,14.0655,111.749,20.7091,75.3995,0.0
ITA_C20,1055.7798,8.6665,250.158,3.8741,2.9547,729.2856,877.111,183.3803,883.6839,657.9424,8975.3206,1061.408,3919.1526,424.8393,343.032,600.3952,293.8091,605.5236,496.7299,627.1493,338.3421,836.3788,62.6009,159.5964,459.333,1142.795,117.0858,21.2577,18.6739,117.078,15.5107,138.888,112.6013,48.8414,130.0713,64.4116,88.9752,515.6936,380.953,140.3055,59.6047,920.3632,74.2161,344.7201,0.0
ITA_C21,135.2299,0.9362,19.5644,0.2934,0.239,232.8639,109.1788,12.4101,49.5417,42.4174,706.9294,2423.4497,197.1818,24.675,22.0224,43.3368,33.4058,38.8844,55.0227,119.9116,39.1733,95.8782,18.2337,22.4918,60.9721,486.125,20.0883,7.7464,8.014,17.1209,2.2396,67.6098,23.3098,13.6669,26.6862,23.3804,17.3332,248.1478,75.2132,40.7057,14.7775,1964.804,21.3067,27.5555,0.0
ITA_C22,237.8251,12.2703,18.9485,0.7348,1.587,874.8536,1390.8444,107.1727,580.6095,67.3458,627.861,241.0774,4960.7055,488.9401,334.6134,1545.5084,159.8548,906.7477,1963.5966,2402.2726,399.1755,824.436,103.0391,106.8725,2563.2957,1326.3237,1097.7748,38.5878,34.3816,348.1224,20.9367,244.2786,127.5132,199.7635,220.0353,300.6974,160.3222,849.3637,829.7832,94.5064,70.7245,206.3598,111.5469,148.8726,0.0
ITA_C23,281.4783,5.1818,15.0518,4.6675,1.4832,929.0945,113.1712,115.2036,50.2597,40.7005,614.1923,150.3674,239.4441,4385.0024,428.891,482.0503,96.9933,358.1088,336.1919,878.4091,172.4982,325.0546,105.3399,168.8205,5981.1519,1489.8716,72.6881,39.4844,13.7553,89.5755,3.8218,251.971,40.5508,18.6762,79.3336,45.2921,401.6687,287.9845,215.1739,83.101,71.4827,134.5585,69.5067,76.6571,0.0
ITA_C24,26.9076,4.2667,36.1781,0.0916,2.7171,26.5527,17.5109,3.7681,51.4993,7.2024,82.1151,10.6701,266.0073,358.2108,11850.5821,7740.5708,223.3291,2849.0221,3737.4634,2043.8117,599.5027,1553.8038,13.392,66.68,1481.9529,799.4624,65.4002,1.1074,1.7119,64.6156,0.2862,4.7516,1.4297,1.4664,15.6841,11.1786,277.3485,240.8891,118.2414,0.7446,1.1941,0.6561,8.0233,35.5934,0.0
ITA_C25,278.0944,17.5844,65.7324,0.7943,4.3578,456.0055,257.3861,134.6681,248.1642,41.9864,203.5557,96.8448,685.6367,448.8912,838.3086,12132.0812,475.7227,1831.0237,14655.9086,7679.0364,1379.0866,1995.675,273.9918,204.8475,5540.2294,1596.8395,406.8717,314.7774,28.553,380.6324,18.2668,193.9169,72.9834,301.3079,489.8357,154.1645,392.0052,749.973,718.4482,108.1964,43.7315,216.3108,103.4424,124.8542,0.0
ITA_C26,51.0895,6.0076,19.3616,0.2523,0.5327,95.3959,73.117,9.2914,36.5505,16.7844,61.0745,68.7768,86.6123,43.1293,39.7944,152.7306,1099.1919,398.5557,339.4849,392.6048,139.7156,315.1073,186.0381,45.8875,666.3644,285.1131,101.0366,13.8248,20.6563,86.5703,12.996,67.1325,69.3028,209.3657,363.0416,128.4103,77.3014,399.9585,161.4776,160.6732,39.8867,334.7772,144.7847,76.7476,0.0
ITA_C27,100.2158,13.3485,28.7695,0.7305,1.0705,140.607,115.8644,18.0063,65.014,28.206,129.6325,49.2742,161.5878,119.8181,143.227,690.0957,669.9294,4131.0845,1310.8273,1536.4546,235.232,512.9945,225.784,93.9006,1584.9548,616.3188,173.4771,45.5098,50.5473,251.8416,14.6957,168.6587,107.5749,368.6726,246.5051,81.6741,141.9243,521.0408,338.0127,113.6401,27.9145,172.1343,106.804,67.8842,0.0
ITA_C28,262.2677,7.5973,118.8288,3.799,7.2737,479.3077,236.1668,55.6502,270.733,103.0469,190.7671,140.6346,316.2733,222.8836,434.4531,1923.1961,393.9244,753.3285,15144.4171,2585.2436,460.3062,637.2518,227.5522,260.0073,2690.7092,1524.5308,616.4887,178.8127,121.0669,552.9905,60.3234,316.442,249.3001,381.7453,447.7455,255.2056,257.223,1017.6458,791.5634,300.832,84.5777,351.1718,136.952,173.1032,0.0
ITA_C29,75.1648,2.0102,24.0445,2.1694,0.8818,224.4264,147.1349,26.1798,98.7501,51.6402,66.8295,103.7006,261.9726,145.4475,116.3109,580.2274,147.3789,374.4752,1835.7539,3255.4523,298.6798,241.8818,196.8439,203.8637,1420.9322,2903.8768,616.8275,44.3276,58.6193,374.349,57.4313,140.2999,168.2611,306.123,188.7791,159.7551,307.882,597.8159,782.4299,72.0498,18.1117,128.1458,92.8563,92.0535,0.0
ITA_C30,0.0,104.824,0.5754,0.0351,0.0806,0.8412,16.8295,0.8365,3.583,0.6479,2.5276,7.6935,38.0643,40.7207,119.4629,102.7023,57.9249,30.3544,701.0617,795.1395,4269.1682,1092.9546,14.2105,18.1203,57.7692,72.0563,366.9021,107.59,784.5766,181.0782,5.53,2.8918,0.5279,1.395,2.7809,1.8639,2.9339,328.1952,63.7533,65.8616,17.2072,10.7239,6.2394,107.3601,0.0
ITA_C31T33,506.421,17.2758,33.3649,0.9704,3.6763,426.3241,335.067,328.5711,164.9985,93.9925,172.6518,182.8802,305.8443,222.8384,240.4699,935.0395,298.4228,320.4918,1369.4761,730.3587,345.5348,4524.3269,160.1174,294.7741,2559.7152,1100.4885,355.8372,144.6174,144.2827,391.7471,72.7313,244.6459,199.4054,506.6345,272.3667,252.3862,360.5058,644.342,758.7051,620.7311,144.4287,2740.2456,218.4096,187.5159,0.0
