V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T
KHM_K,0.9017,0.0045,0,0.7448,0.1066,9.1875,2.0629,0.1039,0.1219,0.3065,1.9909,0.3131,0.2409,0.0673,0.1551,0.3412,0.0006,0.0012,0.0797,0.0308,0.0217,0.273,1.8304,0.765,4.8618,18.4011,4.7624,1.0384,1.4026,1.6198,0.143,5.0521,0.3062,0.8486,0.3613,8.6631,46.0829,0.8441,0.6718,1.156,1.3733,0.7327,0.334,0.5719,0
KHM_L,0.02,0.0,0,0.0258,0.0066,0.1453,0.0084,0.0435,0.0021,0.0064,0.0021,0.0004,0.0054,0.002,0.0008,0.0029,0.0,0.0,0.0,0.0008,0.0006,0.0018,0.0078,0.0045,0.0156,0.2813,0.0995,0.0113,0.0234,0.0598,0.003,0.2061,0.0044,0.0252,0.0352,0.0522,0.6671,0.0873,0.0383,0.1574,0.0701,0.0152,0.0031,0.0043,0
KHM_M,6.8235,0.0121,0,0.5212,0.1512,9.4536,1.0164,0.0963,0.5141,0.4589,0.1836,0.0704,0.455,0.2326,0.0899,0.2357,0.0001,0.0002,0.0144,0.1056,0.0877,0.1294,0.7312,2.7015,7.6797,21.241,3.3474,0.7005,1.1317,1.4713,0.8223,13.0836,2.6654,8.6734,3.1524,3.2123,39.1735,12.8254,2.2832,10.8473,2.7629,1.2381,2.2141,2.9752,0
KHM_N,3.8797,0.0067,0,0.204,0.0487,5.4256,0.7796,0.0774,0.2584,0.1428,0.0723,0.0179,0.2659,0.1277,0.0825,0.246,0.0,0.0001,0.0056,0.0382,0.0337,0.1033,0.7409,1.6653,3.4422,11.3379,3.7578,1.2407,2.5916,1.3859,0.9576,17.0476,1.3513,5.6624,2.3292,2.0814,24.9861,4.8773,4.4015,5.0701,1.8142,1.0009,1.4737,1.3746,0
KHM_O,0.7541,0.0009,0,0.3446,0.0586,1.0586,0.0364,0.0044,0.0337,0.0001,0.0104,0.0025,0.0117,0.0099,0.0146,0.0263,0.0,0.0,0.0,0.0007,0.0009,0.0889,1.1946,0.3473,0.0684,0.9427,0.7288,0.1336,0.2098,0.2602,0.0184,1.8918,0.151,0.0969,0.4538,0.0293,2.8016,1.3099,0.3753,0.194,0.9939,1.2421,0.1407,0.1614,0
KHM_P,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0012,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.1346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.1214,0.0,0.0,0.2278,0.0468,0.0,0.1932,0.5531,0.1095,0.1819,0
KHM_Q,0.0,0.0,0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0022,0.0008,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.1022,0.0,0.0087,0.0007,0.0001,0.0001,0.0002,0.0,0.0,0.0511,0.0,0.1521,0.0,0.0,0.4334,0.1711,0.0,1.1468,0.6764,0.1455,0.2475,0
KHM_R,1.8735,0.01,0,0.0851,0.0164,1.989,0.0518,0.0055,0.0245,0.005,0.0135,0.0032,0.0231,0.0475,0.0099,0.0236,0.0,0.0,0.0059,0.0185,0.0173,0.0069,0.4144,0.1599,0.654,0.3955,1.0437,0.7139,0.4463,0.6654,0.2919,2.4068,0.82,1.4764,0.1486,0.1688,1.8841,0.463,0.9375,0.8268,0.8264,0.1699,3.1252,0.4941,0
KHM_S,4.2612,0.0971,0,0.2276,0.0614,4.0126,0.1823,0.0292,0.0623,0.0273,0.0517,0.0105,0.0713,0.2402,0.0324,0.0781,0.0,0.0001,0.0183,0.058,0.054,0.1234,2.3975,1.404,1.9625,1.708,4.162,0.7802,1.3917,1.4548,0.6914,6.4691,0.6828,2.8329,0.2745,0.9018,5.1139,1.0138,0.8223,2.304,1.1152,0.7665,0.7934,2.5014,0
KHM_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
