V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T
LVA_A01_02,583.9333,0.4873,0.0016,0.4624,0.0134,309.3295,0.6873,316.4309,0.4099,0.0142,52.7693,0.3081,0.2587,1.4553,0.261,0.9318,0.1875,0.2507,0.6698,0.1557,0.1679,13.7952,25.2027,0.9657,6.6099,19.0469,27.7782,0.1181,1.548,1.5954,0.1268,6.7238,0.1897,0.4838,0.3371,0.1844,3.4674,2.0921,1.6423,6.2152,5.0953,2.9492,1.9674,2.4084,0.0
LVA_A03,3.7852,7.9862,0.0066,1.0256,0.0004,9.3556,0.0145,2.3195,0.1032,0.0007,0.0921,0.0262,0.0141,0.0359,0.0029,0.15,0.005,0.0184,0.0495,0.0255,0.0029,0.2553,0.4353,0.0721,0.2758,1.5515,0.6333,0.0878,0.0855,0.5384,0.0041,1.7868,0.0104,0.0405,0.1268,0.0283,0.1648,1.6713,0.2592,0.1971,0.0647,0.3198,0.0504,0.1132,0.0
LVA_B05_06,0.0517,0.0002,0.0002,0.0096,0.0001,0.0011,0.001,0.0015,0.0055,0.0,0.0002,0.0,0.0,0.0001,0.0003,0.0001,0.0003,0.0,0.0005,0.0003,0.0,0.0004,0.9177,0.0005,0.0043,0.0013,0.0006,0.0,0.0006,0.0005,0.0,0.0001,0.0004,0.0012,0.0029,0.0008,0.0006,0.0007,0.003,0.0515,0.0106,0.0002,0.0001,0.004,0.0
LVA_B07_08,2.9804,2.2683,0.0217,15.4065,0.0561,3.8615,0.1566,0.3739,0.0203,0.0016,0.5979,0.0094,0.0137,33.6852,1.0155,0.5349,0.0456,0.0531,0.4139,0.0064,0.0521,1.2525,62.9156,0.7471,110.118,0.2288,0.5652,0.0002,0.0002,1.732,0.0194,0.0619,1.0486,0.0483,0.0258,0.0048,1.1087,0.1618,6.1268,1.1533,1.1537,0.7054,0.479,0.1432,0.0
LVA_B09,0.0079,0.0006,0.0005,0.0954,0.0017,0.005,0.0001,0.0023,0.0025,0.0013,0.0062,0.0002,0.0006,0.0422,0.0128,0.0041,0.0001,0.0002,0.0004,0.0,0.0,0.0007,0.1334,0.0018,0.2451,0.0028,0.0127,0.0002,0.001,0.0195,0.0,0.0004,0.0,0.0,0.0,0.0,0.0057,0.0045,0.0024,0.0047,0.0002,0.0008,0.0005,0.0003,0.0
LVA_C10T12,22.5304,1.2548,0.0003,0.0505,0.0,185.7397,0.0784,0.0224,0.0408,0.0001,14.3383,0.2978,0.0098,0.241,0.0128,0.0265,0.0573,0.0345,0.0093,0.0347,0.0079,0.0348,0.2351,0.0855,1.1905,7.8826,1.2683,0.007,0.6338,0.365,0.0779,98.4548,0.7659,0.0277,0.5711,0.1036,0.1746,1.4705,1.0699,1.9865,11.1464,4.4032,5.5879,0.6984,0.0
LVA_C13T15,2.0002,0.0369,0.0024,0.3271,0.0003,1.1387,29.4254,0.4493,0.3664,0.0009,1.4229,0.1705,0.2447,0.343,0.025,0.7081,0.0534,0.196,0.6755,0.0625,0.1329,2.0996,0.271,0.3321,1.6217,2.7196,0.5703,0.0042,0.1872,1.5161,0.1614,1.2889,0.0533,0.1156,0.099,0.0174,0.3359,0.1832,1.9827,1.8058,0.5351,0.751,1.5314,1.3358,0.0
LVA_C16,23.5988,0.1156,0.0334,4.1219,0.0181,16.3238,0.3538,594.8084,2.503,0.0089,2.2287,0.223,2.6984,3.5166,0.1261,3.4076,0.8988,0.5386,0.4864,1.587,0.689,49.9552,18.366,1.0099,19.1319,20.6738,3.1065,0.1138,0.4672,3.636,0.0451,0.7782,0.7642,0.2074,0.252,0.1978,28.6601,1.0069,2.4967,1.7657,1.304,1.1199,1.0394,2.6034,0.0
LVA_C17_18,5.8877,0.1199,0.0013,0.2181,0.0009,12.3428,0.3902,4.5585,54.4247,0.0178,0.5655,1.3768,1.6513,2.2651,0.1155,0.7877,0.1012,0.8111,0.6368,0.0371,0.0256,1.904,0.1734,0.697,1.574,14.0841,1.488,0.0396,0.77,2.0669,6.04,1.5984,34.3598,1.3104,3.2397,6.2882,0.4454,6.4731,3.4699,12.7495,6.9642,1.7438,7.411,2.673,0.0
LVA_C19,0.7259,0.0071,0.0002,0.0465,0.0001,0.1104,0.0027,0.0682,0.0016,0.003,0.0542,0.0034,0.0023,0.0591,0.0111,0.0151,0.001,0.0016,0.0033,0.0034,0.0066,0.0842,0.0046,0.0568,0.5156,0.5687,2.0706,0.0102,0.3797,0.2705,0.0102,0.0197,0.0105,0.0145,0.0087,0.007,0.0197,0.1541,0.1176,0.066,0.0212,0.0411,0.0204,0.0226,0.0
LVA_C20,33.3059,0.0414,0.0048,1.0293,0.0087,5.5436,1.5484,15.531,2.0029,0.0474,14.2868,1.6973,3.4698,10.1566,0.6962,2.6516,0.4334,0.694,0.489,0.3664,0.1023,2.0727,4.1499,5.0931,6.2641,6.5127,1.6295,0.1466,0.4329,1.103,0.0418,1.9828,0.1105,0.1728,0.0827,0.1276,2.4746,1.0272,3.2407,0.62,0.6922,0.7936,0.7626,1.3799,0.0
LVA_C21,2.5933,0.015,0.0005,0.4477,0.0051,0.7558,0.3612,1.1772,0.1471,0.0191,0.7275,2.4422,0.2055,0.6834,0.0686,0.3453,0.2742,0.0668,0.0587,0.1575,0.054,0.1783,0.2564,0.2399,1.039,0.8923,0.2367,0.0073,0.047,0.0918,0.0055,0.3909,0.0343,0.0163,0.0788,0.0404,0.1619,0.8951,0.5149,0.7877,0.5959,18.4214,0.3415,0.088,0.0
LVA_C22,4.1852,0.0827,0.0194,3.0408,0.0047,17.273,0.4091,2.8825,4.5769,0.0161,1.5824,0.3202,18.6538,0.743,0.4665,0.8059,0.7379,1.0153,2.0155,0.2885,0.329,1.9203,0.3598,0.3536,19.5676,10.0642,4.53,0.0096,1.706,1.6886,0.4083,1.3024,0.1353,0.0394,3.0314,0.4668,2.5466,0.2594,1.7043,0.5018,0.9636,0.2868,0.3799,0.2733,0.0
LVA_C23,1.8758,0.2214,0.004,1.7431,0.0066,13.5124,3.4596,2.0431,0.2704,0.0261,0.7725,0.1843,0.8581,13.8531,1.719,4.8143,3.335,2.2235,0.6088,0.2208,0.2736,1.4272,5.391,3.1099,279.4366,3.9412,1.9003,0.0166,0.4668,2.1538,0.1551,2.0314,0.1789,0.0703,0.1206,0.6434,10.55,1.2596,1.3955,0.9127,0.9376,1.1803,0.7293,0.4435,0.0
LVA_C24,0.0832,0.012,0.0005,0.055,0.0009,4.2091,0.0505,0.4402,0.0661,0.0009,0.0147,0.1166,0.2885,2.2835,10.4105,33.9071,1.0649,1.3612,7.5364,9.1152,3.1224,2.3777,0.0677,0.0502,14.638,3.944,2.4533,0.0001,0.0025,0.3971,0.0263,0.0066,0.0796,0.0977,0.2425,0.1706,0.3489,0.1496,0.3108,0.0095,0.0561,0.0399,0.0112,0.0253,0.0
LVA_C25,6.6919,0.2941,0.0026,0.4795,0.0024,18.5225,0.4804,6.5226,0.7999,0.0028,0.2664,0.2209,0.6407,15.3438,4.139,33.0143,3.3701,3.3889,15.4764,8.3675,3.846,12.67,1.2586,1.3798,161.4378,6.7087,6.5038,0.0746,1.2054,10.3836,0.0452,0.7618,0.1053,0.1524,0.2615,0.2981,6.7373,4.6325,4.6981,4.29,1.0286,1.243,2.2805,0.9987,0.0
LVA_C26,0.2278,0.0039,0.0,0.0077,0.0001,0.0883,0.026,0.0429,0.1119,0.0004,0.0148,0.0222,0.0106,0.0236,0.0072,0.0209,11.5078,0.9813,0.0598,0.0299,0.2702,0.5054,0.1395,0.0361,2.7203,2.6398,0.4208,0.0079,0.1214,0.3274,0.0874,0.1201,0.3792,1.2049,3.6312,0.2359,1.1503,0.9111,1.0375,2.0635,0.4744,0.2464,0.4231,1.4847,0.0
LVA_C27,0.4719,0.0221,0.0003,0.0562,0.0007,0.3403,0.0577,0.1999,0.0558,0.0007,0.0535,0.1069,0.0703,0.0555,0.0177,0.1295,1.6417,14.1201,0.4973,0.0738,0.2039,2.8609,0.7702,0.4117,10.7964,1.1404,1.1974,0.0208,0.3345,0.5243,0.0168,0.1627,0.1378,0.1165,0.8964,0.221,0.6761,1.4362,1.7212,0.3936,0.3763,0.2627,0.5041,0.2637,0.0
LVA_C28,2.1225,0.073,0.001,0.2105,0.0024,0.8343,0.04,1.1637,0.1122,0.0012,0.0557,0.0309,0.3434,0.6127,0.1069,0.9614,0.5174,0.1969,1.4655,0.3844,0.5339,1.8026,0.3333,0.2322,6.7243,2.4649,1.4486,0.0373,0.1738,0.7161,0.041,0.0773,0.0412,0.379,0.1171,0.0443,0.8133,0.4793,0.9843,0.8338,0.0787,0.1792,0.134,0.0705,0.0
LVA_C29,1.2533,0.0235,0.0002,0.0526,0.0004,0.4096,0.094,0.3155,0.0203,0.0004,0.019,0.0464,0.0361,0.1491,0.0302,0.2426,0.0506,0.0366,0.2145,1.5834,0.1212,0.3446,0.1347,0.4256,2.714,10.2045,7.2127,0.005,0.0339,0.5171,0.0168,0.0398,0.014,0.0424,0.1278,0.0457,0.2701,0.3505,1.4585,0.404,0.1165,0.2271,0.1229,0.0698,0.0
LVA_C30,0.3909,0.0923,0.0002,0.0197,0.0001,0.0097,0.0012,0.0625,0.001,0.0001,0.0031,0.0033,0.0054,0.0817,0.062,0.0418,0.0232,0.0303,0.0138,0.0114,2.4018,2.7445,0.0385,0.0077,0.2926,0.2823,3.059,0.0073,2.3814,0.9648,0.0051,0.0024,0.0295,0.023,0.0146,0.0161,0.0286,0.367,0.2811,0.0137,0.0823,0.0065,0.0209,0.02,0.0
LVA_C31T33,49.553,0.509,0.0087,1.4173,0.0245,12.2052,1.0736,7.6825,2.0654,0.0436,1.6003,0.5191,1.1523,1.8557,0.1416,4.9471,1.7044,0.9424,2.8956,0.7046,0.2078,18.8511,17.3325,3.8468,16.4832,31.5708,28.0786,5.5572,5.7413,9.2776,0.3017,7.3491,1.1222,2.2953,7.3286,1.3662,7.3161,5.7203,13.7372,7.0312,3.7336,17.6037,3.575,2.458,0.0
LVA_D,56.1769,2.1232,0.017,3.5424,0.0142,68.2573,4.917,73.231,8.8231,0.0286,14.5523,7.3205,4.7103,39.9248,7.0341,11.5496,2.5865,4.9373,5.7879,2.061,4.2664,15.9575,546.5837,16.4266,46.2959,113.1034,34.6318,0.2894,1.0336,46.6344,1.3728,29.2948,2.2527,23.7953,4.889,5.1019,86.1981,6.0929,7.1176,30.2343,41.3182,36.437,26.0085,7.2216,0.0
LVA_E,4.4481,0.4442,0.0025,0.9361,0.0059,15.2289,1.1798,2.888,1.0232,0.0102,2.6352,0.5397,0.7184,3.96,36.5611,21.117,0.1674,0.2243,1.4538,2.807,0.4424,4.5904,8.8412,50.1702,15.0192,18.2321,2.6737,0.0693,0.2636,6.0561,0.2763,3.0823,0.2355,0.2984,0.2893,0.957,7.7639,1.4938,5.5111,5.8281,5.5847,6.0851,3.0108,1.653,0.0
LVA_F,17.697,0.1654,0.0087,2.2643,0.0153,5.4686,0.2975,5.0302,0.3641,0.019,0.3896,0.2648,0.662,6.7612,0.4876,12.0908,0.874,2.5944,1.2992,0.5088,1.1979,11.0663,47.2533,15.2808,2014.7009,25.9431,177.7496,0.5775,4.1384,39.6853,0.2605,4.4585,0.3898,2.8903,2.4179,2.0782,178.9397,23.2876,21.6911,121.6271,62.107,15.6375,15.4997,18.4297,0.0
LVA_G,276.0281,5.5201,0.058,17.0952,0.0748,225.3986,31.3309,209.307,31.4748,0.3966,42.6622,13.5132,17.718,49.3972,10.4327,39.7116,20.3062,13.3697,14.7414,10.0863,6.2598,43.7452,97.3512,16.7926,352.979,187.0691,191.7287,2.3407,30.1228,73.6447,3.3897,65.3223,13.0724,11.0743,14.5106,8.4177,32.367,85.5666,49.6262,26.452,20.981,38.582,17.4452,10.0024,0.0
LVA_H49,41.1404,1.708,0.0463,12.9159,0.0646,49.4017,2.5866,51.9727,7.283,0.0878,7.9581,0.9531,3.0482,19.8804,2.835,12.4271,5.7191,3.5962,3.0943,3.3535,2.3931,9.4975,27.6579,4.562,99.6627,121.9451,160.3645,0.8658,13.6281,112.5757,4.1441,5.9937,2.2488,0.9517,1.7399,0.679,3.4929,5.9141,27.0927,16.1828,9.4009,4.6497,6.8395,1.8039,0.0
LVA_H50,1.8278,0.0918,0.014,3.89,0.0355,2.1362,0.3256,14.0587,0.3558,0.2397,1.2081,0.1523,0.2488,1.3249,0.2642,0.63,0.2252,0.23,0.2478,0.1436,0.1049,0.5258,1.6984,0.2685,3.3049,23.5971,11.1181,4.3315,1.4751,3.5896,0.0569,0.4197,0.0723,0.0676,0.1138,0.0743,0.1936,0.4514,4.3718,0.3225,0.1911,0.4071,0.1767,0.1331,0.0
LVA_H51,2.8914,0.08,0.0011,0.3462,0.0013,2.3264,0.3711,1.6908,0.4527,0.0077,0.5173,0.0126,0.3374,0.8475,0.2281,0.8445,0.5171,0.1806,0.1675,0.1844,0.1204,0.5709,3.0288,0.2096,3.5121,1.4097,3.0444,0.0338,0.4719,0.3024,0.3987,0.5162,0.0702,0.0515,0.0534,0.0995,0.3732,0.2253,0.4712,0.1877,0.1509,0.4103,0.0826,0.106,0.0
