V1,ROW_A01_02,ROW_A03,ROW_B05_06,ROW_B07_08,ROW_B09,ROW_C10T12,ROW_C13T15,ROW_C16,ROW_C17_18,ROW_C19,ROW_C20,ROW_C21,ROW_C22,ROW_C23,ROW_C24,ROW_C25,ROW_C26,ROW_C27,ROW_C28,ROW_C29,ROW_C30,ROW_C31T33,ROW_D,ROW_E,ROW_F,ROW_G,ROW_H49,ROW_H50,ROW_H51,ROW_H52,ROW_H53,ROW_I,ROW_J58T60,ROW_J61,ROW_J62_63,ROW_K,ROW_L,ROW_M,ROW_N,ROW_O,ROW_P,ROW_Q,ROW_R,ROW_S,ROW_T
ROW_J58T60,158.9405,23.4017,329.3794,98.9028,48.1844,788.623,194.0247,42.6185,310.3651,131.4028,252.543,145.6665,62.3544,153.3472,86.6338,79.3027,96.8935,113.5892,78.7215,64.7682,20.7565,121.263,213.1562,99.0216,468.4691,3231.9721,311.8318,65.3063,205.7811,176.529,90.9753,561.9709,9532.2852,2112.825,553.777,1500.7823,347.6088,3356.8066,672.1864,2535.9329,3247.2562,493.832,885.9411,640.5881,0.0
ROW_J61,695.1125,98.4921,1593.6051,230.4865,258.7858,554.1412,311.2921,59.6089,163.9903,204.7109,327.7763,138.4537,113.7675,219.0494,167.3951,259.8035,249.3393,156.3607,204.2863,103.4193,49.1816,198.8345,1119.6207,207.9509,1432.9126,9637.0107,982.1129,282.1297,305.7647,565.2329,260.9409,763.7094,1309.5093,18948.7355,877.5422,4396.0743,937.9408,1978.5278,1195.0398,5046.4635,2084.1984,1501.4725,600.7415,1240.5541,0.0
ROW_J62_63,138.0749,26.2618,495.571,96.4851,52.867,396.7771,158.7035,24.8505,92.9775,140.7862,183.2359,120.8192,50.0791,103.0073,84.7231,70.6508,178.7638,93.2215,86.8868,64.9204,17.6793,90.8253,349.51,128.1014,450.7254,2409.6056,378.413,72.2911,226.5186,203.0821,104.1888,242.0821,818.2131,1755.2828,2422.3407,3020.6308,239.7385,1053.1974,471.3896,2386.8422,963.0313,416.4496,238.9839,431.4207,0.0
ROW_K,3989.3143,478.3464,8242.1641,1036.2321,600.0115,3338.8138,2075.628,349.2088,685.6752,1588.1073,1502.1384,564.4889,559.293,1026.6727,1553.572,717.4182,566.4352,478.0252,713.3433,652.2502,170.7423,767.7084,2628.9978,667.2532,8360.1233,18609.5318,6571.6394,1247.2132,1662.6493,1448.4703,272.682,2102.4801,973.3252,2390.2392,820.289,39745.8838,23902.7262,3649.7211,2321.9399,8303.2632,2695.787,2087.3886,848.4096,1965.6244,0.0
ROW_L,623.4371,67.0721,1538.7541,284.2445,262.3469,1069.3869,704.6591,159.4782,270.578,207.6815,460.5176,202.2212,211.0398,332.6406,393.8516,378.5485,228.7492,165.8472,278.8018,173.6114,68.4918,460.7559,584.1889,247.9678,2167.101,31084.651,953.4773,181.2615,318.6149,1213.6066,277.3692,4564.6226,902.7896,1942.1737,680.1734,5085.8014,10020.2737,3681.9315,1755.7849,4184.8711,3900.5221,1756.0351,1281.4716,4625.1023,0.0
ROW_M,2296.3481,203.7448,5164.6964,977.1391,660.183,3739.476,1205.1466,165.3839,513.0821,939.4073,1288.8249,1152.2963,417.1423,728.1123,698.6838,462.5526,692.0405,441.8443,603.125,525.9084,144.4186,628.9002,1580.2174,659.6231,9877.424,11685.9444,1557.0987,429.1087,574.5969,982.3245,254.0581,1687.3746,2210.3245,3733.7467,1629.5383,8732.2871,2781.6511,10052.4373,2464.9389,6661.5787,3402.4124,2030.7341,1199.5962,2458.839,0.0
ROW_N,1245.4988,176.8544,3881.7079,835.6815,700.8649,2212.0661,716.9466,129.0567,379.623,581.7507,622.2488,509.2148,310.4205,513.074,502.5089,341.7326,433.5214,272.1669,397.8088,332.4568,82.9735,457.3471,1286.6195,592.1106,4251.2264,7486.8254,2275.2678,857.5139,1496.3248,1502.7854,436.5845,1987.3497,1195.2292,3463.4753,1056.4229,4010.3484,2096.5954,3147.8976,4239.6291,4993.2423,3101.4931,2271.9675,1033.9471,1737.792,0.0
ROW_O,742.8562,202.4351,2338.4681,403.4935,188.077,1143.3922,339.2308,73.7057,211.4957,557.4597,811.8214,253.1834,184.2555,244.231,541.5262,167.6722,284.4397,119.5874,443.1082,231.8994,54.3875,283.6538,3649.629,1119.1926,3062.0274,3797.8409,2275.5655,459.8093,793.9845,1042.1883,286.0797,760.1746,557.7074,1846.1647,429.6539,2119.7523,1625.9103,2704.4326,1052.2295,44630.8593,5250.4948,3803.767,600.4462,817.3484,0.0
ROW_P,281.2737,89.3624,1445.6699,330.1751,91.8508,378.4347,113.9037,49.1535,191.6331,209.5076,328.7823,192.6468,78.9796,315.8998,223.9868,150.6683,119.1013,145.304,143.9782,138.9567,30.0852,124.4535,1159.6914,165.4947,739.846,2792.7377,365.2156,144.3233,444.9203,246.5435,53.3743,247.6623,315.8304,646.9537,368.3534,2873.0377,236.8325,1504.7899,588.261,7502.5643,14447.5489,1094.0307,804.7248,830.3649,0.0
ROW_Q,286.5052,33.8087,1417.0271,158.5874,24.2347,244.7599,81.1018,25.2365,36.3633,138.6014,421.5555,82.5432,33.8354,74.6894,899.1362,89.6623,43.2036,66.6437,181.6559,58.9569,19.002,61.0917,149.6776,72.1211,389.3438,508.0565,502.1237,37.6334,73.6577,110.5457,37.7418,185.9196,69.6652,112.663,70.2982,4452.5171,75.0472,406.5561,252.3808,2965.3282,1557.6126,23467.9466,172.2716,1558.7772,0.0
ROW_R,106.4724,38.668,228.063,21.5869,11.6288,187.1203,37.9643,8.6799,25.6023,34.2762,71.3617,21.9196,13.9256,27.1562,48.2192,33.9524,17.7665,20.2893,34.3092,19.649,5.0172,24.6543,646.1328,60.5471,172.9945,750.4282,201.55,75.3913,57.0597,163.8814,15.2608,338.3941,936.4169,222.5569,62.5863,325.9594,111.5728,576.5302,241.3918,1302.0491,1885.1751,228.6359,3965.1343,523.2296,0.0
ROW_S,1722.2122,486.6411,484.5465,176.2517,65.0762,504.6438,750.9614,34.3144,102.4872,272.8129,384.0825,147.6291,88.8564,264.0675,263.8508,98.0894,102.3109,104.7986,91.2996,61.1539,28.0819,309.3361,761.6606,200.7761,708.6288,3003.3672,2341.6311,418.7639,657.4496,474.3359,48.7744,1023.3902,524.0655,769.2084,528.1079,1092.2504,670.9399,985.5518,885.2341,2054.9361,1270.6909,1443.6957,426.9233,8659.6865,0.0
ROW_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
