V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T
MLT_C24,0.0,0.0,0.0,0.0001,0.0007,0.0175,0.0002,0.0,0.0011,0.0,0.0004,0.0238,0.0009,0.0134,0.0001,0.1202,0.4418,0.0116,0.0145,0.0039,0.0003,0.0106,0.0252,0.0068,0.0227,0.0048,0.0,0.0006,0.0,0.0016,0.0,0.0001,0.0,0.0002,0.0011,0.015,0.001,0.0028,0.0008,0.0,0.0002,0.0003,0.0005,0.0003,0.0
MLT_C25,0.2019,0.292,0.0832,0.219,0.1443,3.6744,0.0279,0.0189,0.2283,0.0146,0.112,0.2556,0.8019,1.1835,0.0013,12.2024,27.0538,0.3186,1.3674,0.0642,0.381,5.1285,0.268,0.2976,25.9851,0.8099,0.107,0.1078,2.2337,1.5113,0.1572,0.3497,0.1338,0.1631,0.6647,1.1966,0.3553,0.6388,0.2408,0.6142,0.097,0.2489,0.3267,0.1937,0.0
MLT_C26,0.0032,0.0196,0.0069,0.0217,0.0235,0.0247,0.0019,0.001,1.2143,0.0,0.0213,0.0147,0.0313,0.0108,0.0,0.0251,87.7981,1.3043,0.6275,0.0067,2.23,0.4827,1.3719,0.0461,1.9311,0.0946,0.0211,0.0241,2.9229,0.1612,0.2011,0.0577,0.2729,24.7605,34.6917,4.1694,0.2758,1.8605,0.2376,0.3221,0.0479,0.2459,0.0588,1.7763,0.0
MLT_C27,0.0137,0.0693,0.0415,0.1281,0.0533,0.1137,0.0202,0.0029,0.1249,0.0004,0.0155,0.0514,0.0951,0.0567,0.0006,0.1188,0.2849,3.1285,0.9101,0.0073,0.4763,0.7093,0.5924,0.1022,4.1897,0.3269,0.0664,0.1748,0.5389,0.0893,0.0429,0.16,0.0834,0.2522,2.4319,1.0584,0.104,0.1518,0.2732,0.0296,0.0125,0.0507,0.0458,0.241,0.0
MLT_C28,0.0012,0.0884,0.078,0.2404,0.088,0.0133,0.0146,0.0029,0.1484,0.0001,0.0158,0.0013,0.0266,0.0116,0.0002,0.0522,0.0424,0.0425,1.1816,0.0024,0.7729,0.7729,0.1266,0.1432,2.6538,0.15,0.0273,0.2957,0.6703,0.0524,0.0548,0.0035,0.0231,0.0226,0.0459,0.0878,0.0106,0.0399,0.0082,0.0243,0.0035,0.018,0.0153,0.0544,0.0
MLT_C29,0.0008,0.0008,0.0,0.0001,0.0007,0.0013,0.0001,0.0,0.0021,0.0,0.0001,0.0002,0.0001,0.0008,0.0,0.001,0.0008,0.0005,0.0001,0.0071,0.0015,0.0122,0.0184,0.0005,0.0661,0.3194,0.1243,0.0397,0.1156,0.0126,0.0994,0.0016,0.0008,0.0007,0.0002,0.1422,0.004,0.0084,0.0193,0.0278,0.0038,0.0087,0.012,0.001,0.0
MLT_C30,0.0014,2.7521,0.0404,0.0094,0.0017,0.0182,0.0011,0.0002,0.0137,0.0,0.0017,0.0098,0.0149,0.0156,0.0,0.0066,0.0017,0.0026,0.0125,0.0,16.451,8.5911,0.0011,0.0216,0.0338,0.0633,0.0377,0.0251,4.5438,1.6553,0.0132,2.2347,0.0046,0.0131,0.0301,0.8464,0.0038,0.0223,0.4971,0.3551,0.0229,0.0261,0.7166,0.0068,0.0
MLT_C31T33,4.8816,0.094,0.3478,0.5487,0.3327,2.8198,0.1623,0.1132,1.7932,0.006,0.192,1.8191,0.795,0.8214,0.0002,1.3698,2.3032,0.1999,0.3841,0.0482,2.3457,18.4729,1.8872,2.0528,9.5808,5.3573,2.2256,3.2993,10.4979,2.8205,3.4864,2.3034,0.4189,0.9326,4.2608,5.8525,0.7222,2.1473,1.8803,0.573,0.2131,12.653,22.4993,0.7323,0.0
MLT_D,1.2316,0.327,0.0206,0.1667,0.3596,7.7209,2.9004,0.0755,3.4134,0.001,1.4562,3.6323,4.5218,1.9849,0.0039,1.2992,43.5318,0.3142,0.6812,0.0567,0.4421,6.9223,306.7517,20.2978,4.5268,18.2567,0.8922,0.5609,1.6208,5.1543,3.2982,30.8291,1.9232,4.5399,39.859,35.7797,3.2375,8.266,3.0211,6.4309,7.4489,23.4461,6.0723,1.6485,0.0
MLT_E,0.5332,0.6676,0.0592,0.1546,0.1063,1.9209,0.1339,0.0147,1.3316,0.0012,0.1726,1.3142,0.5808,2.139,0.0137,0.3982,0.0401,0.1392,0.0932,0.0094,1.6609,1.3277,0.4669,38.7981,1.8252,3.4968,0.4781,0.3875,0.9582,0.8119,1.1442,4.4818,0.4037,1.2506,3.0893,10.4819,0.3487,2.8095,7.4334,18.027,2.4031,12.6233,3.2787,1.0066,0.0
