V1,IND_A01_02,IND_A03,IND_B05_06,IND_B07_08,IND_B09,IND_C10T12,IND_C13T15,IND_C16,IND_C17_18,IND_C19,IND_C20,IND_C21,IND_C22,IND_C23,IND_C24,IND_C25,IND_C26,IND_C27,IND_C28,IND_C29,IND_C30,IND_C31T33,IND_D,IND_E,IND_F,IND_G,IND_H49,IND_H50,IND_H51,IND_H52,IND_H53,IND_I,IND_J58T60,IND_J61,IND_J62_63,IND_K,IND_L,IND_M,IND_N,IND_O,IND_P,IND_Q,IND_R,IND_S,IND_T
IND_A01_02,40465.5337,1293.0219,0.0,0.0,0.9363,98829.1123,14856.0917,1891.9176,478.1417,0.2054,8840.7996,371.737,2596.3273,84.2948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.8157,1189.7962,0.0,21426.3676,0.0,3668.0024,0.0001,0.0,0.0,0.0,27748.768,27.1395,0.0,0.0,0.0,0.0,0.0,0.0,14366.5664,0.0,0.0,0.0,0.0,0.0
IND_A03,0.0,574.7564,0.0,0.0,0.0023,3284.4902,0.0,0.0,0.0,0.0,0.0,1608.4506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_B05_06,0.0,0.0,12.6226,10.1037,60.1794,157.4964,863.9586,8.8586,430.8629,25652.8647,451.95,53.8096,83.1783,4029.0012,7253.7958,16.7507,0.1464,2.978,54.6825,4.5961,2.5111,9.8463,6383.294,365.4612,0.0,0.0,202.6602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_B07_08,0.0,187.0735,92.3077,23.0662,19.3283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.1688,9923.9551,2133.8228,0.0,0.0,0.0,0.0,0.0,72.7276,0.0,0.0,1463.3319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_B09,186.0415,28.619,2967.863,863.648,993.2887,38.4553,5.8933,1.6121,31.6605,2506.1518,153.3686,6.2819,12.1509,595.8348,1425.7884,34.2064,0.4924,3.5846,13.2711,1.8652,1.7996,6.2425,719.5661,18.0734,1992.1146,10.8978,78.221,0.1702,1.8423,16.9491,0.039,2.167,0.118,0.0,0.3615,0.086,78.555,2.8556,27.5839,27.4727,1.0495,7.4014,0.5612,3.9191,0.0
IND_C10T12,3920.768,21.6958,328.1163,169.4411,14.4482,12243.4785,1776.4624,54.5817,163.5566,261.3284,4328.0644,881.855,1110.5945,160.7132,461.8668,45.1415,57.0582,189.8776,136.0992,205.0066,57.7839,748.3528,13.5929,20.269,792.9548,213.249,54.247,0.8723,14.8395,31.5112,2.5062,1172.5782,40.9951,73.8211,12.6725,74.9314,35.1143,4.6263,34.4638,6084.7281,7.9406,483.3687,3.449,79.4621,0.0
IND_C13T15,849.9499,19.5118,613.8723,276.2423,23.3636,382.7635,31438.7228,131.8938,250.2348,337.0251,4067.6435,869.6521,2061.1231,292.6585,584.3569,89.388,132.7263,298.5936,438.0796,1031.4744,252.5666,1456.7282,459.5011,52.6654,1383.634,371.8495,1342.9721,26.5996,409.7607,239.1603,8.8225,6.2253,67.7144,85.899,33.8637,29.9048,101.7623,14.4994,170.9595,138.7296,31.7656,144.3513,8.4035,277.5467,0.0
IND_C16,437.3756,17.2901,610.9055,12.3876,5.8737,56.0971,114.7221,1677.0144,438.4158,19.659,80.1681,14.8366,29.144,37.1306,85.6014,71.4235,18.8682,25.3816,87.7359,163.3557,75.3099,2354.3295,45.272,6.1472,829.0042,1073.6435,79.6592,1.0245,13.2886,12.0764,1.3387,3.5742,16.8866,26.0849,9.7001,14.657,21.2901,29.1764,333.5727,14.4638,8.1221,10.0883,1.4874,25.4547,0.0
IND_C17_18,461.7469,18.1274,41.8189,82.6964,13.3859,161.363,208.1649,131.6047,5879.5948,381.8636,124.7581,386.572,122.4118,75.694,216.5928,30.2386,143.9241,37.6693,261.9206,41.7304,19.838,137.5999,1168.3735,36.9751,186.6116,420.8342,1924.6582,25.5334,323.4013,445.2782,62.1048,7.2479,2146.9024,540.4392,201.7805,1012.9926,371.323,149.7295,973.3233,71.8246,879.8231,64.0381,40.9438,518.1145,0.0
IND_C19,4258.1113,37.1258,1208.0246,677.7687,133.0374,1074.8694,3549.9956,100.9297,384.6756,3730.5657,4905.0179,1121.6576,1966.0538,1172.7037,6783.6712,231.374,159.8241,489.7567,1819.7234,603.1028,179.8987,1288.9639,6244.5339,789.174,4895.2168,4912.3271,14624.2532,38.6435,505.6826,1748.8512,361.079,156.692,179.4866,2691.5455,283.3316,623.7353,3243.118,413.4436,6079.1644,29.0719,256.1414,32.6303,58.1804,1942.5591,0.0
IND_C20,3460.0499,28.8349,1911.6995,1046.9735,67.609,1588.1564,10946.6023,312.7725,1031.0628,1627.0919,19122.5201,4022.5542,6799.8172,1167.3351,2556.6087,312.7607,496.9296,1149.1027,971.5709,3656.3338,818.8208,4710.3414,44.8733,218.5219,5151.077,970.9021,551.428,1.3082,17.6455,105.4821,1.2659,17.4584,245.3308,39.362,19.7587,22.5963,48.348,3.6619,53.7642,63.4659,20.7925,968.3719,5.6044,560.1557,0.0
