V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T
CYP_A01_02,76.1238,0.0658,0.0025,0.0114,0.0001,255.7308,0.0054,0.0387,0.0168,0.0022,0.0785,0.1956,0.0306,0.0137,0.0038,0.0095,0.0013,0.0024,0.0161,0.0009,0.0004,0.0583,0.0732,0.0872,5.4897,0.6303,0.0047,0.001,0.0007,0.3817,0.0116,5.2258,0.0475,0.0342,0.0067,0.4094,0.9523,0.6347,0.2422,3.1623,0.314,2.7845,0.1788,0.2587,0.0
CYP_A03,0.0,0.4042,0.0,0.0,0.0,7.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7471,0.0111,0.0082,0.0,0.0,0.0,0.0,0.0,0.3504,0.0004,1.1813,0.0356,0.0147,0.0
CYP_B05_06,0.0055,0.0,0.018,0.0268,0.0002,0.0082,0.0,0.0,0.0,0.0194,0.0553,0.0421,0.0,0.3231,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8974,0.0,0.4627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0479,0.0,0.0,0.0237,0.0,0.0,0.0,0.0,0.0
CYP_B07_08,0.184,0.0,0.1143,1.1359,0.0044,0.1632,0.0,0.0,0.0,0.6242,1.8512,1.404,0.0,7.3736,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0725,0.0,0.0,0.7897,0.0,0.0,0.0,0.0,0.0
CYP_B09,0.004,0.0004,0.0229,0.0524,0.0007,0.0033,0.0,0.0001,0.0011,0.0027,0.0013,0.0003,0.0003,0.0272,0.0049,0.0016,0.0,0.0,0.0001,0.0,0.0,0.0002,0.2252,0.0017,0.0737,0.0018,0.0023,0.0026,0.0,0.018,0.0,0.0009,0.0,0.0,0.0,0.0,0.0026,0.002,0.0011,0.0038,0.0001,0.001,0.0003,0.0003,0.0
CYP_C10T12,57.8237,0.0569,0.0012,0.0048,0.0001,135.7817,0.028,0.0116,0.0258,0.0002,0.8381,0.726,0.0111,0.0102,0.0035,0.0197,0.0005,0.0338,0.0057,0.0035,0.0061,0.4342,0.0455,0.0378,0.1394,1.8006,0.335,0.8103,0.0056,0.0706,0.0291,143.8132,0.5854,0.319,0.041,0.115,0.7354,0.3116,0.0583,3.8939,2.5278,15.1465,3.7026,1.1595,0.0
CYP_C13T15,0.0969,0.0046,0.0016,0.0079,0.0,0.3182,1.175,0.1225,0.1023,0.0007,0.0047,0.009,0.006,0.022,0.0112,0.0737,0.0076,0.0174,0.0073,0.0144,0.0003,0.2385,0.0135,0.0146,0.4316,0.2091,0.0056,0.0373,0.0013,0.0584,0.0012,1.8114,0.0526,0.0082,0.0021,0.0513,0.1434,0.0477,0.0198,0.1771,0.0148,0.6711,0.0679,0.0691,0.0
CYP_C16,0.3407,0.0074,0.0019,0.0154,0.0,7.5246,0.0917,17.4633,0.0146,0.0006,0.2606,0.0099,0.0119,0.193,0.0114,0.214,0.0089,0.0139,0.0423,0.0902,0.0362,2.3591,0.6747,0.0181,17.8958,7.6386,0.0093,0.454,0.0047,2.1796,0.0095,13.6236,0.5253,0.2379,0.0137,0.0838,3.157,0.8408,0.0936,0.5585,0.1478,1.1589,1.0296,0.0275,0.0
CYP_C17_18,0.0808,0.937,0.006,0.0282,0.0001,3.5436,0.1228,0.0932,12.67,0.0015,0.1491,4.4711,2.4789,0.2482,0.0497,0.1862,0.0221,0.155,0.087,0.1047,0.0023,0.2768,0.3124,0.9715,1.4088,12.3617,0.4192,0.662,0.0247,2.2466,1.6441,2.1026,4.2409,2.1221,1.0139,4.4713,1.9725,10.811,2.512,1.0775,2.6876,1.7621,2.109,2.0549,0.0
CYP_C19,0.0323,0.0018,0.0014,0.0086,0.0,0.0437,0.0014,0.0032,0.0032,0.0013,0.0121,0.0044,0.0241,0.0443,0.0016,0.0067,0.0005,0.0004,0.0011,0.0002,0.0,0.0038,1.6306,0.0162,0.0444,0.1288,0.1077,0.0089,0.0007,0.0208,0.009,0.0444,0.003,0.0032,0.0013,0.0417,0.0103,0.0196,0.0188,0.0504,0.0165,0.0335,0.007,0.013,0.0
