V1,AUT_A01_02,AUT_A03,AUT_B05_06,AUT_B07_08,AUT_B09,AUT_C10T12,AUT_C13T15,AUT_C16,AUT_C17_18,AUT_C19,AUT_C20,AUT_C21,AUT_C22,AUT_C23,AUT_C24,AUT_C25,AUT_C26,AUT_C27,AUT_C28,AUT_C29,AUT_C30,AUT_C31T33,AUT_D,AUT_E,AUT_F,AUT_G,AUT_H49,AUT_H50,AUT_H51,AUT_H52,AUT_H53,AUT_I,AUT_J58T60,AUT_J61,AUT_J62_63,AUT_K,AUT_L,AUT_M,AUT_N,AUT_O,AUT_P,AUT_Q,AUT_R,AUT_S,AUT_T
AUT_C27,35.1295,0.3566,1.3875,3.4495,0.1382,29.138,3.8032,10.9107,15.9362,5.6186,17.0336,6.8966,13.0382,8.8261,25.4099,53.6748,109.1417,443.5336,370.644,140.7463,35.9677,248.2542,67.6767,15.6045,409.4123,142.3243,47.4454,1.4589,19.2667,10.1767,0.9122,15.3104,5.3266,29.939,21.8452,16.645,15.4333,77.8691,30.4282,30.7965,8.1252,36.4215,5.9515,21.763,0.0
AUT_C28,55.8931,1.3755,4.689,7.9984,0.321,69.5602,8.9267,30.4582,37.2664,23.3298,28.1476,18.504,20.4042,22.7449,57.9781,124.7536,49.9731,136.3315,1660.5624,1099.858,57.4682,224.7963,83.073,21.2805,392.9576,302.0435,74.3348,2.2734,29.742,19.7031,2.1023,32.6503,11.5921,20.0414,38.3392,29.675,36.7336,188.3114,53.3278,40.4151,16.8378,65.6259,11.6874,17.681,0.0
AUT_C29,4.9329,0.1605,1.2586,2.8358,0.109,12.1863,3.5976,4.9268,5.1313,2.4374,6.8815,2.8375,4.9292,6.5933,9.0623,12.8258,10.3409,32.5587,240.5195,1220.4948,30.8221,30.497,9.6709,9.1529,61.449,270.2949,53.9127,0.1899,1.9842,16.3777,0.4859,5.3459,2.4377,3.0958,27.3403,11.7431,10.4119,49.3769,13.0352,10.5465,3.5119,10.7118,2.1452,9.7904,0.0
AUT_C30,0.2347,0.0024,0.0,0.0427,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8284,0.0,2.0632,0.6981,0.5963,68.9482,2.1596,6.5553,116.0833,54.2269,0.043,0.0,0.0027,19.0452,4.6695,2.9041,12.279,0.6829,0.0046,0.0,0.0,0.2051,0.0,0.0,0.0,0.0091,0.232,10.1166,0.0898,0.0227,0.0006,0.6438,0.0
AUT_C31T33,188.6048,1.1966,6.1599,16.1532,0.6033,90.367,35.8503,49.7362,69.0458,16.8116,56.4001,28.9292,26.7345,37.1075,73.1267,131.4587,103.4078,237.9152,389.4973,83.5017,14.95,602.6437,274.8849,83.3704,266.1227,334.8351,258.048,8.3632,114.2727,46.185,3.5424,39.7647,18.4735,79.2281,63.5542,38.3593,60.7717,111.0328,135.5072,95.3531,24.3895,332.0167,21.4079,23.9503,0.0
AUT_D,190.6786,2.95,28.3407,114.5398,2.1061,465.5929,37.4502,250.8903,481.9253,3.9387,513.2029,85.7369,131.5976,386.2461,925.3002,242.6678,62.2071,95.1439,162.3312,110.7036,10.5821,112.5731,16783.8634,231.981,266.7627,596.8381,626.9633,6.2435,17.2152,219.3927,18.2854,343.601,27.8974,97.248,44.3498,84.6783,508.9848,242.1445,109.3804,356.1514,424.8898,629.7049,202.1103,128.6749,0.0
AUT_E,20.3247,0.2978,1.0624,2.4689,0.0799,70.0191,8.4387,95.178,312.6527,2.9166,21.6093,9.8362,94.2623,60.7877,965.2491,23.3604,14.0233,10.9851,33.7113,7.3121,4.9641,25.1836,320.1291,2261.0291,74.8815,367.1184,35.5059,0.4685,2.6846,42.5301,2.6441,107.795,9.9097,10.0154,13.3228,132.1924,2102.9522,104.3747,53.4419,103.8372,40.9684,138.887,33.3215,26.1695,0.0
AUT_F,136.1913,6.2142,29.1691,38.8862,1.2047,280.6694,31.6391,218.6505,155.3126,51.1586,141.8741,70.4164,91.6456,231.9346,240.6129,235.3051,80.3346,104.6375,256.4092,137.0278,12.5752,289.1056,212.7985,349.2799,13818.4086,1153.9473,200.6349,6.2854,13.2602,932.4139,37.1292,698.5897,33.2556,66.6624,91.9423,244.5339,4484.0541,317.4555,150.7399,545.6094,448.3803,538.954,242.7963,135.0159,0.0
AUT_G,741.7635,6.8056,17.9855,47.2187,1.7606,2157.2322,506.3508,595.4118,498.5604,210.3019,976.7575,292.4817,379.9302,378.3348,647.3614,648.1387,329.4252,468.4397,1145.5936,822.8887,110.2348,786.2575,1054.7995,199.4201,1685.526,3208.3835,922.2368,16.1796,203.9466,286.6354,28.7971,1162.112,244.4386,146.0922,421.5848,401.6896,289.8564,1145.4669,468.359,371.2188,199.1948,980.6095,193.1337,204.9769,0.0
AUT_H49,59.4278,0.5115,4.1564,30.1096,0.9518,307.7325,30.5288,122.3351,136.2355,106.226,194.8533,30.9285,67.3049,118.9,178.5263,130.0599,36.8946,64.1156,175.9729,94.0401,15.5283,80.8425,164.7026,46.7002,266.43,741.6488,506.5455,6.2876,31.1974,44.8355,14.9985,85.2312,33.7768,17.5056,21.2591,51.7656,55.4831,113.0713,74.9977,60.4845,37.3212,74.8584,13.0408,20.2473,0.0
AUT_H50,0.7395,0.0049,0.0132,0.0341,0.0043,0.6291,0.1974,0.1173,0.1359,0.7506,0.3781,0.0933,0.1127,0.15,0.1584,0.3323,0.2036,0.1768,0.3974,0.4957,0.051,0.3825,2.7112,0.1186,1.0989,1.8007,0.7945,0.0544,0.8771,0.9922,0.0231,1.0078,0.1273,0.1042,0.1373,0.3979,0.4341,0.8444,0.2927,0.3204,0.2063,1.0243,0.1083,0.1981,0.0
AUT_H51,6.6984,0.0621,0.3635,0.8907,0.0313,26.127,3.119,6.625,6.2341,6.9304,13.013,3.9825,4.9836,7.7806,12.6094,15.2498,7.2516,6.0053,24.4636,9.1886,2.1024,14.4562,19.158,5.0705,33.2451,82.7981,20.3775,0.5585,6.2615,9.9346,2.1599,11.7803,4.1296,3.9488,9.0096,26.6091,5.3724,39.8299,53.8986,16.2325,6.1075,14.4782,3.5507,6.0881,0.0
AUT_H52,26.6474,0.2442,2.0138,22.9808,0.7995,207.9667,13.0616,73.8715,78.9747,24.2243,94.9288,14.6684,35.8968,84.1696,89.181,72.3645,16.5701,35.6742,91.953,33.93,6.7717,42.439,375.5804,72.9641,212.541,783.1722,648.7984,50.271,674.1999,888.0104,3.8465,56.3536,22.3949,12.2141,28.6158,41.0357,92.3774,94.0688,47.5681,48.0979,22.4341,51.4383,11.5981,18.4144,0.0
AUT_H53,6.2354,0.1444,0.3556,1.747,0.0804,27.1001,2.9029,7.2437,9.933,1.7587,6.4248,3.9169,5.5544,7.4826,9.7012,16.3203,7.2924,2.0758,29.3803,4.7606,2.2054,14.5583,15.682,9.9869,36.8695,235.535,16.7831,0.488,1.7058,27.3419,751.665,30.3316,27.1901,8.3926,28.2756,147.2685,34.2491,133.4638,39.7091,111.5754,20.2342,59.1279,17.5624,102.7895,0.0
AUT_I,13.9152,0.2887,0.7303,5.9764,0.498,204.2146,13.6011,34.8965,22.831,4.9314,44.5478,24.5059,17.6581,33.6113,41.7088,86.6817,49.732,10.2992,177.175,19.159,11.3329,79.1922,85.193,45.2805,220.5611,761.6454,125.4813,9.5649,124.5947,72.7763,8.323,317.032,22.2373,35.9119,38.8675,347.4962,39.324,372.9515,1200.7112,162.4984,99.4905,126.973,23.9775,64.4616,0.0
AUT_J58T60,3.1671,0.0618,0.2482,1.0404,0.0483,240.2473,3.5135,6.2281,153.4213,3.632,12.1855,8.677,4.5923,6.9914,6.5011,12.4049,14.8882,6.1228,19.6607,6.2807,3.3438,17.4803,12.1252,7.6768,32.7209,260.1766,17.3395,0.4095,5.1711,12.0922,4.7004,23.1529,654.2449,35.4115,56.9295,99.7843,32.9892,842.0132,88.7254,59.4173,45.4703,29.4688,21.1439,14.1457,0.0
AUT_J61,17.4383,0.2998,0.7658,3.3386,0.1786,52.0907,5.8552,11.4814,18.8246,3.0664,12.9275,7.4827,10.3102,14.0433,17.4733,30.6915,14.9183,6.6326,55.5485,9.35,3.698,34.5086,31.6685,18.1704,75.3043,429.1534,35.3179,1.0088,4.7379,71.5196,9.5115,53.9038,154.3959,1081.9272,75.6711,226.6199,57.4475,252.5616,71.4502,128.2839,35.8705,99.2518,30.1123,45.8109,0.0
AUT_J62_63,5.5336,0.0761,1.5261,5.2767,0.2213,108.314,10.3879,12.9611,42.6321,5.8052,25.76,10.317,16.0983,28.17,27.1838,52.1375,37.0401,30.3075,64.3935,23.0759,12.8866,44.4129,81.2109,21.6726,46.6986,546.5185,29.2569,1.2505,8.0164,39.8438,8.3141,32.017,72.545,104.4456,1785.6094,437.0751,43.5196,474.9958,96.415,71.9493,46.8621,111.7105,35.2163,48.5652,0.0
AUT_K,186.503,1.3751,7.4059,23.3964,0.7564,373.0285,35.2486,138.4986,138.3968,56.9785,153.6263,69.2746,82.2589,124.4935,203.929,233.1005,111.885,90.492,372.9282,138.9422,42.4327,207.7484,274.0407,142.3476,628.4542,2013.6468,298.6138,6.1639,54.4357,185.9773,29.2879,425.7215,94.4779,94.1759,272.9036,6117.9768,1744.4153,978.3346,406.4879,845.5608,242.2421,334.0871,132.4818,177.8246,0.0
AUT_L,39.847,0.9013,9.4521,22.3718,1.0528,212.9982,29.7478,64.2756,70.6809,14.7218,54.4794,31.11,84.3103,89.8848,68.2728,201.4816,50.5212,83.3126,236.7299,52.1625,23.3562,183.007,76.464,102.7889,830.2881,3324.7872,334.7894,14.8456,32.6004,359.6629,57.4202,1010.2005,137.0693,195.8087,229.7839,397.5149,2628.3528,942.5413,363.3518,1116.0876,408.9555,740.4208,175.7957,305.514,0.0
AUT_M,105.079,1.3531,20.4346,47.8759,2.7073,1026.0393,54.9968,162.3116,192.6234,83.1184,229.0748,129.8131,135.3829,189.1549,257.2784,343.7432,283.1369,75.3502,529.0373,215.647,47.9929,337.0762,232.5811,170.2864,1712.3609,3787.7467,321.9293,7.289,36.3286,269.0431,58.7983,478.502,315.5273,242.9729,432.1868,1740.1141,392.5713,4807.9331,609.3454,564.6188,177.7187,562.378,203.4366,298.5614,0.0
AUT_N,118.5094,1.4599,6.5254,25.071,1.4272,303.1471,20.0775,69.4408,118.0534,80.224,195.9504,104.8265,55.7691,98.8952,126.8334,216.8455,140.8782,130.0094,373.4495,180.5139,41.8758,234.3785,187.1728,136.435,1127.9761,1816.8438,623.9491,21.1287,204.2487,323.7976,51.8024,394.4314,217.9846,196.0582,364.8923,639.5916,1446.5863,1184.9886,2001.3587,577.6009,270.0905,589.3723,182.8616,192.4952,0.0
AUT_O,5.4975,0.0949,0.576,1.9415,0.0989,23.2746,2.0589,6.9989,10.635,2.0251,7.52,3.923,4.156,9.733,13.8253,19.1545,11.1511,11.1236,31.6926,10.2999,4.7707,19.3832,21.0025,15.6711,136.4027,113.4976,37.9479,1.6013,17.8971,41.5564,3.8048,29.4128,18.1411,10.4437,66.1421,79.9687,51.5827,123.5739,49.1002,816.6633,15.8134,35.0948,15.4388,12.7818,0.0
AUT_P,4.1018,0.1532,1.3871,2.6932,0.1226,21.1948,1.906,7.0427,8.9751,2.6273,13.5866,6.803,4.2254,5.9861,14.351,12.4698,11.7038,6.3154,31.5658,7.9743,3.0174,15.7681,27.0892,13.2154,34.2552,106.5972,25.5374,0.1694,9.5621,23.7055,1.3417,9.6526,6.3388,5.4904,40.1166,83.8066,11.3641,126.515,15.6298,51.855,136.3191,77.8318,10.3675,9.2049,0.0
AUT_Q,61.9068,0.0432,0.2544,0.859,0.0459,25.5129,3.9399,3.1899,4.4818,0.8022,5.6967,4.9421,2.8314,2.7721,2.7123,4.9921,3.0536,3.0013,5.7918,2.4802,1.0735,6.1099,8.1473,2.9115,9.0048,37.6422,11.2955,0.2437,2.9689,7.0931,1.1715,19.0313,3.2884,5.0462,32.1465,13.877,12.438,36.2306,5.3829,25.827,12.5627,575.2935,2.106,6.1068,0.0
AUT_R,2.0689,0.0255,0.1733,0.5012,0.0256,27.6438,1.4735,2.4338,6.9613,1.0106,4.7197,2.0755,2.1978,2.7732,3.679,5.3583,2.4686,2.7139,8.7702,2.5594,0.9378,6.0617,5.0839,2.4549,15.7729,70.0781,8.7029,0.2831,2.4522,6.0373,2.2039,45.3307,174.7945,10.2748,12.9981,18.6007,20.0967,49.1583,19.1136,13.0675,7.3136,11.7245,133.2408,4.8944,0.0
AUT_S,17.408,0.0741,0.4667,1.6623,0.1662,26.6863,6.0406,5.4247,6.4162,1.7744,6.7779,3.3042,3.9676,5.7472,6.992,10.0132,4.6075,3.9933,16.6188,5.5218,1.6591,23.7204,7.4694,7.9617,38.3642,205.4021,15.5245,0.3707,3.5412,9.8038,2.1295,144.8025,10.9831,6.1918,52.035,45.2994,22.2837,83.8827,21.4235,35.5054,12.5681,144.8906,10.6332,121.1394,0.0
AUT_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
