V1,AUT_A01_02,AUT_A03,AUT_B05_06,AUT_B07_08,AUT_B09,AUT_C10T12,AUT_C13T15,AUT_C16,AUT_C17_18,AUT_C19,AUT_C20,AUT_C21,AUT_C22,AUT_C23,AUT_C24,AUT_C25,AUT_C26,AUT_C27,AUT_C28,AUT_C29,AUT_C30,AUT_C31T33,AUT_D,AUT_E,AUT_F,AUT_G,AUT_H49,AUT_H50,AUT_H51,AUT_H52,AUT_H53,AUT_I,AUT_J58T60,AUT_J61,AUT_J62_63,AUT_K,AUT_L,AUT_M,AUT_N,AUT_O,AUT_P,AUT_Q,AUT_R,AUT_S,AUT_T
AUT_A01_02,1423.2889,0.1066,0.6842,1.0307,0.0349,2392.7498,6.8781,1067.7169,402.7072,2.1681,55.2951,5.0078,15.312,4.6687,5.9688,7.081,3.4058,3.3404,8.1972,3.9652,1.4968,13.8872,39.0874,6.6463,160.3884,68.9846,13.2619,0.8918,1.569,16.5881,0.8047,201.2065,5.2436,2.5346,4.7515,10.5224,63.4571,16.1122,42.6263,19.1665,10.0367,28.1556,5.1449,4.9406,0.0
AUT_A03,0.0,1.1786,0.0,0.0,0.0,6.9023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0001,0.4267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3859,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0019,0.0,0.0,0.0
AUT_B05_06,1.3247,0.0163,10.3208,1.1495,0.1137,4.2588,0.6743,1.478,1.2117,309.2377,5.9769,0.5931,0.8,1.3418,47.2668,1.6412,0.6585,1.2027,8.2132,5.2021,0.3762,1.8293,336.3369,0.6097,10.837,5.2626,11.1933,0.0237,0.3937,1.1035,0.0624,1.7448,0.2224,0.2122,0.1367,0.2515,3.5467,1.9145,1.0545,0.7223,0.6039,1.835,0.5593,0.4523,0.0
AUT_B07_08,3.5952,0.0475,0.5587,52.7408,0.7821,5.8597,0.0,0.6727,24.4341,0.0019,27.1869,0.1123,1.2287,241.2503,302.452,0.5951,0.057,2.1451,1.1707,0.0686,0.0032,1.14,2.6194,3.5551,158.7886,1.5491,1.8497,0.0012,0.0,2.623,0.0644,0.2391,0.0086,0.0224,0.0,0.0,6.2028,6.3254,4.159,15.2746,0.5637,1.4584,0.3375,0.2177,0.0
AUT_B09,0.1831,0.0037,0.0164,1.1188,0.0806,0.1326,0.0,0.0432,1.3289,0.0001,0.6001,0.0025,0.062,3.5292,6.5546,0.022,0.0004,0.0262,0.0518,0.0019,0.0001,0.0009,0.1496,0.108,2.853,0.0531,0.0503,0.0,0.0,0.0577,0.0014,0.0051,0.0001,0.0,0.0,0.0,0.1353,0.1392,0.0913,1.0278,0.028,0.0307,0.0073,0.0005,0.0
AUT_C10T12,396.2701,7.7214,0.0317,0.0515,0.0016,2434.8445,83.4596,1.2192,24.7948,0.45,100.6605,36.3633,2.1106,1.594,2.7627,1.5179,0.5347,0.9845,2.9821,1.341,0.1686,1.4017,1.565,0.2241,3.0293,113.6588,37.9761,10.4705,9.7612,5.779,0.0948,1935.2839,8.2352,0.4587,0.871,6.0296,0.7499,5.3681,14.6501,23.693,54.7611,280.3497,17.7836,17.2279,0.0
AUT_C13T15,11.1653,0.1743,0.1258,0.2096,0.0059,10.5666,318.212,3.8103,11.9963,1.4881,5.1252,1.5704,35.6028,20.505,6.6664,12.7682,9.1249,6.0294,19.4809,35.1312,4.3848,41.8145,3.764,0.9723,21.5939,49.3488,3.9455,0.1338,0.8051,4.7442,0.0843,11.8737,1.7923,0.4692,0.7109,7.0947,2.4202,11.1347,7.8842,5.7763,2.3849,26.6703,3.6185,6.1443,0.0
AUT_C16,37.0096,0.5077,1.7602,5.6662,0.1523,46.2056,5.0119,1604.9389,64.5183,1.3457,17.4377,5.6521,30.5576,26.7205,71.8865,72.9904,14.626,19.411,48.3018,25.4605,5.4583,238.4178,57.9983,115.1426,1091.1529,142.4909,14.6573,0.3353,2.0822,6.8036,0.9281,17.9579,3.0094,2.8246,10.7195,13.5571,97.2476,34.7593,23.8208,44.1012,6.3909,31.1007,8.1408,20.7972,0.0
AUT_C17_18,9.1651,0.1077,0.2058,2.8009,0.069,152.7532,8.0527,71.0686,852.5833,2.2113,92.2489,25.58,38.8898,23.6555,14.3435,26.096,16.0289,16.5833,43.7163,12.7974,5.0413,22.6855,11.2983,7.3946,38.2706,271.1942,14.9912,0.6425,2.3129,12.528,4.0379,40.6852,793.2793,11.3565,80.6702,82.1011,22.0003,411.7777,62.1067,167.1596,44.0133,58.6927,24.8387,111.1097,0.0
AUT_C19,104.0882,0.5567,1.6298,6.8484,0.1845,23.6242,4.9897,17.398,16.5524,28.9677,148.2326,7.2951,32.1824,32.1768,114.7133,14.1441,11.7459,17.1119,16.076,15.3215,1.2118,16.1358,51.1568,34.9167,185.1231,200.2949,276.5182,6.6306,192.8482,40.136,4.2158,91.5727,4.5726,3.9195,15.88,17.3276,35.1789,63.0295,43.3231,57.0557,48.8223,92.1675,21.6596,30.2487,0.0
AUT_C20,114.8872,0.1242,4.0167,10.4148,0.3347,101.3836,53.3555,80.8397,161.967,44.7739,1969.7424,87.0662,434.7109,94.424,103.5528,81.4987,151.3673,87.616,59.9833,68.0077,4.4859,63.5225,15.9913,11.4178,155.1547,106.9306,20.4103,0.6241,5.7891,9.9123,1.5308,36.8906,7.3312,6.5466,19.6249,24.6142,24.0674,100.5993,55.3751,24.897,13.1918,125.6675,9.3725,27.2223,0.0
AUT_C21,8.8342,0.0696,1.4412,2.8927,0.1037,29.4053,10.9094,6.9555,5.9229,2.8023,18.5891,207.5417,6.4115,5.0261,22.2661,9.4849,6.0168,6.0768,16.5068,9.5445,2.5138,13.0406,9.7009,4.6628,32.9104,68.1047,16.5079,0.6003,4.8548,4.98,0.8463,22.8104,3.452,5.2057,7.9542,10.5526,9.6152,59.8994,26.1152,16.2107,5.0419,342.2257,4.3482,4.7054,0.0
AUT_C22,38.5054,0.2583,0.6473,6.0153,0.1945,198.9264,23.068,38.1908,69.7199,4.7778,53.8025,27.4801,181.5135,68.4865,23.1874,70.6638,31.4668,81.75,176.8263,135.1487,30.3955,70.5054,11.7659,12.4044,486.2354,294.9496,32.1632,0.4526,2.2933,17.7134,1.0774,16.6821,25.4068,5.1967,16.3904,40.1708,19.8528,120.1289,36.5146,27.4195,12.8285,125.1647,9.1112,20.9632,0.0
AUT_C23,24.9002,0.6799,0.6854,5.4226,0.1966,74.1491,6.5203,57.0091,7.7056,2.6879,21.5808,24.0918,85.4274,513.5334,44.8157,84.5851,32.2647,63.7784,58.0136,48.0572,12.8306,46.7905,18.6952,15.4748,1910.9124,97.1807,29.318,0.3355,3.0153,13.8464,1.5506,52.3586,5.3842,4.4039,21.1857,19.8482,102.1111,63.8295,28.2436,61.8496,5.9469,36.9496,5.5981,9.2573,0.0
AUT_C24,2.3111,0.0,0.0548,6.8645,0.4149,4.2804,0.0,17.3459,17.9912,0.3242,29.1382,3.7194,42.9529,43.3939,2624.6549,1399.0745,67.6336,353.0238,676.5265,251.0474,45.1332,840.9996,6.2774,6.277,380.9692,21.5284,1.2373,0.0,0.0,1.9043,0.0,0.0053,0.4665,0.0,0.0,0.0,1.801,2.678,0.0282,3.8554,2.8429,36.4861,0.0667,2.0666,0.0
AUT_C25,69.4452,0.3954,3.9625,4.5463,0.19,346.1295,11.0217,96.7076,16.9461,5.8949,28.1692,14.4772,64.8043,50.3248,184.2267,1361.2946,80.845,260.387,1119.4164,355.9279,135.3168,264.4501,36.0841,14.0468,1012.2797,419.0148,42.4635,1.0485,7.352,28.3251,1.7516,75.1815,11.0503,10.7374,41.467,44.3685,56.5371,140.3492,30.5002,81.6636,38.1606,68.5196,14.7578,19.5028,0.0
AUT_C26,8.5569,0.0646,0.4147,1.111,0.05,13.8316,1.441,3.7564,8.5879,1.609,9.521,3.1607,4.8986,4.306,6.3696,19.5503,262.4574,131.2753,76.605,58.3853,13.1818,122.6452,16.0013,4.9768,60.3791,69.571,14.2012,0.436,5.234,4.4133,0.5388,7.6552,16.0456,117.2617,62.5675,19.2094,5.6899,66.0638,23.8266,11.4582,13.047,54.3592,3.0349,9.2361,0.0
