V1,VNM_A01_02,VNM_A03,VNM_B05_06,VNM_B07_08,VNM_B09,VNM_C10T12,VNM_C13T15,VNM_C16,VNM_C17_18,VNM_C19,VNM_C20,VNM_C21,VNM_C22,VNM_C23,VNM_C24,VNM_C25,VNM_C26,VNM_C27,VNM_C28,VNM_C29,VNM_C30,VNM_C31T33,VNM_D,VNM_E,VNM_F,VNM_G,VNM_H49,VNM_H50,VNM_H51,VNM_H52,VNM_H53,VNM_I,VNM_J58T60,VNM_J61,VNM_J62_63,VNM_K,VNM_L,VNM_M,VNM_N,VNM_O,VNM_P,VNM_Q,VNM_R,VNM_S,VNM_T
VNM_A01_02,10510.6389,36.0512,0.0852,1.2713,0.6171,19705.1023,643.7962,1809.0735,34.8582,0.3189,929.0502,57.0667,508.7014,5.1003,2.4567,0.0958,0.1286,4.4152,0.0461,0.0224,0.2373,857.3125,0.0423,1.0417,32.809,128.3534,0.1013,0.0799,0.0005,3.2893,0.0001,916.4769,0.9767,0.0572,1.7027,4.6177,16.4087,114.3729,27.8911,4.4381,56.9637,4.3196,5.3333,2.1982,0.0
VNM_A03,10.3033,2846.9075,0.0011,0.0009,0.0002,7775.3409,0.1925,0.8993,0.0167,0.0006,1.1155,9.4815,0.1488,0.0036,0.0016,0.0008,0.001,0.0031,0.0001,0.0004,0.0004,0.4178,0.0,0.0004,0.0181,3.9433,0.0001,0.0059,0.0,31.6564,0.0,323.9747,0.0003,0.0,0.0005,0.0323,0.2886,6.9396,0.1393,0.0015,9.6985,1.5766,0.1691,0.6386,0.0
VNM_B05_06,34.6532,0.1239,2053.2342,3.8804,5.7953,42.3761,46.027,1.7812,36.9442,4503.914,495.0411,4.4991,27.9783,1007.9915,112.5167,36.6096,10.0694,21.2908,1.4527,6.4759,5.5628,27.0582,489.8308,1.9304,34.5465,21.819,1.2427,0.1546,0.0,0.3156,0.0,52.2973,0.0057,0.0007,0.1418,0.0234,7.382,3.3819,2.8213,0.2224,2.5099,0.7384,0.8464,5.874,0.0
VNM_B07_08,1.6585,0.2797,2.371,36.339,0.0206,16.1342,0.5316,0.0038,2.2419,0.0706,368.0139,0.004,8.0872,402.6944,100.8247,5.8852,0.0028,0.059,0.0029,0.0055,0.1688,6.847,4.7192,0.8272,182.1532,9.7103,0.0357,0.0015,0.0,0.2623,0.0,0.1309,0.0009,0.0016,0.0,0.0002,2.0235,0.3808,0.3739,0.0252,0.0202,0.0048,0.0129,6.7663,0.0
VNM_B09,0.0013,0.6699,525.0667,8.9478,0.2422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8081,0.001,0.0,0.0,0.0,0.0,0.0,0.1031,0.0,0.0,0.0,0.2557,0.0,0.0,0.0,0.0,0.0,0.0,0.0394,0.0002,0.0,0.0,0.0,0.0,0.9088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM_C10T12,5803.6261,4163.2173,11.7724,1.3734,0.411,17129.7742,14.1139,0.6716,67.3616,38.9014,18.5575,67.8451,8.2066,24.1516,1.4978,1.7836,0.2649,0.0278,0.0235,0.0761,0.0303,78.5202,1.1701,0.8441,1.7015,213.2941,5.4136,3.8669,20.4091,3.5655,0.0002,2713.8765,0.7519,0.0165,1.5385,1.9369,10.8214,27.6837,3.8653,4.1944,58.6352,15.2242,1.238,9.8953,0.0
VNM_C13T15,85.5184,37.2728,90.7856,7.3134,1.0794,27.2789,8757.0675,16.8139,58.158,29.7303,12.655,2.4212,33.133,94.7606,6.2783,8.3962,9.7995,4.8903,2.863,19.972,10.7019,167.9649,16.606,20.8777,60.2436,181.8094,19.4943,3.7599,6.9221,18.3094,8.9445,57.3552,3.7809,11.6437,1.3992,31.3799,44.36,22.7942,29.4867,56.9726,53.5443,19.9173,26.5934,143.37,0.0
VNM_C16,86.4895,24.1249,0.164,0.7504,0.0003,49.377,62.018,1660.9286,288.3617,0.1526,52.2231,0.6376,11.0424,26.2614,3.0231,5.8301,4.8592,6.4237,4.8157,0.4553,1.9567,2300.1361,0.6701,0.8831,269.8379,53.2473,0.4995,3.2159,0.1295,2.3938,0.1109,7.6662,0.1557,3.3,0.0037,1.8904,17.5848,9.0066,0.8471,8.0167,3.09,0.4566,1.1633,10.3718,0.0
VNM_C17_18,112.6677,6.5257,8.1874,0.9339,0.7908,491.3483,568.8661,58.3062,2427.7075,0.5453,85.5479,36.106,127.8465,161.2594,4.2048,18.8138,216.2105,176.2155,7.1305,9.6415,6.4139,452.6353,7.076,2.5119,35.5782,495.4957,11.8282,1.5444,0.6422,10.2595,13.44,92.169,239.6457,22.9784,8.255,98.3021,35.1247,141.5351,13.4266,152.811,83.2096,16.4329,365.1424,21.7568,0.0
VNM_C19,495.5375,1283.0265,1735.4498,174.5793,3.4816,163.8956,122.3014,70.5803,42.8226,3031.7654,72.5952,8.781,129.2473,401.1256,95.064,34.6504,19.5409,38.3744,15.4493,16.757,56.1687,154.7904,87.5174,67.4346,969.1359,781.2171,1829.5706,587.6344,562.5528,182.6103,21.2308,746.245,14.9971,52.9388,3.2817,112.181,46.4926,41.8291,52.9734,124.6336,93.2147,9.8283,12.0841,22.4011,0.0
VNM_C20,2468.5195,53.8442,225.6104,61.7071,6.4456,195.9679,958.4024,140.824,330.6481,127.4258,2243.8463,61.0047,1251.2058,367.1351,92.8852,136.5127,194.7162,183.8159,17.333,76.6844,59.3382,762.9662,3.8883,31.4646,241.5814,90.3729,13.133,3.9359,0.9011,1.8796,0.1703,47.1282,7.5113,3.6286,1.59,14.3129,36.6911,60.9573,24.0045,28.2874,16.0702,28.5599,16.4267,73.3191,0.0
VNM_C21,169.088,17.9825,3.2286,0.4061,0.0311,108.7242,2.4448,0.6368,0.1909,0.0479,2.316,668.938,2.4929,6.7309,0.1525,0.3275,0.028,0.3573,0.0379,0.0135,0.0112,2.3607,0.0812,0.375,2.1227,13.3036,0.8212,0.0473,0.0265,0.0887,0.0,0.4128,0.1405,2.3642,0.0072,2.0329,0.5758,4.8546,0.2472,3.673,62.1314,1074.0928,9.2218,1.899,0.0
VNM_C22,123.1422,22.4519,184.6176,45.0425,0.0798,205.9839,883.1924,43.4321,153.1218,18.5926,142.8004,23.2438,2659.252,33.5951,8.1354,23.0636,286.2177,843.1628,59.5215,122.5689,154.9199,250.766,3.7337,8.6261,141.9312,143.8262,188.597,13.5143,0.1087,8.5878,0.1214,10.3469,1.3509,0.7922,4.062,7.4375,3.2804,21.1078,4.2214,16.2597,8.3621,5.5726,2.2605,8.9009,0.0
VNM_C23,49.7186,1.8621,3.3766,3.6876,0.017,31.5974,3.5707,1.4957,4.2795,0.0157,49.4366,16.1239,45.42,1734.9992,36.5948,25.0721,183.3933,71.9699,1.1392,72.6331,13.049,172.0247,1.5195,4.3364,5328.3225,46.3915,7.2346,4.4771,5.7202,7.5837,0.1035,15.8723,0.8818,76.8153,0.7112,13.6921,273.5757,50.545,4.8524,19.8977,8.4262,2.6899,10.8204,29.2593,0.0
VNM_C24,46.6233,2.7737,326.8348,23.8589,0.002,112.3719,4.5653,18.6644,10.064,0.1654,29.6261,0.5955,69.0635,66.1073,2190.5601,1087.7066,122.3716,1326.0345,186.9261,241.2065,310.8938,301.8291,11.2424,1.6574,1514.6064,41.2066,3.4873,1.0139,7.4842,5.7985,0.0016,0.4066,1.2991,30.5093,0.0595,7.2834,45.6119,20.8333,1.3428,2.2222,0.9588,0.2514,0.5306,6.4866,0.0
VNM_C25,73.8156,22.4282,346.5321,6.5097,0.035,52.7731,176.0763,38.0141,22.7605,0.1775,22.4576,1.6828,62.1651,59.4431,262.4758,214.4413,284.4865,308.4383,166.4213,121.474,30.0361,367.5534,19.3727,4.3015,459.5471,97.7676,20.7361,12.812,7.479,8.4998,0.0254,4.1604,0.6517,3.9186,0.5723,8.172,15.5788,30.499,3.1339,16.1637,9.2146,2.191,1.6176,8.3748,0.0
VNM_C26,22.8082,3.7282,9.9026,2.6025,13.806,10.2367,55.6841,4.6405,4.9591,0.5117,14.1004,2.1064,9.6178,8.4475,2.4381,4.5116,21357.8121,802.3737,212.1159,25.9019,20.3324,100.6961,34.2378,8.2391,108.7968,254.3162,13.8686,6.7786,10.2595,18.0909,0.856,24.3058,25.8486,1375.8255,52.7284,40.79,23.9252,58.6258,39.6071,85.3658,67.307,14.2423,7.8369,169.8014,0.0
VNM_C27,89.1023,28.4932,97.5556,7.924,8.5786,30.0945,83.4508,7.7628,19.0184,29.6878,13.2709,1.8412,44.6961,36.8345,118.908,62.8676,1743.8165,1743.7262,231.371,416.3561,86.4999,465.7053,306.4872,21.6614,1818.5315,374.0368,89.4919,14.3903,5.5207,19.2599,3.7558,41.1122,16.0388,54.2986,13.0488,33.4994,36.2642,262.8245,33.9763,86.2772,84.4057,30.811,11.2916,63.9849,0.0
VNM_C28,116.7515,0.6647,817.8392,3.2,0.1127,3.48,35.9094,6.69,4.7294,0.1056,0.6104,0.4589,12.1203,5.4019,17.8118,3.7293,5.8926,2.9302,631.3649,35.0828,10.0227,24.1493,0.2959,5.0358,155.8407,52.6481,4.2286,9.5019,0.5883,2.8993,0.0007,1.1256,0.5854,1.7587,0.2302,15.1761,1.2038,21.9275,4.6056,2.8283,8.1395,11.7564,0.6635,2.4664,0.0
VNM_C29,3.5005,0.1262,15.7899,0.5615,0.0253,0.4371,0.7487,0.3125,0.0755,0.0883,0.057,0.032,0.3525,0.7407,0.446,0.3133,5.1452,5.1433,0.6687,1793.3015,0.3999,1.9315,0.9742,2.3992,9.7002,4.179,16.6199,0.7704,0.0226,2.209,0.0111,0.1976,0.2082,0.1605,0.1006,0.3547,0.3404,1.2135,1.1162,7.9448,0.6274,0.3279,1.6035,0.2651,0.0
VNM_C30,4.1669,0.1678,0.0357,0.1276,0.0038,0.3467,7.3057,0.4208,0.8597,0.0128,0.4765,0.0035,0.1888,0.334,0.1744,0.0404,0.2259,0.3102,0.4303,0.0107,522.25,0.3511,0.0626,1.032,4.0623,30.2194,1.1357,10.5732,0.0003,7.3242,0.0006,0.526,0.0691,0.013,0.0042,0.0518,0.4882,0.0906,8.4245,0.3676,0.0509,0.0374,0.1309,0.0121,0.0
VNM_C31T33,278.8762,55.7487,327.9242,26.183,21.3164,179.2442,357.4261,50.8831,48.3022,41.3405,60.7559,34.2865,64.4212,71.6952,65.4493,39.1504,347.6186,76.6708,12.5245,30.4531,127.2376,382.7698,307.3491,61.1132,318.8761,418.4325,24.0151,126.409,411.4116,245.3621,2.9144,104.867,10.7917,18.5794,11.5327,126.9685,104.165,79.1518,56.2108,275.2325,167.8307,98.7146,30.0313,33.244,0.0
VNM_D,399.5642,106.7464,207.3665,127.2961,22.3483,348.859,421.4273,86.1411,131.1174,48.8674,146.3574,14.8064,233.4977,599.5148,246.2334,88.4356,85.6314,74.7329,24.5547,24.0716,56.0797,193.1067,349.6955,67.8817,85.5435,771.02,12.3748,2.0673,1.5827,40.4246,3.3556,232.7784,26.1699,75.371,12.9304,126.6001,156.913,43.3632,10.1125,82.9769,74.6151,26.8088,21.2974,46.7997,0.0
VNM_E,31.5403,5.8148,15.8804,1.3277,0.1313,72.1736,47.7158,6.1361,13.2315,50.7284,7.4377,3.5364,16.8129,33.941,13.185,7.2939,8.9738,8.9131,4.2684,2.8852,4.2162,20.3418,10.8137,125.2756,36.3843,70.3812,3.0203,1.2071,0.1551,4.4367,0.0844,43.1205,2.4875,2.3645,1.0889,4.9795,37.364,4.994,5.7025,18.7142,20.9596,13.293,3.7439,15.6471,0.0
VNM_F,132.1056,11.0411,84.8241,4.7127,0.0333,11.0177,57.2652,3.9409,5.1712,1.5195,11.4093,0.9651,7.4287,5.5615,3.61,3.89,4.8287,8.9144,4.5007,0.85,0.6901,45.5754,19.3586,4.9263,1589.6672,260.7603,48.969,1.8736,1.0118,13.7362,0.0311,34.7455,3.0616,20.9663,0.8061,9.0462,886.8609,25.2871,10.0771,97.3386,107.2985,20.0256,16.9384,9.3186,0.0
VNM_G,1262.1332,675.8955,215.7377,28.8587,5.6977,3430.5201,1089.9594,168.4092,256.5844,129.8004,319.8413,79.4377,503.3082,361.2355,157.8685,100.4739,1660.4081,462.8873,93.8033,213.3861,122.2786,472.5504,72.9154,21.5716,1066.7002,320.6178,162.1452,11.5743,7.8595,94.3538,4.4543,307.7722,40.369,111.5892,8.6639,38.422,76.3157,95.7159,23.2217,98.8108,70.0286,108.4883,66.831,48.823,0.0
VNM_H49,360.5283,169.1007,161.709,12.8935,1.5045,758.264,282.8693,55.7457,75.2042,136.0884,147.1354,23.8139,135.2719,158.6532,110.2488,60.6796,308.4305,158.6678,55.2074,69.5735,44.4451,153.6769,32.6148,6.4326,369.247,97.8919,58.8825,18.08,16.9252,12.5515,1.302,81.8923,8.6641,23.5785,3.3751,14.4756,21.8338,33.177,10.6202,29.5592,22.4653,32.2049,13.1046,12.785,0.0
VNM_H50,89.6889,40.4612,33.6087,3.4448,0.3973,166.4066,102.938,15.3531,21.8007,33.0293,140.3869,5.4299,37.493,39.0073,22.8543,12.5174,83.478,44.0253,10.3712,21.818,9.4926,41.2745,9.7049,1.7021,87.1628,29.0451,10.113,82.7725,2.8924,2.2406,0.2518,21.6843,2.681,7.1505,0.5215,3.5086,5.744,8.03,14.9456,10.9094,5.6876,6.9898,5.6193,3.5702,0.0
VNM_H51,72.1657,26.9385,49.428,3.9129,0.2654,76.0076,72.5343,11.0087,14.3075,46.6191,38.572,7.3664,27.763,22.3987,33.2852,18.3388,70.6624,39.3614,19.3692,19.6873,9.9473,32.7374,4.4987,1.8486,65.1252,16.6854,24.0692,7.8026,6.7812,3.4054,0.3226,16.2482,0.9711,4.9438,0.0976,1.9581,2.3216,4.3423,1.5034,2.9741,3.3217,10.9679,1.1101,2.5876,0.0
VNM_H52,99.3254,25.6091,14.1348,10.0019,0.1345,167.8528,146.8801,54.331,38.445,10.2348,56.0061,2.4084,34.5521,36.671,16.4571,16.7313,47.6137,43.8455,11.9302,14.7924,64.6131,88.8211,8.5794,1.179,74.6662,367.3017,206.5145,235.1065,126.358,524.9331,5.3474,11.3482,2.1702,4.8563,1.5314,1.5687,3.1172,4.6739,3.5808,2.0858,3.012,1.8946,1.8967,3.8373,0.0
VNM_H53,3.9631,0.1315,0.8933,0.5512,0.265,1.9602,11.2728,1.4424,1.3519,0.0883,1.0942,0.4445,3.0076,1.3436,0.5137,1.2064,1.23,1.6676,0.5838,0.4329,0.3563,5.5859,0.5387,0.3978,3.5288,56.19,1.126,0.2069,0.0695,1.5105,12.4086,4.3656,2.1305,2.7728,1.3324,17.325,4.3659,10.4375,7.2171,16.2056,5.9091,0.4639,0.902,1.1584,0.0
VNM_I,204.3653,15.3208,46.3836,5.3606,11.3077,57.5937,83.0426,17.4387,26.5753,6.0821,15.8797,14.8797,28.0786,34.81,10.7975,16.844,45.9595,15.9449,9.1509,7.6143,15.7167,49.8058,20.3228,6.9522,150.7631,477.5451,41.3193,9.5635,3.3121,19.1959,5.7586,68.9343,32.7618,10.2685,31.1593,214.3863,75.4498,145.9847,139.8631,340.5015,117.827,12.5096,34.4068,28.8768,0.0
VNM_J58T60,4.1638,0.2288,1.0793,0.3042,0.0238,8.55,2.5174,0.4078,11.3588,0.0238,12.584,0.7624,2.9273,4.4574,0.4845,1.0026,3.0625,0.7821,0.1955,0.3611,0.1279,1.7596,0.3606,0.3208,3.8982,80.1376,1.319,3.4844,0.193,0.5727,0.1539,3.3386,156.1987,6.4665,4.4218,17.3438,3.5843,291.115,1.7407,39.6526,37.3807,1.6705,70.5056,3.4007,0.0
VNM_J61,86.5436,5.5572,36.8897,2.0014,6.1906,12.5843,26.9905,5.446,9.4505,2.0619,6.325,2.3052,8.1458,8.6783,3.6949,5.6249,14.1171,7.4001,2.733,5.3109,7.1812,13.4749,7.6086,3.0664,31.8235,240.371,17.766,3.3759,3.5996,9.8703,7.2036,27.194,9.4138,758.658,79.6292,105.3256,36.8186,74.7894,15.7128,63.6087,35.7914,4.8375,6.2765,11.5669,0.0
VNM_J62_63,3.0376,0.2311,0.4491,0.0681,4.7326,2.6524,4.7158,0.6285,3.4289,0.0688,4.7991,1.0564,2.3547,1.1061,1.3468,1.2659,19.647,1.4667,1.2461,10.5427,2.5887,2.1873,0.8323,0.8984,5.0023,55.3769,1.9105,0.1456,2.4861,3.2972,0.2601,3.155,3.903,429.0922,198.8639,62.8866,9.3219,32.0769,10.506,37.976,16.396,1.2001,1.6456,1.1891,0.0
VNM_K,256.9366,21.9979,365.0544,13.8975,1.0162,119.8371,338.7824,70.7784,206.279,72.6165,181.2115,14.9256,113.0485,95.9723,45.7087,57.5726,65.0567,76.3527,39.128,19.8933,261.3345,158.8934,20.8811,11.0288,405.9854,1561.7649,96.6722,54.7036,79.493,24.2658,4.4674,287.6315,10.388,15.379,12.2539,3805.2946,179.4649,65.2251,45.0242,57.8871,49.8653,9.4483,13.0304,31.6841,0.0
VNM_L,52.0587,3.9503,8.82,0.828,0.2682,12.2717,24.1116,4.3212,14.4579,0.3351,9.5618,1.7764,10.0917,8.2612,1.4961,4.2725,4.3503,8.0949,5.0646,6.514,0.6326,21.2677,1.6314,3.3946,28.5422,753.8108,11.9263,3.5767,4.239,18.7396,6.6732,116.9615,6.5989,6.6932,25.9806,226.0213,250.2065,75.6691,14.4203,35.2259,173.2738,1.7557,9.2514,31.6422,0.0
VNM_M,125.459,7.8492,140.1288,81.8729,63.4608,248.854,55.7814,14.0805,85.355,0.9516,210.8768,44.6274,36.013,48.9937,19.722,29.6984,97.0741,49.6904,7.8034,85.7362,28.8178,54.3846,9.2418,12.1801,210.239,863.2348,19.7395,13.8826,35.1647,31.8257,3.8797,114.3081,44.0922,47.2136,30.6766,336.8392,255.4116,672.3357,82.1175,112.0078,115.5799,4.1821,13.2613,18.7217,0.0
VNM_N,37.8646,1.6533,29.4176,1.1473,0.1267,29.528,66.5199,6.3388,6.764,1.119,7.533,2.0396,21.9911,10.827,3.8013,8.2833,15.9157,14.4639,2.7353,5.3314,1.0964,17.8261,3.2178,1.7204,144.0767,204.9388,41.5458,7.428,62.5184,133.9403,1.7097,14.3555,9.2441,9.3511,7.5984,27.0844,87.7641,56.2886,51.606,23.6214,25.8415,10.4296,6.9768,2.1455,0.0
VNM_O,11.6525,0.1339,0.7291,0.685,0.0132,9.7866,11.5467,1.5814,0.955,0.1424,2.4361,1.3588,7.5746,2.4596,0.3386,3.9786,3.4721,2.3261,1.1887,3.1641,0.0446,1.7003,1.1336,0.29,111.6438,74.165,1.988,0.1856,0.5468,5.9997,0.1534,2.6865,1.146,0.1481,5.8192,8.9878,16.7107,11.4124,2.0405,40.643,9.9084,1.4919,1.5154,2.046,0.0
VNM_P,4.2379,0.2125,66.0365,1.1945,3.7899,2.0627,3.5588,0.8494,1.2329,0.1172,1.4018,0.8524,2.6763,1.7494,0.244,1.9376,6.0411,1.3678,0.2846,0.4095,0.0954,3.9029,4.2848,0.137,4.6935,41.0005,2.0957,0.0391,3.3092,1.431,0.044,1.5865,3.6261,10.1944,8.6674,18.0519,12.0367,11.991,7.2998,30.2213,123.0423,2.6689,2.7933,1.8012,0.0
VNM_Q,2.2367,0.0456,0.0092,0.1536,0.0,1.346,2.4439,0.372,0.2315,0.0609,0.9097,0.4208,1.1185,0.7055,0.3808,0.4785,0.0917,0.8318,0.0371,0.2852,0.1636,1.1886,2.3074,0.1946,3.027,5.7909,0.9965,0.1953,1.0641,0.4535,0.1763,0.5557,0.2535,0.1842,0.3211,6.0068,1.6528,1.301,0.7048,9.8226,7.2503,16.3239,2.123,0.687,0.0
VNM_R,0.4816,0.0003,0.0008,0.0005,0.149,0.2561,0.2088,0.0319,0.1617,0.0,0.6733,0.0001,0.2124,0.0391,0.0054,0.0544,0.2653,0.0639,0.0028,0.1654,0.0016,0.3545,0.0252,0.0278,1.0872,2.3803,0.0891,0.2195,0.2193,0.0888,0.0667,1.3875,3.4531,1.376,0.2824,0.3765,4.0344,63.9192,2.3538,13.3751,7.3908,0.1202,221.4268,5.0985,0.0
VNM_S,8.6022,0.6987,0.1511,0.3537,0.0004,1.7269,5.0227,0.9917,1.6828,0.6897,0.9422,0.1559,2.8466,2.0887,0.5335,1.37,11.0137,2.4235,0.629,0.3297,0.1001,3.3055,0.8383,0.7219,5.8217,47.9068,1.5788,0.3661,0.3233,1.6797,0.7644,28.6621,1.803,0.918,2.5923,6.5656,11.1669,58.8465,3.1894,36.0348,16.6656,3.7919,2.4711,10.4361,0.0
VNM_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
