V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T
CHE_A01_02,1233.3638,0.0,2.7329,0.1923,0.0163,5132.9236,0.62,109.1341,8.2306,3.8513,50.3496,59.2824,19.8554,1.2409,1.1521,1.8424,9.5197,2.0514,3.1397,0.4634,0.4704,11.7069,2.7341,1.7128,27.2234,286.9191,17.1609,39.0528,5.0087,3.1114,0.4735,256.0936,1.1486,1.5849,2.513,6.9645,6.0975,44.4137,43.1828,223.3468,6.0487,72.0374,7.4075,28.5133,0.0
CHE_A03,0.0,1.2592,0.0003,0.0,0.0,0.775,0.0,0.0001,0.0001,0.0007,0.0052,0.0083,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0011,0.0,0.0001,0.0,0.0392,0.0012,0.0055,0.0007,0.0001,0.0,0.0365,0.0,0.0,0.0,0.0,0.0001,0.0191,0.0049,0.0469,0.0,0.0102,0.0009,0.0034,0.0
CHE_B05_06,1.146,0.0,82.1569,2.5076,0.1438,33.1066,0.1064,0.7416,11.0956,49.5361,72.7452,18.2142,2.2989,59.0046,295.1307,0.8195,0.5132,0.7581,44.4844,0.6199,0.1653,7.5005,253.3239,2.7498,46.7069,97.8673,24.5555,22.8575,5.3834,5.4622,1.715,0.7952,0.9356,0.698,1.6885,11.6976,0.1796,20.9811,5.6576,80.2383,4.3641,16.2131,1.8317,5.9622,0.0
CHE_B07_08,0.5106,0.0,3.9518,1.4311,0.0334,8.3684,0.0293,0.2438,3.6357,10.4113,71.8446,7.2741,0.992,63.924,161.4043,0.5046,0.2286,0.4199,27.9161,0.2147,0.0929,2.8733,17.6056,1.2478,85.4228,37.6845,7.3721,5.9125,1.0528,2.0567,0.3931,0.2257,0.2485,0.2148,0.494,2.399,0.1361,7.4458,2.0298,26.4242,0.9244,2.8056,0.3829,1.3882,0.0
CHE_B09,0.0791,0.0,3.3815,0.1199,0.032,0.6948,0.0011,0.0485,0.5076,0.3467,1.6886,0.8256,0.0841,0.6666,1.0919,0.0487,0.0038,0.0092,2.6283,0.0194,0.0036,0.3373,1.0973,0.1338,2.3838,2.7025,1.2992,0.5522,0.2307,0.1976,0.1001,0.0136,0.0015,0.0,0.0023,0.508,0.0201,1.0344,0.1215,3.8396,0.1609,0.5931,0.0271,0.1582,0.0
CHE_C10T12,1161.3189,0.0,1.3792,0.1126,0.0078,4401.1918,29.4802,8.2557,12.7531,33.7162,418.6708,300.0617,0.8228,1.6192,0.2363,3.1188,33.4605,21.6493,1.2671,0.1584,4.7272,7.142,1.5088,23.3975,5.7992,562.3275,120.5788,366.8316,76.8653,4.9649,0.0852,3665.5507,5.6391,0.0035,0.1739,4.9366,1.5791,70.9302,10.7448,1137.6495,69.8584,1407.5341,25.5616,76.2289,0.0
CHE_C13T15,16.305,0.0,1.12,0.1061,0.0046,26.247,243.9224,1.415,21.7349,6.4385,42.3737,29.7661,6.1824,23.8917,1.986,3.176,57.8487,2.8891,14.6961,9.49,6.5026,60.0685,1.7252,8.1355,58.123,90.3437,12.1231,17.4545,4.4482,1.8768,4.5798,14.3066,4.8237,0.159,0.2219,0.8897,4.1777,18.9561,14.4852,56.7922,2.1769,31.1274,19.5298,29.3899,0.0
CHE_C16,2.6163,0.0011,24.1729,1.7274,0.0869,79.8509,4.5593,1958.9079,7.4432,1.5219,14.5675,12.301,35.0871,30.1641,38.6657,98.7767,262.5778,67.5121,78.2257,5.6201,16.4689,792.0731,36.9898,18.3067,2989.7608,318.4433,15.3012,20.4901,4.5419,30.7504,3.0113,3.3243,2.8624,7.6267,2.1857,10.0859,36.8019,80.8592,49.6638,111.8609,26.6978,16.6522,15.0221,152.3189,0.0
CHE_C17_18,8.4458,0.0002,1.8543,0.2605,0.0102,97.7116,8.1443,23.6638,550.5539,6.4847,96.7732,79.6342,55.1731,19.6815,15.7508,25.9375,153.1701,48.6918,39.2803,3.8021,3.947,38.9951,43.1402,18.0273,29.0483,1097.6395,21.5427,20.914,6.1028,25.3566,50.5486,24.9228,1174.2682,68.3577,12.1457,283.6064,13.8213,441.2223,192.1251,207.9089,35.7079,62.3844,20.4233,52.9294,0.0
CHE_C19,25.5556,0.0,4.9624,0.7492,0.0227,34.9947,5.6819,10.2561,12.4695,65.981,172.3602,106.637,80.3456,25.0783,47.8667,19.2472,40.9058,63.699,15.5209,1.5874,2.3569,19.0584,75.2258,6.1878,80.5707,357.4967,137.4531,131.3459,56.9013,59.9139,7.3712,18.6045,2.0484,0.9597,1.9185,2.8923,1.1317,40.3752,20.2886,51.9263,4.1883,16.5344,7.4286,12.2903,0.0
