V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T
KAZ_K,759.6933,6.7782,268.1003,164.4564,16.8331,74.0393,7.6243,0.168,4.2138,2.6697,4.5648,0.9135,11.9833,4.831,52.1376,18.418,71.3129,43.8358,40.2335,0.0502,18.0354,73.7119,219.6788,34.9596,522.1232,4476.7051,1028.4284,33.9197,40.6071,368.2767,1.2238,22.904,20.2116,151.6899,23.0425,2964.0046,1236.2509,222.4773,356.3484,904.3812,973.5573,1402.0293,62.7085,72.355,0.0
KAZ_L,13.8044,158.8457,95.4084,2.6601,6.9438,2.7913,0.1201,0.1759,0.5818,0.2796,0.0535,1.0327,0.2938,2.0576,4.4724,2.3512,0.1631,0.2356,0.6079,1.2038,0.2996,1.6225,6.8929,0.1645,648.1978,3494.1189,376.1404,2.4548,149.8118,250.7504,55.2025,87.7915,146.5664,380.318,160.8565,2700.3811,629.2928,1245.7173,634.6899,4.8247,377.1484,8.5773,232.2273,6414.8382,0.0
KAZ_M,243.8545,8.0884,2717.1297,100.3256,211.4315,34.9782,0.3862,1.2919,5.5159,7.7942,0.4451,4.6457,0.681,7.1922,9.2255,3.5725,2.3055,0.1773,0.2639,0.1618,0.4615,12.6238,155.6768,2.1165,1601.7336,5973.7278,212.8607,5.4299,17.7065,89.9609,9.1308,9.6077,31.4284,665.4624,24.2138,386.5499,319.2972,4062.1172,567.1842,4107.11,103.8847,86.933,80.7298,270.9514,0.0
KAZ_N,37.4737,3.3248,641.637,124.4466,137.9097,20.9601,0.1941,1.3419,7.5874,0.9556,0.2211,4.7972,2.3609,25.5485,70.6166,5.0055,0.0838,0.0352,0.4084,3.3703,0.2363,11.3782,80.4087,18.1855,843.9127,2453.1282,539.7259,72.3307,9.1275,533.1926,0.1481,38.4994,104.1613,559.5975,58.864,267.3768,1461.2741,1003.8744,522.6501,97.6969,254.6181,590.8821,516.6139,189.5213,0.0
KAZ_O,0.0553,0.0003,0.193,0.0176,0.0114,10.7189,0.1577,0.006,8.4077,0.0018,0.0012,0.0029,0.0006,2.6463,0.0268,0.0008,0.0001,0.0002,0.0003,0.0008,0.0005,0.0019,0.0182,0.0012,0.7566,0.1073,0.1644,0.0003,0.001,36.052,0.0004,0.0067,11.3783,0.042,11.2263,0.0682,2147.3053,0.095,0.155,1.7716,0.0993,0.3823,21.4958,0.0161,0.0
KAZ_P,0.441,0.0131,273.6085,43.3281,5.0403,0.279,0.0186,0.0095,0.0792,0.3311,0.0424,0.0866,1.4048,0.1363,59.4914,0.2569,0.0105,0.0082,0.0076,3.7968,0.5782,0.6146,10.5942,0.255,91.2048,7.7045,109.901,0.0822,0.6191,57.2536,0.0052,0.2641,2.6541,167.5711,3.7377,84.9708,100.9395,94.8543,1014.0008,472.0039,1.1176,15.7526,30.2245,3.4635,0.0
KAZ_Q,3.5975,0.063,698.5598,4.9035,47.5832,7.4526,0.1912,0.0178,0.4561,0.4679,0.1204,20.9912,0.0841,1.0606,10.3188,1.3095,0.0107,0.0151,0.0263,0.0634,0.0376,1.3737,36.7127,1.0586,156.3022,55.2868,1274.0556,0.1709,5.8261,298.6481,0.0547,1.4265,0.3095,17.4846,0.2287,286.4558,2.4184,76.0241,118.5728,48.7378,104.4177,3308.7868,631.7426,34.4883,0.0
KAZ_R,0.7453,0.0,111.3231,0.1819,18.6755,0.0,0.0967,0.0,0.0146,0.0184,0.0039,0.0,0.0044,0.0017,72.75,0.0,0.0053,0.0001,0.0,0.0,0.0,0.6533,1.1939,0.1016,5.5306,0.3752,3.1897,2.2148,0.002,1.2873,0.1076,0.005,1.0522,48.0474,0.4281,36.8566,37.8965,170.1042,28.2936,328.2606,1345.6116,7.8124,113.2175,60.6603,0.0
KAZ_S,0.1396,23.7079,255.3141,1.654,12.2392,0.4908,0.0174,0.1266,0.1912,0.0796,0.0354,1.4786,0.0008,0.5621,0.0024,0.0929,0.0001,0.0001,0.0455,0.008,0.0176,12.9754,10.7409,1.2243,4.9142,70.2842,57.912,0.1446,10.5358,11.3538,0.0573,4.6549,8.6546,97.4008,10.6008,20.5411,15.5782,20.9528,120.3857,91.6798,375.2663,100.6348,41.7772,7.7854,0.0
KAZ_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
