V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T
ESP_C27,34.4259,4.8145,1.0421,8.8835,0.2556,168.657,11.6032,23.191,30.0645,10.1075,53.4694,21.6797,54.5295,36.7714,61.8313,82.9015,100.647,807.0714,219.5703,690.088,136.1884,231.4536,179.6795,104.9986,1300.135,360.8796,39.6676,3.7395,30.2188,70.5364,4.354,216.7214,28.5681,144.3153,28.8777,53.96,30.7815,151.7854,140.25,72.6771,27.4977,71.2525,43.6493,50.2918,0.0
ESP_C28,121.3499,12.1537,3.8813,33.9604,1.0477,244.3011,20.0542,58.216,70.9973,31.0578,112.989,45.7199,90.4183,74.6886,183.6983,228.4744,22.4101,98.2201,539.2579,504.6528,202.3557,278.3377,177.3311,209.1982,433.4353,612.9465,108.1547,11.2248,101.4552,134.8834,7.3057,128.0867,33.8521,126.1847,35.095,72.4863,38.2603,197.3064,195.9941,105.6223,38.2757,101.7535,91.0239,36.6798,0.0
ESP_C29,62.202,3.4273,1.2935,9.0933,0.2864,168.2188,20.7085,16.8932,34.2511,11.9674,67.9173,22.8666,102.561,37.7858,100.7543,172.7192,14.3342,90.6284,152.2769,10118.8656,252.0692,97.8888,63.5412,95.994,402.5974,966.579,141.9549,2.7959,8.9614,87.8707,4.4404,158.2697,38.3407,51.6705,32.6519,78.2649,45.0358,137.1487,304.6339,75.9945,27.8646,64.4538,46.8287,30.213,0.0
ESP_C30,1.5847,79.5866,1.0118,3.6132,0.0297,0.7077,0.1638,0.4333,0.3304,0.7746,1.2782,0.2035,1.2243,0.2768,7.387,10.1006,0.0562,46.7926,8.7508,19.8799,2115.7966,441.7063,0.8688,9.0472,19.8773,26.6514,365.1607,2.0267,246.5339,155.6953,0.1928,3.9965,0.3693,5.0637,1.6271,25.1269,0.0789,64.2791,109.5217,29.0508,4.064,24.0925,5.2212,31.5346,0.0
ESP_C31T33,61.1163,61.1161,5.6416,38.2936,1.4868,340.1917,43.3157,145.5258,144.6817,53.5685,220.2146,57.6295,111.2744,147.3715,367.1136,336.433,36.0022,132.9778,61.8986,350.3338,652.8218,1460.3718,326.9455,210.4664,1149.2135,471.9611,485.6459,60.8418,570.4018,389.3009,20.4452,308.067,99.1094,321.4162,63.3446,98.2079,50.2178,285.2503,391.9574,267.0259,176.8392,1181.3946,328.3407,102.2619,0.0
ESP_D,508.5075,75.4453,51.2486,199.5786,2.1884,1928.4718,273.554,170.0208,904.9035,448.0505,2013.8962,303.0571,752.7568,2144.6662,2372.8365,953.5848,56.6362,197.3568,455.5696,955.9158,208.7475,412.505,20361.2499,425.5982,2300.2449,5334.06,1311.2839,33.1568,191.8978,1173.492,71.5069,1250.2468,375.3039,974.9772,368.9946,430.3448,183.731,955.6646,528.6938,1439.2448,579.2531,1089.9423,420.3767,389.3624,0.0
ESP_E,475.3988,20.8401,1.5391,29.3693,0.4439,391.2189,60.4065,47.6976,125.0767,167.9445,455.5425,55.9611,218.8869,166.5737,4071.6317,260.6703,11.1278,30.516,29.719,76.9498,32.7435,77.8429,319.8761,6239.0292,864.2694,1283.087,76.5997,11.2574,12.1761,96.9103,10.9606,601.2038,67.3664,71.8328,30.7369,55.8016,278.713,258.9098,222.5297,224.2652,107.4915,337.3787,175.8752,279.4781,0.0
ESP_F,168.6301,17.6291,2.7389,54.7453,1.4345,589.3117,95.9907,16.2558,157.211,60.5656,268.7923,122.7009,219.7705,329.128,191.1067,218.3746,45.3179,57.7374,174.5973,64.2766,156.0653,523.7887,736.5335,343.1012,22646.9678,3500.8654,348.656,29.1695,87.3714,1351.382,53.6146,1118.8872,199.7862,496.0475,471.3135,870.0712,3722.6875,638.2815,666.6376,1025.4835,789.3334,673.015,366.6277,231.2243,0.0
ESP_G,4479.4099,159.8731,20.939,133.5954,4.0317,16585.2916,2596.3321,694.5592,1373.7661,1143.0041,3649.0866,1164.7328,1471.3739,1207.6664,1792.0088,1754.2442,354.4298,1178.1531,1153.1588,5641.7675,916.7732,1418.8198,2670.5028,949.9398,5919.0845,5752.5545,1620.1044,59.361,496.7304,761.4199,45.34,8129.1393,897.1748,980.4027,453.209,877.7634,242.5491,2405.2287,1177.9987,1114.2523,688.9416,4750.7989,630.6366,735.5882,0.0
ESP_H49,321.9281,19.2764,9.0334,278.6089,1.9589,2116.8814,206.5867,158.6747,368.7858,486.6448,843.8322,159.2894,382.4523,740.6721,637.5962,457.4914,34.1639,196.8934,332.0195,594.6242,184.6664,251.7883,1060.0072,285.2045,592.358,6863.9929,1964.2582,29.3465,57.4104,4578.6394,150.033,370.8123,316.0018,119.0559,74.2531,119.0567,18.4657,363.55,1774.5133,1183.1398,95.9922,314.5543,129.6599,252.3756,0.0
