V1,JPN_A01_02,JPN_A03,JPN_B05_06,JPN_B07_08,JPN_B09,JPN_C10T12,JPN_C13T15,JPN_C16,JPN_C17_18,JPN_C19,JPN_C20,JPN_C21,JPN_C22,JPN_C23,JPN_C24,JPN_C25,JPN_C26,JPN_C27,JPN_C28,JPN_C29,JPN_C30,JPN_C31T33,JPN_D,JPN_E,JPN_F,JPN_G,JPN_H49,JPN_H50,JPN_H51,JPN_H52,JPN_H53,JPN_I,JPN_J58T60,JPN_J61,JPN_J62_63,JPN_K,JPN_L,JPN_M,JPN_N,JPN_O,JPN_P,JPN_Q,JPN_R,JPN_S,JPN_T
JPN_A01_02,8009.9567,2.2756,0.2391,1.8329,0.1744,30964.849,100.047,1644.1366,27.3054,1.5887,191.2918,67.8545,597.1233,7.0783,8.0755,10.4977,32.1151,12.7973,22.9798,8.5454,3.6651,104.9023,9.1217,5.7038,290.2704,1726.333,9.9758,9.2235,1.2682,20.0831,4.8612,6084.7908,12.4096,6.5452,7.5545,47.386,9.1336,101.6584,62.538,27.9994,203.6079,890.6773,200.2473,177.8317,0
JPN_A03,0.2265,320.204,0.034,0.3743,0.0005,5736.1579,0.2403,0.1411,1.7713,0.4868,6.3415,3.6627,1.3667,0.673,1.5553,1.0203,11.3692,2.0389,4.129,1.528,0.611,365.6786,2.2583,1.2054,10.5162,54.2214,4.5272,3.9432,0.3139,4.0196,1.1603,1457.3248,3.2226,1.6034,5.0662,11.842,2.3901,4.5953,2.4926,4.3401,8.6467,220.3031,4.0104,18.7556,0
JPN_B05_06,0.6978,0.0363,0.0126,0.0288,0.1839,3.6279,0.4231,0.1383,3.6116,576.8435,10.3139,0.3186,0.3091,5.9006,5.6391,0.3038,0.4778,1.0155,0.8237,0.9829,0.1605,0.3469,452.809,0.2035,6.56,1.7961,0.3692,0.1009,0.0751,0.1056,0.0087,1.377,0.054,0.1216,0.0969,0.1785,0.1809,0.3713,0.2191,0.4257,0.2602,0.6627,0.2251,0.2575,0
JPN_B07_08,0.4477,0.0004,0.0,11.6547,3.272,1.146,2.2245,0.1136,16.9844,28.8279,99.1648,6.409,1.0009,378.0913,3169.5598,0.501,51.7374,16.5206,2.8817,1.1854,0.4469,13.1455,0.0321,0.0002,24.2812,0.5125,1.4996,0.0,0.0,0.0,0.0,0.0,0.0235,0.1862,0.0,0.0001,0.0009,11.9868,0.0,0.1333,0.0011,0.0107,1.0096,1.1215,0
JPN_B09,3.5502,0.9435,5.0862,16.1584,24.5082,5.6387,0.0858,0.1903,8.0042,413.9146,21.8602,0.4651,2.3334,33.3909,192.8237,5.4015,0.3755,1.132,5.2265,0.6985,0.2746,0.4974,147.8861,5.4584,199.3668,3.1818,7.4196,0.3165,0.3348,4.013,0.0107,0.9775,0.0293,0.0,0.0439,0.0313,9.4661,7.5809,3.5485,5.6484,0.1623,2.4854,0.472,0.4158,0
JPN_C10T12,4594.1634,498.152,0.847,10.2909,0.3952,25634.5313,92.9963,16.7859,115.3431,15.5401,532.5703,147.3197,49.2629,33.8113,51.2881,37.4299,114.5037,72.5108,129.1343,65.0899,21.1915,96.1341,59.5494,41.3058,282.8522,2690.5565,91.1066,88.1907,8.0721,132.4046,30.2989,35215.3835,54.8316,197.0924,107.4347,252.144,97.6982,267.9361,159.4527,188.7184,454.8641,2506.9741,120.0724,296.1225,0
JPN_C13T15,105.7108,213.5775,0.7804,3.6897,0.8557,250.3488,5179.5173,17.5889,422.2044,4.8113,54.3954,15.9655,491.6118,181.1304,46.2375,42.8116,113.3149,172.7191,173.9153,300.1083,67.9894,900.0793,30.5916,27.7108,614.0985,1001.4846,123.7962,277.065,10.0407,123.4534,20.7586,208.6317,49.2418,122.6493,140.0544,167.2892,20.0743,283.6354,220.193,301.8841,68.4005,489.4797,363.6721,305.439,0
JPN_C16,112.1663,12.2851,0.2972,0.2334,0.7345,105.1186,6.171,2189.4399,1413.6313,0.0517,29.2996,3.8114,8.8615,124.8726,48.8342,43.6549,40.6198,18.5387,56.449,44.651,54.7661,2254.4526,243.2519,0.7745,9933.4735,466.4449,2.2661,5.7647,0.1862,413.3239,1.2693,185.0972,10.2331,5.4664,3.7645,23.8876,2.3014,41.4402,29.2167,11.1678,6.0959,11.9222,45.1991,38.6144,0
JPN_C17_18,2291.7375,31.9639,1.0734,10.9755,1.4855,7060.1316,195.023,226.7035,22977.3664,21.5273,1832.84,764.8693,539.1364,674.5783,170.2119,382.9161,1660.3196,1373.0961,1005.1509,460.7886,195.9299,1544.1891,345.3271,230.752,1729.436,10200.9425,652.0898,270.0695,43.3802,1889.5179,307.0437,1258.3896,6320.22,1846.0346,2775.5516,6311.7631,259.6647,4447.1367,1590.1432,3224.5835,2401.6282,3836.3594,625.0051,825.3159,0
JPN_C19,1537.3026,515.3835,10.1157,287.1598,47.0584,1220.4308,189.0045,95.8139,351.9021,5391.9272,9989.7816,820.9639,71.8909,771.2397,1693.4568,279.1943,206.8634,83.6054,310.7133,7.5221,149.0054,395.2782,7292.8634,418.7174,6599.5487,7566.0635,7104.8029,5470.5288,3935.6469,391.9547,176.5805,1406.2369,274.0146,232.2177,610.7322,714.9707,595.12,2408.4605,2785.4181,3552.5832,596.7113,1555.947,1143.2901,866.1241,0
