V1,ISR_A01_02,ISR_A03,ISR_B05_06,ISR_B07_08,ISR_B09,ISR_C10T12,ISR_C13T15,ISR_C16,ISR_C17_18,ISR_C19,ISR_C20,ISR_C21,ISR_C22,ISR_C23,ISR_C24,ISR_C25,ISR_C26,ISR_C27,ISR_C28,ISR_C29,ISR_C30,ISR_C31T33,ISR_D,ISR_E,ISR_F,ISR_G,ISR_H49,ISR_H50,ISR_H51,ISR_H52,ISR_H53,ISR_I,ISR_J58T60,ISR_J61,ISR_J62_63,ISR_K,ISR_L,ISR_M,ISR_N,ISR_O,ISR_P,ISR_Q,ISR_R,ISR_S,ISR_T
ISR_A01_02,809.391,5.6586,0.0034,0.2336,0.0082,2728.9767,0.5157,0.1417,0.0585,0.0641,28.8373,3.2272,17.9123,0.1178,0.0234,0.1384,0.0554,0.0237,0.0299,0.0134,0.0173,1.8281,1.3023,1.5579,12.5228,24.9476,1.1447,0.2428,0.2214,0.1475,0.0396,413.2135,5.8793,0.0114,0.9457,1.1752,2.0557,15.6667,48.1048,94.4073,1.7044,4.9073,2.4921,0.0719,0.0
ISR_A03,0.001,0.1777,0.0001,0.0078,0.0003,3.7932,0.002,0.0005,0.0032,0.0253,0.02,0.0004,3.0159,0.0063,0.0008,0.0061,0.0221,0.0035,0.0008,0.0005,0.0259,0.0078,0.0087,1.742,0.0703,0.0316,0.0346,0.0175,0.0108,0.0339,0.0019,2.319,1.1185,0.0582,0.0221,0.0551,1.4295,0.0996,0.0714,0.0202,0.0389,0.006,5.8809,1.1781,0.0
ISR_B05_06,0.014,0.0013,0.0883,1.6033,0.0831,0.0186,0.0015,0.0,0.0,179.6393,1.1374,0.0,0.0,1.4635,0.0442,0.0027,0.0469,0.0003,0.0009,0.0,0.0012,5.0979,6.2545,1.7441,0.2531,0.0049,0.0007,0.0,0.0,0.0,0.0,0.0009,0.0,0.0012,0.0047,0.0,0.0003,0.0208,0.0049,0.0,0.0,0.0002,0.0002,0.0,0.0
ISR_B07_08,0.5829,12.1138,0.0,0.0054,0.0001,0.045,0.0186,0.0623,8.8436,0.0005,0.7359,8.5174,7.5184,0.0698,0.0001,0.0027,0.0038,0.0,0.0,0.0067,0.0,972.9888,0.0001,0.0,1.9881,0.0,0.0,0.0,0.0,0.1046,0.017,0.0,4.7517,1.5845,2.1159,0.1416,0.0001,0.6372,0.8005,4.0749,0.1721,0.0,0.0,0.2335,0.0
ISR_B09,0.0,0.0,34.182,1.2647,17.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.1753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR_C10T12,953.4267,16.7296,0.0669,3.7921,0.1559,3026.5932,3.6324,1.6417,5.4101,2.4048,106.3508,15.5915,2.4215,0.8303,0.6513,1.0249,3.7135,9.007,1.1202,0.0927,1.0767,25.3828,1.3283,3.0679,8.6845,4.4893,4.7806,3.4462,2.1889,0.4219,0.1421,1925.9553,10.2539,0.7896,4.3894,3.9444,5.7498,17.5742,6.1551,195.6219,30.7296,33.6743,2.2699,2.0959,0.0
ISR_C13T15,4.3976,0.0438,0.0278,1.8101,0.0438,6.2972,222.8324,0.6034,10.6009,1.7989,19.4002,0.8136,15.0576,2.628,0.725,5.5483,2.841,0.9644,3.2953,3.1201,1.5658,51.2937,1.2504,5.764,18.2907,26.9813,5.7343,3.9261,2.4115,1.6884,0.1798,8.2614,0.2617,0.065,0.7492,1.6244,2.3653,12.2024,9.3371,23.344,4.4564,29.1889,7.16,5.2279,0.0
ISR_C16,0.7828,0.0265,0.0043,0.3707,0.0115,4.8787,0.9471,57.7978,4.6939,5.5678,7.2617,0.0559,3.9942,5.3087,1.5857,3.7186,2.341,1.2717,0.6512,0.8193,0.8226,155.3451,0.2885,0.1575,94.5995,0.9085,0.1939,0.1123,0.0605,0.0337,0.0095,0.7373,0.0347,0.0082,0.0236,0.1265,2.4639,0.6681,1.5566,2.9899,0.1821,0.3371,0.2324,0.139,0.0
ISR_C17_18,63.1659,0.1789,0.0142,1.1851,0.0287,143.6817,7.3583,10.4181,406.4835,15.9922,78.9171,21.9939,41.6869,17.6764,4.8051,29.2791,20.1015,5.8097,10.5046,1.2404,7.1854,77.06,5.0683,10.7062,48.8135,159.1488,4.3759,1.8658,1.7371,7.8096,1.7762,14.8468,134.2331,3.4323,7.4087,32.5539,3.1655,221.3911,5.2319,78.322,48.3836,56.0734,36.1654,7.2845,0.0
ISR_C19,28.3529,2.173,0.4497,34.7989,0.5747,73.0095,68.7422,2.1255,23.7115,3225.1567,295.6786,26.4321,420.1071,127.3258,22.8213,29.0648,65.2986,21.3075,21.9156,4.038,7.3078,151.0951,60.9128,55.8729,176.7264,192.7342,397.3771,107.2378,145.1843,8.6374,4.1398,24.5181,2.6566,12.0607,19.3523,20.526,16.4519,55.1136,85.2956,157.9124,12.9733,28.2079,13.3237,11.0505,0.0
