V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T
IRL_C31T33,225.3886,12.979,0.7103,2.163,0.3482,48.6075,0.4155,3.5283,2.275,28.4029,8.7905,92.3701,27.2771,13.5634,8.3297,30.3043,256.3024,29.9677,55.3324,7.3141,11.2324,1558.6765,15.7581,2.1457,301.3009,49.0695,53.1353,18.8152,208.7539,9.6294,2.0334,8.3879,6.1542,47.334,167.3712,13.446,0.7893,13.138,33.7953,40.0486,10.3515,114.6449,6.771,9.1033,0.0
IRL_D,329.482,34.4343,2.3247,79.2378,0.3711,367.5668,7.0968,36.4016,10.7025,19.4852,48.229,213.562,41.3082,72.8372,28.3653,68.1257,64.1335,5.9134,15.0653,10.8028,18.8806,24.8571,983.9931,32.0825,87.6012,579.5313,57.352,7.5661,94.7598,128.674,8.2819,109.8929,18.3705,31.2927,213.1022,82.2137,30.0339,90.0122,164.9881,228.9888,68.0508,131.471,39.088,23.4971,0.0
IRL_E,11.9391,11.6184,0.4585,1.5222,0.0732,70.5898,1.8934,3.2921,3.9122,6.4346,10.518,69.4739,23.906,3.1099,108.2671,4.6317,15.1634,0.8313,3.615,12.6597,0.8876,29.8317,0.8189,448.3997,112.0843,63.5389,7.8158,0.8959,32.7218,2.486,3.4137,6.9616,4.4714,3.9221,92.9714,16.4405,2.0993,24.9504,91.7334,6.6794,1.3804,37.5903,12.9836,12.4179,0.0
IRL_F,71.9352,5.1163,6.2879,12.0407,0.2089,114.5701,2.7684,28.6281,8.0429,124.3667,19.7867,133.768,3.7355,31.2715,17.8836,72.4147,191.4326,37.4796,101.319,21.5634,5.5565,125.7462,68.5196,23.3941,2935.6685,404.0728,31.4633,12.1399,117.9387,30.6368,13.3183,24.3107,22.9064,33.1026,119.6052,70.8154,132.6685,135.9747,52.385,173.9831,126.1963,28.811,22.8055,32.0344,0.0
IRL_G,260.4542,22.4955,2.1427,23.1952,0.4143,1057.1271,30.1534,37.1345,62.1464,289.4497,192.0022,714.0086,44.1717,95.3608,22.3475,77.2788,824.4309,40.3456,95.4084,13.8878,14.0306,823.5404,103.1009,41.2433,349.5669,843.8823,252.9704,26.2353,238.4984,88.1048,28.5367,114.9243,388.2081,46.9032,1085.6526,119.9119,6.1079,127.997,240.4411,174.711,45.4413,194.5861,28.506,74.588,0.0
IRL_H49,35.7173,4.143,0.6283,13.1015,0.2877,288.6999,8.8245,45.1736,12.7083,39.9982,9.8536,34.2583,26.5437,79.3812,6.445,42.5745,133.6429,8.5736,14.0105,2.8779,2.8558,70.4719,14.7525,25.7522,90.1231,559.1071,124.7307,0.9331,20.1672,47.0296,18.464,15.4043,53.8354,10.3453,51.7664,38.4663,1.2862,49.4267,72.0272,117.6916,14.546,42.195,5.9434,8.3857,0.0
IRL_H50,1.0895,14.3375,0.0214,0.5535,0.0168,43.6706,0.3256,1.6999,0.6433,2.2677,1.6299,5.5524,1.5472,5.3236,0.6594,1.973,32.624,0.5457,2.0558,0.3495,0.3481,3.3112,0.8087,6.0117,2.0932,70.0221,1.9352,67.4857,8.0847,12.2124,2.4154,0.815,32.0071,0.9474,5.9323,5.8401,0.2976,2.8517,30.9179,0.9867,0.1122,0.2452,0.4975,0.6445,0.0
IRL_H51,11.6344,0.8953,0.6582,4.581,0.0476,225.7208,4.7706,1.1956,7.1064,24.0617,20.1623,68.2054,22.8396,28.6721,8.5111,15.9208,83.9027,10.9771,16.6523,11.2929,12.0338,50.1464,10.5502,2.7741,18.3828,57.385,10.176,2.1435,283.3583,12.5808,4.6349,8.3415,30.7253,5.2105,59.1793,31.7384,1.065,56.834,129.0624,14.1215,9.2541,22.1225,4.5155,12.3213,0.0
IRL_H52,4.7686,5.5766,0.0432,0.537,0.1482,71.3626,0.6183,0.6324,1.0639,5.8686,3.9753,26.8805,3.1267,14.7561,1.018,3.417,48.9869,2.6168,2.4973,0.4357,0.9313,9.2824,1.7624,13.8508,10.5467,523.5459,207.691,36.2806,240.1437,182.9594,10.408,5.3748,10.7725,13.7962,94.5695,25.8297,2.6203,34.6999,49.4548,2.2116,0.4068,1.5122,3.1483,7.9615,0.0
IRL_H53,4.5759,0.0,0.0905,0.4769,0.0151,19.3521,1.6789,1.2241,0.6349,0.2592,2.5164,3.4409,2.1337,2.7191,1.8575,4.2638,1.1923,1.3009,0.25,0.8943,2.3158,2.0466,0.8846,2.1404,9.893,125.9768,10.8868,1.3415,19.4857,3.4872,25.4306,7.808,4.0724,15.0182,151.5787,249.5699,0.9487,79.2456,29.9221,3.1817,0.4595,4.9997,2.6456,12.9743,0.0
IRL_I,3.7507,0.6912,0.5354,2.212,0.0654,52.5505,4.7949,3.7658,2.238,5.7184,5.2848,28.105,5.1722,4.1012,4.7069,11.5912,18.1258,3.5504,5.9031,5.6541,3.6583,12.3216,29.7128,10.4204,15.5363,118.7288,5.6049,0.7306,49.121,3.8483,2.8425,7.1761,5.5132,6.3471,49.5903,31.0901,0.6908,33.8467,45.6159,40.8841,2.4249,34.3077,4.312,10.0534,0.0
IRL_J58T60,12.333,0.3007,1.1387,18.1647,0.048,552.5723,24.9208,21.5713,99.7188,0.0022,149.1996,1182.3854,47.9864,40.5474,23.3522,156.8775,150.2589,17.2605,39.696,15.2517,8.4894,451.1266,287.0268,53.4227,17.3419,30.2424,3.8151,0.3864,15.5013,6.2731,1.6297,94.7732,1523.7203,80.3674,270.7927,221.4824,0.9277,96.3635,21.0781,34.8173,96.3863,19.1924,112.0903,372.7409,0.0
IRL_J61,37.9735,1.3386,0.2439,2.2578,0.0467,95.1175,2.8117,2.1896,1.2964,6.3148,5.6238,48.2171,5.3079,4.2751,2.8023,6.6901,18.6292,2.0723,5.078,3.3964,2.0669,46.0633,34.3987,12.1922,19.4103,87.5182,12.716,1.5544,28.8883,9.5163,9.8742,11.1781,19.9909,152.6874,233.2923,78.4742,5.6786,107.1414,96.7167,126.519,11.9316,25.2384,5.4173,11.4401,0.0
