V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T
BLR_A01_02,1617.743,1.2582,1.0886,0.4245,0.3345,3142.1057,57.7784,100.5736,23.4418,3.3942,59.5524,7.7639,17.2396,3.0951,2.9636,1.4381,1.4723,1.2287,2.5144,1.8173,0.4835,8.3822,8.2166,1.3258,18.2446,25.4073,4.0396,4.943,2.8151,1.5959,0.198,78.8086,1.6842,2.4463,0.9129,2.1466,1.6024,3.9062,3.9418,11.4974,5.0977,10.0016,3.6748,5.2313,0
BLR_A03,0.839,1.5475,0.0126,0.0046,0.004,29.9375,0.1046,0.0289,0.0305,0.0398,0.1823,0.0319,0.0279,0.0265,0.0288,0.0131,0.018,0.0147,0.0291,0.0174,0.0048,0.0761,0.0377,0.0088,0.1015,0.1955,0.0413,0.1015,0.0396,0.012,0.0016,2.5671,0.0244,0.0254,0.0118,0.0155,0.0077,0.0363,0.0223,0.0872,0.0506,0.099,0.0404,0.0386,0
BLR_B05_06,0.9177,0.009,1.833,0.2487,0.2687,1.8839,0.3569,0.1273,0.4726,150.1412,10.2537,0.1176,0.3053,2.2305,4.2754,0.1841,0.097,0.106,0.2685,0.1076,0.0429,0.1585,32.3579,0.0953,1.5723,0.5779,0.534,0.2841,0.1726,0.1087,0.0123,0.2047,0.0416,0.0779,0.0201,0.0549,0.082,0.1442,0.0782,0.2479,0.1223,0.1705,0.0783,0.1416,0
BLR_B07_08,2.322,0.0196,0.3333,2.1409,0.3655,2.0114,0.256,0.1148,0.7255,2.9465,22.8434,0.1982,0.3295,45.3156,16.2092,0.4589,0.1494,0.2429,0.3682,0.1352,0.0435,1.0455,2.7539,0.2585,34.5174,0.3295,0.2745,0.0706,0.033,0.0978,0.004,0.0876,0.0189,0.0328,0.0107,0.0202,0.1191,0.1173,0.0713,0.3536,0.0551,0.07,0.0521,0.0891,0
BLR_B09,0.9471,0.0266,10.7685,1.8963,3.238,0.5217,0.0579,0.0431,0.4809,29.4165,2.3327,0.0272,0.138,3.7349,6.4133,0.2541,0.0169,0.0348,0.1385,0.0207,0.0133,0.059,6.6699,0.0984,8.6685,0.1019,0.2884,0.096,0.0705,0.0995,0.0022,0.0267,0.0086,0.0122,0.005,0.011,0.072,0.2249,0.0781,0.171,0.0134,0.0572,0.0174,0.0402,0
BLR_C10T12,896.2894,7.7784,0.4414,0.3304,0.1398,1913.831,23.5062,1.8031,7.2669,3.1779,133.0961,13.6308,4.0955,2.9776,3.262,1.543,1.7622,1.6016,3.1621,1.5229,0.4314,4.5447,4.7286,1.5063,9.3779,35.2601,3.7334,15.3259,4.9239,2.055,0.157,453.8969,3.081,2.62,1.2876,2.7462,1.2445,5.6543,3.9381,20.5663,16.0168,36.6198,11.1707,11.3728,0
BLR_C13T15,13.2746,0.9378,0.9502,0.3371,0.247,16.6288,919.7826,3.4682,9.9898,1.6921,12.071,2.2245,15.2671,4.6132,3.8309,2.8735,2.9171,2.6285,5.6824,11.2273,1.7026,35.8581,3.7287,2.0681,16.3381,17.887,3.6666,4.5906,2.5887,1.3039,0.4144,6.7935,2.2375,2.021,0.8214,1.6992,0.6301,4.8842,3.6611,16.6144,3.1374,13.4693,4.9257,15.5887,0
BLR_C16,6.4022,0.0748,0.1426,0.1468,0.0372,6.4686,2.1051,95.9048,8.6688,0.3022,4.8477,0.3254,2.239,3.3394,1.641,1.8163,0.7698,1.239,1.9416,2.6324,1.1014,43.0574,2.5735,0.303,60.1388,3.1631,0.6816,0.4447,0.2296,0.4023,0.0271,0.5865,0.4269,0.2795,0.1069,0.2083,0.9107,0.9294,0.489,0.6908,0.4109,0.8379,0.4338,1.9278,0
BLR_C17_18,21.9463,0.4486,0.5475,0.5495,0.1547,192.8531,28.1993,16.6927,533.3609,2.6477,68.5492,17.3318,27.0111,24.3641,6.9361,5.9679,10.3396,11.3719,11.1198,6.206,1.2148,23.46,6.5764,2.8438,14.9921,56.1301,5.5957,3.4391,2.4736,3.7164,1.9746,10.3993,86.3168,10.881,6.5922,20.426,2.5243,36.7523,12.4984,29.9099,22.6906,15.0547,10.3633,17.6022,0
BLR_C19,105.4208,3.3387,5.8145,4.8574,2.1661,45.0514,15.4479,8.1462,8.7833,239.6254,142.2925,4.643,13.1126,33.3249,39.5715,5.362,5.4555,5.2572,7.5684,5.994,1.5743,10.5871,49.9623,6.0076,51.8414,34.6399,129.7435,134.1701,109.2698,6.588,1.4052,7.0793,2.4468,4.6987,1.494,4.6191,1.8021,8.237,5.9682,16.1894,4.088,9.0711,3.041,8.9724,0
