V1,PRT_A01_02,PRT_A03,PRT_B05_06,PRT_B07_08,PRT_B09,PRT_C10T12,PRT_C13T15,PRT_C16,PRT_C17_18,PRT_C19,PRT_C20,PRT_C21,PRT_C22,PRT_C23,PRT_C24,PRT_C25,PRT_C26,PRT_C27,PRT_C28,PRT_C29,PRT_C30,PRT_C31T33,PRT_D,PRT_E,PRT_F,PRT_G,PRT_H49,PRT_H50,PRT_H51,PRT_H52,PRT_H53,PRT_I,PRT_J58T60,PRT_J61,PRT_J62_63,PRT_K,PRT_L,PRT_M,PRT_N,PRT_O,PRT_P,PRT_Q,PRT_R,PRT_S,PRT_T
PRT_C27,2.3915,0.3517,0,0.6461,0.0411,9.0303,4.0677,1.3379,2.3742,1.8511,2.5542,0.852,4.575,3.3821,5.4728,18.5224,60.9753,97.9978,18.1345,60.0128,1.4206,27.0561,18.6829,5.2165,92.4332,43.1428,7.1874,0.5226,1.6726,0.9414,2.7168,16.5112,3.0979,20.9192,6.7342,11.9224,3.9795,7.2983,9.7795,2.0037,0.7344,4.236,1.8933,0.7419,0.0
PRT_C28,4.2788,1.0758,0,2.0578,0.1396,16.1661,5.3684,1.9483,5.9157,2.1707,3.2974,2.1151,5.3826,13.3642,1.8382,38.6587,6.915,23.2192,90.4233,29.7075,2.7494,23.2294,5.2783,5.5697,67.7572,31.85,8.0291,1.1946,2.8901,2.2171,0.3857,10.3626,1.1694,3.0701,2.6884,1.1996,13.1946,7.358,5.6312,6.1889,1.3725,9.8839,1.5854,1.5094,0.0
PRT_C29,1.3751,0.1499,0,7.1649,0.407,2.8231,1.1331,0.4265,1.281,0.7157,1.3167,0.6597,4.7563,1.4025,1.7733,7.1452,18.0802,9.5764,4.0706,1095.6416,0.7649,5.9416,4.1238,3.29,17.221,194.7748,6.7977,0.6598,1.4846,3.5471,0.4715,4.2262,2.0132,13.7811,4.737,4.007,3.4236,12.7894,8.0856,7.1738,1.4308,7.9956,2.2509,1.706,0.0
PRT_C30,0.0252,0.2666,0,0.0188,0.0,0.0,0.132,0.0,0.0,0.0,0.0469,0.0,0.0165,0.0,0.0055,2.2127,0.0775,0.0,0.0479,1.1821,73.8928,16.5177,0.0,0.0155,0.3559,13.4761,0.1663,0.074,41.0517,0.0037,0.0,2.5509,0.1428,0.0,0.0,0.0,0.0111,0.043,0.0488,0.178,0.3425,0.0817,0.086,2.8773,0.0
PRT_C31T33,14.2709,10.0325,0,13.2931,0.8692,141.7125,54.0629,31.2452,31.143,22.8039,21.0645,10.3217,22.4924,31.2054,30.6809,35.5199,7.8277,16.0823,14.0577,26.0362,2.8269,190.442,36.5629,33.1723,64.8338,84.5883,87.0846,16.2801,36.0408,16.4288,5.615,66.7843,10.903,35.8416,27.1443,10.8943,40.9122,51.6004,50.2551,21.0344,21.8991,159.5974,26.0481,15.8002,0.0
PRT_D,129.3115,15.543,0,55.6513,1.504,382.1849,217.5301,89.4446,247.2171,161.5776,213.3043,16.9257,125.3454,191.3636,144.1346,112.2872,21.5516,36.8044,28.9823,68.062,6.779,69.3803,7570.2627,101.6709,114.5359,672.4962,86.0537,15.4687,5.9642,136.9275,6.2223,538.2357,18.6157,58.6465,15.1418,49.0111,110.2753,69.9523,50.4303,262.4196,82.2576,213.1484,71.5501,106.6026,0.0
PRT_E,13.1325,1.1234,0,1.0909,0.0461,40.2523,6.7704,13.2748,77.59,13.9919,15.6879,2.2414,15.2646,77.4731,713.4923,20.4193,1.1157,2.3493,38.27,3.0312,1.1426,6.166,56.1516,1230.9681,23.2842,82.0233,15.6671,0.4976,1.4408,18.9068,0.5134,126.2675,3.0393,2.7691,3.0405,6.7844,17.3781,15.2669,9.4042,264.7349,32.9815,90.2606,40.9528,21.8611,0.0
PRT_F,117.9374,11.037,0,15.3681,1.0604,87.5917,26.8196,21.9881,29.353,33.8188,28.6983,4.8917,9.9897,38.5083,11.6949,27.4067,5.1281,14.6111,11.647,24.2501,6.1836,33.7539,70.7153,68.4034,4322.6648,242.8891,142.672,34.0178,81.4668,363.035,17.3477,81.8813,11.0489,55.7425,36.0711,88.735,528.0094,74.9985,64.1511,535.6499,88.7922,114.7492,46.3801,39.3335,0.0
PRT_G,669.1242,41.6567,0,59.3595,3.2928,2161.2695,950.8267,186.7778,368.9914,357.9292,445.2845,106.832,287.901,236.706,106.9381,317.9234,90.7119,156.7635,117.1397,417.0439,29.7817,274.9607,472.9118,101.0144,538.5196,2544.9614,747.0462,36.1299,328.3006,210.9125,18.7575,1045.013,123.6295,204.6938,133.458,337.13,120.3147,504.3993,320.5438,232.8135,96.8379,811.9285,133.3643,133.3765,0.0
PRT_H49,184.9568,3.6891,0,34.3458,1.4613,355.3324,93.8761,50.8494,83.4137,100.933,117.5547,12.6973,100.9728,129.246,50.8213,104.9332,15.5302,35.5306,32.0146,83.9315,9.7027,58.1996,118.0376,19.6875,77.4153,928.6542,1082.7099,1.0825,14.4126,68.1623,15.2358,34.2654,15.5024,10.3085,17.4493,22.2263,6.9303,94.8897,61.952,50.0086,26.7143,36.9242,16.07,31.8389,0.0
