V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T
LAO_C27,0.046,0.0023,0.0697,0.112,0.0151,0.214,0.0038,0.0095,0.0004,0.0012,0.003,0.0004,0.0012,0.0072,0.0131,0.0611,0.0481,0.0784,0.0003,0.0327,0.0018,0.0183,0.0799,0.009,1.4778,0.3461,0.1381,0.0074,0.0021,0.0021,0.0008,0.0109,0.0032,0.022,0.0028,0.0076,0.0072,0.0085,0.0031,0.0763,0.0018,0.0026,0.0016,0.0306,0.0
LAO_C28,0.0057,0.0002,0.0016,0.0032,0.0005,0.0083,0.0005,0.0011,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0007,0.0033,0.0006,0.0007,0.0,0.0058,0.0004,0.0024,0.0025,0.0006,0.018,0.0121,0.0024,0.0003,0.0001,0.0003,0.0005,0.0023,0.0,0.0026,0.0,0.0015,0.0003,0.0001,0.0002,0.0063,0.0008,0.0,0.0,0.0007,0.0
LAO_C29,0.0219,0.0005,0.02,0.0484,0.0059,0.1065,0.0022,0.0038,0.0002,0.0006,0.0011,0.0002,0.0004,0.0033,0.0047,0.0254,0.0222,0.0161,0.0001,0.0602,0.0005,0.0111,0.0324,0.0096,0.4595,0.2154,0.0559,0.0038,0.0029,0.0014,0.0055,0.0053,0.0012,0.0132,0.0007,0.0096,0.0028,0.0028,0.0026,0.0523,0.0018,0.001,0.0014,0.0087,0.0
LAO_C30,0.0027,0.0004,0.0039,0.0093,0.0008,0.0068,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.0002,0.0002,0.001,0.0021,0.0011,0.0,0.0071,0.001,0.0011,0.0025,0.0009,0.0329,0.0206,0.0036,0.0018,0.0016,0.0002,0.0003,0.0005,0.0002,0.0006,0.0,0.001,0.0002,0.0003,0.0002,0.011,0.0002,0.0001,0.0002,0.0027,0.0
LAO_C31T33,10.9333,3.2509,2.5994,6.9986,0.8025,3.0427,0.7157,0.474,0.022,0.0605,0.172,0.031,0.0406,0.2753,0.064,0.2227,0.1235,0.1374,0.0012,0.0686,0.0111,0.2934,4.881,2.3368,4.0621,5.5162,2.5966,0.5055,0.3334,0.0933,0.0758,1.091,0.0739,0.5672,0.0838,2.3573,0.4548,1.5629,0.1978,5.0046,0.4145,0.6351,0.1552,0.2883,0.0
LAO_D,3.3398,0.0591,10.3504,27.7441,1.5318,7.6243,0.622,0.5879,0.0377,0.1279,0.258,0.0256,0.0828,1.0773,0.0764,0.1114,0.0899,0.0797,0.0048,0.0986,0.0056,0.3432,15.5442,1.2609,1.8838,19.5619,0.1939,0.0098,0.0134,0.0165,0.0606,8.7476,0.511,0.9098,0.0778,3.67,0.6333,0.4611,0.0664,10.9679,0.8242,0.4029,0.5844,0.7899,0.0
LAO_E,4.4838,0.0789,11.4743,26.0414,1.56,10.9378,0.7242,0.4209,0.0247,0.1244,0.1907,0.0261,0.0547,0.6996,0.0525,0.1048,0.0668,0.0458,0.003,0.0532,0.0044,0.1928,16.4976,4.3124,2.4738,14.9039,0.7379,0.0182,0.0167,0.0131,0.0923,12.5699,0.1997,0.5729,0.0889,3.8231,0.9155,0.4706,0.0923,14.9314,0.9198,0.3937,0.5437,0.7808,0.0
LAO_F,12.1352,0.2651,14.2304,29.9197,4.2562,0.3658,1.073,0.1213,0.0057,0.001,0.0005,0.0001,0.0001,0.0006,0.0089,0.0315,0.0092,0.0076,0.0008,0.0214,0.002,0.0233,13.978,4.3509,511.361,117.4245,0.4888,0.0009,0.0037,0.0046,0.5293,19.7465,1.3802,4.6596,0.837,1.8357,85.5311,4.5535,0.6109,276.3722,23.3259,4.0772,1.8823,5.1224,0.0
LAO_G,66.7697,5.9805,12.4293,30.4596,3.9289,185.6296,35.464,23.8084,0.9844,2.4737,3.8635,0.4196,1.3045,3.7488,2.521,6.6875,2.5944,3.2569,0.0198,1.8945,0.1048,8.06,12.4621,4.1486,148.5617,48.8389,18.9032,8.6937,3.3989,3.1379,1.3557,49.7858,1.1119,5.599,0.4827,6.3988,1.1707,3.6322,1.9033,42.0003,2.5374,2.727,0.9342,4.6809,0.0
LAO_H49,4.1843,0.1856,2.467,5.5643,0.535,16.7603,1.4408,1.6014,0.0673,0.7692,1.4311,0.153,0.4529,0.4955,0.269,0.748,0.2821,0.2953,0.0033,0.2965,0.0145,0.7502,2.0584,0.9244,32.6735,55.6683,6.2831,0.3835,0.181,0.1498,0.6716,6.455,0.359,1.5332,1.9813,12.3368,0.4736,5.7017,1.8919,35.2364,2.7197,0.4076,0.3034,1.8854,0.0
LAO_H50,1.2727,0.1396,0.4591,1.3223,0.1458,3.1655,0.4952,0.5527,0.0224,0.0637,0.0847,0.006,0.028,0.1891,0.0949,0.2553,0.0972,0.1372,0.0007,0.0567,0.0028,0.1881,0.4095,0.1129,4.7556,0.1996,0.2472,0.0585,0.1039,0.0007,0.051,0.5292,0.0237,0.0825,0.0342,0.1541,0.0369,0.1752,0.1164,0.0777,0.0566,0.0462,0.0155,0.12,0.0
LAO_H51,0.2819,0.0328,0.108,0.3393,0.0317,0.6523,0.172,0.1417,0.0051,0.0114,0.0172,0.017,0.0043,0.0517,0.0333,0.0819,0.0173,0.0372,0.0002,0.0178,0.0008,0.0473,0.1031,0.0321,1.1655,0.122,0.0427,0.0075,0.0301,0.0257,0.026,0.1026,0.0257,0.0467,0.0164,0.0743,0.0318,0.0907,0.0649,0.0373,0.0277,0.0108,0.0189,0.0421,0.0
LAO_H52,0.369,0.028,0.2319,0.5042,0.0405,1.7993,0.1178,0.1616,0.0072,0.0689,0.1159,0.0188,0.0403,0.043,0.0173,0.0479,0.0258,0.025,0.0003,0.0169,0.0009,0.0763,0.2036,0.0933,2.9021,4.9263,0.7538,0.2614,0.03,0.4643,0.1276,0.5615,0.0296,0.3076,0.1594,0.964,0.0361,0.3665,0.2848,3.2484,0.2075,0.0314,0.0195,0.1342,0.0
LAO_H53,0.476,0.0166,0.0242,0.056,0.0076,0.3445,0.0284,0.0703,0.001,0.0173,0.0229,0.0061,0.0083,0.003,0.0027,0.0141,0.0009,0.0005,0.0001,0.006,0.0004,0.0343,0.3476,0.1567,0.3456,4.7647,0.3471,0.0498,0.0731,0.1348,2.2731,0.4433,0.1219,4.3736,0.1083,1.9522,0.0184,0.2914,0.154,7.1616,0.4431,0.0144,0.1049,0.2655,0.0
