V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T
AUS_C31T33,129.5564,30.1103,281.539,429.1482,49.8732,47.9311,11.2786,87.3878,55.5014,43.1335,18.5872,11.4495,39.4211,87.771,22.2873,41.6811,3.4905,5.0235,14.9107,22.1521,28.2603,17.91,45.3523,48.0632,646.4082,350.9446,70.5898,34.4707,21.1865,116.3011,45.3558,24.1918,30.5556,189.8453,63.8499,156.9987,60.8667,263.8311,177.1466,63.2645,106.4541,93.0226,135.8531,71.577,0
AUS_D,504.9965,39.0953,816.8049,1866.4899,37.0245,743.5306,85.8529,203.5048,356.2836,201.0403,199.9261,58.3065,249.7457,226.8365,2381.6523,160.7658,25.6823,21.4334,67.3935,124.7381,64.3802,37.3407,16835.3122,402.0133,1525.5201,1878.7271,276.4616,6.8984,25.3036,473.8054,25.8851,1107.0882,122.9996,393.78,64.7126,332.2362,849.8371,627.6615,647.5288,2484.181,332.4012,398.852,146.9843,116.0389,0
AUS_E,1539.9916,32.2738,174.425,162.9305,13.9927,356.857,17.9373,38.5432,130.6417,41.6751,115.2721,64.3727,84.5221,158.8968,247.6277,124.8409,19.7894,25.5679,66.5723,88.902,110.1889,23.1047,233.2497,1299.194,2402.3126,625.445,184.6195,60.8343,19.1665,220.0562,13.3097,377.6027,35.9669,896.3552,651.9842,266.1179,1275.5879,1536.5871,1045.0358,442.1722,299.9129,1120.6276,437.545,168.2219,0
AUS_F,2455.2892,180.8473,3133.6256,6361.5142,102.8742,427.3147,32.1145,636.3057,123.8881,95.9588,71.9619,50.6255,86.9854,129.199,351.6134,136.704,44.9936,42.508,111.9508,97.2282,104.9408,125.8583,1547.1095,856.1534,86777.3442,3355.3789,2097.5559,88.464,80.0288,1126.7214,101.3623,1008.3968,281.0908,627.4073,900.25,1148.3919,11043.4811,1156.9615,898.9475,5787.3616,480.4353,700.898,349.9938,393.8535,0
AUS_G,3814.0239,576.7048,1515.6973,2275.5533,162.5612,8333.4137,730.8654,540.3797,825.2597,824.9375,1037.8316,634.9184,981.8631,834.0617,1181.7711,1076.2785,516.9694,388.1732,756.6961,1050.8266,660.4149,512.1001,1190.09,705.8598,13283.3623,5650.3365,2539.5702,332.9452,742.3993,346.8126,529.0614,4356.4777,731.952,1061.5865,1143.5792,1195.6753,610.1627,1319.6374,1384.231,1564.2704,2053.9059,4044.6475,2291.5889,1422.3603,0
AUS_H49,1192.3171,109.5789,1918.1521,2097.0053,129.4067,1642.1812,107.8286,318.0331,380.7595,106.995,297.8727,142.8511,309.5885,1263.6292,1269.3345,378.8792,48.0823,60.547,160.5486,164.1983,126.0504,63.6295,240.6531,255.7283,1704.4863,5386.243,3108.9874,683.0131,226.2513,1507.2445,872.2837,173.7701,229.0975,103.5117,114.2818,271.3996,169.1008,484.0393,447.4933,243.5722,241.8893,376.3749,183.9443,121.766,0
AUS_H50,106.0688,12.3769,1827.7387,160.225,61.8787,105.2713,6.9992,18.4644,49.3184,23.628,35.3152,22.4979,29.6003,40.1654,61.7521,70.8397,3.3475,3.7031,8.4836,14.9899,13.0542,11.5221,978.5972,18.106,715.9169,2011.2194,275.4908,3150.1942,106.7668,250.3181,38.2865,68.8089,9.5768,49.6546,13.7051,69.0665,115.7804,280.0029,320.4628,248.6046,156.7246,90.1732,29.4376,60.2022,0
AUS_H51,122.9851,19.2,159.6624,170.6571,13.8482,144.5032,14.3512,21.5194,51.2437,53.1073,51.2241,34.6571,50.5966,48.9888,76.1506,80.5728,30.3092,24.6046,55.1863,62.3746,42.1239,26.6529,81.5999,49.0693,638.7299,633.3053,148.5469,73.3329,206.2959,478.1115,104.8677,80.2085,49.5682,84.6373,232.2683,218.0399,68.3124,519.6885,272.0963,274.2993,221.0806,203.5021,163.4025,109.9863,0
AUS_H52,1156.2959,75.4779,1483.4077,916.9327,30.0565,874.4164,28.4977,70.5597,514.8885,99.8153,400.1971,271.366,174.9146,353.723,340.1477,821.0153,18.8314,23.2505,57.5704,160.277,142.3755,47.5658,113.2539,92.256,2852.7259,5565.4196,931.7949,563.4668,1398.2522,3426.8726,258.1383,193.7525,76.3173,723.2021,120.1858,279.3682,385.5419,1154.2952,842.9254,705.6987,518.8534,322.1256,186.8753,224.7857,0
AUS_H53,113.5925,11.3625,158.2905,157.9065,12.5076,103.0206,9.3062,10.8541,29.1235,7.0924,18.8473,16.7354,12.9539,41.6374,32.0357,29.1824,7.8251,7.6594,22.1711,13.2909,13.2979,15.4736,71.4786,80.9977,511.675,719.4549,240.9967,23.1616,27.0107,172.3868,374.8752,74.399,59.0766,75.8841,27.5111,1084.5076,129.6907,785.3416,442.1096,350.4756,373.4347,498.9401,234.1,225.598,0
