V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T
BGD_A01_02,4167.1072,33.7543,3.7732,0.2733,0.1939,8855.6667,737.0707,623.373,261.3531,23.7574,146.1343,38.8988,77.579,16.1899,8.9627,6.2219,6.5224,5.3552,7.0466,8.002,2.5216,70.3922,31.3624,7.2419,308.4883,159.1589,16.8882,4.5163,5.2004,6.1076,1.0815,432.5864,9.812,12.1422,2.9136,7.3293,12.0737,13.854,17.6658,88.9304,28.1461,49.6141,17.7117,32.4435,0
BGD_A03,35.6568,571.997,0.7234,0.0411,0.0379,1207.5993,27.2101,1.2538,1.9135,4.4305,6.633,2.1352,1.524,1.8199,1.4338,0.8704,1.3098,1.0756,1.3324,1.2742,0.3526,5.472,1.5596,0.7975,18.4819,16.3399,2.9843,1.944,1.3567,0.8539,0.1647,208.0926,2.4086,2.306,0.6744,1.017,0.9281,2.177,1.7722,9.9505,4.3862,7.7525,3.1205,3.6387,0
BGD_B05_06,3.1368,0.5046,12.4193,0.1835,0.2355,6.0803,6.3043,0.3057,1.989,2336.9643,26.2065,0.6052,1.2797,12.0649,15.1913,1.0753,0.6707,0.7298,1.2154,0.833,0.3116,0.9408,110.1904,0.6383,23.2635,3.9947,5.4245,0.7174,1.225,0.6579,0.1479,1.2718,0.3252,0.6132,0.1007,0.3406,0.7297,0.7667,0.5579,2.1752,0.76,1.0401,0.4527,1.2634,0
BGD_B07_08,0.7431,0.0644,0.2729,0.2271,0.0562,0.738,0.5961,0.0316,0.407,5.1624,6.7897,0.1273,0.19,37.1952,11.8435,0.3597,0.1279,0.2038,0.1955,0.109,0.0345,0.6793,1.2811,0.198,71.322,0.2187,0.1762,0.0128,0.011,0.058,0.0033,0.0614,0.0156,0.0251,0.0053,0.0112,0.1447,0.0555,0.0461,0.3444,0.0381,0.0481,0.0331,0.0761,0
BGD_B09,0.1589,0.0437,4.719,0.1011,0.239,0.1377,0.1455,0.0084,0.1371,25.2308,0.3546,0.0119,0.0395,1.5514,1.7925,0.0955,0.0146,0.0202,0.0442,0.0176,0.0075,0.0292,1.5298,0.0226,9.0717,0.0814,0.1226,0.014,0.0209,0.0399,0.0025,0.0168,0.0101,0.0162,0.0039,0.0093,0.0518,0.0602,0.0373,0.1001,0.0092,0.0261,0.0089,0.0272,0
BGD_C10T12,1470.7735,126.6141,1.4926,0.1501,0.087,3378.7372,253.0646,2.5281,20.5936,26.9096,210.0193,43.2953,15.5609,10.4326,7.5965,4.6193,6.1087,5.778,6.3736,5.7247,1.4022,13.999,9.0955,6.2871,84.2946,134.1416,10.7594,8.8809,6.2256,5.747,0.6772,1440.2831,13.115,9.907,3.103,6.9132,7.3583,16.0166,13.0137,102.4304,59.8789,125.236,33.6263,46.8113,0
BGD_C13T15,31.338,9.0927,3.2146,0.1766,0.1632,59.1982,7635.0214,5.8136,21.7311,20.5763,23.9018,6.602,26.2126,16.5439,12.1337,11.7894,13.6094,12.1813,16.1305,31.6667,5.4657,59.9592,9.1587,6.2921,161.6155,53.6299,13.512,2.7855,4.6786,3.311,1.4272,17.9415,9.0996,9.4643,2.2316,4.9072,3.7267,10.198,9.364,48.009,7.8017,28.6172,9.4057,40.2491,0
BGD_C16,14.1863,1.7087,0.6645,0.1095,0.0336,17.0081,29.2524,196.6888,35.0388,2.3137,10.0645,1.1157,7.4621,19.5263,5.8568,9.0457,4.2787,6.931,6.7822,16.5961,6.5083,211.5935,8.1712,1.5696,972.2568,16.6581,2.8021,0.3275,0.3318,1.6921,0.1571,2.4037,2.5817,1.2981,0.3138,0.6362,8.9589,3.5732,2.2566,4.0196,1.8882,2.6983,1.8377,14.0025,0
BGD_C17_18,25.9472,5.0908,1.5813,0.203,0.0808,278.9609,305.0699,17.1062,1120.5902,16.3182,74.3782,38.5896,48.382,73.6466,14.0322,15.0989,32.9247,33.9234,20.9359,19.8035,3.4333,55.9858,9.67,8.5228,115.1658,156.6726,13.0886,1.6364,2.5781,7.8805,6.646,24.9857,294.4214,31.1903,11.2487,42.0827,10.6297,74.4407,28.2593,91.6896,51.9601,34.3424,20.0676,48.7599,0
BGD_C19,295.2264,80.0338,27.7873,3.4513,1.9246,94.2592,174.0895,14.3787,33.3429,1653.5598,337.6547,17.2029,51.3783,182.3199,118.3775,28.3669,18.1445,26.4343,25.789,28.7642,9.2886,46.6943,186.0939,40.6439,930.7552,219.0661,733.3136,111.7816,246.0207,34.521,13.1728,26.0257,13.9036,25.7443,4.7064,18.4707,15.0316,30.7182,35.3725,136.6968,22.9387,46.6551,14.517,61.8956,0
