V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T
ISL_A01_02,31.8926,0.0,0.0005,0.0,0.0,241.0551,1.6217,1.4175,0.0,0.0001,0.0,0.0,0.3324,0.0,0.2555,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7053,0.7667,0.0,0.0,0.0,0.0
ISL_A03,0.0,25.5255,0.0,0.0,0.0,593.4281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B05_06,0.0,0.0,0.0036,0.0,0.0001,0.001,0.0,0.0,0.0,0.0131,0.0,0.0,0.0,0.0064,0.1007,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,2.0361,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B07_08,0.0,0.0,0.0104,2.8698,0.0022,2.0572,0.0,0.0,0.0,0.0033,0.0535,0.0973,0.0,2.3763,7.1068,0.0,0.0,0.0,0.0,0.0,0.0,0.0339,0.0,0.7858,12.5951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B09,0.0004,0.0017,0.0009,0.0017,0.0,0.0011,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0025,0.0567,0.0003,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0164,0.0002,0.0224,0.0002,0.0002,0.0001,0.0005,0.0003,0.0,0.0001,0.0,0.0,0.0,0.0,0.0011,0.0007,0.0001,0.0004,0.0,0.0003,0.0001,0.0001,0.0
ISL_C10T12,51.5682,13.1582,0.0023,0.1145,0.0001,300.3045,0.4723,0.1164,0.4421,0.0005,0.2137,0.3883,0.2548,0.7731,6.263,0.6461,0.0554,0.6805,0.9732,0.0409,0.0711,0.9422,2.4183,0.3546,8.8218,8.6215,1.1062,1.925,9.2088,1.4232,0.3117,132.3647,1.6501,1.7077,1.9944,4.9455,7.0743,5.5245,4.2972,6.3174,4.2565,13.5735,1.3852,1.8597,0.0
ISL_C13T15,0.3342,14.9657,0.0008,0.0036,0.0,0.7568,5.4252,0.0012,0.0045,0.0,0.0022,0.0041,0.0215,0.0443,0.6811,0.0306,0.0006,0.0071,0.0166,0.0186,0.0271,1.5238,0.023,0.0193,0.3731,0.0684,0.01,0.019,0.0878,0.0133,0.0029,2.2478,0.012,0.016,0.0003,0.3172,0.0002,0.0201,0.1989,0.2875,0.0,0.8939,0.55,0.0488,0.0
ISL_C16,0.0,0.0,0.0004,0.0,0.0,0.0071,0.0,1.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0354,0.0,0.0243,0.0,0.0,0.0199,0.0104,3.6575,0.0,0.0283,11.3432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0675,0.0,0.0,0.0275,0.0
ISL_C17_18,0.1406,0.0562,0.0008,0.0006,0.0,1.3729,0.0182,0.0084,10.9946,0.0001,0.0323,0.0611,0.0069,0.0066,0.0168,0.078,0.0049,0.0408,0.0231,0.0024,0.0022,0.1545,0.2444,0.0759,0.0857,3.1512,0.093,0.1407,0.4334,0.103,0.2462,0.4637,11.2014,0.1831,1.2068,3.756,5.8114,1.2438,1.8274,8.3523,43.6882,0.2884,4.1348,0.5613,0.0
ISL_C19,0.0037,0.033,0.0001,0.0011,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0007,0.0095,0.0004,0.0,0.0003,0.0008,0.0,0.0,0.0011,0.0037,0.0044,0.0037,0.0081,0.0148,0.0317,0.1015,0.0055,0.001,0.0015,0.0008,0.0023,0.0003,0.0007,0.0005,0.001,0.008,0.0026,0.0002,0.0015,0.0001,0.0009,0.0
ISL_C20,2.1688,0.6224,0.0079,0.0155,0.0005,1.4156,0.3368,0.0665,1.1062,0.0052,3.0252,4.2199,2.3336,0.2712,1.5822,0.2618,0.0071,0.111,0.3711,0.0254,0.0509,1.0706,0.3946,0.9776,8.0632,0.7451,0.053,0.1172,0.5622,0.0865,0.0171,0.4643,0.7639,0.0566,1.6277,0.258,0.3311,1.8573,2.5032,0.2595,0.187,1.1088,0.0997,1.6135,0.0
ISL_C21,0.0513,0.0805,0.0002,0.0022,0.0,0.5491,0.0083,0.0038,0.0143,0.0,0.007,2.2563,0.0083,0.0202,0.2025,0.0166,0.0017,0.0232,0.0161,0.0014,0.0024,0.0308,0.0779,0.0178,0.1873,0.2048,0.0212,0.0295,0.155,0.0218,0.0029,0.0584,0.0537,0.0159,0.0656,0.1156,0.2075,1.094,0.0784,0.1111,0.5704,56.2034,0.2044,0.0573,0.0
ISL_C22,1.2593,2.4726,0.0036,0.0263,0.0002,8.4458,0.1008,0.0285,0.0781,0.0003,0.0915,0.1274,2.1324,0.2659,0.3644,0.1896,0.1963,0.4547,0.2893,0.0418,0.0716,1.5558,1.2486,0.4487,13.9263,7.4569,1.8135,0.2867,0.6809,0.3128,0.046,1.0976,0.4511,0.2523,0.3827,0.4382,0.4519,0.6398,0.6913,0.4209,0.3968,0.6434,0.4273,0.2608,0.0
ISL_C23,0.0,0.0,0.0036,0.0,0.0004,3.0924,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,19.3109,6.6462,0.0,0.0153,0.4221,0.0,0.0316,0.0364,1.1999,0.1239,0.0861,103.1674,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541,0.0,0.0,0.0,0.4988,0.0,0.0,0.0
ISL_C24,0.0,0.0,0.0546,0.0,0.0024,0.05,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,325.0171,25.5368,0.3632,1.1533,8.2649,0.4276,0.4096,12.8595,12.052,1.5661,65.8151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_C25,1.4134,2.8123,0.0229,0.0042,0.0011,3.6899,0.0,0.0157,0.0,0.0009,0.1373,0.0,0.0032,0.9081,3.3753,11.7074,0.2059,1.5296,6.9645,0.2583,0.9555,4.3163,14.6912,1.0227,81.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0339,0.0,0.0,0.0,0.0,0.0,0.0246,0.0777,0.0,0.3197,0.0,0.0,0.0,0.0
ISL_C26,0.0051,0.2641,0.0001,0.0008,0.0,0.0572,0.0018,0.0009,0.005,0.0,0.0023,0.0042,0.0014,0.0042,0.1233,0.006,0.0583,0.0083,0.0067,0.0019,0.0092,0.0883,0.0948,0.007,0.0313,0.1637,0.0511,0.163,0.3494,0.0268,0.0115,0.0877,0.091,1.0561,0.4445,0.1815,0.257,0.2959,0.1554,0.1155,0.2592,0.5806,0.0274,0.0421,0.0
ISL_C27,0.0009,0.0576,0.001,0.0045,0.0,0.283,0.0047,0.0,0.0,0.0,0.0,0.0,0.0147,0.0705,47.0926,0.0716,0.017,5.894,0.2832,0.0277,0.0275,0.6587,8.154,0.0362,2.3224,0.1682,0.0086,0.0107,0.1016,0.0044,0.0055,0.0205,0.0253,0.3266,0.0631,0.0128,0.1779,0.0577,0.6622,0.0292,0.0,0.0,0.0,0.0046,0.0
ISL_C28,3.8421,7.2728,0.0199,0.2504,0.0011,13.9238,0.1032,0.262,0.3145,0.0007,0.1902,0.1704,0.2869,2.1211,11.6267,1.1695,0.0342,2.0847,15.7114,0.0982,0.3085,3.6978,6.4359,0.8485,41.9419,0.5748,0.1129,0.4944,0.947,0.8023,0.0,1.015,0.2432,0.0,0.0,0.0,0.0,0.0,5.4112,0.0,0.0,0.2397,0.0,0.2715,0.0
ISL_C29,0.0747,0.0492,0.0002,0.0483,0.0,0.3335,0.0081,0.003,0.0131,0.0,0.0064,0.0116,0.0076,0.0184,0.1507,0.0169,0.0017,0.0221,0.0262,0.0395,0.0021,0.1043,0.0473,0.1847,0.1943,0.6683,0.717,0.0516,0.0948,0.1166,0.047,0.1602,0.0298,0.086,0.06,0.1598,0.19,0.0942,0.6251,0.1529,0.0297,0.0482,0.0311,0.0383,0.0
ISL_C30,0.0,1.8729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1165,0.1027,0.0,0.0,0.0,0.0044,0.0,3.5869,3.1992,0.0264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1849,0.0459,0.0,0.0,0.0,0.0,0.0
