V1,RUS_A01_02,RUS_A03,RUS_B05_06,RUS_B07_08,RUS_B09,RUS_C10T12,RUS_C13T15,RUS_C16,RUS_C17_18,RUS_C19,RUS_C20,RUS_C21,RUS_C22,RUS_C23,RUS_C24,RUS_C25,RUS_C26,RUS_C27,RUS_C28,RUS_C29,RUS_C30,RUS_C31T33,RUS_D,RUS_E,RUS_F,RUS_G,RUS_H49,RUS_H50,RUS_H51,RUS_H52,RUS_H53,RUS_I,RUS_J58T60,RUS_J61,RUS_J62_63,RUS_K,RUS_L,RUS_M,RUS_N,RUS_O,RUS_P,RUS_Q,RUS_R,RUS_S,RUS_T
RUS_C31T33,323.7076,68.8979,213.853,14.3256,711.5022,273.4693,27.928,33.0738,116.4395,77.7011,247.7333,10.8416,33.3479,77.7246,494.0041,160.6927,51.9998,28.838,134.0409,132.5812,207.0766,468.9275,497.6153,75.9803,657.8296,729.8909,550.4723,10.4641,23.2661,409.2478,31.0116,58.2994,114.9805,152.6882,51.3195,85.3992,380.7488,184.025,50.6937,268.4908,75.0359,294.4548,99.3787,83.9946,0.0
RUS_D,1458.4746,36.6927,1288.5036,145.9518,3703.9691,1754.5431,168.4507,303.7268,649.7434,1182.5253,2275.0964,25.3563,368.1443,1843.5669,7285.0499,852.1494,261.8828,218.6988,295.3075,426.7575,470.1072,364.487,34624.7229,977.348,1149.7187,3472.7173,4700.7278,22.2686,30.9096,460.0002,47.4097,669.4394,51.4616,594.584,104.7478,365.1811,4894.4518,748.3058,253.6833,2589.6785,2002.8148,1299.1836,390.6367,262.5463,0.0
RUS_E,61.8645,2.0061,36.8747,3.0087,92.9349,128.4577,7.7731,8.896,175.9823,76.4406,87.1646,3.0926,40.6224,152.8113,4207.9952,406.4268,23.1271,11.502,28.8097,44.3731,57.5831,20.7856,531.5662,596.9363,113.574,224.6537,64.8997,6.5991,3.5662,54.9613,12.0991,51.1016,14.71,27.2,6.0149,15.274,927.2124,105.3004,21.0029,1136.6236,204.1313,222.353,61.7995,30.9496,0.0
RUS_F,335.4821,33.0524,852.6153,42.4114,2047.7088,392.8923,24.3794,40.0589,74.6769,500.8324,313.1464,14.0079,67.0195,228.3286,982.1933,183.7711,162.8805,111.2034,90.8443,74.205,185.1552,170.9911,1249.8605,386.4093,5594.4598,1464.3136,1971.0179,33.3934,50.686,510.9965,26.686,579.5845,39.8618,212.6736,102.3733,93.1192,6281.6775,927.1964,182.9269,8313.9757,1982.1013,1791.9554,733.2423,104.5061,0.0
RUS_G,6089.035,327.4151,921.0499,93.273,2546.1408,14317.1225,1262.8795,873.6177,1314.2896,14490.3107,2663.5502,791.8498,1444.1685,1523.1675,4555.5916,2363.7902,1396.532,881.4374,1063.1192,3729.1454,1234.9073,1864.0003,6999.0106,509.8458,10801.9225,9772.8404,4035.6986,187.7308,864.1902,2207.1602,69.487,1945.9853,330.5772,581.0499,425.7052,944.4924,1673.5042,2262.9623,427.6947,3742.0052,600.1238,2335.9299,334.335,484.1412,0.0
RUS_H49,1171.469,26.9052,2822.365,101.3694,3772.9223,2032.1421,73.3161,311.8972,458.1657,6576.0138,1710.8516,27.4973,264.9091,1044.5944,3719.5678,791.4701,394.7093,215.0996,317.6177,858.1182,337.4263,525.0407,2155.5757,195.6424,3342.3235,21420.4818,5443.2699,57.1483,243.3252,5147.1219,144.3045,187.9225,70.0855,172.3277,176.0648,76.5168,425.0093,675.3534,168.7924,1569.5192,159.0231,273.3796,91.412,162.1484,0.0
RUS_H50,53.0599,114.6226,49.7568,7.12,40.1352,111.8785,10.1187,44.9127,50.3088,153.3274,53.2521,5.6925,15.486,67.5514,121.4728,31.4072,22.2045,11.3893,17.0787,38.2568,34.7559,31.2432,55.6012,7.7689,303.2204,250.8301,55.3946,56.7205,20.6777,202.8892,1.0531,8.5158,2.7226,7.3888,5.0722,3.0248,25.8579,78.306,15.8516,40.5195,3.8465,16.7112,2.9368,5.7914,0.0
RUS_H51,64.613,10.1086,71.1276,7.0468,369.7366,119.8299,14.4733,10.3054,21.5015,123.6019,47.6643,12.7331,24.0261,32.3882,167.5995,66.4674,46.5519,18.7442,34.3014,68.7553,47.0607,68.5251,83.2705,9.3647,277.1318,482.6482,171.6879,8.8067,417.1992,512.0385,59.5449,21.0894,9.9596,21.6412,32.6856,102.3107,28.7163,155.2469,79.0616,1049.8699,47.2566,116.586,56.8991,36.1066,0.0
RUS_H52,571.9447,21.7137,591.2289,87.4782,1216.9624,904.7583,21.0245,155.9339,226.3282,3315.6592,857.3966,11.4851,48.376,530.1781,1485.0737,317.0595,78.8055,68.3373,148.0231,296.6257,110.2689,531.0622,357.5488,89.4652,992.7383,8059.1678,3569.3625,204.7206,3070.3276,5112.9088,48.3837,46.7977,27.0657,63.9371,46.1795,17.7576,175.574,274.7081,162.7047,3073.95,32.4497,79.6985,56.5436,69.6044,0.0
RUS_H53,11.9647,0.6189,1.0069,0.1568,3.5629,21.5711,1.7762,0.8376,4.1027,3.1906,4.507,1.131,1.6867,2.1276,4.8267,3.591,3.4797,1.4571,2.1671,2.3604,1.3397,7.1539,18.8279,1.7487,12.5014,142.5066,8.6111,0.4961,2.2461,9.0702,667.4725,4.1129,11.4433,465.655,18.5353,47.8499,8.6485,33.478,8.2714,129.4474,27.224,8.945,9.0999,18.8191,0.0
RUS_I,12.8305,1.4941,27.2218,1.8402,101.1449,70.0261,2.2996,3.129,8.1407,22.9702,30.2037,4.8733,6.3672,9.3051,34.3173,33.3577,29.2544,10.5015,25.4147,13.1643,28.2677,39.9178,52.6815,4.6411,215.5713,251.2302,118.6315,2.9835,76.2017,159.9557,1.7938,45.8043,13.4634,24.8592,59.8455,187.9858,26.7801,234.5165,88.1329,951.4689,253.6486,220.597,111.1713,165.9738,0.0
RUS_J58T60,3.6363,0.5151,18.1472,0.3788,6.9073,80.9886,2.201,1.8243,21.9972,16.0356,18.5139,6.2818,2.2169,3.5551,29.7272,8.1837,3.0995,1.8294,3.6368,7.3228,4.5355,4.0357,9.7282,30.1947,21.0791,758.5059,19.2873,1.0886,5.3032,18.4074,1.8413,38.8989,1050.0312,62.4001,68.3738,273.5251,35.5539,1453.0113,122.3828,457.29,78.9649,52.1657,42.2985,68.9248,0.0
RUS_J61,45.5849,7.9558,23.0541,1.6273,90.0976,67.517,5.6956,5.3676,17.7226,25.2205,21.2058,2.1735,8.0736,15.9046,45.9947,28.4553,20.6843,8.9932,16.5337,10.6473,13.1592,21.3532,123.2913,15.7152,114.0123,629.2731,444.4959,7.4746,52.5125,81.1041,23.651,37.6419,337.9854,4606.6524,422.1355,721.964,134.708,292.701,61.8666,1025.9498,204.523,96.4029,45.0514,64.1354,0.0
RUS_J62_63,41.9918,3.8763,84.5349,1.8199,193.6364,194.2673,6.8598,5.7587,28.0119,257.6685,40.3974,11.022,16.9378,26.56,134.2915,52.0078,124.0168,16.7326,37.3549,44.6051,29.6693,63.8258,244.3775,25.902,177.0185,1117.7213,143.3624,5.6451,42.7623,173.6562,10.5581,42.132,71.5534,567.4755,2971.6061,1741.1623,460.3025,827.5361,89.2022,2486.3708,355.0229,206.8864,69.1468,123.7554,0.0
RUS_K,1049.16,78.3181,414.6676,42.9928,1261.3702,1917.3015,130.798,171.2607,265.8264,1473.6823,546.1447,36.5955,227.4169,408.2324,1413.2792,749.7356,255.5589,227.6,274.9558,507.4739,295.2844,437.5386,1371.5854,234.8039,2657.3856,4673.5427,1768.0949,52.0156,230.3683,1048.593,31.9366,724.6316,131.253,316.0575,406.141,8500.5596,1471.5579,1052.7897,262.7303,1560.3585,88.0533,164.427,164.5347,342.7209,0.0
RUS_L,162.2035,16.717,666.8161,6.7407,4044.1388,721.8338,125.0111,116.8123,148.767,212.4371,212.5622,28.6486,174.8408,195.7668,229.3377,666.5846,186.868,118.6029,168.7192,231.9012,72.0229,437.9453,707.203,146.074,1287.1317,15105.5654,7056.2172,61.6092,81.4884,1229.1202,24.6028,1922.0431,234.1155,1356.8175,821.3779,2698.5925,8731.5416,1575.2344,352.8508,1130.5293,488.1605,560.376,413.5108,893.8367,0.0
RUS_M,245.4142,26.2842,527.4991,38.536,1260.052,2254.2243,62.379,46.4087,147.5631,1066.733,551.9338,100.3472,152.648,218.5825,1029.7767,471.8227,797.7994,125.0084,245.5824,345.5873,439.8945,350.4432,812.1564,178.2194,2282.4972,8798.3478,655.8403,26.8797,159.5351,608.9224,40.0889,574.1381,426.5359,901.0039,785.8931,2041.9804,1893.6687,5395.6612,460.6455,2074.508,384.0704,474.813,389.7692,242.062,0.0
RUS_N,395.9744,151.3403,618.6687,44.6816,4375.7255,634.81,35.7001,86.2782,125.8014,695.0756,297.2744,14.1808,116.6815,295.6104,595.1872,361.3677,115.5962,74.6881,135.618,153.4186,192.8194,254.7948,766.8467,246.4157,2666.381,3313.9055,4483.306,331.7022,801.3524,1036.1774,30.4818,487.6679,143.4329,440.6021,120.5386,1424.6571,903.2084,1524.6122,1464.7984,1387.2243,416.099,207.0252,271.4126,175.8453,0.0
RUS_O,36.5132,9.1173,44.3122,3.478,127.2081,96.5725,8.8756,11.7696,28.6455,214.8954,37.1184,3.2676,19.4634,38.0406,94.2541,40.2486,27.444,13.7474,27.7195,47.671,58.7018,36.896,74.8201,19.2879,370.2224,814.917,211.145,8.2171,77.389,82.4514,3.0557,51.9954,34.6078,189.7949,62.9554,324.9357,178.6104,407.5509,87.6505,372.1269,40.0223,42.0964,31.6346,16.1817,0.0
RUS_P,9.855,2.7116,13.2519,1.2785,80.5811,21.4194,1.4782,1.5979,10.404,10.949,13.935,2.1544,3.032,7.3302,31.9775,14.787,10.1633,4.372,11.1059,12.5474,15.2585,17.8383,48.7834,5.8497,55.6461,105.6052,157.8745,2.5526,25.5846,36.3504,0.6408,10.3736,2.8803,19.7045,28.614,77.2095,15.3096,107.8429,20.6777,428.2966,950.9655,121.2397,21.6855,68.1526,0.0
RUS_Q,15.6515,12.2249,8.2186,1.2905,54.0969,31.7248,1.0378,1.3764,3.121,9.8511,8.8967,2.677,2.4635,4.2457,34.3082,9.1131,4.8226,2.4002,5.5997,8.9575,6.3712,5.2045,32.9883,5.8893,31.9479,51.2911,109.6989,1.0864,2.7294,22.4331,2.5423,16.4233,3.8094,8.8623,4.2857,27.4914,14.6463,54.7568,8.9148,648.2817,100.8301,376.4847,15.7088,62.1397,0.0
RUS_R,0.4601,0.0438,0.7455,1.9581,11.3131,9.3984,0.2892,0.2494,7.0794,16.2952,2.2895,0.3367,0.1493,1.3981,3.1675,1.2455,1.0823,0.5591,0.7131,4.816,0.7534,0.5325,3.2598,0.3487,3.5434,38.4005,3.6988,0.0571,0.4758,4.0773,0.1356,5.3488,45.7608,1.4879,5.945,23.2449,3.8557,349.1908,73.982,126.3334,75.3964,6.9494,251.7726,311.914,0.0
RUS_S,12.0103,0.7501,2.8498,0.4095,15.2865,20.2126,0.7726,1.2829,1.9196,9.6461,3.4694,0.5623,1.3111,2.6561,14.0886,4.6458,2.9885,1.403,2.4708,2.0354,6.8836,4.6624,8.4056,4.245,50.0689,70.1247,21.3071,0.6879,2.4298,7.5363,0.2962,49.7491,6.4057,4.8146,2.3193,11.8336,35.9116,31.0059,8.5281,48.3183,24.1437,76.3283,19.2994,26.9278,0.0
RUS_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
