V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T
MYS_A01_02,1881.7601,45.5399,30.9382,10.1984,40.8706,12390.0113,677.6671,980.291,637.8095,2.2027,40.844,4.5379,1511.1137,15.5328,10.0803,16.8098,281.7773,36.2098,36.6503,36.3016,492.9132,84.2736,0.2738,6.7683,5.1991,1460.6282,0.7427,0.6103,5.9123,1.7357,5.9219,881.6884,23.1418,152.8081,4.1968,233.5322,56.8019,44.8944,34.2362,280.6505,109.7126,25.9339,19.1916,0.2063,0.0
MYS_A03,4.378,29.8561,0.8296,0.2921,1.0766,726.6723,0.0707,0.0125,0.0715,0.0744,1.3742,0.1163,0.2729,0.3044,0.1754,0.1825,6.2665,0.9024,0.3347,0.7194,0.0951,0.1979,0.003,0.1872,0.0723,188.2661,0.0092,0.0073,0.083,0.0312,0.1636,816.5557,0.6359,4.186,0.1039,6.3439,0.8177,1.1146,0.8061,7.4337,2.1498,0.8036,0.5146,0.0035,0.0
MYS_B05_06,11.2196,1.375,1680.6706,8.5932,36.4104,168.2288,3.63,5.972,6.9754,12752.1069,520.5165,0.9748,10.4457,48.3934,15.8507,13.7063,84.9287,10.9263,22.2032,12.3524,3.3692,30.6847,847.7911,0.4876,179.7662,32.0692,4.45,8.413,14.154,19.1886,2.2659,5.2561,2.6723,15.4223,0.9452,17.0075,1.8702,8.2072,9.4872,19.2601,6.6623,4.1511,3.9996,0.1284,0.0
MYS_B07_08,3.2114,0.2958,1.0978,0.591,34.8148,3.8259,0.3575,0.1637,4.3349,1.5087,10.2286,0.5112,8.5549,558.4765,290.3819,16.3153,26.7266,12.3666,23.0338,15.0777,3.911,42.7527,1.6714,0.1498,940.6863,7.6229,0.0796,0.137,0.2725,0.7875,0.1407,0.6195,0.4775,3.156,0.4206,4.5889,2.0839,1.0044,0.8326,5.5468,1.5475,0.4781,0.4322,0.004,0.0
MYS_B09,9.1952,4.1732,2014.1822,68.7139,385.3984,4.7608,0.1271,0.5497,6.7196,1170.623,30.8375,0.0709,3.0518,64.9876,92.4309,7.5112,1.2117,0.5433,1.2512,0.2242,0.1509,0.4483,88.378,1.8014,155.0509,2.3751,2.4692,0.2955,0.6907,3.6467,0.0082,0.3741,0.0188,0.0,0.0207,0.032,2.3157,2.6244,1.2846,3.5716,0.171,0.5505,0.3076,0.0615,0.0
MYS_C10T12,2180.041,379.1786,6.346,11.7023,5.6166,15239.0832,43.1601,10.9841,25.1541,77.4767,313.3808,10.6944,97.4152,19.0317,24.7489,26.6323,32.2655,8.627,7.1659,4.8985,1.7707,12.5972,7.9411,2.168,22.2805,2827.3519,8.1462,1.3582,5.6861,9.7997,1.3818,4488.6109,2.2373,5.6474,1.6997,10.305,14.6765,4.2707,5.05,270.371,79.1356,180.0989,127.1992,0.8226,0.0
MYS_C13T15,2.5314,0.1468,0.5941,0.1814,1.7653,66.8711,570.5471,3.1366,65.892,0.3917,9.8925,9.4028,28.1921,8.2177,3.0975,4.1264,11.3333,4.9497,7.1302,38.6166,2.8691,42.6327,0.2337,0.6633,4.8478,444.0982,2.1442,0.5527,0.4427,3.0051,5.2149,30.5272,1.5379,1.7118,5.708,69.1003,0.8408,2.3069,5.7738,59.5428,4.1513,5.3447,1.6492,0.3789,0.0
MYS_C16,24.1272,2.1038,1.1367,0.9701,2.6034,23.7841,13.713,1267.548,83.3437,3.2131,57.2223,0.3025,20.8666,38.9528,43.4965,67.7347,167.9304,13.1503,18.7647,9.0474,25.7199,569.4413,0.022,0.0888,1436.0423,8.3271,0.2219,0.488,0.6975,0.8294,0.1512,0.5825,0.2367,1.4417,0.1274,2.0736,1.4163,0.5674,0.8811,7.8958,1.9719,0.9217,1.7167,0.0281,0.0
MYS_C17_18,2.6807,0.7001,51.1281,3.5519,3.8114,91.2362,16.1794,34.5251,940.4822,2.0921,44.3172,3.097,39.6715,30.4069,25.7731,30.3231,146.6065,9.8103,9.863,20.6104,6.2186,30.5225,0.3365,0.3891,3.8277,520.0916,40.4843,39.2051,3.1673,57.822,17.2551,100.7674,60.6031,72.1355,114.1194,296.4634,19.4366,126.5807,84.4335,102.0208,201.9984,39.6987,23.2742,5.0107,0.0
MYS_C19,524.7824,246.477,190.4004,168.1405,83.5475,670.675,90.7415,172.9767,196.1957,1245.9319,3694.8679,15.3456,339.7886,491.7951,644.9731,408.9997,411.0485,73.3039,114.6329,65.8776,44.8907,203.0039,1576.7915,66.0977,1637.8973,1335.3475,1485.1609,80.3422,682.422,1058.6808,110.3373,250.8971,118.0689,79.2056,68.6603,69.1412,901.5281,157.8523,160.8505,174.5867,58.8776,66.3548,164.8149,18.2359,0.0
