V1,EGY_A01_02,EGY_A03,EGY_B05_06,EGY_B07_08,EGY_B09,EGY_C10T12,EGY_C13T15,EGY_C16,EGY_C17_18,EGY_C19,EGY_C20,EGY_C21,EGY_C22,EGY_C23,EGY_C24,EGY_C25,EGY_C26,EGY_C27,EGY_C28,EGY_C29,EGY_C30,EGY_C31T33,EGY_D,EGY_E,EGY_F,EGY_G,EGY_H49,EGY_H50,EGY_H51,EGY_H52,EGY_H53,EGY_I,EGY_J58T60,EGY_J61,EGY_J62_63,EGY_K,EGY_L,EGY_M,EGY_N,EGY_O,EGY_P,EGY_Q,EGY_R,EGY_S,EGY_T
EGY_H49,219.7347,2.14,58.5564,4.3413,3.0544,380.9111,36.4665,10.3673,15.7273,200.5523,29.2402,18.0566,13.4751,49.3338,81.8928,17.1473,3.5635,19.3914,4.1482,10.2296,0.4966,23.8394,88.7014,3.1064,130.38,42.3016,38.419,33.5089,11.012,45.878,4.2676,39.5055,14.9096,49.4305,8.0595,52.3461,13.73,12.5655,4.9265,108.0189,270.521,135.858,50.4812,22.7627,0
EGY_H50,52.2249,0.8655,8.26,1.0202,0.9286,110.5935,20.7003,8.7969,10.2127,56.6094,27.2252,20.9579,11.2476,34.9363,52.8991,30.4464,5.665,51.609,7.3023,32.6218,12.8027,32.7779,27.7382,7.0996,327.5368,947.4782,30.1488,294.7143,5.3037,18.4079,0.1312,60.4608,8.995,41.0332,6.3768,28.0202,1.6818,36.0163,14.1709,264.7598,7.9219,32.1894,31.6641,30.4621,0
EGY_H51,41.626,0.6678,5.4401,0.7342,0.6451,64.5784,12.6309,4.1552,4.7149,63.3753,11.3165,5.8882,4.9548,13.8431,30.7237,6.8327,1.5826,8.3067,1.4852,5.119,0.285,8.8217,28.6183,0.839,20.4832,8.5017,7.7802,2.703,4.8606,5.4955,0.0633,11.0658,1.3984,5.9973,0.9137,0.8839,1.42,3.9272,15.6213,16.2733,1.8587,8.7348,1.1108,8.5697,0
EGY_H52,58.6366,0.5907,20.3453,24.0528,59.8349,277.1062,43.089,46.6502,60.8058,104.757,73.1532,57.9258,17.7459,175.4395,53.4371,110.3109,3.8173,53.0941,17.6346,21.783,1.6039,49.8573,27.6093,3.7229,255.171,101.671,75.4155,65.055,121.7208,811.4546,0.0516,159.0845,27.2358,126.4957,19.8461,2.9644,2.0239,120.8139,28.35,1.4034,27.9528,565.9564,15.1375,70.1205,0
EGY_H53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0499,0.0,0.0,0.0,0.0,0.0,51.4481,0.0,0.0,0.0027,0.0,17.5822,0.0043,0.001,0.0012,16.5509,4.9397,3.6583,0.8517,0.0,0
EGY_I,0.6631,0.006,111.636,1.8367,12.6132,5.2051,0.4967,0.5619,0.7661,1.8637,2.0877,1.7327,0.3035,2.5421,0.471,2.0699,0.4416,3.2791,0.5974,1.0637,0.3237,1.2436,0.2548,0.3236,59.1262,7.6291,0.625,0.2541,4.2769,9.2822,0.0138,1.3498,1.5056,6.7007,1.1263,47.6437,0.0553,8.5759,241.1385,33.4129,3.5557,5.7105,0.8885,2.9354,0
EGY_J58T60,0.0012,0.0011,0.3989,0.1542,0.6335,11.4021,0.1517,0.0394,0.444,0.0802,0.0968,0.3232,0.0693,0.2095,0.3408,0.2108,0.0283,0.3647,0.0813,0.068,0.0023,0.4471,0.0081,0.0568,2.011,5.2706,0.8526,0.7843,1.3383,2.0613,0.0106,3.0823,19.5597,0.4562,0.0887,1.2953,1.6525,3.5813,1.1873,1.7092,3.2717,4.6905,0.5169,4.8079,0
EGY_J61,0.0079,0.0095,2.4389,0.5781,4.3903,32.0689,0.7669,0.2076,1.2152,0.0332,0.2114,0.6601,0.3244,1.0011,0.9188,0.9465,0.072,1.269,0.3313,0.2585,0.007,2.0838,0.0473,0.1686,19.4195,15.5355,4.5562,0.5284,1.6569,10.5228,0.0623,10.9034,0.4401,5.3069,0.2996,4.2151,6.7141,10.4786,4.6695,4.6449,3.9272,25.4047,0.823,17.6055,0
EGY_J62_63,0.015,0.0095,1.9416,1.9855,1.9866,40.7036,0.5361,0.1053,0.9322,0.0314,0.2401,0.6518,0.2043,0.9181,0.6594,0.638,0.0574,1.1687,0.4054,0.2373,0.0045,1.164,0.0276,0.2188,13.7805,18.2202,2.041,0.816,1.749,20.3298,0.1952,10.7579,5.5546,25.3977,7.2204,3.8967,30.0775,9.293,3.3899,4.3514,5.0794,22.2009,0.7054,10.9368,0
EGY_K,81.0044,0.2738,1698.5373,8.9001,7.0958,510.7303,294.7043,17.1362,61.4895,17.0072,35.9466,69.6723,16.3572,62.4062,367.7264,67.8637,15.0979,202.2096,192.2606,84.5985,2.1898,30.6077,143.7718,3.6118,482.0402,160.6714,34.6984,128.2242,10.2746,632.0062,5.7875,48.0797,24.9413,202.0851,29.2462,255.4977,24.3953,24.8249,11.1483,583.6381,18.6036,59.4975,15.6756,18.1952,0
EGY_L,0.849,2.4663,0.9735,0.3313,1.2924,12.5182,0.3974,0.0138,0.4211,0.2094,0.0568,0.0507,0.0421,0.255,0.2792,0.1162,0.0193,0.1018,0.0554,0.3147,0.0106,1.9361,0.0079,2.2495,3.1062,39.7699,1.9921,0.7047,0.7061,14.2401,0.0306,34.7275,6.5502,20.1703,10.328,0.1684,4.4182,21.1556,4.6633,52.4651,22.528,49.6889,10.7816,48.4586,0
EGY_M,0.3423,0.0923,21.4965,2.3884,7.5531,552.7207,2.872,0.361,4.3724,0.3077,3.2263,8.6145,1.029,9.2949,5.4308,5.0667,0.2491,15.5247,5.5277,2.3627,0.0741,6.9001,0.6197,1.858,55.0793,164.6923,11.9133,6.5826,4.2749,122.4949,0.8001,133.3588,76.0516,324.9709,52.396,81.9003,761.8175,76.5838,17.706,293.8917,48.0382,146.2198,5.0912,56.5234,0
EGY_N,1.9533,0.004,131.353,0.7824,1.7927,186.0644,3.03,0.3183,6.0613,0.5654,2.438,1.36,0.98,10.2034,8.0041,4.5922,0.1626,5.4303,0.7392,1.3776,0.2384,5.7682,0.0383,10.9109,304.0011,51.3961,12.654,17.722,18.4489,228.9573,0.325,127.9477,15.0442,30.1375,7.2529,19.0137,0.8698,71.0081,77.3192,11.0782,18.0329,82.3551,8.7166,41.7797,0
EGY_O,0.8887,0.0059,0.3908,0.5405,0.1624,0.7835,0.0215,0.0072,0.2226,0.0103,0.0204,0.0146,0.0056,1.6892,29.4065,12.0119,0.0065,0.1667,1.5997,0.0326,0.0021,0.0397,0.0053,2.7887,98.2764,0.356,2.4695,1.3067,0.0023,4.5972,0.8732,3.9225,4.9843,17.5148,2.9087,12.689,11.5081,0.139,0.7935,54.9458,4.3176,7.1065,9.879,0.8934,0
EGY_P,0.0006,0.0,40.0835,0.0173,1.7691,15.0906,0.0628,0.0008,0.1281,0.092,0.1216,0.2333,0.0464,0.73,0.1839,0.1229,0.0041,0.3787,0.0615,0.1322,0.0103,0.3293,0.0002,0.0197,0.7248,0.7247,0.1981,1.3704,4.6677,0.1535,0.0225,1.6092,1.7757,7.4451,1.1187,9.2542,0.0314,0.3535,0.1347,20.2727,4.1698,17.2863,0.1067,1.2089,0
EGY_Q,0.0,0.0,0.0246,0.0758,0.1712,0.4205,0.0443,0.0246,0.0535,0.0478,0.104,0.1126,0.0,0.2888,0.0966,0.3921,0.0073,0.3161,0.0897,0.0748,0.0,0.019,0.0,0.0,0.0,0.0,1.166,0.0,1.5948,0.0,0.0,0.0,0.0822,0.3997,0.0579,46.6277,0.0,0.0,0.0,19.2333,0.1577,80.2644,0.0319,0.393,0
EGY_R,0.0005,0.0,0.0541,0.1009,0.0193,0.0454,1.8886,0.0177,0.0725,4.0746,0.0188,0.0166,0.0037,0.0629,0.5447,0.1619,0.0168,0.132,0.0373,0.1999,0.0017,0.1122,0.0001,0.0579,0.3627,0.1539,0.512,2.6602,1.441,0.2395,0.001,0.9425,4.2491,12.6912,1.7993,36.8227,0.0001,0.2414,0.0962,0.6279,1.2598,0.1943,1.6433,1.5783,0
EGY_S,21.802,11.6934,158.445,9.187,2.606,138.5286,27.8017,1.0137,7.8919,13.4416,4.2892,2.6032,1.0475,17.5784,71.1942,21.7778,3.9078,39.6774,10.5715,6.6141,0.833,12.9294,0.2434,4.173,538.5987,13.9101,37.0222,124.1968,43.4077,91.6868,0.4725,76.6538,29.2294,133.5768,32.3617,154.8981,25.1565,13.6562,21.8094,260.6924,100.592,204.1499,64.2451,46.1785,0
EGY_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
