V1,LUX_A01_02,LUX_A03,LUX_B05_06,LUX_B07_08,LUX_B09,LUX_C10T12,LUX_C13T15,LUX_C16,LUX_C17_18,LUX_C19,LUX_C20,LUX_C21,LUX_C22,LUX_C23,LUX_C24,LUX_C25,LUX_C26,LUX_C27,LUX_C28,LUX_C29,LUX_C30,LUX_C31T33,LUX_D,LUX_E,LUX_F,LUX_G,LUX_H49,LUX_H50,LUX_H51,LUX_H52,LUX_H53,LUX_I,LUX_J58T60,LUX_J61,LUX_J62_63,LUX_K,LUX_L,LUX_M,LUX_N,LUX_O,LUX_P,LUX_Q,LUX_R,LUX_S,LUX_T
LUX_C26,0.0084,0,0,0.0268,0,0.0573,0.2232,0.1301,0.1549,0,0.088,0.0313,2.8758,0.4384,2.6515,1.5891,15.5291,1.1433,6.1394,0.5146,0.1024,0.8251,0.4849,1.0109,1.8315,7.4882,0.2916,0.0233,0.7211,0.1933,0.1963,0.0038,0.3253,1.5831,22.8186,1.7953,0.3318,4.3383,1.1928,0.7621,0.1322,6.3433,0.0779,0.3182,0.0
LUX_C27,0.0005,0,0,0.0446,0,0.0476,0.0028,0.0094,0.0263,0,0.0718,0.0093,2.3594,0.5178,4.8276,2.0461,1.8915,3.8802,8.4477,0.7264,0.0896,0.8849,0.1124,0.0059,23.1864,3.7276,1.0405,0.0271,0.3417,0.1609,0.0504,0.4581,0.067,0.0016,2.0631,0.0121,0.5297,2.6673,0.6052,0.2745,0.0111,0.0281,0.0128,0.0823,0.0
LUX_C28,3.5686,0,0,2.0475,0,0.8274,4.8721,1.6352,0.5126,0,0.8664,0.1491,22.3866,8.3044,39.9646,15.182,1.6929,1.6702,137.093,3.133,0.6864,5.1219,6.5508,1.1771,27.8654,19.598,10.2843,0.1813,2.3805,0.9737,0.2209,0.0009,1.2166,2.3749,4.4928,0.5353,1.2285,10.3029,4.7813,0.0699,0.3716,4.4519,0.6497,1.2527,0.0
LUX_C29,0.0006,0,0,0.0022,0,0.0235,0.0,0.0,0.0055,0,0.0149,0.002,0.8403,0.227,0.6013,0.3735,0.0238,0.0357,1.3486,4.5668,0.0239,0.2438,0.003,0.0091,0.5431,3.0091,0.0558,0.0093,0.3795,0.1331,0.0787,0.0,0.0062,0.0,0.1454,0.0003,0.06,0.1659,0.6982,0.0333,0.0011,0.0017,0.0026,0.0063,0.0
LUX_C30,0.0,0,0,0.0,0,0.0001,0.0,0.0,0.0,0,0.0001,0.0,0.0038,0.0008,0.0053,0.0036,0.0008,0.0002,0.0086,0.0073,0.0089,0.0247,0.0,0.0,0.0,0.0188,0.0352,0.0024,0.3236,0.0019,0.0008,0.0,0.0001,0.0,0.0011,0.0027,0.0005,0.0038,0.0076,0.0001,0.0,0.0003,0.0,0.0006,0.0
LUX_C31T33,0.0011,0,0,0.0051,0,0.3008,0.0039,0.0407,0.1733,0,0.3294,0.0943,5.9116,2.2745,11.5171,2.4717,0.35,0.1802,2.906,0.2109,0.0627,1.5814,0.0601,0.0093,0.1124,8.9012,0.2105,0.251,8.3369,0.5403,0.2199,0.0003,0.1184,0.0027,3.1087,1.9699,0.9834,1.1416,2.4452,0.072,0.0574,11.7102,0.0341,0.0356,0.0
LUX_D,0.9596,0,0,1.1005,0,4.0723,23.751,6.4332,2.3727,0,8.9987,0.8313,108.3491,49.6222,327.777,21.8023,1.7615,1.1439,13.55,1.2747,0.1994,1.5433,257.5858,16.169,24.0296,73.4495,12.666,0.2147,4.5478,4.1705,1.63,3.2207,1.9716,6.8447,4.4178,11.2531,26.564,14.5354,8.4662,13.0105,7.7119,25.7634,6.1069,4.0896,0.0
LUX_E,0.6891,0,0,0.6505,0,2.7592,3.3129,1.764,0.4474,0,0.8352,0.1328,14.916,4.8298,174.4044,5.1376,0.2011,0.1415,2.1553,0.1254,0.0287,0.226,18.8382,3.3967,38.107,47.234,4.3256,0.0913,1.233,0.7246,0.3152,2.3232,1.2342,1.1087,1.7445,8.5452,8.0171,4.8151,2.5193,9.7326,1.1356,4.3809,0.8789,1.5655,0.0
LUX_F,2.4488,0,0,0.7643,0,3.8174,0.974,0.7534,0.7764,0,1.8516,0.4016,32.4265,11.9671,40.9767,13.4475,0.9062,0.69,8.6738,0.5831,0.1846,2.3174,96.7028,12.2176,786.0883,87.0195,152.1781,0.3882,6.8153,9.13,2.2761,2.62,3.6495,6.4643,23.0793,37.1014,178.9529,31.8526,14.2539,85.5055,13.435,26.361,7.1922,12.2571,0.0
LUX_G,66.4451,0,0,5.1966,0,206.4184,128.3191,9.2869,11.9143,0,52.018,13.5446,576.0356,91.1414,289.915,67.4451,16.4762,8.6137,90.8373,15.9407,1.2704,12.0362,39.4342,11.2666,308.4677,996.0258,223.7941,6.482,160.6886,20.6726,17.6563,227.9559,21.7634,48.7258,206.7003,67.512,41.9853,399.0214,173.7059,27.1509,10.5233,134.2255,11.551,11.9825,0.0
LUX_H49,3.0243,0,0,0.9525,0,8.7631,2.9552,0.6985,0.7647,0,2.6595,0.4562,33.1605,11.5382,28.6676,6.0416,0.8975,0.5357,6.1073,1.0689,0.0866,0.7663,8.8593,1.059,50.9852,43.8879,17.4724,0.3784,7.5415,3.5277,1.8643,5.6963,2.6076,3.1473,6.8444,3.7426,10.5294,15.9219,4.9383,5.3163,1.1981,5.1125,1.0397,1.1437,0.0
LUX_H50,0.4341,0,0,0.0218,0,1.3918,0.2997,0.0926,0.1172,0,0.4763,0.0724,4.1582,2.1093,8.2655,1.0862,0.1594,0.1022,1.0719,0.1271,0.0191,0.1152,0.7175,0.0329,0.8939,12.5702,0.2796,4.2547,1.9377,1.9341,0.3275,0.7599,0.1867,0.5326,1.018,0.0649,0.1939,0.6874,1.143,0.0548,0.0276,0.4947,0.1258,0.0332,0.0
LUX_H51,1.6858,0,0,0.0902,0,5.2573,2.1144,0.3666,0.4136,0,1.325,0.354,18.0175,4.1962,14.4578,3.5439,0.8307,0.3938,4.5002,0.6144,0.0587,0.5963,2.0219,0.2082,5.488,33.9458,3.2249,0.2937,64.6629,3.4505,3.8053,3.3189,0.7955,1.3092,16.3163,1.8625,1.4549,12.4849,17.0378,2.3625,0.1693,1.9482,0.3461,0.4225,0.0
LUX_H52,0.1158,0,0,0.0017,0,0.3881,0.0665,0.0094,0.068,0,0.2358,0.0431,2.9461,1.0642,3.9086,0.774,0.0808,0.0489,0.6585,0.0817,0.0083,0.071,0.0334,0.0028,0.2545,19.5673,4.1554,1.1204,21.0655,3.505,0.4272,0.1046,1.4708,0.0128,0.7019,0.0053,0.097,0.9215,0.5933,0.8757,0.0033,0.0609,0.0802,0.0873,0.0
LUX_H53,0.002,0,0,0.0099,0,0.0784,0.0095,0.0243,0.0766,0,0.0882,0.0275,1.3181,0.3233,0.9958,0.3917,0.061,0.0307,0.426,0.0268,0.0041,0.0574,0.2907,0.0309,0.3434,14.5483,0.2109,0.0288,0.773,0.3773,6.9477,0.0171,0.3127,0.5451,3.5666,7.4328,0.5867,3.9442,1.8377,1.6726,0.0509,0.4747,0.0271,0.2728,0.0
LUX_I,0.0282,0,0,0.1546,0,0.6573,0.4071,0.1899,0.346,0,0.8182,0.3536,14.0766,3.4697,13.4482,4.5473,0.6318,0.3201,4.443,0.3171,0.0546,0.6909,1.2004,0.5051,9.4134,32.2071,3.9095,0.4867,42.105,2.3676,0.9356,2.0639,1.4128,2.2537,14.2284,8.1946,3.6493,42.5613,23.366,7.2663,5.1052,49.2022,1.5982,3.1918,0.0
LUX_J58T60,0.5529,0,0,0.0605,0,2.4903,1.6367,0.1798,0.3286,0,0.506,0.1718,10.2579,1.4228,5.3435,1.5082,0.3377,0.1639,2.0133,0.163,0.027,0.2205,1.1539,0.2462,4.2845,52.7605,1.0182,0.0782,2.1636,0.3372,0.2797,1.28,4.3219,6.5372,26.9851,5.1544,1.2492,22.7471,3.4081,1.4271,0.4754,1.3198,3.11,0.8687,0.0
LUX_J61,0.1804,0,0,0.1861,0,1.3186,0.7525,0.2093,0.3557,0,0.5767,0.1998,10.9944,2.7752,8.899,3.6225,0.5301,0.2523,3.5154,0.2218,0.0425,0.4883,2.7589,1.3218,17.1856,52.4699,5.4034,0.229,5.9502,1.8137,1.6978,1.0759,2.4836,357.3596,378.9249,20.6686,6.5039,48.573,12.9605,6.2751,1.4645,4.2653,1.27,1.551,0.0
LUX_J62_63,2.1362,0,0,0.423,0,12.424,6.7068,0.9247,1.8129,0,2.4554,0.8689,46.7722,7.6885,28.6925,8.3058,2.0546,0.9099,10.7607,0.89,0.1354,1.2481,11.6941,2.9877,56.072,334.8074,8.4682,0.3619,15.206,2.3721,2.4963,4.6631,18.1599,17.0151,284.664,60.2543,7.2458,203.1557,19.8461,16.5998,4.9724,8.5024,6.9882,4.4193,0.0
LUX_K,6.3492,0,0,1.5012,0,16.7353,6.9747,7.1169,4.9349,0,10.8057,2.6798,190.0526,50.8159,232.0607,55.9898,6.2688,3.9335,52.3808,3.8457,0.7878,6.0863,24.5858,3.7814,111.3539,780.7214,69.3355,5.5779,103.4459,19.1078,10.5242,7.6052,50.7026,58.5158,152.0609,33576.4648,304.7265,208.9347,126.5939,126.2864,4.262,37.2031,5.1789,10.5907,0.0
LUX_L,0.5001,0,0,1.9756,0,3.482,6.4184,1.1836,2.4566,0,2.1376,0.7342,65.0326,13.7319,39.234,23.8253,2.3263,1.2561,15.9431,1.1,0.2941,3.2724,15.6028,1.1271,122.3665,868.7272,42.4814,0.917,24.6315,13.2965,6.9756,25.8678,13.9868,26.2956,134.4313,92.7615,106.0062,322.2956,61.9505,70.955,8.6551,50.5838,7.2498,33.4561,0.0
LUX_M,1.8376,0,0,2.3034,0,23.2125,10.6678,2.4832,6.9938,0,16.7255,9.2601,265.2765,69.3824,271.5436,75.0498,13.5022,6.3578,78.9639,7.0102,0.7896,10.663,47.6967,27.5451,433.961,1187.9928,70.3021,4.1686,72.994,22.2817,11.2552,8.486,91.1016,104.0632,402.2457,2149.0423,128.5475,1252.3803,180.3905,94.2586,44.41,48.6398,12.1692,22.4869,0.0
LUX_N,0.4365,0,0,2.6655,0,6.844,26.328,1.5056,1.6459,0,2.9275,1.6141,75.2436,17.0695,57.9808,22.7887,3.4432,1.7476,21.9107,2.0605,0.3146,3.6028,19.6719,11.8495,230.0586,288.9323,22.8798,2.4255,62.4241,11.1733,6.1784,2.3881,7.4168,30.2303,158.5542,22.7575,21.3774,507.8611,134.6039,21.6581,7.0486,7.8338,4.324,6.9018,0.0
LUX_O,0.1892,0,0,0.0583,0,0.6863,0.1907,0.0418,0.332,0,0.6567,0.253,12.3884,2.2817,11.5991,3.1446,0.3313,0.1993,2.478,0.2233,0.0657,0.4392,1.5967,0.1973,7.1871,25.324,2.0879,0.2636,6.1372,1.6411,0.9527,0.7059,0.5256,0.8419,4.9479,14.0838,9.639,11.6209,7.2645,7.0509,0.3868,1.727,0.4071,1.05,0.0
LUX_P,0.2195,0,0,0.069,0,0.8573,1.0413,0.2177,0.1496,0,0.4067,0.2051,6.0562,1.498,6.1035,1.83,0.3054,0.1486,1.7366,0.1392,0.0239,0.2819,1.5534,0.3652,5.1066,27.0788,4.4893,0.1052,6.1014,0.6721,0.3996,1.114,1.6459,2.2941,11.3261,8.091,2.1439,36.214,6.9454,5.8555,16.2134,10.3341,0.8737,1.6263,0.0
LUX_Q,0.1563,0,0,0.0643,0,0.6953,0.4029,0.0991,0.1095,0,0.2106,0.1126,4.0986,0.9081,3.6705,1.0826,0.1281,0.0747,0.9202,0.067,0.0168,0.1528,1.0609,0.4206,5.9575,26.6069,1.2106,0.0559,1.3054,0.4755,0.3062,0.7997,0.4557,1.9246,9.7976,3.2365,2.4299,16.3714,3.5964,16.3303,1.7939,62.7399,0.3273,2.0957,0.0
LUX_R,0.036,0,0,0.0232,0,0.3873,0.2682,0.1442,0.1066,0,0.1059,0.044,2.0001,0.4394,1.5336,0.4922,0.0675,0.0422,0.4433,0.0443,0.0114,0.0781,0.1822,0.2524,3.3839,19.7509,0.4634,0.0603,0.833,0.2589,0.1657,0.2049,4.4654,3.998,7.1903,2.26,1.3191,6.8923,2.9865,0.4892,0.2465,0.5783,4.2728,0.8046,0.0
LUX_S,0.2033,0,0,0.2467,0,7.0896,2.1728,0.9834,0.2035,0,0.4855,0.1617,7.9548,2.7323,7.9377,2.1406,0.3027,0.1668,1.8453,0.1498,0.0328,0.2991,2.0956,1.5607,38.6519,114.418,4.7178,0.1456,2.6958,0.9998,0.4938,0.7923,1.7325,3.9096,62.5556,36.0504,2.4489,36.7009,4.9986,2.6008,1.6541,9.2427,0.6984,5.0965,0.0
LUX_T,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
