V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T
CZE_C31T33,108.1472,1.0024,20.2769,5.5114,1.8786,89.4428,37.2667,23.2558,50.7606,59.9655,41.4374,13.1176,53.5353,27.7511,19.9055,102.037,48.4973,100.559,408.803,233.7195,58.6087,465.7295,197.1826,9.2323,115.9819,207.922,61.5396,2.1113,38.6768,89.1424,1.2023,51.5923,3.7866,13.0486,9.4618,10.3933,57.3195,72.9634,17.2986,51.7492,26.3642,144.197,47.6065,14.3775,0.0
CZE_D,98.071,0.3455,56.936,41.0735,1.5332,252.6192,75.706,59.2755,138.6321,104.832,226.7875,24.7528,115.8126,231.3832,214.3473,188.1749,218.5041,81.0228,189.9592,181.6175,16.2413,79.2888,2550.2769,89.4616,210.9833,307.6964,191.1643,0.5283,3.2498,111.1841,6.2229,101.8038,17.4456,33.4365,24.2402,77.8033,777.0533,124.3168,120.9809,349.0778,260.5972,302.9489,70.1356,57.652,0.0
CZE_E,54.547,1.1271,7.7622,8.476,0.1475,69.2955,8.9963,3.1978,15.8743,8.6354,31.7234,6.3631,10.5758,9.4453,756.8241,64.2613,40.1013,13.1045,100.1005,123.8929,6.2567,10.8272,186.1363,774.8486,125.6969,111.1653,23.0818,0.21,0.7824,21.5395,0.8784,52.7353,1.7676,1.3263,4.1801,14.6363,202.5472,45.389,94.9942,72.7736,33.9097,71.7362,18.2253,14.0047,0.0
CZE_F,142.1642,0.6977,22.2682,6.7574,1.43,47.2955,9.005,23.2854,22.2326,15.3835,107.8305,5.8441,21.2447,32.5751,38.6321,44.2978,20.8297,38.7119,101.4704,50.472,5.1715,367.2545,250.4757,82.4411,8502.7214,340.0876,101.1473,0.3613,3.6171,382.2385,3.2034,92.2964,6.3179,10.3428,24.3542,76.605,1878.3766,650.4899,64.8648,588.274,87.0581,176.6462,66.4076,30.2412,0.0
CZE_G,653.9665,2.8778,47.6134,30.6229,3.4606,1330.8094,303.1712,131.7042,213.7114,47.5975,365.1322,145.9271,588.1313,258.0198,298.9758,601.2183,620.7232,293.2936,564.335,2541.0987,76.362,313.9622,447.9801,201.6503,848.0525,3469.1627,908.0413,3.4135,59.1137,206.5716,30.2409,264.191,145.8138,88.6103,118.9633,200.9508,407.3973,982.1003,552.7533,134.0599,88.1917,385.3077,129.8882,93.1865,0.0
CZE_H49,59.4823,0.1928,53.2013,52.0876,0.8697,227.7437,30.7358,75.2827,140.743,92.0034,96.1904,8.0713,84.8429,76.9584,78.4461,86.2821,81.9728,84.9283,158.2313,321.2043,9.1213,65.2481,205.0083,21.1368,214.4947,472.8059,803.5989,3.6546,14.0639,1219.5032,33.0062,17.2636,8.5985,4.2792,10.2481,24.9916,35.0175,53.0958,65.7278,63.4623,13.1615,21.0689,12.6864,30.3222,0.0
CZE_H50,0.2502,0.0011,0.036,0.0171,0.0045,0.2491,0.0391,0.0069,0.0335,0.2266,0.0353,0.0063,0.1541,0.0776,0.077,0.1529,0.1295,0.0606,0.0511,0.2475,0.0213,0.1608,0.5553,0.0501,1.2845,0.3609,0.4918,0.007,0.1025,0.498,0.0164,0.1811,0.0186,0.0255,0.0201,0.0168,0.3509,0.2124,0.2714,0.0881,0.065,0.1962,0.0362,0.022,0.0
CZE_H51,1.7721,0.0096,0.7481,0.5641,0.105,1.2542,0.2591,0.2265,0.4157,1.3684,0.7243,0.0788,0.9071,1.7471,1.0896,1.6525,0.3742,1.149,2.3812,2.713,0.351,1.0759,2.7349,0.2429,1.2279,6.2795,13.8879,0.2233,3.0304,16.8345,0.5712,0.3744,0.0927,0.1075,0.0392,0.019,0.2786,0.5607,2.1912,0.2181,0.0621,0.3161,0.1179,0.1285,0.0
CZE_H52,112.0512,0.2024,69.4969,57.0168,10.3403,65.0574,7.1242,6.9119,9.151,34.3918,36.0421,1.4235,24.4228,168.7353,46.6735,107.4832,13.3807,39.8995,29.9413,65.5452,2.2795,7.0606,62.9975,24.3112,57.0505,650.332,1558.3637,23.8036,321.0163,1867.6753,64.7226,8.0512,10.6642,25.078,8.7945,5.414,16.2568,52.8432,248.7587,10.8654,7.2491,25.1925,13.7063,17.9487,0.0
CZE_H53,4.4587,0.085,0.6653,0.8252,0.1727,2.2101,1.0194,1.0478,6.4372,0.1148,1.1686,0.4866,2.2949,2.8791,1.1614,7.9168,3.4069,0.704,0.5824,11.888,0.3168,3.5919,46.3645,2.9785,9.4809,124.5212,10.4916,0.1626,1.582,33.8323,228.4459,3.3405,40.551,55.8118,12.8978,239.6784,15.9316,64.456,18.152,202.6479,11.9317,9.0333,10.3796,8.6305,0.0
CZE_I,22.2514,0.1841,3.1604,0.512,0.382,23.7782,6.6389,3.2959,3.2359,0.6789,9.8576,2.5771,9.1307,2.2338,6.6376,9.2229,8.041,4.7776,7.2991,32.4566,1.2966,14.9958,23.4861,8.436,19.5538,131.0435,114.2081,0.9064,13.2198,12.8424,0.277,104.6288,4.1022,3.1866,15.4814,7.8891,101.6155,109.4813,281.2943,40.0083,34.8173,94.1145,29.8216,15.4563,0.0
CZE_J58T60,11.1009,0.0369,0.4835,0.6495,0.048,18.9778,1.2137,0.7889,17.8363,0.1386,15.4063,0.6028,1.7495,2.819,4.1268,1.7546,23.6386,3.5538,8.6594,7.1945,0.2753,4.465,4.0364,0.8374,3.9377,68.0911,4.1042,0.1668,0.2392,29.8842,1.0882,43.5274,588.017,4.1233,26.489,25.0511,2.4735,92.1773,11.5368,4.894,69.6499,7.6166,12.1931,14.1687,0.0
CZE_J61,16.2872,0.1492,1.1749,1.1769,0.3289,14.069,4.5563,4.0399,5.6701,0.712,3.2723,2.9036,29.2946,7.3285,3.6667,29.6518,31.7346,12.798,31.5354,28.4129,4.6368,24.9057,47.9138,9.3651,22.0826,169.8501,34.9785,0.2167,2.735,50.7151,12.9414,26.1706,59.6172,917.2694,86.8542,79.6872,79.0091,132.0547,33.6596,259.8115,34.223,32.6493,23.4006,15.9213,0.0
