V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T
CRI_A01_02,423.2028,1.7327,0.2166,5.0673,0.0061,1667.1181,10.2167,26.4339,0.3845,0.0475,1.9832,0.4522,2.6033,0.2956,0.7818,0.1057,0.0419,0.0179,0.0011,0.002,0.0005,3.2672,0.1632,2.045,0.3332,1.2275,0.0422,0.0587,0.0093,0.2035,0.005,112.4699,0.1122,0.0233,0.0055,0.1013,0.1556,1.1487,1.0383,6.1853,28.4327,18.002,1.3756,3.3021,0.0
CRI_A03,0.0048,3.1057,0.0,0.0,0.0,67.1202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5903,0.0,0.0031,0.0,0.0,0.0,0.0,0.0092,0.0723,0.4111,0.1027,0.0,0.0,0.0
CRI_B05_06,0.0271,0.0,0.0716,0.8693,0.0013,0.17,0.0,0.0008,0.0011,0.2622,0.5448,0.0066,0.0003,0.314,0.0047,0.0077,0.0,0.0001,0.0,0.0,0.0,0.1309,0.0211,0.0044,2.9602,0.3127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
CRI_B07_08,2.842,0.0148,0.0185,1.3745,0.0016,2.4143,0.0001,0.1547,0.005,0.1883,1.2473,0.1921,0.0023,26.5284,1.7946,0.0117,0.0,0.1843,0.0114,0.0,0.0,0.1636,0.2032,0.5717,263.0288,0.4967,0.1149,0.0944,0.0121,0.0009,0.0,0.0003,0.0,0.0545,0.0,0.0,7.9869,0.4641,0.2318,0.1157,0.1252,0.0029,0.0064,0.1062,0.0
CRI_B09,0.0125,0.0005,0.0038,0.0676,0.0003,0.0099,0.0001,0.0001,0.0066,0.0954,0.0144,0.0002,0.0009,0.0437,0.025,0.0019,0.0,0.0003,0.0001,0.0,0.0,0.0013,0.0514,0.0035,0.2764,0.0016,0.0037,0.0007,0.0002,0.0022,0.0,0.0008,0.0,0.0,0.0,0.0,0.006,0.0045,0.0034,0.0026,0.0003,0.0017,0.0003,0.0005,0.0
CRI_C10T12,183.558,16.0271,0.0176,0.4759,0.0007,838.5858,1.0246,1.5684,1.1717,1.7263,34.1682,7.9014,2.9923,0.8276,1.0925,0.2678,0.1249,0.6631,0.0409,0.0288,0.0063,3.7208,0.5629,1.8717,9.7921,23.6929,0.3761,0.5247,0.1573,1.9576,0.0721,567.0183,0.3723,0.6813,0.245,2.4762,1.5963,5.479,6.316,9.1971,34.0666,30.3178,8.4817,13.9774,0.0
CRI_C13T15,2.4611,0.0417,0.0018,0.0392,0.0001,5.5822,29.1467,0.0273,10.8587,0.1014,0.9541,0.129,0.466,0.1804,0.1186,0.1936,0.0537,0.1055,0.0065,0.019,0.0046,9.8555,0.4358,0.7646,1.1685,4.3615,0.1515,0.1685,0.0535,0.3256,0.0848,3.7288,0.1424,0.541,0.0837,1.4524,0.5824,1.6455,2.2693,2.5474,1.4126,5.5664,0.9861,2.4864,0.0
CRI_C16,8.8077,0.0292,0.0004,0.011,0.0,7.8153,1.7921,21.1839,0.3513,0.0539,0.4947,0.0515,0.3301,3.2806,0.3075,1.1296,0.0177,0.6799,0.042,0.2103,0.052,16.4395,0.0317,0.1556,55.6771,0.3779,0.0023,0.0028,0.0005,0.0871,0.0004,0.1652,0.0406,0.0168,0.0002,0.0255,14.7442,0.6141,0.0387,0.2582,0.2174,0.5519,0.0092,0.3691,0.0
CRI_C17_18,52.4292,0.0334,0.0012,0.0651,0.0001,53.6609,2.048,0.172,111.2888,1.4147,10.1616,3.1947,2.9427,6.3304,0.7012,0.7031,0.2076,1.9477,0.1208,0.1005,0.018,34.6682,1.2251,1.2687,5.2446,50.9212,0.7754,0.7025,0.1645,1.5274,0.6165,23.7413,13.5578,1.7546,0.619,5.8729,7.7599,48.8099,12.8365,6.879,23.9672,33.3927,1.2851,9.2493,0.0
CRI_C19,17.568,1.0748,0.0448,2.5057,0.0022,12.9208,0.3485,0.5102,0.8567,0.2661,1.3126,0.106,0.7606,5.8075,0.9675,0.4399,0.0263,0.1385,0.0085,0.1046,0.0224,4.4383,5.0762,1.5293,13.6085,9.0753,21.2689,21.053,7.0329,2.307,0.9668,5.4614,0.2355,0.6312,0.1811,0.6064,1.3308,4.3998,7.1919,1.8657,1.6655,2.6385,0.8664,1.9,0.0
CRI_C20,135.8506,0.3577,0.0466,2.0424,0.0028,64.8856,6.4863,0.7594,21.0174,58.0781,203.5258,11.1257,70.6965,5.1479,2.3482,5.7637,1.7965,12.9892,0.8018,0.5096,0.0895,43.0924,0.5657,1.7126,57.5874,25.8069,0.2239,0.2391,0.0511,0.4484,0.0671,11.8576,1.2842,0.5584,0.1145,1.5306,15.5479,5.1284,4.6917,3.0864,5.5772,33.5012,2.0399,14.9089,0.0
CRI_C21,7.7714,0.0425,0.0025,0.0685,0.0001,3.3919,0.0514,0.0019,0.0401,0.4925,1.6053,3.2794,0.095,0.0156,0.047,0.016,0.0043,0.0317,0.002,0.001,0.0002,0.6937,0.0353,0.0946,0.1296,0.2496,0.0081,0.0118,0.0022,0.0368,0.0012,0.5375,0.0046,0.0277,0.0034,0.092,0.0634,0.4623,0.1234,0.3644,0.2387,8.2888,0.0144,0.1203,0.0
CRI_C22,4.6543,0.0385,0.002,0.0804,0.0001,17.4813,0.9298,0.0606,2.2888,1.4273,6.1082,0.8852,3.6228,0.6352,0.2248,0.4688,0.1324,1.3751,0.0849,0.1154,0.0158,17.9356,0.1517,0.5537,16.4388,3.1316,0.1387,0.0666,0.0137,0.0791,0.0237,2.3425,0.1434,0.0654,0.0109,0.081,2.4355,0.9318,0.3247,0.1731,0.2449,1.2304,0.087,0.4159,0.0
CRI_C23,1.8725,0.1264,0.0058,0.2816,0.0005,7.1178,0.0908,0.0747,0.2797,0.6473,2.9516,1.7602,0.7635,47.9576,2.4871,0.9544,2.8418,3.6571,0.2257,0.523,0.0815,7.7711,0.3619,1.3461,511.7594,4.3976,0.7455,0.9265,0.3404,0.2332,0.0892,3.087,0.0555,0.5171,0.1113,0.3331,18.04,2.2803,0.8605,1.8424,9.3664,4.0321,0.1897,0.9276,0.0
CRI_C24,0.2673,0.0466,0.0161,0.4393,0.0012,0.4272,0.0046,0.0063,0.2086,0.0865,0.1104,0.313,1.0494,5.239,42.9033,18.1777,0.5551,27.523,1.6989,1.1768,0.1449,20.4701,0.7525,0.112,116.7464,0.9796,0.2958,0.5727,0.0346,0.0034,0.0,0.2855,0.0652,0.0637,0.0,0.0,0.9011,0.3283,0.0437,0.098,0.2813,0.1341,0.0226,0.0461,0.0
CRI_C25,4.0224,0.1387,0.0423,1.5997,0.0035,17.9692,0.4915,1.022,1.5185,0.0567,5.3821,0.0827,2.2745,3.5356,4.0506,9.1707,0.8626,10.2352,0.6318,0.7998,0.1422,30.9565,0.5731,0.8506,76.3763,8.7022,1.2914,1.643,0.2315,0.2347,0.0453,2.9871,0.2488,0.1713,0.1754,0.0297,4.6982,1.1534,1.6554,1.296,1.6839,2.8,0.3288,8.9408,0.0
CRI_C26,0.0161,0.0113,0.0002,0.0052,0.0,0.1836,0.007,0.0027,0.0497,0.0015,0.0226,0.0072,0.0423,0.0338,0.0043,0.0362,0.8101,1.9979,0.1233,0.0249,0.0048,3.726,0.1781,0.0622,11.9429,0.3915,0.0089,0.0095,0.0016,0.003,0.0014,0.1767,0.0046,0.3862,0.0419,0.0598,0.1746,0.3307,0.0886,0.0546,0.1641,0.1466,0.0902,0.1054,0.0
CRI_C27,1.1494,0.0851,0.0025,0.0806,0.0002,5.0801,0.1005,0.0509,0.7385,0.2246,1.1974,0.1916,0.9157,0.4352,0.2006,0.3445,1.2301,12.3124,0.76,0.1708,0.0302,16.819,1.2746,0.4183,63.7555,2.5583,0.1051,0.0965,0.0203,0.0995,0.0104,1.5466,0.0533,1.7187,0.0268,0.2646,1.6665,1.1811,0.274,0.426,0.8205,0.6398,0.5869,0.6544,0.0
