V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T
MEX_A01_02,3447.0406,12.1095,0.3869,2.7687,3.204,23084.5219,435.8589,810.5919,13.7359,0.0602,120.3487,56.0017,304.9013,50.3263,1.189,0.9216,14.0849,0.4292,0.2141,2.2293,0.1728,27.969,1.8283,3.2825,178.5015,853.4441,4.6321,0.1973,0.1205,1.6311,0.3036,332.1149,0.4801,0.0309,0.0811,2.6723,18.878,2.1531,1.3547,8.7782,23.8723,8.9409,0.9088,1.332,0.0
MEX_A03,0.1428,25.079,0.0144,0.0351,0.1887,470.4682,0.9744,0.0558,0.1725,0.0018,0.1793,0.6703,0.0386,0.0224,0.041,0.0256,0.0195,0.0158,0.0231,0.1141,0.0044,1.287,0.006,0.011,0.5488,15.7099,0.0583,0.0075,0.0981,0.0222,0.0209,21.5877,0.026,0.0255,0.0155,0.0548,0.0675,0.0682,0.0282,0.2349,0.0267,1.3396,0.5402,0.0259,0.0
MEX_B05_06,0.0016,0.0001,593.8239,0.0996,79.2454,0.0142,0.0043,0.0001,0.0017,11424.2676,3887.2695,1066.9843,0.0066,0.844,429.6668,0.0132,0.002,3.7721,0.0099,0.0184,0.0065,48.6139,388.9406,0.0004,0.0722,0.0565,0.0053,0.0008,0.0106,0.002,0.0022,0.0051,0.0027,0.0028,0.0017,0.0053,0.0029,0.0075,0.0028,0.011,0.0018,0.0014,0.0024,0.0026,0.0
MEX_B07_08,55.2829,22.2511,3.8306,184.2788,3.967,261.7168,5.2496,0.0179,12.1371,5.524,567.0365,18.5756,22.6504,2466.169,7237.2309,10.265,20.4921,15.9245,18.4528,33.8347,1.9477,4.6976,142.0119,2.0082,1549.4263,4.4681,1.2637,0.0169,0.1963,1.6649,0.0457,0.794,0.0549,0.0913,0.0668,0.1351,0.4191,0.4977,0.6468,1.9372,0.1703,1.2442,0.2347,0.0758,0.0
MEX_B09,2.6045,0.1252,778.9589,45.5091,267.0997,24.4965,3.2372,0.2824,3.0346,0.3758,8.0632,3.5167,3.7057,4.2208,2.2078,5.1589,4.0212,3.267,3.5056,24.0415,0.8797,3.4904,0.4444,0.8558,160.3497,77.9119,10.5652,1.5552,21.3983,4.0899,4.4272,10.1801,5.4696,5.5677,3.3468,10.7218,5.4672,13.896,5.5673,22.1362,3.6887,2.7113,4.8934,5.2129,0.0
MEX_C10T12,3770.6915,44.8464,10.341,11.6174,4.4508,11794.801,275.1093,1.2488,92.0809,13.5832,189.3012,154.895,12.2828,16.5561,10.4391,14.1925,6.9511,3.9069,5.3785,20.6618,1.8055,7.9013,2.7565,1.4495,32.1254,237.9297,53.4329,0.3938,7.6164,13.6105,0.8296,2686.6946,7.1348,8.8689,2.1159,63.8665,17.4659,73.5909,56.786,540.1275,57.3166,124.7221,36.3339,11.473,0.0
MEX_C13T15,51.1409,8.1755,11.4492,3.6344,2.5398,43.3318,2693.1838,3.3605,307.7587,16.4154,37.7204,1.1422,79.7499,13.2305,9.3723,26.8652,48.5242,12.7786,16.4452,1686.8857,14.4617,326.2875,1.098,3.0846,41.0956,145.7631,91.5373,13.501,7.5759,6.3264,2.3133,127.5992,6.6073,3.6575,0.1072,2.4056,33.756,3.3475,20.2775,107.7123,33.2709,89.7706,4.2989,40.3009,0.0
MEX_C16,35.1056,4.6679,3.0507,38.5445,76.0015,231.1338,58.5068,388.7943,33.5972,0.925,73.9757,103.2573,35.8543,63.9215,35.8898,111.1844,93.1077,46.9252,30.4816,236.4363,5.9256,662.5454,20.733,47.1938,997.9654,193.9015,0.7878,0.0518,3.2277,0.4793,1.1152,5.5474,0.2166,0.2525,0.0716,2.8798,4.2897,0.8504,26.9257,6.6175,1.0836,1.0177,0.1781,0.3879,0.0
MEX_C17_18,74.4996,0.5823,4.8548,6.6958,143.3039,848.6545,268.9831,36.4214,2920.1776,13.7047,130.7098,132.5729,135.1876,157.079,21.6698,183.3044,387.8967,134.9233,69.3715,354.8418,11.0813,357.4557,4.7778,16.7163,45.5074,1378.8107,61.9455,2.9761,5.0035,35.0549,11.189,289.0076,11.4877,14.7974,13.9518,408.6297,287.1996,120.2194,467.2988,614.2268,307.6636,138.5397,28.4136,17.0319,0.0
MEX_C19,471.3002,215.9621,247.8286,447.5251,463.2223,488.6879,58.1187,58.6969,84.1097,6321.5571,1209.6566,42.0998,66.1794,216.3626,329.201,133.5154,41.8357,79.8908,42.0732,152.0028,13.1555,95.993,1745.0988,67.2845,1109.8447,1152.011,7592.5358,53.7853,1332.8394,142.7424,157.87,94.8269,24.444,12.8545,4.0259,75.1635,105.664,198.842,272.326,593.8165,43.2054,154.2237,13.7289,190.4385,0.0
