V1,SAU_A01_02,SAU_A03,SAU_B05_06,SAU_B07_08,SAU_B09,SAU_C10T12,SAU_C13T15,SAU_C16,SAU_C17_18,SAU_C19,SAU_C20,SAU_C21,SAU_C22,SAU_C23,SAU_C24,SAU_C25,SAU_C26,SAU_C27,SAU_C28,SAU_C29,SAU_C30,SAU_C31T33,SAU_D,SAU_E,SAU_F,SAU_G,SAU_H49,SAU_H50,SAU_H51,SAU_H52,SAU_H53,SAU_I,SAU_J58T60,SAU_J61,SAU_J62_63,SAU_K,SAU_L,SAU_M,SAU_N,SAU_O,SAU_P,SAU_Q,SAU_R,SAU_S,SAU_T
SAU_A01_02,581.9682,9.8053,87.0443,0.0,7.4004,5680.9865,268.2518,3.9224,28.5482,413.2423,17.629,0.9418,80.2153,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,3.5739,1.1671,0.0291,670.4146,1045.7282,0.0,0.489,0.0,0.1394,0.7604,2030.481,8.1814,4.2238,0.0049,0.0371,50.5888,0.2864,55.0436,0.1628,140.9651,8.3335,108.8069,4.3861,0.0
SAU_A03,7.7735,3.1351,0.0,0.0,0.0,235.2371,0.0,0.0,0.0,0.0,3.6333,0.3314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3345,0.0,0.0,1.8668,0.2025,0.0,0.0,0.0,0.0,0.0,145.2851,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,9.1345,0.0251,0.9532,0.0,0.2283,0.0
SAU_B05_06,0.0,0.0,375.0049,9.4409,13.3473,1337.8134,404.0997,64.8068,284.0235,9884.5616,7459.6828,152.1144,329.4683,517.1124,344.3596,301.1253,17.5987,290.7872,136.193,59.4914,24.0305,197.4831,969.6819,5.3862,1272.9561,0.0,76.3221,3.0796,289.0539,94.7298,20.0757,91.0106,89.0653,317.0671,20.9237,0.0111,1.1241,1.8372,21.3074,1.9569,30.5362,73.0698,12.4635,3.5592,0.0
SAU_B07_08,0.0018,0.0055,0.1755,0.4094,0.0019,6.3866,0.1363,0.0097,7.6432,0.0,153.2049,1.4071,0.686,666.0637,414.6014,10.3785,0.0,8.5508,0.0,0.111,0.0,3.4034,40.9118,36.2197,1136.0416,14.734,0.0,0.0,0.0,0.0003,0.0001,1.1877,0.1439,7.8208,0.337,0.0004,0.6924,0.1734,0.0813,1.6137,0.1334,0.0928,0.3239,0.0468,0.0
SAU_B09,0.562,0.4609,168.8273,0.8384,2.1396,60.3946,16.2262,2.4042,10.5982,125.5383,184.205,0.9276,12.3826,18.7943,12.4063,11.5041,0.8116,10.8037,5.6773,2.5395,0.6014,4.6235,9.0861,0.5882,2.6156,0.0,2.802,0.0255,12.1354,3.6842,0.6689,1.9114,0.3301,0.0,0.7092,0.0,0.0,0.017,3.1961,0.0,0.0,1.5949,0.1215,0.1694,0.0
SAU_C10T12,83.2235,52.0305,34.483,0.0,2.9359,519.654,94.2044,0.0082,2.5868,0.0,4.852,0.2033,0.0,0.0075,0.0,0.003,0.0013,0.0,0.0,0.0,0.0,0.0398,28.6846,22.062,22.8776,129.3986,0.1629,14.5833,119.9548,0.0009,0.0518,600.5565,59.7464,123.7288,5.7292,4.3458,55.485,16.1,44.4454,518.3022,361.6783,233.795,51.2891,54.7628,0.0
SAU_C13T15,1.442,9.4344,4.9897,0.0048,0.32,9.6106,397.4602,0.7103,13.5197,0.7376,10.4148,0.4008,21.6122,4.339,4.8386,1.1566,0.4607,4.8088,3.5554,5.8203,0.6128,21.2542,3.4807,2.6355,130.2954,53.0323,0.1115,0.0951,10.0086,1.0327,2.0835,33.4293,2.4147,29.3699,0.9219,0.3405,7.9448,6.2025,5.6207,50.2688,6.2612,24.3156,3.1586,6.7412,0.0
SAU_C16,8.3765,14.334,5.6038,1.8459,0.5591,34.7935,28.9312,133.2828,56.4439,1.6146,4.2459,0.098,5.7643,15.6714,4.0762,13.181,0.3941,14.2505,2.3426,0.8703,1.0744,157.6558,1.3698,6.0936,797.9011,85.3924,0.4049,0.0217,1.2544,39.868,0.3467,21.7304,5.7698,4.9085,0.0961,0.6328,1.6433,10.1816,4.0536,3.783,1.7811,33.6875,9.7712,5.96,0.0
SAU_C17_18,1.5484,1.2635,31.2124,0.179,2.0193,79.3184,16.7232,4.164,288.5846,65.5319,37.4813,2.4474,15.1361,14.0486,2.3196,3.5804,0.9906,11.7128,2.831,1.1424,0.6026,10.3551,35.1396,24.0544,20.7335,559.4497,1.1621,0.0243,4.6621,11.2878,10.2683,95.7987,292.7396,77.2779,10.7095,199.5507,1.0228,54.6811,41.3015,164.0104,72.2139,149.8662,34.1968,26.8683,0.0
SAU_C19,320.1245,127.0705,218.2624,14.7492,7.5559,383.8721,270.4251,125.0735,252.5778,717.4937,6116.511,65.9254,458.7779,1041.5256,494.4186,188.5511,5.2211,164.0769,138.4799,18.8631,20.096,80.8048,1976.0516,172.7638,2893.2122,1682.1222,746.3896,15.9958,3233.8206,131.2235,14.947,436.2877,46.6128,836.8916,4.7284,85.4267,6.4668,120.4047,429.8883,2373.7022,282.5882,367.2268,69.6151,147.4874,0.0
