V1,SGP_A01_02,SGP_A03,SGP_B05_06,SGP_B07_08,SGP_B09,SGP_C10T12,SGP_C13T15,SGP_C16,SGP_C17_18,SGP_C19,SGP_C20,SGP_C21,SGP_C22,SGP_C23,SGP_C24,SGP_C25,SGP_C26,SGP_C27,SGP_C28,SGP_C29,SGP_C30,SGP_C31T33,SGP_D,SGP_E,SGP_F,SGP_G,SGP_H49,SGP_H50,SGP_H51,SGP_H52,SGP_H53,SGP_I,SGP_J58T60,SGP_J61,SGP_J62_63,SGP_K,SGP_L,SGP_M,SGP_N,SGP_O,SGP_P,SGP_Q,SGP_R,SGP_S,SGP_T
SGP_A01_02,0.8274,0.0077,0,0,0,23.2094,2.6105,0.004,0.0336,0.0055,0.2253,0.1355,0.0239,0.0006,0.0004,0.0226,0.4073,0.0103,0.1901,0.0072,0.0211,0.1855,0.5101,0.0008,1.1516,0.0879,0.0196,0.7719,0.0103,0.0094,0.0007,43.5625,0.2832,0.0119,0.0138,0.1958,0.2607,0.9138,1.0933,0.0761,0.0515,0.1382,0.1994,0.2346,0.0
SGP_A03,0.0023,8.706,0,0,0,1.2015,1.597,0.0002,0.0022,0.0137,0.0489,0.105,0.0008,0.0016,0.0011,0.0068,1.239,0.0036,0.2115,0.0047,0.0103,0.1176,0.5271,0.021,0.1136,0.7307,0.0584,2.9159,0.0385,0.2338,0.0012,42.9668,0.0355,0.0871,0.1623,0.3725,0.1282,0.4043,0.1977,0.2457,0.0369,0.0714,0.3518,0.152,0.0
SGP_B05_06,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B07_08,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B09,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_C10T12,5.6703,2.4667,0,0,0,1236.703,6.8165,0.2729,1.7799,7.8525,286.7229,13.3084,0.6034,0.6921,0.6288,2.134,74.1505,1.0645,15.0879,0.6679,2.0523,23.5335,1.675,2.0972,12.046,48.6905,2.567,82.8347,3.6226,8.2545,1.4517,1182.9185,9.8642,2.9576,8.7768,30.5887,10.5876,24.4306,13.0254,41.9428,2.5576,18.3294,6.0073,17.5315,0.0
SGP_C13T15,0.009,0.0356,0,0,0,1.113,109.5077,0.4135,2.112,0.4659,1.3815,0.1586,0.5335,0.0634,0.9789,0.229,3.6055,0.3276,2.5461,0.6476,1.7253,6.6202,0.4476,1.5529,16.0074,23.7947,4.3948,1.0574,0.2026,5.1732,0.3103,8.1077,1.0156,1.0338,0.188,0.303,0.4399,1.8436,1.3571,2.5307,4.5981,4.728,1.8393,6.0746,0.0
SGP_C16,0.0318,0.0099,0,0,0,6.8189,0.3334,18.0974,0.6613,0.6739,5.8872,0.2143,0.3548,0.6486,0.1507,6.7664,7.3331,2.4726,6.4267,0.4913,0.6012,53.1063,0.1617,0.4915,100.5394,1.9507,0.1854,0.3051,0.0873,2.8374,0.0304,0.6283,1.5898,0.1344,0.4152,0.5495,2.3149,5.6033,0.7163,0.3038,2.6318,1.2789,0.0647,0.9746,0.0
SGP_C17_18,0.2719,0.1099,0,0,0,29.3361,2.9424,0.4377,236.3105,2.1034,15.1943,2.2003,3.2951,2.2432,1.3252,8.1518,160.2047,12.0618,21.2897,2.4601,2.8456,50.7,3.6217,8.4938,16.6166,237.3491,4.6604,2.2693,2.1057,12.8446,3.8006,21.6535,34.6367,25.3879,61.7245,60.4286,22.6852,199.6715,42.4982,33.1848,90.7666,16.4197,16.9993,12.6082,0.0
SGP_C19,0.1052,0.0751,0,0,0,22.8416,0.7109,0.0738,4.4713,2141.7739,2160.8743,4.5122,2.8247,8.8593,21.7227,9.2417,276.2631,51.226,51.368,2.8842,28.3254,7.9982,18.7071,25.5701,326.1431,254.9305,348.4595,3302.3047,1331.5361,166.8789,2.577,50.655,22.0805,14.8259,56.6911,39.9636,39.3652,170.2651,90.5902,61.8268,11.086,28.369,8.7294,8.1374,0.0
SGP_C20,3.2083,0.999,0,0,0,50.6787,18.4676,6.9211,171.4379,128.9195,7207.9795,42.1644,256.6375,75.8371,79.7431,140.5173,3309.3661,101.2791,199.3826,6.1499,19.0174,351.8447,10.7193,71.7237,243.3844,325.5221,9.9638,24.6521,8.3207,47.4864,3.5712,49.1295,73.1378,28.2731,27.2222,57.1824,37.5981,477.0954,124.3236,38.421,110.0454,197.7467,13.9837,125.7262,0.0
SGP_C21,0.2456,0.1773,0,0,0,27.2371,0.4861,0.0836,0.7456,5.5117,20.5294,619.2983,0.4054,0.4147,1.2705,0.9392,18.6753,0.5397,4.4593,0.188,0.701,27.6999,0.6161,0.4934,4.096,7.8989,0.392,3.8526,1.5893,2.0453,0.034,2.9929,3.9581,0.4258,1.865,0.8495,0.5612,85.4423,4.4277,13.5413,0.4729,423.2552,1.0906,6.8387,0.0
SGP_C22,0.5121,0.1998,0,0,0,48.2513,1.8975,2.9848,24.7204,4.177,32.8594,7.1649,48.6178,0.9595,1.3865,4.6073,191.0152,16.2531,59.0587,6.8921,6.7807,81.8838,0.8399,4.4812,77.3213,52.0894,3.3938,2.359,0.812,5.6545,0.6151,10.9914,9.6916,5.4426,2.5086,21.9345,1.8807,18.3837,3.8437,5.5282,20.7986,1.8869,4.1319,9.0142,0.0
SGP_C23,0.0812,0.0567,0,0,0,4.4001,0.7062,0.1278,1.3104,7.4101,27.0544,1.9153,1.5252,116.1912,7.493,3.1474,157.5522,4.0538,18.0936,4.6477,3.1847,6.3434,15.9733,1.9277,796.5953,25.2461,0.785,5.525,2.0528,1.1135,0.4403,6.9905,5.2879,3.1867,6.1044,5.5911,6.2599,35.0413,4.8085,4.4872,4.6296,2.462,1.0243,5.2371,0.0
SGP_C24,0.007,0.0,0,0,0,1.6464,0.3365,1.4019,4.9659,0.0121,3.0332,0.022,0.3176,0.1573,108.3708,278.2647,44.6832,53.5432,144.3467,0.8364,35.3158,52.9928,0.8781,0.5988,182.5478,4.0995,0.0711,0.1692,0.2737,0.2239,0.0,0.2674,0.008,0.0,0.0,0.0884,0.6367,8.3398,2.6836,1.0759,0.1298,0.0,0.0,0.0296,0.0
SGP_C25,0.1023,0.079,0,0,0,30.9409,1.7335,0.747,5.1444,6.2763,44.7462,0.9571,3.97,2.6462,4.0748,239.1382,229.7479,64.9564,331.666,14.0508,70.1401,53.3987,3.6996,14.3698,615.7735,42.573,1.8555,5.3591,1.2066,8.3754,0.2473,5.5467,13.5274,6.6102,10.9463,6.9133,11.2561,112.6285,20.6567,387.8296,3.3496,3.0362,1.9105,4.4409,0.0
SGP_C26,0.5322,0.5367,0,0,0,40.6643,6.0017,1.571,15.8051,69.4432,133.12,10.7546,8.7918,7.8762,7.1544,29.8898,10708.88,63.1094,649.6319,44.0947,61.3326,472.8012,16.9439,26.7698,190.3823,500.1543,7.508,64.0075,17.8733,16.7302,2.0322,58.0289,128.4743,156.0118,388.5269,57.9947,34.2618,357.3474,78.7466,259.5125,94.5748,89.6632,21.0294,55.2819,0.0
SGP_C27,0.0251,0.0187,0,0,0,4.6228,0.2472,0.1288,1.7638,9.7804,9.0371,0.5132,1.7461,0.3635,1.6547,2.1565,194.6672,114.1555,93.3206,7.3876,14.4195,23.7258,19.5552,11.2931,69.7278,26.0779,2.1939,3.6417,0.6529,2.5209,0.2757,3.8294,7.4044,59.6368,8.8402,7.0266,3.5034,21.0712,19.2304,3.8714,1.0339,3.0409,4.6751,12.5489,0.0
SGP_C28,0.4642,0.5458,0,0,0,45.8672,6.2305,3.0156,36.5632,101.964,147.4616,16.68,9.6273,11.4241,17.0344,83.0967,1996.3914,54.8464,3775.7742,45.4295,628.4949,134.9687,38.0789,24.2642,899.7117,178.7329,12.0262,126.0688,16.9075,58.5808,1.2898,42.3044,55.6297,21.2945,31.2284,38.3038,97.6273,427.259,70.6234,144.8771,36.7656,19.8726,13.5952,58.2448,0.0
SGP_C29,0.0147,0.0059,0,0,0,0.3211,0.1942,0.0286,0.2557,0.6061,0.9525,0.2001,0.0755,0.0871,0.1364,0.8135,25.8648,1.4402,22.6858,10.4275,3.2682,1.8994,0.5617,0.3974,6.361,8.9873,0.9683,0.6936,0.1476,0.5436,0.0185,0.4523,0.7671,1.2253,1.169,1.8467,1.7144,5.5327,1.089,2.9786,0.9032,1.4911,0.6191,1.8198,0.0
SGP_C30,0.1115,0.2783,0,0,0,6.0108,0.7928,0.1774,1.215,7.1046,12.8506,2.3854,1.7381,0.8338,0.9506,12.4234,55.4379,1.4497,1969.7518,5.0634,3287.8209,6.2443,1.9616,3.553,16.8523,181.349,5.6661,661.0456,103.5541,214.5831,3.1867,6.7142,8.8053,4.9353,10.9247,21.5407,16.6177,118.5992,22.6826,718.9479,7.3256,11.9995,5.3481,12.2511,0.0
SGP_C31T33,0.1138,0.085,0,0,0,5.1025,1.0163,0.2317,3.3874,9.4978,14.5821,9.2839,1.6765,0.9191,18.8023,7.4362,258.7239,9.7409,31.4911,1.25,6.1328,797.7635,3.5323,4.3922,209.5743,54.0898,3.1272,6.9065,2.2636,41.4291,2.8691,36.7872,29.3166,33.2899,12.6375,35.6904,113.7334,199.868,181.6321,27.4326,50.0302,156.7926,26.6477,18.829,0.0
SGP_D,2.6396,1.1437,0,0,0,67.7393,5.8238,2.0176,27.494,103.3703,587.9929,26.0537,22.5556,6.7256,43.5565,45.8468,719.9537,14.0986,120.5519,7.0266,34.1331,43.0415,3505.0374,50.1863,73.8795,219.5212,36.2223,6.5542,2.1293,99.5382,2.6869,219.9328,16.0683,63.2215,80.1468,69.4762,274.0465,92.0081,18.9623,108.0535,79.8117,72.3213,54.1106,23.3321,0.0
SGP_E,3.3633,1.3191,0,0,0,24.3448,3.6395,2.4104,18.0607,23.4519,117.4404,3.4049,2.0768,81.5153,33.1151,14.0751,147.0321,2.0307,41.2322,1.1205,12.7736,8.1132,97.2264,727.2725,53.0596,76.9321,4.8912,64.422,2.0029,22.1667,0.6747,90.609,5.1349,13.3215,26.5784,32.4047,211.3697,80.626,10.8355,684.5899,45.3344,33.8157,35.7219,24.2224,0.0
SGP_F,0.3327,0.082,0,0,0,24.9354,3.2461,1.0112,9.1225,8.622,42.0908,16.8653,6.7419,2.1685,2.6638,20.9905,190.2158,4.6475,67.3306,1.5179,29.5112,37.9229,14.5787,41.001,25202.1323,90.5964,18.9989,32.6289,5.1832,37.0479,2.4083,62.2846,11.4956,10.0612,18.6252,45.0219,1296.9472,246.5707,39.1453,115.7136,71.6136,26.1406,37.7083,9.2346,0.0
SGP_G,18.7461,22.1214,0,0,0,1660.2552,318.5439,43.8528,325.6794,2752.0205,4262.6671,224.2,175.9577,203.9968,154.4019,447.691,9671.8193,277.5128,2248.9328,88.0994,404.6236,1051.1908,386.6281,144.0685,2217.0741,3821.3635,266.2606,2244.4128,745.5875,254.2947,20.3849,1810.705,2751.3834,220.4908,2029.7949,713.7638,396.127,1298.8273,433.9859,672.3303,288.7816,406.5448,118.2316,189.7207,0.0
SGP_H49,0.6859,0.6351,0,0,0,52.5655,7.8912,2.5396,13.4546,201.0716,184.5357,18.0587,7.4075,19.5456,9.4379,28.083,449.8429,12.1239,107.8216,5.7662,18.4385,53.8069,14.4149,4.8436,202.9473,355.937,119.0145,258.0864,44.2712,108.1186,3.7698,73.0834,25.7236,13.7699,36.1935,59.9871,17.2714,93.0094,44.3206,29.7956,29.3716,19.1809,10.9727,8.926,0.0
SGP_H50,0.5161,0.5465,0,0,0,68.5107,12.4667,2.6245,24.7989,562.8907,308.852,10.2136,10.2823,41.4089,21.3366,43.7378,455.5726,16.121,135.0886,6.4524,50.3808,112.6605,6.3447,6.1582,123.4815,6362.1118,30.168,5922.8137,55.6378,252.461,6.273,46.5201,13.5177,12.6376,14.4584,21.6641,21.9221,138.7194,33.4214,48.739,9.41,8.821,3.6645,5.1831,0.0
SGP_H51,0.5682,3.2099,0,0,0,20.5976,4.14,1.1313,6.9736,112.7812,78.4989,5.8978,3.099,9.3179,4.9188,11.9555,174.4344,5.7646,42.445,2.0853,11.8015,29.1491,5.9072,6.4871,78.1138,1235.2084,8.0122,34.0665,474.7799,50.9502,18.5028,25.9419,21.2684,10.1272,27.9762,79.88,40.3013,107.6136,80.751,29.7314,29.3079,26.4764,10.9888,14.8817,0.0
SGP_H52,0.7834,0.5888,0,0,0,33.1892,7.5418,1.7465,11.0427,45.8738,102.0707,8.0193,3.9885,5.3602,3.1987,16.3393,230.2742,8.6821,81.6669,2.1321,62.7704,36.5129,8.5465,14.0117,156.5801,2612.4512,130.9185,3278.1289,503.8778,1402.8329,87.4927,58.4232,38.7684,76.9496,79.7571,192.5949,78.2701,136.3623,88.7421,29.0831,17.5509,24.8509,10.8938,23.3062,0.0
SGP_H53,0.0397,0.045,0,0,0,1.2501,0.8222,0.0526,0.9327,0.5932,2.1458,0.2462,0.2644,0.1611,0.1088,2.4782,5.6032,0.4542,3.873,0.098,1.3881,1.1956,1.368,1.0584,14.3342,29.2267,111.1153,10.5466,5.534,102.7151,216.6769,4.8874,19.118,172.1088,45.5577,22.3916,24.9136,46.494,4.758,7.0049,0.6946,1.4887,2.2768,13.7543,0.0
SGP_I,0.8019,5.5475,0,0,0,20.9642,6.6577,1.1686,11.3957,9.1411,27.9444,6.3851,6.6235,2.647,4.2328,19.5307,116.0418,10.8179,84.4944,2.5319,24.6764,21.4444,6.9091,7.9632,211.7553,539.3439,12.6685,257.3667,189.681,174.2746,22.3539,163.514,139.2998,19.8374,77.4769,340.0457,59.6407,329.6461,82.855,83.2239,110.8626,72.7927,178.2298,52.9251,0.0
SGP_J58T60,0.2649,0.3406,0,0,0,65.6859,6.0308,0.9763,16.9963,45.4737,93.9018,11.7629,5.8213,3.8999,2.8883,12.9978,928.6134,8.5472,61.3783,1.6113,12.56,60.9198,8.8282,5.6347,44.2723,651.871,8.4236,37.2788,15.757,13.317,5.0941,37.5606,1381.035,62.8084,1416.5035,303.5211,57.8756,258.6014,60.5208,38.7176,32.9902,18.3649,21.583,10.9057,0.0
