V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T
BEL_F,142.0078,0.9549,0,20.737,0.5914,149.2364,21.3874,29.2471,74.4762,99.1207,318.4372,238.2107,32.7457,74.6567,102.808,509.0742,22.2007,33.8856,56.8588,85.54,15.3776,365.3208,1075.5721,382.3966,23795.0721,979.2553,195.1379,17.6568,63.1163,384.4104,2.7997,129.6929,45.9009,72.0424,115.0162,331.6977,1708.4966,659.0998,258.8619,451.6088,207.1924,347.9705,114.9111,285.8485,0.0
BEL_G,1092.4913,8.5193,0,27.1217,1.193,5322.1325,608.7044,291.3942,627.6475,2151.646,2139.992,595.3342,490.7573,426.8127,839.8126,468.4092,302.2523,230.5224,531.1445,1253.9291,74.2297,553.3224,306.2461,301.1584,2990.7033,2567.4502,1170.8395,62.4041,263.582,992.0282,256.2896,1345.4157,276.5786,164.2352,259.6734,388.3781,335.9549,1447.8715,1533.8967,490.0064,197.0312,1519.8629,138.4531,242.0884,0.0
BEL_H49,98.2551,0.8776,0,19.5449,0.3738,772.9173,68.9901,83.7163,160.2966,294.0227,365.813,94.8607,113.8568,203.7674,313.2418,138.009,24.8013,48.4039,103.7935,150.5436,12.6974,122.4709,206.2993,129.8248,475.5384,1801.9635,1377.4747,21.7866,42.0006,726.2377,713.4319,101.694,55.9112,21.1778,49.0297,55.4693,40.9944,182.7005,176.5454,89.8113,41.2561,186.6115,21.9675,80.3013,0.0
BEL_H50,3.5265,0.0502,0,0.5752,0.0161,26.4481,3.1779,1.8187,3.4858,27.6351,21.7102,12.2108,3.8227,6.7107,21.9687,8.3398,1.8992,1.5458,4.4886,10.4051,1.0622,6.0842,2.2651,3.433,23.6073,76.3247,9.2303,40.126,3.7315,24.0417,16.7959,5.4533,2.9125,5.1078,1.9355,1.7439,2.7904,9.9861,17.6151,2.0053,0.9972,5.6216,0.9851,0.9526,0.0
BEL_H51,8.0128,0.0853,0,0.6342,0.0174,39.7952,4.2145,2.7071,5.1455,42.7831,24.7416,3.2834,4.5588,9.2016,18.817,5.5021,2.9942,2.5702,6.1454,16.1101,1.71,10.3422,4.2296,1.2677,35.4789,26.1489,4.2889,0.6144,4.04,17.7615,99.1676,9.9391,1.4855,1.2315,2.4886,5.1039,3.4296,8.5361,17.0906,4.5153,4.4149,10.7315,2.1218,3.1002,0.0
BEL_H52,26.7512,5.4711,0,7.6559,0.3058,285.4446,13.3617,18.6262,35.849,200.6592,368.5333,30.0986,28.2381,52.1674,134.9339,41.5137,9.1904,12.1848,39.532,84.4365,2.5256,37.3565,44.7664,17.8739,181.1555,2762.1954,2850.3525,305.7108,507.7484,5005.6057,70.8732,24.862,20.752,7.0359,37.9603,16.0864,18.24,134.4299,139.6261,17.4718,17.3434,45.5159,3.9445,19.9982,0.0
BEL_H53,1.1879,0.0494,0,0.2462,0.0319,24.8782,7.9171,1.9075,18.8655,2.2351,16.2633,6.8026,9.6058,3.689,9.0614,5.7797,1.1699,2.5816,14.6655,5.5161,0.5516,4.8084,20.6075,20.0093,38.29,535.7443,22.7802,0.415,2.2183,112.792,385.0801,7.9846,157.7563,111.076,31.4574,181.3223,32.6304,434.9674,197.3338,534.089,40.4666,161.6579,27.5259,61.0473,0.0
BEL_I,6.0738,0.0499,0,0.7625,0.1636,31.7799,10.8574,4.399,8.2025,33.0729,42.1901,17.2169,14.3507,13.356,12.075,30.6697,15.0442,12.1878,32.3004,16.9646,3.621,14.3587,13.1433,8.5256,78.5314,619.2118,31.3787,4.186,185.2241,512.2481,0.3598,55.6712,152.974,14.4671,101.5701,444.7373,21.2915,398.0381,1297.612,158.1242,262.414,457.0561,192.5688,262.455,0.0
BEL_J58T60,2.3197,0.0093,0,0.4009,0.0207,107.5242,15.0275,9.602,33.7102,16.9927,24.2782,30.9906,6.3443,6.2666,6.2454,15.9428,4.4292,6.925,7.2577,10.0443,0.9272,13.4177,5.8914,4.0692,42.3704,544.1598,9.9813,0.93,10.9638,17.3519,0.5396,21.2017,725.427,96.878,76.7908,71.0548,14.1308,838.2903,113.4135,48.0997,53.0135,22.808,48.3907,29.916,0.0
BEL_J61,1.2521,0.1262,0,0.5207,0.0973,15.4695,3.7901,2.2499,6.6174,20.3143,33.4127,21.3455,7.5555,6.7349,10.9715,17.2218,6.8148,5.0741,11.1629,4.6817,1.3756,8.4754,24.526,22.149,81.8502,338.3142,52.2449,1.1109,6.9649,50.2641,0.5225,33.9588,64.1604,2217.7104,267.6002,918.9422,42.7124,309.6644,108.6367,127.1454,45.5098,153.3604,29.5191,39.8111,0.0
